Hi.	Здрасти.
I felt isolated.	Чувствах се изолиран.
I felt isolated.	Чувствах се изолирана.
I felt isolated.	Почувствах се изолиран.
I felt isolated.	Почувствах се изолирана.
I forgot my pen.	Забравих си химикалката.
I forgot to ask.	Забравих да питам.
I get up at six.	Ставам в шест.
I have no money.	Нямам пари.
I have no money.	Аз нямам пари.
I have the keys.	Имам ключовете.
I have the list.	Имам списъка.
I have to leave.	Трябва да напусна.
I have to leave.	Трябва да тръгвам.
I have two cats.	Имам две котки.
I have your key.	Ключът ти е у мене.
I heard a crash.	Чух някакъв сблъсък.
I heard it, too.	Аз също го чух.
I hope Tom wins.	Дано Том победи.
I hope Tom wins.	Дано Том спечели.
I hope it works.	Дано да стане.
I like it a lot.	Много ми харесва.
I like your car.	Харесва ми колата ти.
I live in Japan.	Аз живея в Япония.
I love you, Tom.	Обичам те, Том.
I love you, too.	И аз те обичам.
I meant no harm.	Не исках да направя нищо лошо.
I need a pencil.	Трябва ми молив.
I need a pencil.	Нужен ми е молив.
I never saw you.	Никога не те видях.
I never saw you.	Никога не ви видях.
I never saw you.	Така и не ви видях.
I never saw you.	Така и не те видях.
I played tennis.	Аз играх тенис.
I run every day.	Всеки ден тичам.
I run every day.	Аз тичам всеки ден.
I run every day.	Тичам всеки ден.
I sent Tom home.	Изпратих Том вкъщи.
I think it's OK.	Мисля, че е ОК.
I took a shower.	Взех си душ.
I took the book.	Взех книгата.
I want a guitar.	Искам китара.
I want that bag.	Искам онази чанта.
I want that bag.	Искам тази чанта.
I want to drive.	Искам да карам.
I want to sleep.	Искам да спя.
I was convicted.	Аз бях осъден.
I was convicted.	Аз бях осъдена.
I was convicted.	Бях осъден.
I was convicted.	Бях осъдена.
I was convicted.	Осъдиха ме.
I work with him.	Аз работя с него.
I work with him.	Работя с него.
I'm a night owl.	Аз съм нощна птица.
I'm about ready.	Общо взето съм готов.
I'm fairly busy.	Аз съм доста зает.
I'm fairly busy.	Аз съм доста заета.
I'm going to go.	Ще отида.
I'm left-handed.	Аз съм левичар.
I'm not jealous.	Аз не ревнувам.
I'm on the list.	В списъка съм.
I'm very hungry.	Много съм гладен.
I'm very lonely.	Много съм самотен.
I'm very lonely.	Много съм самотна.
I'm very sleepy.	Много ми се спи.
I've had enough.	Писна ми.
I've missed you.	Липсваше ми.
Is it happening?	Случва ли се?
Is this a dream?	Това сън ли е?
It could happen.	Може да се случи.
It is up to you.	От теб зависи.
It just happens.	Просто се случва.
It might happen.	Може да се случи.
It took an hour.	Отне един час.
It took an hour.	Това отне един час.
It was personal.	Беше лично.
It's a big city.	Голям град е.
It's a nice day.	Хубав ден е.
It's almost six.	Почти шест е.
It's impossible.	Невъзможно е.
It's lunch time.	Време е за обяд.
It's not a bomb.	Не е бомба.
It's not a fake.	Това не е имитация.
It's not a fake.	Това не е фалшификат.
It's not a game.	Това не е игра.
It's not a gift.	Това не е подарък.
It's not a loan.	Това не е заем.
It's not my car.	Това не е моята кола.
It's not my car.	Не е моята кола.
It's not my car.	Не е колата ми.
It's not my job.	Не ми е работа.
It's not my job.	Това не е моя работа.
It's okay to go.	Няма проблем да си тръгнеш.
It's very short.	Много е кратка.
It's very short.	Много е кратък.
It's very short.	Много е кратко.
Keep the change.	Задръжте рестото.
Large, isn't it?	Голямо е, нали?
Lemons are sour.	Лимоните са кисели.
Let me go alone.	Нека ида сам.
Let me go alone.	Остави ме да отида сам.
Let me go alone.	Оставете ме да ида сам.
Let me see that.	Дай да го видя това.
Let's celebrate.	Хайде да празнуваме.
Let's come back.	Да се върнем.
Let's eat lunch.	Хайде да обядваме.
Let's eat sushi.	Хайде да ядем суши.
Let's eat sushi.	Да ядем суши.
Let's fly kites.	Хайде да пускаме хвърчила.
Let's get going.	Хайде да тръгваме.
Let's go by bus.	Хайде да идем с рейс.
Let's improvise.	Да импровизираме.
Let's negotiate.	Да го обсъдим.
Let's rest here.	Да си починем тук.
Let's rest here.	Хайде да си починем тук.
Let's stop here.	Да спрем тук.
Let's stop here.	Да спрем дотук.
Let's try again.	Да опитаме отново.
Let's try again.	Да пробваме пак.
Let's turn back.	Да се връщаме.
Life isn't fair.	Животът е несправедлив.
Life's not fair.	Животът е несправедлив.
Lock the office.	Заключи офиса.
Lock the office.	Заключете офиса.
Look behind you.	Погледни зад себе си.
Look behind you.	Погледни отзад.
Make it smaller.	Смали го.
Make it smaller.	Направи го по-малко.
May I leave now?	Може ли да си тръгна сега?
Maybe I'm wrong.	Може би греша.
Merry Christmas!	Весела Коледа!
Merry Christmas!	Честита Коледа!
Merry Christmas!	Честито Рождество!
No, I didn't go.	Не, не отидох.
Now stand still.	Сега застани мирно.
Please be brief.	Моля те, бъди кратък.
Please be brief.	Моля те, бъди кратка.
Please be brief.	Моля Ви, бъдете кратък.
Please be brief.	Моля Ви, бъдете кратка.
Please be quiet.	Запази тишина.
Please sit down.	Моля, седнете.
Raise your hand.	Вдигни ръката си.
Shall we go out?	Ще излезем ли?
She is not tall.	Тя не е висока.
She looked away.	Тя отмести погледа си.
She was perfect.	Тя беше перфектна.
She's my sister.	Тя ми е сестра.
So far, so good.	Дотук добре.
Sorry, I forgot.	Съжалявам, забравих.
Stop whimpering.	Престани да хленчиш.
Stop whimpering.	Престанете да хленчите.
That dog is big.	Онова куче е голямо.
That isn't fair.	Това не е честно.
That's my chair.	Това е моят стол.
That's my chair.	Това е столът ми.
That's not fair.	Това не е честно.
That's over now.	С това се свърши.
That's personal.	Лично е.
That's very big.	Това е много голямо.
The dog is mine.	Кучето е мое.
The time is now.	Сега е моментът.
There's no time.	Няма време.
They died young.	Умрели са млади.
They died young.	Те са умрели млади.
They died young.	Умряха млади.
They died young.	Те умряха млади.
They might kiss.	Те може да се целунат.
They were wrong.	Те сгрешиха.
They're engaged.	Те са сгодени.
They're no good.	Не се занимавай с тях.
This is for you.	Това е за теб.
This is my baby.	Това е моето бебе.
This is my baby.	Това е моето бебче.
This is my book.	Това е моята книга.
This is so easy.	Толкова е лесно.
This is the end.	Това е краят.
This is too big.	Това е прекалено голямо.
This is useless.	Това е безсмислено.
This is useless.	Не става.
This isn't fair.	Това не е честно.
This isn't fair.	Така не е честно.
Tom bit his lip.	Том прехапа устна.
Tom cut my hair.	Том ми пострига косата.
Tom didn't hunt.	Том не ловуваше.
Tom didn't sing.	Том не пя.
Tom didn't wait.	Том не изчака.
Tom didn't wait.	Том не чака.
Tom is a dancer.	Том е танцьор.
Tom is a pastor.	Том е пастор.
Tom is insolent.	Том е нагъл.
Tom is insolent.	Том е нахален.
Tom is ticklish.	Том има гъдел.
Tom isn't young.	Том не е млад.
Tom just did it.	Том току-що го направи.
Tom just did it.	Том току-що успя.
Tom plays piano.	Том свири на пиано.
Tom saw it, too.	Том също го видя.
Tom was like me.	Том беше като мен.
Tom was praying.	Том се молеше.
Tom wasn't good.	Том не беше добър.
Tom writes well.	Том пише добре.
Turn off the TV.	Изключи телевизора.
Turn off the TV.	Изключете телевизора.
Watch your step.	Внимавай къде стъпваш.
We already know.	Ние вече знаем.
We expect to go.	Очакваме да отидем.
We must be fair.	Трябва да сме справедливи.
We study French.	Ние учим френски.
We want it back.	Искаме го обратно.
We want it back.	Ние го искаме обратно.
We'll come back.	Ще се върнем.
We'll come back.	Ние ще се върнем.
We're all ready.	Ние всички сме готови.
We're neighbors.	Съседи сме.
We're not fools.	Ние не сме глупаци.
We're on a date.	Имаме среща.
We're soulmates.	Ние сме сродни души.
What a surprise!	Каква изненада!
What size is it?	Кой размер е?
What time is it?	Колко е часът?
What year is it?	Коя година е сега?
What's the news?	Какви са новините?
What's the time?	Колко е часът?
What's with Tom?	Какво му става на Том?
What's your job?	Каква ти е работата?
What's your job?	Какво работиш?
When can we eat?	Къде можем да ядем?
When did it end?	Кога приключи?
Where's my coat?	Къде ми е палтото?
Where's my room?	Къде е моята стая?
Where's the dog?	Къде е кучето?
Where's the key?	Къде е ключът?
Who bought this?	Кой купи това?
Will he recover?	Ще се възстанови ли?
You startled me!	Уплаши ме.
You'd regret it.	Ще съжаляваш.
You'll find one.	Ще го намериш.
You'll find one.	Ще я намериш.
You'll find one.	Ще си намериш.
You'll get lost.	Ще се загубиш.
You'll get lost.	Ще се изгубиш.
You'll get lost.	Ще се изгубите.
You'll get lost.	Ще се загубите.
You're a person.	Ти си човек.
You're bleeding.	Тече ти кръв.
You're in a rut.	Буксуваш.
You're in shock.	Ти си в шок.
You're my enemy.	Ти си ми враг.
You're rambling.	Говориш несвързано.
You're so weird.	Толкова си странен.
You're so weird.	Толкова си странна.
You're so weird.	Толкова сте странни.
You've been had.	Минал си се.
Your time is up.	Времето ти изтече.
A girl phoned me.	Обади ми се едно момиче.
Accidents happen.	Случват се злополуки.
Accidents happen.	Стават злополуки.
Apologize to Tom.	Извини се на Том.
Are these edible?	Тези ядливи ли са?
Are these edible?	Тези стават ли за ядене?
Are we all happy?	Всички ли сме щастливи?
Are we all happy?	Щастливи ли сме всички?
Are you Japanese?	Японец ли сте?
Are you an idiot?	Ти идиот ли си?
Are you brothers?	Вие братя ли сте?
Are you drinking?	Пиеш ли?
Are you free now?	Сега свободен ли си ?
Are you homeless?	Бездомен ли си?
Are you homeless?	Бездомна ли си?
Are you involved?	Замесен ли си?
Are you involved?	Замесена ли си?
Are you involved?	Замесени ли сте?
Are you involved?	Вие замесена ли сте?
Are you involved?	Вие замесен ли сте?
Are you prepared?	Подготвен ли си?
Are you prepared?	Подготвена ли си?
Are you sleeping?	Спиш ли?
Are you sleeping?	Спите ли?
Are you ticklish?	Имаш ли гъдел?
Aren't you happy?	Не си ли щастлив?
Aren't you happy?	Не сте ли щастливи?
Ask Tom anything.	Попитай Том каквото и да е.
Ask Tom yourself.	Сам питай Том.
Ask Tom yourself.	Питай Том сама.
Ask yourself why.	Попитай се защо.
Be brief, please.	Бъдете кратък, моля.
Be brief, please.	Бъдете кратка, моля.
Be there tonight.	Бъди там тази вечер.
Be there tonight.	Бъдете там тази вечер.
Can we trust her?	Може ли да ѝ се доверим?
Clean the mirror.	Изчисти огледалото.
Close your books.	Затворете книгите си.
Close your books.	Затворете си учебниците.
Come home at six.	Ела вкъщи в шест.
Continue digging.	Продължавай да копаеш.
Cross the street.	Пресечи улицата.
Cross the street.	Пресечете улицата.
Do as you please.	Постъпи както прецениш.
Do you live here?	Тук ли живееш?
Do you trust Tom?	Имаш ли доверие на Том?
Do you want kids?	Искаш ли деца?
Do you want kids?	Искате ли деца?
Does anyone know?	Някой знае ли?
Don't be so lazy.	Не бъди толкова мързелив.
Don't do it, Tom.	Недей, Том.
Don't do it, Tom.	Не го прави, Том.
Don't drink that.	Не пий това.
Don't leave town.	Не напускай града.
Don't leave town.	Не напускайте града.
Don't look at it.	Не го гледай.
Don't look at it.	Не гледай това.
Don't talk to me.	Не ми говори.
Don't talk to me.	Не разговаряй с мен.
Everybody jumped.	Всички скочиха.
Everybody jumped.	Всички подскочиха.
For what purpose?	С каква цел?
For what purpose?	За какво?
Give me a hammer.	Дайте ми чук.
Give me the book.	Дай ми книгата.
Give them to her.	Дай ѝ ги.
Give them to him.	Дай му ги.
He can read well.	Той умее да чете добре.
He heard a shout.	Той чу вик.
He is past forty.	Той е над четирисет.
He is photogenic.	Той е фотогеничен.
He likes animals.	Той обича животни.
He likes fishing.	Той обича да ходи за риба.
He must love you.	Той със сигурност те обича.
He ratted us out.	Издаде ни.
He ratted us out.	Издал ни е.
He ratted us out.	Той ни е издал.
He ratted us out.	Той ни издаде.
He shut the door.	Той затвори вратата.
He told us a lie.	Той ни каза една лъжа.
He won't make it.	Той няма да успее.
Her hair is long.	Нейната коса е дълга.
Here is your bag.	Ето ти чантата.
Here is your bag.	Ето я твоята чанта.
Here is your bag.	Ето я чантата ти.
Here is your dog.	Ето го твоето куче.
How are you, Tom?	Как си, Том?
How do you do it?	Как го правиш?
How do you do it?	Как го правите?
How tall you are!	Колко си висок!
I also like cake.	И аз обичам кейк.
I am out of work.	Без работа съм.
I believe in God.	Аз вярвам в Бог.
I brought a book.	Донесох книга.
I can't budge it.	Не мога да го помръдна.
I closed my door.	Затворих си вратата.
I closed my door.	Аз си затворих вратата.
I did it for you.	Заради тебе го направих.
I did it for you.	Заради вас го направих.
I didn't like it.	Не ми хареса.
I didn't mean it.	Не го направих нарочно.
I didn't take it.	Не съм го взимал.
I didn't take it.	Не съм го взимала.
I didn't take it.	Не съм го взел.
I didn't take it.	Не съм го взела.
I didn't take it.	Не го взех.
I don't care why.	Не ме интересува защо.
I don't do drugs.	Не взимам наркотици.
I don't doubt it.	Не се съмнявам в това.
I don't eat pork.	Не ям свинско.
I don't get sick.	Аз не се разболявам.
I don't get sick.	На мен не ми прилошава.
I don't get this.	Това не го разбирам.
I don't hate him.	Не го мразя.
I don't hate you.	Не те мразя.
I don't hate you.	Не ви мразя.
I don't know her.	Не я знам.
I don't know her.	Не я познавам.
I don't know how.	Не знам как.
I don't like her.	Аз не я харесвам.
I feel bad today.	Чувствам се зле днес.
I feel very sick.	Чувствам се много зле.
I gave up on Tom.	Отказах се от Том.
I get your point.	Разбирам какво искаш да кажеш.
I have forgotten.	Забравих.
I have forgotten.	Аз забравих.
I have some news.	Имам новини.
I have the money.	Имам парите.
I have to go now.	Сега трябва да тръгвам.
I have to go out.	Трябва да изляза.
I have to say no.	Ще трябва да откажа.
I have your coat.	Държа ти палтото.
I have your file.	Файлът ти е у мене.
I hear it's nice.	Казват, че е хубаво.
I hope I'm wrong.	Дано греша.
I hope it's good.	Надявам се да е добро.
I hope it's good.	Дано да е добро.
I hope it's true.	Дано да е вярно.
I hope it's true.	Надявам се да е вярно.
I know I'm wrong.	Знам, че не съм прав.
I know only this.	Знам само това.
I like junk food.	Обичам джънк фууд.
I live near here.	Аз живея наблизо.
I love gardening.	Обичам да се занимавам с градинарство.
I love gardening.	Обичам да се занимавам в градината.
I love your name.	Обожавам името ти.
I made a mistake.	Направих грешка
I made a mistake.	Допуснах грешка.
I made breakfast.	Приготвих закуска.
I made her angry.	Ядосах я.
I missed the bus.	Изпуснах автобуса.
I own this place.	Аз притежавам това място.
I own this store.	Аз съм собственик на този магазин.
I play in a band.	Аз свиря в група.
I play in a band.	Свиря в една група.
I said stay back.	Казах ти да се отдръпнеш.
I said stay back.	Казах ти да стоиш настрана.
I sold the books.	Продадох книгите.
I think Tom died.	Мисля, че Том умря.
I totally forgot.	Съвсем забравих.
I totally forgot.	Тотално забравих.
I want you to go.	Искам да отидеш.
I will translate.	Аз ще превеждам.
I wish I'd known.	Иска ми се да го бях знаел.
I wish I'd known.	Иска ми се да го бях знаела.
I won't be quiet.	Няма да мълча.
I won't help you.	Няма да ти помогна.
I won't help you.	Няма да Ви помогна.
I won't help you.	Няма да ви помогна.
I wouldn't do it.	Аз не бих го направил.
I wouldn't do it.	Аз не бих го направила.
I'd have said no.	Аз щях да кажа "не".
I'd like to help.	Бих искал да помогна.
I'd like to help.	Ще се радвам да помогна.
I'd love to stay.	С удоволствие бих останал.
I'd love to stay.	С удоволствие бих останала.
I'll back you up.	Ще те подкрепя.
I'll back you up.	Ще ви подкрепя.
I'll be by later.	Ще мина по-късно.
I'll be punished.	Ще бъда наказан.
I'll be punished.	Ще бъда наказана.
I'll be punished.	Аз ще бъда наказана.
I'll be punished.	Аз ще бъда наказан.
I'll be right up.	Ей сега.
I'll clean it up.	Аз ще почистя.
I'll clean it up.	Аз ще го почистя.
I'll do it again.	Отново ще го направя.
I'll do the rest.	Аз ще направя останалото.
I'll eat it here.	Ще го изям тук.
I'll get it done.	Ще се погрижа да стане.
I'll get over it.	Ще го преживея.
I'll go find Tom.	Ще отида да намеря Том.
I'll go get some.	Ще отида да донеса малко.
I'll go get some.	Ще отида да взема няколко.
I'll go get that.	Ще отида да го взема.
I'll go get them.	Ще отида да ги взема.
I'll go this way.	Аз ще тръгна нататък.
I'll study a lot.	Ще уча много.
I'll take my car.	Ще взема моята кола.
I'm OK with that.	На мен не ми пречи.
I'm an adult now.	Вече съм пълнолетен.
I'm an adult now.	Вече съм пълнолетна.
I'm an hour late.	Закъснях с един час.
I'm at the hotel.	В хотела съм.
I'm at the house.	В къщата съм.
I'm baking a pie.	Пека пай.
I'm doing my job.	Върша си работата.
I'm done for now.	Засега приключих.
I'm done with it.	Приключих с това.
I'm fixing it up.	Сега го оправям.
I'm from the FBI.	Аз съм от ФБР.
I'm glad of that.	Доволен съм от това.
I'm glad to help.	Радвам се, че мога да помогна.
I'm just curious.	Просто питам.
I'm just curious.	Просто ми е любопитно.
I'm just looking.	Аз само гледам.
I'm not a doctor.	Аз не съм лекар.
I'm not at fault.	Не съм виновен аз.
I'm not at fault.	Не съм виновна аз.
I'm not her type.	Не съм неин тип.
I'm not like Tom.	Аз не съм като Том.
I'm not on drugs.	Не взимам наркотици.
I'm not so brave.	Не съм толкова смел.
I'm not so brave.	Не съм толкова смела.
I'm not so tired.	Не съм толкова уморен.
I'm not so tired.	Не съм толкова уморена.
I'm not sure yet.	Още не съм сигурен.
I'm not sure yet.	Още не съм сигурна.
I'm off tomorrow.	Утре тръгвам.
I'm out of ideas.	Свършиха ми идеите.
I'm out of shape.	Загубил съм форма.
I'm out of shape.	Загубила съм форма.
I'm proud of you.	Гордея се с теб.
I'm proud of you.	Горд съм с вас.
I'm really tired.	Наистина съм уморен.
I've got nothing.	Аз нямам нищо.
I've never tried.	Никога не съм опитвал.
I've never tried.	Никога не съм опитвала.
I've never voted.	Никога не съм гласувал.
I've never voted.	Никога не съм гласувала.
Is Tom awake yet?	Том буден ли е още?
Is this 223-1374?	Това номер 223-1374 ли е?
Is this your pen?	Това твоята химикалка ли е?
Isn't that right?	Не е ли така?
It happened fast.	Стана бързо.
It happened fast.	Случи се бързо.
It happened here.	Случи се тук.
It happened once.	Случи се един път.
It just came out.	То тъкмо излезе.
It just happened.	Просто се случи.
It just happened.	Току-що се случи.
It was dangerous.	Това беше опасно.
It was dangerous.	Опасно беше.
It was dangerous.	Беше опасно.
It was excessive.	Беше прекалено.
It was very cold.	Беше много студено.
It was very hard.	Беше много трудно.
It wasn't a joke.	Не беше шега.
It'll be a start.	Това ще бъде някакво начало.
It's a clear day.	Денят е ясен.
It's almost noon.	Вече е почти обяд.
It's been a week.	Мина една седмица оттогава.
It's fascinating.	Забележително е.
It's foggy today.	Днес е мъгливо.
It's frozen hard.	Втвърдило се е от студ.
It's my decision.	Това е мое решение.
It's my turn now.	Сега е мой ред.
It's not a bribe.	Това не е подкуп.
It's not a crime.	Това не е престъпление.
It's not a dream.	Това не е сън.
It's not a trick.	Това не е номер.
It's not for you.	Това не е за тебе.
It's not from me.	Това не е от мене.
It's not from me.	Не е от мен.
It's supper time.	Време е за вечеря.
Japan is in Asia.	Япония е в Азия.
Let me come, too.	Нека и аз да дойда.
Let me come, too.	Позволете ми и аз да дойда.
Let's be friends.	Да бъдем приятели.
Let's be friends.	Хайде да се сприятелим.
Let's be friends.	Хайде да станем приятелки.
Let's be friends.	Хайде да станем приятели.
Let's compromise.	Да направим компромис.
Let's cross here.	Да пресечем тук.
Let's eat dinner.	Да вечеряме.
Let's eat supper.	Да вечеряме.
Let's fly a kite.	Хайде да пуснем хвърчило.
Let's go indoors.	Да отидем на закрито.
Let's go indoors.	Да влезем вътре.
Let's have a try.	Да пробваме!
Let's have lunch.	Хайде да обядваме.
Let's have sushi.	Хайде да ядем суши.
Let's have sushi.	Да ядем суши.
Let's have sushi.	Да си поръчаме суши.
Let's play cards.	Да играем на карти.
Let's play catch.	Да поиграем на топка.
Let's take a bus.	Хайде да вземем рейс.
Let's take a bus.	Давай да взимаме рейс.
Life is not fair.	Животът е несправедлив.
Look out for Tom.	Оглеждай се за Том.
Look out for Tom.	Внимавай за Том.
Make your choice.	Направи избора си.
May I open a can?	Може ли да отворя една консерва?
My album is here.	Албумът ми е тук.
My tie is orange.	Вратовръзката ми е оранжева.
No one ever came.	Така и никой не дойде.
No one will know.	Никой няма да разбере.
No one will know.	Никой няма да узнае.
Nobody likes Tom.	Никой не харесва Том.
Please don't ask.	Моля те, не питай.
Please don't cry.	Моля те, не плачи.
Please let me go.	Пусни ме.
Please sign here.	Моля, подпишете тук.
Please wait here.	Моля, изчакайте тук.
Please wait here.	Моля, изчакай тук.
Pretty, isn't it?	Красиво, нали?
Put on your coat.	Сложете си палтото.
Put on your coat.	Сложи си палтото.
Put the gun down.	Свали оръжието!
Scary, wasn't it?	Беше страшно, нали?
School's not fun.	Да ходиш на училище не е забавно.
She despised him.	Тя го презираше.
She disliked him.	Той не ѝ беше приятен.
She kept working.	Тя продължи да работи.
She likes to run.	Тя обича да бяга.
She was promoted.	Тя получи повишение.
Stand up, please.	Стани, ако обичаш.
Stand up, please.	Станете, ако обичате.
Summer has ended.	Лятото свърши.
That's a big lie.	Това е една голяма лъжа.
That's very easy.	Това е много лесно.
The bill, please.	Сметката, моля.
The dog is dying.	Кучето умира.
The dogs are wet.	Кучетата са мокри.
The joke's on me.	Аз съм за смях.
The sea was calm.	Морето беше спокойно.
The sky is clear.	Небето е чисто.
There aren't any.	Няма никакви.
There aren't any.	Никакви няма.
There isn't time.	Няма време.
They didn't talk.	Те не говориха.
They didn't talk.	Те не говореха.
They're brothers.	Те са братя.
They're escaping.	Те бягат.
They're escaping.	Те се измъкват.
They're escaping.	Бягат.
They're escaping.	Измъкват се.
This didn't work.	Това не сработи.
This guy's tough.	Тоя пич е стабилен.
This is a secret.	Това е тайна.
This is evidence.	Това е улика.
This is the spot.	Това е мястото.
This is too long.	Това е прекалено дълго.
This is your key.	Това е ключът ти.
This is your key.	Това е твоят ключ.
This isn't right.	Това не е правилно.
Tom already left.	Том вече си тръгна.
Tom avoided Mary.	Том избягваше Мери.
Tom avoided Mary.	Том избегна Мери.
Tom can run fast.	Том може да бяга бързо.
Tom can't get up.	Том не може да стане.
Tom didn't do it.	Том не го е направил.
Tom didn't do it.	Не го е направил Том.
Tom didn't drown.	Том не се удави.
Tom didn't sleep.	Том не спа.
Tom had one wish.	Том имаше едно желание.
Tom had one wish.	Том имаше едно-единствено желание.
Tom hates school.	Том мрази училището.
Tom hurt himself.	Том се нарани.
Tom is a mystery.	Том е пълна загадка.
Tom is a student.	Том е студент.
Tom is easygoing.	Том е добряк.
Tom is my friend.	Том е мой приятел.
Tom is my friend.	Том ми е приятел.
Tom is practical.	Том е практичен.
Tom likes cheese.	Том обича сирене.
Tom looks lonely.	Том изглежда самотен.
Tom lost his job.	Том изгуби работата си.
Tom lost his job.	Том загуби службата си.
Tom loves horses.	Том обича конете.
Tom may be alive.	Том може да е жив.
Tom might object.	Том може да възрази.
Tom might object.	Том може да се възпротиви.
Tom plays soccer.	Том играе футбол.
Tom sat on a log.	Том седна на един дънер.
Tom spoke French.	Том говори на френски.
Tom was arrested.	Том беше арестуван.
Tom was defeated.	Том бе победен.
Tom was hesitant.	Том се колебаеше.
Tom was sweating.	Том се потеше.
Tom won't listen.	Том не приема никакви съвети.
Tom works for me.	Том работи за мен.
Try it once more.	Пробвай го пак.
Try it once more.	Опитай го още веднъж.
Turn off the gas.	Изключете газта!
Was Tom murdered?	Убит ли беше Том?
Watch me closely.	Гледай ме внимателно.
Watch my fingers.	Гледай ми пръстите.
We could see Tom.	Можехме да видим Том.
We have no sugar.	Нямаме захар.
We have to do it.	Трябва да го направим.
We kept our word.	Спазихме думата си.
We need to hurry.	Трябва да побързаме.
We played to win.	Играхме за победа.
We played to win.	Ние играхме за победа.
We played to win.	Ние играхме с цел да победим.
We played to win.	Играхме с цел да победим.
We're in a hurry.	Бързаме.
We're in a hurry.	Ние бързаме.
We're in trouble.	На нас лошо ни се пише.
We're in trouble.	Загазихме го.
We're in trouble.	В беда сме.
We're out of tea.	Нямаме чай.
We're soul mates.	Ние сме сродни души.
What did Tom say?	Какво каза Том?
What did she say?	Какво каза тя?
What did she say?	Тя какво каза?
What did you buy?	Какво купи?
What did you buy?	Какво си купил?
What did you buy?	Какво сте купили?
What did you buy?	Какво купихте?
What did you buy?	Какво си купила?
What do you like?	Какво харесваше?
What do you want?	Какво искаш ?
What do you want?	Какво искаш?
What do you want?	Какво искате?
What have I done?	Какво лошо съм направил?
What is the news?	Какви са новините?
What woke you up?	Какво те събуди?
What's Tom after?	Какво се опитва да постигне Том?
What's she doing?	Какво прави тя?
What's your name?	Как се казваш?
What's your name?	Как се казвате?
What's your name?	Как ти е името?
When will you go?	Кога тръгвате?
Where do I sleep?	Къде ще спя?
Where's the boss?	Къде е шефът?
Who wrote Hamlet?	Кой е написал Хамлет?
Whose turn is it?	Чий ред е?
Whose turn is it?	Кой е наред?
Why did you quit?	Защо напусна?
Why is Tom angry?	Защо е ядосан Том?
Will that be all?	Това ли ще е всичко?
Will you join us?	Ще се присъединиш ли към нас?
Wow, that's cool.	Еха, това е яко.
You do look nice.	Наистина изглеждаш добре.
You should sleep.	Трябва да спиш.
You shouldn't go.	Не трябва да ходиш.
You shouldn't go.	Не трябва да ходите.
You'll be missed.	Ще ни липсваш.
You're a big boy.	Ти си голямо момче.
You're a failure.	Ти се провали.
You're a lunatic.	Ти си побъркан.
You're a monster.	Ти си чудовище.
You're a problem.	Ти си проблем.
You're all crazy.	Всички сте откачили.
You're all fools.	Вие всички сте глупаци.
You're an artist.	Ти си човек на изкуството.
You're on a roll.	Влязъл си в печеливша серия.
You're on a roll.	Влязла си в печеливша серия.
You're shivering.	Ти трепериш.
You're shivering.	Трепериш.
You're very cute.	Много си сладка.
You're very cute.	Много си сладък.
Your dog is here.	Кучето ти е тук.
Your dog is here.	Твоето куче е тук.
Your plan failed.	Планът ти се провали.
Your plan failed.	Планът ви се провали.
All I want is you.	Всичко, което искам, си ти.
Am I going to die?	Ще умра ли?
Am I interrupting?	Прекъсвам ли ви?
Am I overreacting?	Прекалявам ли?
America loves you.	Америка те обича.
America loves you.	Америка ви обича.
America needs you.	Америка има нужда от теб.
America needs you.	Америка има нужда от вас.
Are these candles?	Това свещи ли са?
Are they confused?	Те объркани ли са?
Are they confused?	Объркани ли са?
Are they friendly?	Те приятелски настроени ли са?
Are you a student?	Студент ли си?
Are you all alone?	Съвсем сам ли си?
Are you all alone?	Съвсем сама ли си?
Are you all ready?	Готови ли сте всички?
Are you bachelors?	Вие ергени ли сте?
Are you depressed?	Потиснат ли си?
Are you depressed?	Потисната ли си?
Are you depressed?	В депресия ли си?
Are you guys busy?	Пичове, заети ли сте?
Are you guys busy?	Заети ли сте?
Are you psychotic?	Ти психично болен ли си?
Are you psychotic?	Ти психично болна ли си?
Aren't we friends?	Не сме ли приятели?
Aren't you a chef?	Не си ли готвач?
Aren't you afraid?	Не те ли е страх?
Aren't you afraid?	Не ви ли е страх?
Aren't you coming?	Идваш ли?
Aren't you coming?	Няма ли да дойдеш?
Aren't you coming?	Няма ли да дойдете?
Aren't you coming?	Идвате ли?
Aren't you scared?	Не ви ли е страх?
Be careful of Tom.	Пази се от Том.
Can I have a bite?	Може ли да отхапя малко?
Can you follow me?	Можеш ли да ме следваш?
Can't you do that?	Не можеш ли да го направиш?
Can't you do that?	Не можете ли да го направите?
Choose one person.	Избери един човек.
Come on, hurry up.	Хайде, побързай.
Come on, let's go.	Хайде, да вървим.
Come on, touch it.	Хайде, докосни го.
Come on, trust me.	Хайде, довери ми се.
Deal us the cards.	Раздай ни картите.
Did Tom kiss Mary?	Том целуна ли Мери?
Do you have a car?	Имаш ли кола?
Do you have a car?	Имате ли кола?
Do you want to go?	Искаш ли да отидеш?
Does she know you?	Тя познава ли те?
Does she know you?	Тя знае ли ви?
Don't I get a hug?	Няма ли да получа прегръдка?
Don't disturb Tom.	Не притеснявай Том.
Don't disturb Tom.	Не притеснявайте Том.
Don't do it again.	Не го прави пак.
Don't do it again.	Повече не прави така.
Don't look at Tom.	Не гледай Том.
