Run!	Loop!
I don't have any money.	Ik heff keen Geld.
I don't like your name.	Ik mag dien Naam nich.
I don't speak Japanese.	Ik snack keen Japaansch.
I don't understand you.	Ik verstah di nich.
I have a cat and a dog.	Ik heff en Katt un en Hund.
I have about 5,000 yen.	Ik heff üm un bi 5.000 Yen.
I have already done it.	Ik heff dat al daan.
I met an elderly woman.	Ik heff en öllere Froo drapen.
I prefer coffee to tea.	Ik mag Kaffe lever as Tee.
I prefer mineral water.	Ik mag lever Selter.
I prefer tea to coffee.	Ik mag Tee lever as Kaffe.
I received your letter.	Ik heff dien Breev kregen.
I saw Liz this morning.	Ik heff Liz vonmorgen sehn.
I sell clothing online.	Ik verkööp online Klamotten.
I think I broke my leg.	Ik glööv, ik heff mi mien Been braken.
I want a chamomile tea.	Ik will en Kamellentee.
I want to study abroad.	Ik will in ’t Butenland studeren.
I was used to the heat.	Ik weer de Hitt wennt.
I will not do it again.	Ik will ’t nich wedder doon.
I wrote a song for you.	Ik heff en Leed för di schreven.
I'll show you the city.	Ik will di de Stad wiesen.
I'll tell you a secret.	Ik will di en Geheemnis verraden.
I'm a little bit tired.	Ik bün en beten mööd.
I'm at the airport now.	Ik bün opstunns op ’n Flegerhaven.
I'm too tired to drive.	Ik bün to mööd to ’n Föhren.
Is that a bus or a car?	Is dat en Bus oder en Auto?
Is your mother at home?	Is dien Moder tohuus?
It has started to rain.	Dat hett dat Regen anfungen.
It's pretty cold today.	Vondaag is dat temlich koold.
Mary oiled her bicycle.	Mary hett ehr Fohrrad öölt.
My brother is an idiot.	Mien Broder is en Idioot.
My dream has come true.	Mien Droom is wohr worrn.
My heart began to race.	Mien Hart füng an to puchen.
My house is like yours.	Mien Huus is as dien.
My husband is a doctor.	Mien Mann is Dokter.
My son has a toothache.	Mien Söhn hett Tähnwehdaag.
My spoon is very large.	Mien Löpel is bannig groot.
My stomach is growling.	Mien Maag grummelt.
My uncle drives a Ford.	Mien Unkel föhrt en Ford.
My wife died of cancer.	Mien Froo is an Kreevt storven.
School is over at 3:30.	De School is halvig veer ut.
She always wears black.	Se driggt jümmer swart.
She gave him a massage.	Se geev em en Massaasch.
She gave him a present.	Se geev em en Geschenk.
She gave him some food.	Se geev em en beten Eten.
She is cooking for him.	Se kaakt för em.
She kissed me, not him.	Se hett mi küsst, nich em.
She knit him a sweater.	Se deed em en Pullover knütten.
She likes birdwatching.	Se mag geern Vagels kieken.
She likes short skirts.	Se mag korte Röck.
She sent him a message.	Se hett em en Naricht tostüürt.
She stood close to him.	Se stünn dicht bi em.
She tore up the letter.	Se hett den Breev tweireten.
She's always grumbling.	Se is jümmer an ’t Rümgrummeln.
She's rolling in money.	Se swemmt in Geld.
She's smarter than him.	Se is klöker as he.
She's younger than him.	Se is jünger as he.
Show me another camera.	Wies mi noch en annere Kamera.
Tears came to her eyes.	Tranen schöten ehr in de Ogen.
That's not true at all.	Dat is ganz un gor nich wohr.
The flowers smell good.	De Blomen ruukt good.
The hole is big enough.	Dat Lock is groot noog.
The hole is big enough.	De Kuhl is groot noog.
The hole is big enough.	Dat Gatt is groot noog.
The knife is not sharp.	Dat Mest is nich scharp.
The marsh is knee-deep.	De Sump is kneedeep.
The situation worsened.	De Laag deed slechter warrn.
The street is slippery.	De Straat is slibberig.
The tea is boiling hot.	De Tee is kakendig heet.
They eat a lot of rice.	Se eet veel Ries.
This apple is very red.	Disse Appel is önnig rood.
This apple tastes sour.	Disse Appel smeckt suur.
This coat is too small.	Disse Mantel is to lütt.
This is our friend Tom.	Dit is uns Fründ Tom.
This table is wobbling.	Disse Disch kippelt.
This tea is too bitter.	Disse Tee is to bitter.
This was a long letter.	Dat weer en langen Breev.
Time cannot be stopped.	Tied kann nich anhollen warrn.
Tom isn't a lazy child.	Tom is keen looi Kind.
Tom's looking for work.	Tom söcht na Arbeid.
Tulips will bloom soon.	De Tulpen blöht bald.
We are learning Arabic.	Wi lehrt Araabsch.
We got lost in the fog.	Wi hebbt uns in ’n Daak verbiestert.
We saw them last night.	Wi hebbt jem vergangen Nacht sehn.
We used up the shampoo.	Wi hebbt dat Shampoo opbruukt.
What do you mean by it?	Wat meenst du dor mit?
What is my room number?	Wat is mien Kamernummer?
What made her so angry?	Wat hett ehr so füünsch maakt?
When do you need it by?	Wannehr bruukst du dat?
Which way is the beach?	Woneem geiht dat langs na ’n Strand?
Who did you speak with?	Mit ’keen hest du snackt?
Who told you the story?	’Keen hett di de Geschicht vertellt?
Why do you need change?	Worüm bruukst du Lüttgeld?
You need to be patient.	Du musst gedüllig wesen.
You'd better not do it.	Ji schullen dat beter nich maken.
You'd better not do it.	Du schullst dat beter nich maken.
You'd better not speak.	Du seggst beter nix.
All the lights went out.	All Lichten sünd utgahn.
Atoms are in everything.	Atooms sünd överall in.
Can I talk to my doctor?	Kann ik mien Dokter spreken?
Children are a blessing.	Kinner sünd en Segen.
Could I use your pencil?	Kann ik dien Bleesticken bruken?
Did you enjoy the movie?	Hett di de Film gefallen?
Did you write this book?	Hest du dit Book schreven?
Do you have any sisters?	Hest du Süstern?
Do you have enough time?	Hest du noog Tied?
Do you like to be alone?	Büst du geern alleen?
Don't forget the ticket.	Vergeet de Fohrkoort nich.
Don't touch the flowers.	Lang de Blomen nich an.
Have you chosen a topic?	Hest du en Thema utsöcht?
He can't know the truth.	He kann de Wohrheit nich weten.
He doesn't like oranges.	He mag kene Appelsienen.
He doesn't like oranges.	He mag keen Appelsienen.
He doesn't look his age.	Man sütt em sien Öller nich an.
He has a test next week.	He hett toern Week en Test.
He is putting on weight.	He nimmt to.
He was interested in me.	He harr Intress an mi.
He wrote to his parents.	He hett sien Öllern schreven.
How do you know my name?	Wo kennst du mien Naam von?
How often do you shower?	Wo faken duuschst du?
How old is the universe?	Wo oold is dat Universum?
How's the weather there?	Wat is dor för ’n Weder?
I always walk to school.	Ik gah jümmer to Foot na School.
I can't live without TV.	Ik kann ahn Feernsehn nich leven.
I do not have any money.	Ik heff keen Geld.
I don't drink much wine.	Ik drink nich veel Wien.
I don't know what it is.	Ik weet nich, wat dat is.
I feel like throwing up.	Ik föhl mi, as wenn ik kalvern mutt.
I feel like throwing up.	Ik föhl mi, as wen ik breken mutt.
I felt my hands tremble.	Ik heff mien Hannen beven föhlt.
I had to work on Sunday.	Ik müss an ’n Sünndag arbeiden.
I have lost my umbrella.	Ik heff mien Regenscherm verloren.
I have no time tomorrow.	Ik heff morgen keen Tied.
I hope to see you again.	Ik hööp, dat ik di wedderseh.
I like playing football.	Ik speel geern Football.
I like the way you walk.	Ik mag de Oord, woans du löppst.
I like to play football.	Ik speel geern Football.
I missed the 7:00 train.	Ik heff den Klock-7-Tog verpasst.
I no longer have a home.	Ik heff keen Tohuus mehr.
I play volleyball often.	Ik speel faken Volleyball.
I remember what he said.	Ik weet noch, wat he seggt hett.
I swim almost every day.	Ik swemm meist elk Dag.
I want to buy ski boots.	Ik will Skisteveln köpen.
I wanted to read a book.	Ik wull en Book lesen.
I was born 20 years ago.	Ik bün vör twintig Johr boren.
I'd like three of these.	Ik harr geern dree von disse.
I'm in a bad mood today.	Ik bün vondaag slecht toweeg.
I'm just looking around.	Ik kiek mi bloot üm.
I'm not home on Sundays.	Ik bün sünndaags nich tohuus.
May I take your picture?	Dröff ik en Bild von di maken?
May I use the telephone?	Dröff ik dat Telefoon bruken?
My brother plays guitar.	Mien Broder speelt Gitarr.
My son is ten years old.	Mien Söhn is teihn Johr oold.
My wife is a vegetarian.	Mien Froo is Vegetarier.
Not every day is Sunday.	Is nich jeden Dag Sünndag.
Paper is made from wood.	Poppeer warrt von Holt maakt.
School starts April 8th.	De School fangt an ’n 8. April an.
She bought a dozen eggs.	Se hett een Dutz Eier köfft.
She bought him a camera.	Se hett em en Kamera köfft.
She bought him a ticket.	Se hett em en Ticket köfft.
She does not like sushi.	Se mag keen Sushi.
She doesn't like soccer.	Se mag keen Football.
She forgot to write him.	Se hett vergeten, em to schrieven.
She gave birth to twins.	Se hett Tweeschen kregen.
She is eighteen at most.	Se is nich öller as achtteihn.
She is listening to him.	Se höört em to.
She knows many proverbs.	Se kennt veel Seggwöör.
She made a bet with him.	Se hett mit em weddt.
She sent him a postcard.	Se deed em en Postkoort tostüren.
She took him to the zoo.	Se hett em in ’n Zoo mitnahmen.
She understands you now.	Se versteiht di nu.
She's not a good person.	Se is keen gode Person.
Show me another example.	Wies mi noch en Bispeel.
Stop making such a fuss!	Stell di nich so an!
The boy is eating bread.	De Jung itt Brood.
The broken doll is mine.	De tweie Popp höört mi to.
The dog is in the house.	De Hund is in ’t Huus.
The hawk caught a mouse.	De Haavk hett en Muus fungen.
The letter was finished.	De Breev weer trech.
The man is eating bread.	De Mann itt Brood.
The night's still young.	De Nacht is noch jung.
The pain was unbearable.	De Wehdaag weer nich uttohollen.
The shower doesn't work.	De Duusch is kaputt.
The supermarket is open.	De Supermarkt is apen.
There comes our teacher.	Dor kummt uns Lehrer.
There is a fork missing.	Dor fehlt en Gavel.
There's something wrong.	Dor stimmt wat nich.
These apples taste good.	Disse Appels smeckt good.
They have a large house.	Se hebbt en groot Huus.
This is a good textbook.	Dit is en good Lehrbook.
This smells like cheese.	Dat rückt na Kees.
Tom knows Mary's father.	Tom kennt Mary ehr Vader.
Watch what you're doing!	Pass op, wat du deist!
Watch what you're doing!	Passt op, wat ji doot!
We have a dog and a cat.	Wi hebbt en Hund un en Katt.
We wasted a lot of time.	Wi hebbt en Barg Tied verschenkt.
We're having a barbecue.	Wi grillt jüst.
We're not in the jungle.	Wi sünd nich in ’n Dschungel.
Were you born in a barn?	Büst du in en Schüün boren worrn?
What a beautiful sunset!	Wat en smucken Sünnünnergang!
What are you doing here?	Wat deist du hier?
What do you like to eat?	Wat ittst du geern?
What makes you say that?	Worüm seggst du dat?
What're you looking for?	Wat söchst du?
Which are the best ones?	Wat för welk sünd de besten?
Who lives in that house?	’Keen leevt in dat Huus?
Would you like to dance?	Wullt du geern dansen?
You have very sexy legs.	Du hest temlich sexy Been.
You need a lot of water.	Du bruukst veel Water.
You were late yesterday.	Du weerst güstern to laat.
You're everything to me.	Du büst allens för mi.
All these books are mine.	All disse Böker sünd mien.
Are my socks dry already?	Sünd mien Söcken al dröög?
Ask your dad to help you.	Fraag dien Vader üm Hülp.
Birds often fly together.	Vagels fleegt faken tohoop.
Can I ask you a question?	Kann ik di wat fragen?
Cats can see in the dark.	Katten köönt in ’n Düüstern sehn.
China is a large country.	China is en groot Land.
Choose between these two.	Wähl een von de beiden ut.
Could you say that again?	Kannst du dat nochmaal seggen?
Curiosity killed the cat.	Neeschierigkeid hett de Katt ümbröcht.
Do you believe in ghosts?	Glöövst du an Spökels?
Do you have enough money?	Hest du noog Geld?
Do you like strawberries?	Magst du geern Eerdbeern?
Don't tell me what to do.	Segg mi nich, wat ik doon schall.
He ate bread with butter.	He hett Botterbrood eten.
He doesn't have any pets.	He hett keen Huusdeerten.
He has written two books.	He hett twee Böker schreven.
He is a man of few words.	He maakt nich veel Wöör.
He is opening the window.	He maakt dat Finster op.
He likes taking pictures.	He maakt geern Fotos.
He looks old for his age.	He sütt oold ut för sien Öller.
He might change his mind.	Villicht ännert he sien Verscheel.
He opened his mouth wide.	He deed sien Mund wied apen.
He showed me his new car.	He hett mi sien neet Auto wiest.
He spends too much money.	He gifft toveel Geld ut.
He tried to kill himself.	He versöch sik sülvs ümtobringen.
He works as a translator.	He arbeidt as Översetter.
He's always dissatisfied.	He is jümmer untofreden.
He's been to the stadium.	He is na ’t Stadion wesen.
He's gone to the stadium.	He is na ’t Stadion gahn.
How dare you laugh at me!	Wo kannst du dat wagen, över mi to lachen?
How does this soup taste?	Wo smeckt disse Supp?
How much time has passed?	Woveel Tied is vergahn?
How well do you know Tom?	Wo good kennst du Tom?
I almost dropped a plate.	Ik heff binah en Teller dalsmeten.
I am able to drive a car.	Ik kann Auto föhren.
I arrived here yesterday.	Ik bün hier güstern ankamen.
I bought a pair of boots.	Ik heff en Poor Steveln köfft.
I bought a pair of shoes.	Ik heff en Poor Schoh köfft.
I can't give up my dream.	Ik kann mien Droom nich opgeven.
I can't live without you.	Ik kann nich ahn di leven.
I can't thank you enough.	Ik kann di nich noog danken.
I don't know what to say.	Ik weet nich, wat ik seggen schall.
I don't mind if it's hot.	Dat maakt mi nix ut, wenn dat hitt is.
I don't want to eat here.	Ik will hier nich eten.
I don't want to hurt her.	Ik will ehr nich wehdoon.
I failed to persuade her.	Ik kunn ehr nich övertügen.
I have a pair of mittens.	Ik heff en Poor Fuusthanschen.
I have to go to the bank.	Ik mutt na de Bank gahn.
I have two English books.	Ik heff twee engelsche Böker.
I heard someone shouting.	Ik heff een grölen höört.
I hope he'll wait for me.	Ik hööp, dat he op mi wacht.
I make 100 euros per day.	Ik verdeen hunnerd Euro an ’n Dag.
I met your dad yesterday.	Ik heff güstern dien Vader drapen.
I remember what you said.	Ik weet noch, wat du seggt hest.
I want to be an engineer.	Ik will en Inschenör wesen.
I want to go to the city.	Ik will na de Stad gahn.
I was hungry and thirsty.	Ik weer hungerig un döstig.
I was in Tokyo yesterday.	Güstern weer ik in Tokyo.
I will not eat ice cream.	Ik schall keen Ieskreem eten.
I wish I was young again.	Ik wull ik weer noch wedder jung.
I've spent all the money.	Ik heff allens Geld utgeven.
I've told you everything.	Ik heff di allens vertellt.
In a word, life is short.	Kort seggt: Dat Leven is kort.
Is this fish still alive?	Leevt disse Fisch noch?
It was eight meters long.	Dat weer acht Meter lang.
Latin is a dead language.	Latien is en dode Spraak.
Lincoln was a Republican.	Lincoln weer Republikaner.
My cat killed a squirrel.	Mien Katt hett en Katteker doodmaakt.
My parents are both dead.	Miene Öllern sünd all beid dood.
My uncles live in London.	Miene Unkels leevt in London.
Prague is very beautiful.	Prag is temlich schöön.
Put the gun on the table.	Legg dat Gewehr op ’n Disch.
Shall I come next Sunday?	Schall ik tokamen Sünndag kamen?
She fell down the ladder.	Se füll de Ledder dal.
She had a strange hat on.	Se dreeg en snaakschen Hoot.
She handed him the money.	Se hett em dat Geld geven.
She is not afraid to die.	Se is nich bang vör ’n Dood.
She kept her eyes closed.	Se höll ehr Ogen slaten.
She met him on the beach.	Se hett em an ’n Strand drapen.
She met him this morning.	Se hett em vonmorgen drapen.
She sang better than him.	Se süng beter as he.
She took him to the lake.	Se hett em an ’n See mitnahmen.
She wanted to understand.	Se wull dat verstahn.
Tears ran down my cheeks.	Tranen löpen över mien Backen.
That club is way too big.	De Knüppel is veel to groot.
That was his catchphrase.	Dat weer so sien Snack.
That's my favorite chair.	Dat is mien leevsten Stohl.
The baby has a cute face.	Dat Baby hett en nüüdlich Gesicht.
The boy can count to ten.	De Jung kann bet teihn tellen.
The boys have gone north.	De Jungs sünd na Noorden gahn.
The cat is in its basket.	De Katt is in ehr Korv.
The cat was on the table.	De Katt weer op ’n Disch.
The house has burnt down.	Dat Huus is afbrennt.
The milk has a bad taste.	De Melk smeckt slecht.
There is a knife missing.	Dor fehlt en Mest.
These are not your forks.	Dat sünd nich dien Gaveln.
These things aren't mine!	Dat sünd nich miene Saken!
They are afraid of death.	Se sünd bang vör ’n Dood.
They don't even know why.	Se weet nich maal worüm.
They're going to kill me.	Se wüllt mi ümbringen.
This book is about stars.	Dit Book is över Steerns.
This house is very small.	Dit Huus is temlich lütt.
This is as heavy as lead.	Dit is swoor as Blee.
This is my email address.	Dat is mien E-Mail-Adress.
This orange is delicious.	Disse Appelsien smeckt lecker.
Tom does not like cheese.	Tom mag keen Kees.
Tom scrubbed the bathtub.	Tom deed de Baadwann schrubben.
Twelve is an even number.	Twölv is en lieke Tall.
We all enjoyed the movie.	Uns hett de Film all gefullen.
We almost froze to death.	Wi sünd meist doodfroren.
We ordered too much food.	Wi hebbt toveel Eten bestellt.
We raced toward the fire.	Wi löpen na dat Füür hen.
We've got plenty of time.	Wi hebbt veel Tied.
What are you doing today?	Wat maakst du vondaag?
What are you looking for?	Wat söchst du?
What are you pointing at?	Wo wiest du op?
What do you think he did?	Wat meenst du, wat he maakt hett?
What does this word mean?	Wat bedüüdt dit Woord?
What does your father do?	Wat maakt dien Vader?
What format should I use?	Wat för en Formaat schall ik bruken?
What will the postage be?	Woveel Porto is dat?
When does the shop close?	Wannehr maakt de Laden dicht?
Where are you living now?	Woneem leevst du nu?
You are our new neighbor.	Du büst uns nee Naver.
You must clean your room.	Du musst dien Kamer oprümen.
Add 5 to 3 and you have 8.	Tell 5 un 3 tohoop un du hest 8.
Air is lighter than water.	Luft is lichter as Water.
Can I use your dictionary?	Kann ik dien Wöörbook bruken?
Can you speak more slowly?	Kannst du en beten langsamer snacken?
Cats hate vacuum cleaners.	Katten köönt Stoffsugers nich af.
Divide the pizza in three.	Deel de Pizza in dree Delen.
Do you have a credit card?	Hest du en Kreditkoort?
Do you have any questions?	Hebbt ji Fragen?
Do you have two computers?	Hest du twee Reekners?
Do you like San Francisco?	Gefallt di San Francisco?
Do you like San Francisco?	Gefallt jo San Francisco?
Do you like tea or coffee?	Wullt du Tee oder Kaffe?
Falcons are birds of prey.	Falken sünd Griepvagels.
Gold is heavier than iron.	Gold is sworer as Iesen.
Grandma likes watching TV.	Oma kickt geern Feernsehn.
Have you ever been abroad?	Sünd ji al maal in ’t Utland wesen?
He came back at 5 o'clock.	He keem Klock fiev trügg.
He came back from America.	He keem trügg ut Amerika.
He did what they told him.	He deed, wat se em seggt hebbt.
He emigrated to Australia.	He is na Australien utwannert.
He had his hair cut short.	He hett sik de Hoor kort snieden laten.
He is old enough to drive.	He is oold noog to föhren.
He is still having doubts.	He twievelt noch jümmer.
He lives outside the city.	He leevt buten de Stad.
He must be from the South.	He mutt ut ’n Süden wesen.
He narrowly escaped death.	He is knapp ’n Dood utraakt.
He put milk in his coffee.	He deed Melk in sien Kaffe.
He rang me up at midnight.	He hett mi üm Middernacht anropen.
He sent me a brief letter.	He hett mi en korten Breev tostüürt.
He was angry with his son.	He weer böös op sien Söhn.
He was lying on the grass.	He deed in ’t Gras liggen.
He was too tired to study.	He weer to mööd to ’n Lehren.
He wrote me a long letter.	He hett mi en langen Breev schreven.
He's in a good mood today.	He is vondaag good tomood.
How many bags do you have?	Woveel Büdels hest du?
How often do you eat fish?	Wo faken ittst du Fisch?
How old are your children?	Wo oold sünd joon Kinner?
I am very glad to see you.	Ik frei mi dull, di to sehn.
I called him up yesterday.	Güstern heff ik em anropen.
I can reach the top shelf.	Ik kann an dat böverste Boord recken.
I can't explain it either.	Ik kann dat ook nich verkloren.
I can't live without a TV.	Ik kann ahn Feernsehn nich leven.
I can't remember his name.	Ik weet sien Naam nich mehr.
I couldn't find his house.	Ik kunn sien Huus nich finnen.
I didn't know where to go.	Ik wüss nich woneem ik hengahn schull.
I don't have enough money.	Ik heff nich noog Geld.
I don't know what that is.	Ik weet nich, wat dat is.
I don't need anything now.	Ik bruuk nu nix.
I forgot my email address.	Ik heff mien E-Mail-Adress vergeten.
I have borrowed two books.	Ik heff twee Böker utlehnt.
I have no hair on my head.	Ik heff keen Hoor op ’n Kopp.
I ironed the handkerchief.	Ik heff dat Snuuvdook plätt.
I need someone to talk to.	Ik bruuk een, mit den ik snacken kann.
I saw him enter the house.	Ik heff em in ’t Huus gahn sehn.
I sometimes dream of home.	Af un to drööm ik von tohuus.
I speak English every day.	Ik snack elk Dag Engelsch.
I speak English every day.	Ik snack jeden Dag engelsch.
I think she's been crying.	Mi dücht, se hett weent.
I want to eat Korean food.	Ik will Koreaansch eten.
I went to Kawagoe by taxi.	Ik bün mit ’t Taxi na Kawagoe föhrt.
I wish I had this problem.	Ik wull ik harr dit Probleem.
I'd like to have a coffee.	Ik harr geern en Kaffe.
I'll lend you my notebook.	Ik lehn di mien Notizbook.
I'm glad that you'll come.	Ik frei mi, dat du kamen wullt.
I'm looking for a sweater.	Ik söök en Pullover.
I'm testing my new camera.	Ik probeer mien ne’e Kamera ut.
I'm waiting for my friend.	Ik tööv op mien Fründ.
I've lost a little weight.	Ik heff en beten Wicht verloren.
Is it still far from here?	Is dat noch wied von hier?
Is there a telephone here?	Gifft dat hier en Telefoon?
It is still light outside.	Buten is dat noch hell.
It is still light outside.	Dat is noch hell buten.
It's a quaint old village.	Dat is en smuck oold Dörp.
It's already dark outside.	Dat is al düüster buten.
It's easy to catch a cold.	Kannst licht en Snööv kriegen.
It's for a friend of mine.	Dat is för en Fründ von mi.
It's hard to quit smoking.	Dat is swoor, dat Smöken optogeven.
May I ask how old you are?	Dröff ik fragen, wo oold du büst?
My brother is a professor.	Mien Broder is en Perfesser.
My children are at school.	Miene Kinner sünd in ’e School.
My daughter caught a cold.	Miene Dochter hett en Snööv kregen.
My father's in the garden.	Mien Vader is in ’n Goorn.
My phone was out of order.	Mien Telefoon weer kaputt.
None of the cars are mine.	Keeneen von de Autos höört mi to.
Not all birds build nests.	Nich all Vagels boot Nesten.
Oh no! I forgot my wallet.	Oh nee! Ik heff mien Portmanneet vergeten.
Our fence is made of iron.	Uns Tuun is ut Iesen.
She bought him some candy.	Se hett em en beten Snökerkraam köfft.
She doesn't listen to him.	Se höört em nich to.
She handed him his jacket.	Se hett em sien Jack geven.
She has never visited him.	Se hett em nie besöcht.
She has no one to talk to.	Se hett nüms to ’n Snacken.
She is opening the window.	Se maakt dat Finster op.
She likes taking pictures.	Se maakt geern Fotos.
She looked at him angrily.	Se deed em argerlich ankieken.
She met him for breakfast.	Se hett em to ’n Fröhstück drapen.
She met him only recently.	Se hett em eerst nulest drapen.
She showed him my picture.	Se hett em mien Bild wiest.
She showed me her new car.	Se hett mi ehr neet Auto wiest.
She tried to kill herself.	Se hett versöcht, ehr sülvs ümtobringen.
She visited him in Boston.	Se hett em in Boston besöcht.
That girl is good-looking.	De Deern sütt smuck ut.
The apple is not yet ripe.	De Appel is noch nich riep.
The baby opened his mouth.	Dat Baby deed sien Mund apen.
The doctor gave it to her.	De Dokter hett ehr dat geven.
The girl seems to be rich.	De Deern lett riek.
The hunter caught the fox.	De Jäger hett ’n Voss fungen.
The prisoner was released.	De Fungene is freelaten worrn.
The rain lasted five days.	De Regen hett fiev Daag wohrt.
The rain lasted five days.	De Regen hett fiev Daag anhollen.
The store closes at seven.	De Laden maakt Klock söven dicht.
The universe is limitless.	Dat Universum hett keen Enn.
There's a rock in my shoe.	Dor is en Steen in mien Schoh.
They each paid separately.	Se hebbt elk för sik betahlt.
They go to work every day.	Se gaht elk Dag na Arbeid.
They sell everything here.	Hier warrt allens verköfft.
This CD belongs to my son.	Disse Cd höört mien Söhn to.
This CD costs ten dollars.	Disse CD köst teihn Dollar.
This coffee is too bitter.	Disse Koffie is to bitter.
This hat cost ten dollars.	Disse Hoot hett teihn Dollar köst.
This is the flag of Japan.	Dat is de Fahn von Japan.
Twenty families live here.	Twintig Familien leevt hier.
We aren't afraid of death.	Wi sünd vör ’n Dood nich bang.
We had a lot of furniture.	Wi harrn veel Möbels.
We have a half-dozen eggs.	Wi hebbt en halv Dutz Eier.
We walked around the pond.	Wi sünd üm ’n Diek rümgahn.
What color is his sweater?	Wat för en Klöör hett sien Pullover?
What did you do this week?	Wat hest du disse Week daan?
What kind of bird is this?	Wat för en Soort Vagel is dit?
What's your favorite poem?	Wat is dien leevst Gedicht?
What's your favorite song?	Wat is dien leevst Leed?
What's your favorite wine?	Wat is dien leevst Wien?
What's your favorite word?	Wat is dien leevst Woord?
Where are the other girls?	Woneem sünd de annern Deerns?
Where ever did you buy it?	Woneem hest du dat köfft?
Where is your friend from?	Woneem is dien Fründ von af?
Where were you last night?	Woneem büst du vergangen Nacht wesen?
Which movie did you watch?	Wat för en Film hest du keken?
Which movie did you watch?	Wat för en Film hebbt ji keken?
Why didn't you believe me?	Worüm hest du mi nich glöövt?
You can use my dictionary.	Du kannst mien Wöörbook bruken.
You cannot go any farther.	Du kannst nich wiedergahn.
You must repay your debts.	Du musst dien Schullen trüggbetahlen.
You need to stop drinking.	Du musst ophören mit Drinken.
You should take my advice.	Du schusst mien Raad annehmen.
You'd better not go there.	Du schusst dor man beter nich hengahn.
Atsushi may have been sick.	Atsushi weer villicht krank.
Count from 10 down to zero.	Tell von teihn dal na null.
Did you bring a hair dryer?	Hest du en Föön mitnahmen?
Do you come here every day?	Kummst du hier elk Dag her?
Everyone except me knew it.	All wüssen se ’t, bloot ik nich.
Frogs are afraid of snakes.	Poggen sünd bang vör Snaken.
Green is my favorite color.	Gröön is miene leevste Klöör.
He angrily closed the door.	He deed argerlich de Döör dichtmaken.
He decided to quit smoking.	He harr sik överleggt, dat he dat Smöken opgeven wull.
He does not live in Sendai.	He wahnt nich in Sendai.
He drinks too much alcohol.	He drinkt toveel Alkohol.
He is able to swim quickly.	He kann gau swemmen.
He is in front of the door.	He steiht vör de Döör.
He is sitting cross-legged.	He sitt mit överenannerleggt Been.
He speaks a little English.	He snackt en beten Engelsch.
He stood there for a while.	He stünn dor en Stoot.
He visited Kyoto last year.	He hett vörig Johr Kyoto besöcht.
He was born in Switzerland.	He is in de Swiez boren.
He'll become a father soon.	He warrt bald Vader.
Her old cat is still alive.	Ehr ole Katt leevt noch jümmer.
Here's my telephone number.	Hier is mien Telefoonnummer.
His father was a policeman.	Sien Vader weer en Schandarm.
How about going for a swim?	Schöölt wi swemmen gahn?
How many books do you have?	Woveel Böker hest du?
I am at home every evening.	Ik bün elk Avend tohuus.
I ate three pieces of cake.	Ik heff dree Stück Koken eten.
I forgot to call him today.	Ik heff vergeten em vondaag antoropen.
I had a long talk with her.	Ik harr en lang Gespreek mit ehr.
I let the cat into my room.	Ik leet de Katt in miene Kamer.
I met a dog on my way home.	Op ’n Weg na Huus heff ik en Hund drapen.
I must have made a mistake.	Ik mutt en Fehler maakt hebben.
I need to charge my mobile.	Ik mutt mien Mobieltje opladen.
I still have so much to do.	Ik heff noch so veel to doon.
I then began to understand.	Denn heff ik anfungen to verstahn.
I threw down the newspaper.	Ik heff dat Daagbladd dalsmeten.
I took part in the contest.	Ik heff bi ’n Weddstried mitmaakt.
I understand what you mean.	Ik verstah, wat du meenst.
I understand your language.	Ik verstah dien Spraak.
I want to live in a castle.	Ik will in en Slott leven.
I want to tell you a story.	Ik will di en Geschicht vertellen.
I warned him of the danger.	Ik heff em vör de Gefohr wohrschaut.
I was in London last month.	Ik weer vergangen Maand in London.
I was just taking a shower.	Ik heff mi jüst duuscht.
I was talking to my family.	Ik heff mit mien Familie snackt.
I wonder whose car this is.	Ik fraag mi, ’keen dit Auto tohöört.
I would like to rent a car.	Ik deed geern en Auto hüren.
I'm a stranger here myself.	Ik bün ook frömd hier.
I'm scared of wild animals.	Ik bün bang vör wille Deerten.
I'm taking my book with me.	Ik nehm mien Book mit.
I've often heard about you.	Ik heff al faken von di höört.
I've written three letters.	Ik heff dree Breev schreven.
Iceland has many volcanoes.	Iesland hett veel Vulkaans.
In other words, she's dumb.	Anners seggt, se is dumm.
Is there a pharmacy nearby?	Gifft dat hier ümto en Avtheek?
Isn't that skirt too short?	Is dat Kleed nich en beten kort?
It hardly ever rains there.	Dat regent hier meist nie.
Maybe she knows the answer.	Villicht weet se de Antwoord.
My aunt has three children.	Mien Tante hett dree Kinner.
My father stopped drinking.	Mien Vader deed ophören sik to besupen.
My mother has two brothers.	Mien Moder hett twee Bröder.
My mother's feeling better.	Mien Moder geiht dat beter.
My parents are very strict.	Miene Öllern sünd temlich streng.
No one can know everything.	Nüms kann allens weten.
No one could find the cave.	Nüms kunn de Höhl finnen.
One's new. The other's old.	Een is neet. De annere is oold.
Put the coat on the hanger.	Häng den Mantel an ’n Haken.
She bought a shirt for him.	Se hett em en Hemd köfft.
She can both ski and skate.	Se kann Ski föhren un skaten.
She didn't want him to die.	Se wull nich, dat he doodblifft.
She forced him to sit down.	Se möök em sitten.
