Who?	Tko?
Tom asked me to draw a map.	Tom me pitao da mu nacrtam kartu.
Tom asked me to draw a map.	Tom me pitao da mu nacrtam mapu.
Tom ate a piece of the pie.	Tom je pojeo krišku pite.
Tom complains all the time.	Tom se stalno žali.
Tom complains all the time.	Tom stalno prigovara.
Tom complains all the time.	Tom cijelo vrijeme prigovara.
We joined in on the chorus.	Prijavili smo se na zbor.
We weren't able to do that.	Nismo mogli to napraviti.
We weren't cautious enough.	Nismo bili dovoljno oprezni.
We weren't cautious enough.	Nismo bile dovoljno oprezne.
We weren't cautious enough.	Nismo bili dovoljno pažljivi.
We won't go back to Boston.	Nećemo se vratiti u Boston.
We worried a lot about you.	Mnogo smo se brinuli o tebi.
We'd like to know about it.	Htjeli bismo znati o tome.
We'll always remember that.	To ćemo uvijek pamtiti.
We'll continue cooperating.	Nastavit ćemo surađivati.
We'll do what we always do.	Napravit ćemo ono što uvijek napravimo.
We'll do whatever it takes.	Učinit ćemo što god treba.
What are you and Tom doing?	Što ti i Tom radite?
Why should I listen to you?	Zašto bi te trebao slušati?
Will you turn on the light?	Hočeš li ugasiti svjetlo?
You guys make a great team.	Vi ste dobra ekipa.
You should use a deodorant.	Ti bi trebao koristiti dezodorans.
Your secret's safe with us.	Tvoja tajna je sigurna s nama.
Your secret's safe with us.	Vaša tajna je sigurna s nama.
Do you have time to help me?	Imate li vremena da mi pomognete?
French is his mother tongue.	Francuski je njegov materinski jezik.
He did not know what to say.	Nije znao što reći.
He once owned a lot of land.	On je posjedovao mnogo zemlje, nekad davno.
How can I forget those days?	Kako mogu zaboraviti te dane?
I want to see her very much.	Jako ju želim vidjeti.
I wonder if Tom can hear us.	Pitem se može li nas Tom čuti.
Is the job too much for you?	Je li ovaj posao pretežak za tebe?
It's no use trying anything.	Nema smisla pokušavati bilo što drugo.
Let's sit here on the grass.	Sjednimo tu na travu.
She left France for America.	Ona je napustila Francusku zbog Amerike.
Tennis is my favorite sport.	Tenis je moj omiljeni sport.
The museum is worth a visit.	Isplati se posjetiti muzej.
Tom asked if you'd be there.	Tom je pitao ako ćeš biti tamo.
Tom has a surprise for Mary.	Tom ima iznenađenje za Mary.
Tom is a friend from school.	Tom je prijatelj iz škole.
Tom isn't as old as Mary is.	Tom nije toliko star kao Mary.
We hope that you'll do that.	Nadamo se da ćeš to učiniti.
We hope that you'll do that.	Nadamo se da ćeš to napraviti.
We'd better call the doctor.	Bilo bi bolje pozvati liječnika.
What are you thinking about?	O čemu misliš?
A big typhoon is approaching.	Bliži se veliki tajfun.
A bird was flying in the sky.	Ptica je letjela nebom.
Could you send me a brochure?	Možete li mi poslati brošuru?
Do you have any vacant rooms?	Imate li slobodnih soba?
He put his thoughts on paper.	Stavio je svoje misli na papir.
He resembles his grandfather.	On sliči na svog djeda.
I couldn't remember his name.	Nisam se mogao sjetiti njegovog imena.
I don't know what time it is.	Ne znam koliko je sati.
I don't understand this word.	Ne razumijem ovu riječ.
I need coffee in the morning.	Trebam kavu ujutro.
I owe what I am to my father.	Dugujem svome ocu ono što sam.
I want to tell you something.	Želim ti nešto reći.
I want to want what you want.	Želim željeti ono što ti želiš.
I worked on it day after day.	Radio sam na tome dan za danom.
I'd rather be poor than rich.	Draže mi je biti siromašan nego bogat.
I'm looking for a book store.	Tražim knjižaru.
It's never too late to learn.	Nikada nije kasno za učenje.
My brother is still sleeping.	Moj brat i dalje spava.
One language is never enough.	Jedan jezik nikad nije dovoljan.
Please sit down for a moment.	Sjednite na trenutak, molim.
The animals are treated well.	Dobro se postupa sa životinjama.
The animals are treated well.	Životinje su dobro tretirane.
The spacecraft was destroyed.	Svemirski brod je bio uništen.
Tom and Mary don't know that.	Tom i Mary to ne znaju.
Tom can speak French as well.	Tom također priča francuski.
Tom has never been to Boston.	Tom nije nikada bio u Bostonu.
Tom is a computer programmer.	Tom je računalni programer.
Tom tried to intimidate Mary.	Tom je pokušao zastrašiti Mary.
We must consider all options.	Moramo razmotriti sve opcije.
When was this book published?	Kad je ova knjiga objavljena?
Who is your favorite TV star?	Koja je tvoja omiljena TV zvijezda?
Would you like tea or coffee?	Želiš li čaj ili kavu?
You can go anyplace you like.	Ne možeš ići gdje god poželiš.
You can't live without water.	Bez vode je nemoguće živjeti.
You'd better come right away.	Bolje ti je da dođeš istog časa.
Your parents raised you well.	Roditelji su te dobro odgojili.
Do you have any bottled water?	Imate li flaširanu vodu?
Everybody was looking for Tom.	Svi su tražili Toma.
He doesn't know French at all.	On uopće ne zna francuski.
He goes running every morning.	On trči svako jutro.
He is ashamed of telling lies.	Srami se laganja.
He keeps his youth by jogging.	On održava svoju mladost trčanjem.
I am thinking of going abroad.	Mislim otići u inozemstvo.
I had to wait for Tom wake up.	Trebao sam čekati da se Tom probudi.
I left my credit card at home.	Ostavio sam svoju kreditnu karticu u kući.
I put my bike in a safe place.	Spremio sam bicikl na sigurno mjesto.
I want to become a journalist.	Želim postati novinar.
I went to church this morning.	Jutros sam išao u crkvu.
I won't go to school tomorrow.	Neću ići u školu sutra.
It is never too late to learn.	Nikada nije kasno za učenje.
No man alive would believe it.	Nitko živ ne bi povjerovao u to.
Please show me another camera.	Molim te pokaži mi drugu kameru.
She has visited New York once.	Jednom je posjetila New York.
She's really smart, isn't she?	Vrlo je pametna, zar ne?
Smoking is not permitted here.	Ovdje nije dopušteno pušiti.
Something incredible happened.	Dogodilo se nešto neočekivano.
Thank you for the information.	Hvala na informaciji.
That's water under the bridge.	Bilo, pa prošlo.
The job has already been done.	Posao je već bio završen.
They're thieves and murderers.	Oni su lopovi i ubojice.
Tom doesn't like me very much.	Tomu se ne sviđam.
Tom fell asleep while reading.	Tom je zaspao čitajući.
Tom fell asleep while reading.	Tom je zaspao dok je čitao.
Tom saw Mary with another man.	Tom je vidio Mary s drugim muškarcem.
Tom sometimes comes to see me.	Tom ponekad dođe posjetiti me.
Tom wanted to see Mary's room.	Tom je htjeo vidjeti Marynu sobu.
We don't know how to find Tom.	Ne znamo kako da nađemo Toma.
We were eating lunch together.	Zajedno smo ručali.
We're going to sell our house.	Prodat ćemo svoju kuću.
What is that big new building?	Što je ta nova zgrada?
What kind of wine do you have?	Koje vino imaš?
Who is your favorite composer?	Tko je tvoj omiljeni skladatelj?
You agree with Tom, don't you?	Ti se slažeš s Tomom, zar ne?
You made a great contribution.	Dao si veliki doprinos.
You're a very patient teacher.	Ti si jako strpljiv učitelj.
You're never too old to learn.	Nikada nije kasno za učenje.
All their efforts were in vain.	Svi njihovi napori su bili uzaludni.
Can you help me with something?	Možete li mi pomoći s nečim?
Everything looks pretty normal.	Sve izgleda prilično normalno.
He disappeared without a trace.	On je nestao bez traga.
He disappeared without a trace.	Nestao je bez traga.
How much is this diamond worth?	Koliko vrijedi ovaj dijamant?
I assume you know what this is.	Pretpostavljam da znaš što je to.
I don't care what your name is.	Nije me briga kako se zoveš.
I don't know if I'll have time.	Ne znam hoću li imati vremena.
I really didn't have any money.	Stvarno nisam imao novca.
I think you've already met Tom.	Mislim da si Toma već upoznao.
I want to drink something cold.	Želim popiti nešto hladno.
I want you to take me with you.	Hoću da me povedeš sa sobom.
I wonder if he'll come tonight.	Zanimljivo, on će danas doći?
It could be some kind of trick.	To bi mogao biti neki trik.
Please accept this little gift.	Molim te, primi ovaj mali dar.
She picked up beautiful stones.	Pokupila je lijepa kamenja.
That kid kept crying for hours.	To dijete je nastavilo plakati satima.
The pain has lessened a little.	Bol je malo popustila.
The visitor sat across from me.	Gost je sjeo preko puta mene.
This bike needs to be repaired.	Taj bicikl treba popraviti.
This place is really beautiful.	Ovo mjesto je zaista prekrasno.
Tom doesn't live here, does he?	Tom ne živi ovdje, je li tako?
Tom isn't a member of our club.	Tom nije član našeg kluba.
We know we're better than that.	Znamo da smo bolji od toga.
We were studying all afternoon.	Učili smo cijelo poslijepodne.
Why do people go to the movies?	Zašto ljudi idu u kino?
Don't change your mind so often.	Ne mijenjaj tako često svoja mišljenja.
Don't try to play games with me.	Ne pokušavaj se igrati sa mnom.
Everybody was singing except me.	Svi su osim mene pjevali.
Gold is more precious than iron.	Zlato je skuplje od željeza.
How did you spend your vacation?	Kako ste proveli odmor?
I didn't plan on this happening.	Nisam planirao da se to dogodi.
I don't know if I have the time.	Ne znam imam li vremena.
I was too tired to eat anything.	Bio sam preumoran da išta pojedem.
I wish my dream would come true.	Želim da mi se san ostvari.
I'd like to send these to Japan.	Volio bih ove poslati u Japan.
I'm currently located in Boston.	Trenutno sam lociran u Bostonu.
I'm perfectly happy being alone.	Presretan sam kad sam sam.
It fits on a single floppy disk.	Stane na jedan floppy disk.
It is time for you to go to bed.	Vrijeme je da odeš spavati.
My third husband bought me this.	Moj treći muž mi je kupio ovo.
Please don't take pictures here.	Molim vas, ne fotografirajte tu.
She must have done it yesterday.	Vjerojatno je to napravila jučer.
She was amazed to hear the news.	Bila je iznenađena čuvši vijesti.
She will pay 50 dollars at most.	Ona će platiti najviše 50 dolara.
The early bird catches the worm.	Tko rano rani, dvije sreće grabi.
The entire town was under water.	Cijeli grad je bio pod vodom.
They armed themselves with guns.	Naoružali su se pištoljima.
This fact must not be forgotten.	Ta činjenica ne smije biti zaboravljena.
Tom cheated on the history exam.	Tom je varao na ispitu iz povijesti.
Tom decided to take the day off.	Tom je odlučio uzeti slobodan dan.
Tom has decided to go to Boston.	Tom je odlučio otići u Boston.
Tom has decided to sell his car.	Tom je odlučio prodati auto.
Tom has decided to sell his car.	Tom je odlučio prodati automobil.
Tom is alone in the living room.	Tom je sam u dnevnoj sobi.
Tom is very gifted and talented.	Tom je vrlo nadaren i talentiran.
Tom may do whatever he wants to.	Tom može raditi što god hoće.
We can't let them do this to us.	Ne smijemo im dopustiti da nam to rade.
We set up our tents before dark.	Postavili smo naše šatore prije mraka.
Who was this picture painted by?	Tko je naslikao ovu sliku?
Why are we even discussing this?	Zašto uopće raspravljamo o ovome?
World War Two broke out in 1939.	Drugi svjetski rat je započeo 1939.
You'd better not go there again.	Da nisi otišao tamo opet.
You'd better not go there again.	Da nisi otišla tamo opet.
Are they still thinking about it?	Razmišljaju li još uvijek o tome?
Because he's sick, he can't come.	Ne može doći jer je bolestan.
Cardboard is stronger than paper.	Karton je jači od papira.
Every action has its consequence.	Svaki postupak ima svoju posljedicu.
He has one son and two daughters.	On ima jednog sina i dvije kčeri.
He has one son and two daughters.	Ima jednog sina i dvije kčeri.
He has one son and two daughters.	Ima sina i dvije kčeri.
He often quotes from Shakespeare.	On često citira Shakespeara.
He soon recovered from the shock.	On se ubrzo oporavio od šoka.
I don't read as much as I'd like.	Ne čitam onoliko koliko bih volio.
I got a new bike for my birthday.	Dobio sam novi bicikl za rođendan.
I hope it does not rain tomorrow.	Nadam se da sutra neće padati kiša.
I think Tom and Mary are in love.	Mislim da su Tom i Mary zaljubljeni.
I would rather starve than steal.	Više volim gladovati, nego krasti.
I'd like to cook chicken tonight.	Htio bih napraviti piletinu večeras.
I'm just trying to be neighborly.	Samo se trudim biti dobar susjed.
If you don't work, you can't eat.	Ako ne radiš, ne možeš jesti.
It is as warm today as yesterday.	Danas je toplo kao i jučer.
It's good that I have a daughter.	Dobro je što imam kći.
Some people are scared of ghosts.	Neki se ljudi boje duhova.
Some people like to travel alone.	Neki ljudi vole putovati sami.
Tom didn't act like a normal boy.	Tom se nije ponašao kao normalan dječak.
Tom is afraid of making mistakes.	Tom strahuje da ne napravi grešku.
Tom is living with his uncle now.	Tom sada živi sa svojim ujakom.
Tom knows the Secretary of State.	Tom poznaje državnog tajnika.
Tom works at a local coffee shop.	Tom radi u lokalnom kafiću.
Tom works at a local coffee shop.	Tom radi u obližnjem kafiću.
Where did you find this evidence?	Gdje si pronašao ovaj dokaz?
Would you like more tomato juice?	Želiš li još malo soka od rajčice?
You're in better shape than I am.	U boljoj si formi nego ja.
You're not paid to ask questions.	Ti nisi plaćen da postavljaš pitanja.
You've got the right to be happy.	Imaš pravo biti sretan.
You've got the right to be happy.	Imaš pravo biti sretna.
Can you tell silver and tin apart?	Možeš li razlikovati srebro od kositra?
Could I have a subway map, please?	Mogu li dobiti kartu metroa?
Do you have time to come tomorrow?	Imaš li vremena doći sutra?
He could no longer stand the pain.	Više nije mogao izdržati bol.
Her beauty was beyond description.	Njezina ljepota je bila neopisiva.
How long can you hold your breath?	Koliko dugo možeš držati dah?
I asked Tom to wake me up at 2:30.	Zamolio sam Toma da me probudi u 2:30.
I got very tired, but I felt good.	Umorio sam se dosta, ali dobro sam.
I haven't seen you in here before.	Nisam te ovdje prije vidio.
I haven't seen you in here before.	Nisam te ovdje prije vidjela.
I'm tired and I want to go to bed.	Umorio sam se i hoću spavati.
Kyoto is visited by many tourists.	Mnogi turisti posjećuju Kyoto.
My boss called me into his office.	Šef me je pozvao u svoj ured.
Please keep an eye on my suitcase.	Molim te pripazi na moj kofer.
Some friends invited me to dinner.	Neki prijatelji su me pozvali na večeru.
Stupid people tend to be arrogant.	Glup ljudi su često umišljeni.
That fox must have killed the hen.	Sigurno je ta lisica ubila kokoš.
That fox must have killed the hen.	Ta lisica je zasigurno ubila kokoš.
The drowning man shouted for help.	Utopljenik je vikao upomoć.
Tom came to Mary's birthday party.	Tom je došao na Marynu rođendansku zabavu.
Tom has been arrested three times.	Tom je bio uhićen tri puta.
Tom said Mary was driving the car.	Tom je rekao da je Mary vozila auto.
Two bags of cement will be enough.	Dvije vreće cementa će biti dovoljne.
We enjoyed singing songs together.	Uživali smo zajedno pjevati.
We went to see a comedy in London.	Došli smo u London pogledati komediju.
We're the only ones who know that.	Mi smo jedini koji to znamo.
What's the price of this umbrella?	Koja je cijena ovoga kišobrana?
Where did you have your suit made?	Gdje si izradio svoje odijelo?
Where did you leave your umbrella?	Gdje si ostavio svoj kišobran?
Where did you leave your umbrella?	Gdje si ostavila svoj kišobran?
With freedom comes responsibility.	Sa slobodom dolazi odgovornost.
Would you like me to see you home?	Bi li volio da pogledam tvoju kuću?
You may as well tell us the truth.	Možeš nam jednostavno reći istinu.
You may choose whichever you want.	Možeš odabrati kojeg god želiš.
A childhood illness left her blind.	Bolest iz djetinjstva ju je oslijepila.
Can you read that sign ahead of us?	Možeš li pročitati onaj znak ispred nas?
Can you recommend any other hotels?	Možeš li preporučiti neke druge hotele?
Come to my house whenever you like.	Dođi u moju kuću kad god hoćeš.
Could I have another glass of beer?	Mogu li dobiti još jednu čašu piva?
Diamonds are a girl's best friends.	Dijamanti su najbolji djevojčini prijatelji.
Did you get the package I sent you?	Jesi li primio paket koji sam ti poslao?
Did you get the package I sent you?	Jesi li primio paket koji sam ti poslala?
Did you get the package I sent you?	Jesi li primila paket koji sam ti poslala?
Did you get the package I sent you?	Jeste li primili paket koji sam vam poslao?
Did you get the package I sent you?	Jeste li primili paket koji sam vam poslala?
Do whatever you want. I don't care.	Radi što želiš. Uopće me ne zanima.
Don't be afraid of making mistakes.	Nemoj se bojati grešaka.
Don't bite the hand that feeds you.	Ne grizi ruku koja te hrani.
Don't put your elbows on the table.	Ne stavljaj laktove na stol.
Give this book to whoever wants it.	Daj ovu knjigu komugod tko je hoće.
He arrived in time for the meeting.	Došao je na sastanak na vrijeme.
He came in spite of the heavy snow.	Došao je usprkos jakog snijega.
He caught a boy stealing his watch.	Uhvatio je dječaka kako mu krade sat.
He didn't come to the last meeting.	Nije došao na posljednji sastanak.
He doesn't live in my neighborhood.	On ne živi u mom susjedstvu.
He is a doctor and also a novelist.	On je liječnik, a osim toga i pisac.
He made up his mind to be a doctor.	Odlučio je postati liječnik.
He's not always at home on Sundays.	On nije nedjeljom uvijek kod kuće.
He's three inches taller than I am.	On je za 3 pedlja viši od mene.
He's three inches taller than I am.	On je 7.5 centimetara viši od mene.
I am so busy that I can't help you.	Tako sam zauzet da ti ne mogu pomoći.
I am tired and I want to go to bed.	Umorio sam se i hoću spavati.
I don't know what Tom was thinking.	Ne znam što si je Tom mislio.
I don't like studying in this heat.	Ne volim učiti po ovakvoj vrućini.
I like Tom, but he doesn't like me.	Sviđa mi se Tom, no ja se ne sviđam njemu.
I want to know how he planned this.	Želim znati kako je to isplanirao.
I was sick and had to stay indoors.	Bio sam bolestan i morao sam ostati u kući
I was sick and had to stay indoors.	Bila sam bolesna i morala sam ostati u kući.
I will give you the money tomorrow.	Dat ću ti novac sutra.
I've done everything I can to help.	Napravio sam sve što mogu da pomognem.
I've done everything I can to help.	Napravila sam sve što mogu da pomognem.
My jacket is not the same as yours.	Moja jakna nije ista tvojoj.
My older sister is good at singing.	Moja starija sestra dobro pjeva.
The ceremony began with his speech.	Ceremonija je započela njegovim govorom.
The lion is the king of the jungle.	Lav je kralj džungle.
The man stood up and began to sing.	Muškarac je ustao i zapjevao.
There are four people in my family.	U mojoj obitelji je četvero ljudi.
Today I have a lot of things to do.	Danas imam puno toga za obaviti.
Tom and Mary decided to adopt John.	Tom i Mary su odlučili posvojiti Johna.
Tom gave Mary a piece of chocolate.	Tom je dao Mary komad čokolade.
Tom is the best singer in my class.	Tom je najbolji pjevač u mom razredu.
Tom's new girlfriend is very young.	Tomova nova djevojka je vrlo mlada.
We saw something white in the dark.	Vidjeli smo nešto bijelo u mraku.
We should've done what you advised.	Trebali smo učiniti to što si nam savjetovao.
What do you think of Japanese food?	Što misliš o japanskoj hrani?
What's your favorite YouTube video?	Koji je tvoj najomiljeniji youtube-video?
Who was the man killed on the hill?	Tko je čovjek ubijen na brdu?
Why do you think Tom would do that?	Zašto misliš da bi Tom to učinio?
Why do you think Tom would do this?	Zašto misliš da bi Tom ovo učinio?
Will we be in time for the concert?	Hoćemo li stići na koncert?
You were supposed to tell Tom that.	Ti si to trebao reći Tomu.
A friend of mine is studying abroad.	Jedan moj prijatelj studira u inozemstvu.
All this running has made me hungry.	Ogladnio sam od svog ovog trčanja.
Do you have any idea who killed Tom?	Imaš li ideju tko je mogao ubiti Toma?
He has eyes at the back of his head.	On ima oči na potiljku.
He is a lonely man with few friends.	On je usamljen čovjek, nema puno prijatelja.
How much money does he make a month?	Koliko novca zarađuje mjesečno?
I thought a lot about what you said.	Puno sam razmišljao o onome što si rekao.
I told Tom I was going to handle it.	Rekao sam Tomu da ću ja to riješiti.
Ignorant people tend to be arrogant.	Neuki ljudi su često umišljeni.
It will not be long before he comes.	On će doći uskoro.
My mother told me to clean the room.	Majka mi je reka da očistim sobu.
People who don't work, won't be fed.	Ljudi koji ne rade neće biti nahranjeni.
Sugar replaced honey as a sweetener.	Šećer je zamijenio med kao zaslađivač.
The doctors are looking at an x-ray.	Liječnici gledaju rendgensku sliku.
The old lady was devoted to her dog.	Stara gospođa je bila posvećena svom psu.
The workers were naked to the waist.	Radnici su bili goli do pasa.
There's nothing as precious as love.	Ne postoji ništa vrijednije od ljubavi.
Tom claimed that it was an accident.	Tom je tvrdio da je to bila nesreća.
Tom did his homework in the kitchen.	Tom je napravio svoju zadaću u kuhinji.
Tom explained how he lost his money.	Tom je objasnio kako je izgubio svoj novac.
Tom hanged himself in his jail cell.	Tom se objesio u svojoj zatvorskoj ćeliji.
Tom is an activist in his community.	Tom je aktivist u svojoj zajednici.
Tom told Mary he had a lot of money.	Tom je rekao Mary da ima mnogo novca.
We got to know each other in London.	Upoznali smo jedan drugoga u Londonu.
We're here tonight for a good cause.	Ovdje smo večeras zbog dobrog razloga.
Were you planning something special?	Jesi li planirao nešto specijalno?
Were you planning something special?	Jesi li planirala nešto specijalno?
Where there is smoke, there is fire.	Gdje je vatra, tu je i dim.
Where were you the entire afternoon?	Gdje si bio cijelo popodne?
Where were you the entire afternoon?	Gdje si bila cijelo popodne?
Why are we having this conversation?	Zašto vodimo ovaj razgovor?
A bird was flying high up in the sky.	Ptica je visoko letjela nebom.
Do you think Tom will ever kiss Mary?	Misliš li da će Tom ikada poljubiti Mary?
He gives her everything she asks for.	Dao joj je sve što je tražila.
I borrow books from the city library.	Posuđujem knjige iz gradske knjižnice.
I don't exercise as much as I should.	Ne vježbam koliko bih trebao.
I no longer believe anything you say.	Ja ne vjerujem više u ono što mi govoriš.
I think Tom and Mary like each other.	Mislim da se Tom i Mary sviđaju jedno drugome.
I'm fairly sure I'm right about this.	Prilično sam siguran da sam u pravu o tome.
Let me sleep for another ten minutes.	Pusti me da spavam još deset minuta.
My upstairs neighbors are very noisy.	Susjedi na katu iznad mene su jako glasni.
Next Monday and Tuesday are holidays.	Sljedeći ponedjeljak i utorak su praznici.
Please tell me where the bus stop is.	Molim te reci mi gdje je stajalište za bus.
The terrorists released the hostages.	Teroristi su oslobodili taoce.
There were about one thousand people.	Bilo je oko tisuću ljudi.
This sink is made of stainless steel.	Ovaj sudoper je napravljen od nehrđajućeg čelika.
Tom is probably not hungry right now.	Tom vjerojatno nije gladan trenutno.
Tom likes you more than anybody else.	Tom te voli više nego bilo koga drugoga.
Tom's house is shaped like a pyramid.	Tomova kuća je u obliku piramide.
You won't be able to handle this job.	Nećeš biti sposoban podnijeti ovaj posao.
Are there any book stores around here?	Ima li ovdje ijedna knjižara?
Can you tell me where the restroom is?	Možete li mi reći gdje je zahod?
He was driving a car along the street.	Vozio je auto ulicom.
How did you arrive at this conclusion?	Kako si došao do tog zaključka?
How did you arrive at this conclusion?	Kako si došla do tog zaključka?
I can't be bothered to go out tonight.	Ne da mi se izaći večeras.
I could have killed you, but I didn't.	Mogao sam te ubiti, ali nisam.
I decided to tell her that I love him.	Odlučila sam joj reći da ga volim.
I had an excellent breakfast at seven.	Odlično sam doručkovao u sedam.
I'm developing an Android application.	Razvijam Android aplikaciju.
Looks like that's a pretty big museum.	Čini se da je to prilično veliki muzej.
My brother helped me with my homework.	Moj brat mi je pomogao s domaćom zadaćom.
The most effective defense is offense.	Ofanziva je najefektivnija defanziva.
There's no use trying to persuade him.	Nema koristi da ga se pokuša nagovoriti.
Tom predicted that Mary would do that.	Tom je nagovjestio da će Mary to napraviti.
Tom really enjoys watching basketball.	Tom stvarno uživa gledati košarku.
Tom told me that I should've said yes.	Tom mi je rekao da sam trebao reći da.
Water freezes at 0 degrees Centigrade.	Voda se ledi pri ništici.
You can't help yourself, can you, Tom?	Ne možeš si pomoći, zar ne Tome?
Your daughters have turned into women.	Tvoje kćerke su se pretvorile u žene.
He has always devoted himself to music.	Uvijek je bio posvećen glazbi.
He isn't the kind of person who steals.	On nije tip osobe koja krade.
He took pictures of me with his camera.	Napravio je nekoliko mojih fotki svojom kamerom.
He was hit by a car and died instantly.	Auto ga je udario i umro je na mjestu.
How many blankets are there on the bed?	Koliko je pokrivača na krevetu?
I didn't take part in the conversation.	Nisam sudjelovao u razgovoru.
I fell in love with her at first sight.	Zaljubio sam se u nju na prvi pogled.
I love what you've done with the place.	Sviđa mi se kako si uredio stan.
I still have a few things I need to do.	Moram obaviti još neke stvari.
I told you I don't know how to do that.	Rekao sam ti da ne znam kako se to radi.
It was stormy the day before yesterday.	Bilo je olujno prekjučer.
Several newspapers published the story.	Nekoliko je novina objavilo priču.
She spends her holidays at her uncle's.	Ona provodi praznike kod strica.
Tell me how can I be of service to you.	Reci mi, kako mogu biti od pomoći?
They split up after a year of marriage.	Rastavili su se nakon godišnjice braka.
Tom and I went to the same high school.	Tom i ja smo išli u istu srednju školu.
Tom will help whoever asks him to help.	Tom će pomoći bilo kome tko zatraži pomoć.
You told me you wouldn't be here today.	Rekao si mi da nećeš biti ovdje danas.
You told me you wouldn't be here today.	Rekla si mi da nećeš biti ovdje danas.
Your examination results are excellent.	Tvoji rezultati ispita su odlični.
He was late as a result of the accident.	Kasnio je zbog nesreće.
I think we've wasted enough of our time.	Mislim da smo izgubili dovoljno vremena.
I'm not satisfied with what you've done.	Nisam zadovoljan s onime što si napravio.
I'm not satisfied with what you've done.	Nisam zadovoljan s onime što si napravila.
The doctor gave her a thorough check-up.	Liječnik ju je temeljito pregledao.
They speak English and French in Canada.	U Kanadi se govori engleski i francuski.
They were the first to get into the bus.	Oni su bili prvi koji su ušli u autobus.
Tom and Mary would make a lovely couple.	Tom i Mary bi bili prekrasan par.
What happened to make you laugh so much?	Što se dogodilo da se tako smiješ?
What kind of movie is it? Is it popular?	Kakav je ovo film? Je li popularan?
You don't have to go to school tomorrow.	Sutra ne moraš ići u školu.
Are you going to invite her to the party?	Hoćeš li je pozvati na zabavu?
He has an interest in collecting insects.	Zanima ga skupljanje kukaca.
He has never come on time that I know of.	Koliko ja znam, nikada nije došao na vrijeme.
I asked him many questions about ecology.	Postavio sam mu mnogo pitanja o ekologiji.
It is no use your trying to persuade him.	Nema koristi da ga se pokuša nagovoriti.
It's been two years since he went Hawaii.	Prošla su dva tjedna otkad je otišao na Havaje.
Something is the matter with this TV set.	Nešto ne valja s tim televizorom.
The couple lived a happy life to the end.	Par je živio sretan život do kraja.
The party won't start until Tom shows up.	Zabava neće započeti sve dok se Tom ne pojavi.
There is almost no violence in that city.	Gotovo da nema nasilja u tom gradu.
Tom accidentally set fire to the curtain.	Tom je slučajno zapalio zavjesu.
Tom asked Mary to pretend to be his wife.	Tom je zamolio Mary da se pretvara da mu je žena.
Tom finally realized that Mary was right.	Tom je napokon shvatio da je Mary bila u pravu.
You have to solve your problems yourself.	Moraš rješavati svoje probleme sam.
You sound like you're not having any fun.	Zvučiš kao da se ne zabavljaš.
You sound like you're not having any fun.	Zvučite kao da se ne zabavljate.
Everyone makes mistakes from time to time.	Svatko čini pogreške s vremena na vrijeme.
He is always here between 5 and 6 o'clock.	Uvijek je ovdje između 5 i 6 sati.
He organized a boycott of the bus service.	Organizirao je bojkot autobusnog prijevoza.
His novels are popular among young people.	Njegovi romani su omiljeni među mladim osobama.
I don't want to take up much of your time.	Ne želim ti uzeti više vremena.
I'm going to leave the three of you alone.	Pustiti ću vas tri nasamo.
Many economists are ignorant of that fact.	Mnogi ekonomisti se oglušuju o tu činjenicu.
Mom is washing the dog because he's dirty.	Mama kupa psa, jer je prljav.
Some of my friends can speak English well.	Neki moji prijatelji jako dobro govore engelski.
The plants suffered damage from the frost.	Mraz je oštetio biljke.
Tom allowed the police to search his home.	Tom je dopustio policiji da pretraži njegovu kuću.
Tom asked Mary to take back what she said.	Tom je zamolio Mary da opovrgne rečeno.
Tom didn't like the way Mary spoke to him.	Tomu se nije svidio način kako je Mary razgovarala s njime.
Tom evidently was here early this morning.	Tom je očito bio ovdje rano jutros.
Tom finally realized that he'd been wrong.	Tom je napokon shvatio da je bio u krivu.
Tom plunged the hot metal into cold water.	Tom je uronio vrući metal u hladnu vodu.
Tom thinks that I don't know what he said.	Tom misli da ne znam što je rekao.
Tom wants to know when you'll be finished.	Tom želi znati kad ćete biti gotovi.
Tom was so cold his teeth were chattering.	Tomu je bilo toliko hladno da su mu zubi cvokotali.
Very young children don't know many words.	Mala djeca nemaju širok rječnik.
Very young children don't know many words.	Mala djeca ne znaju mnogo riječi.
You've definitely gotten better at French.	Tvoj francuski se definitivno poboljšao.
Can you recommend a hotel near the airport?	Možeš li preporučiti hotel u blizini zračne luke?
He has many enemies in the political world.	On ima mnogo neprijatelja u svijetu politike.
He took the trouble to assist the poor man.	Uzeo si je truda da pomogne tome siromašnome čovjeku.
I can't forgive him for behaving like that.	Ne mogu mu oprostiti zbog takvog ponašanja.
I had not waited long before she turned up.	Nisam ga morao dugo čekati.
I started liking Mary as soon as I met her.	Mary mi se počela sviđati od prvog susreta.
In the fall, many birds head for the south.	Ujesen mnoge ptice sele se na jug.
Money doesn't necessarily make you happier.	Novac te nužno ne čini sretnim.
Money doesn't necessarily make you happier.	Novac te nužno ne čini sretnom.
No student was able to answer the question.	Niti jedan student nije znao odgovor na pitanje.
The plan was rejected as being impractical.	Plan je odbačen kao nepraktičan.
We had an examination in mathematics today.	Imali smo danas ispit iz matematike.
Wind is a cheap and clean source of energy.	Vjetar je jeftin i čist izvor energije
You scratch my back and I'll scratch yours.	Ruka ruku mije.
