Help!	Uhupai!
Can people buy these?	Milo' i tongulun momoli lo hodi?
Can you see anything?	Kokito ko' do nunu?
Come and help me out.	Kanou hiti om uhupai oku.
Come and see me soon.	Solowoto' doho do kawagu oi.
Come and take a look.	Umbalai do intong.
Do you study English?	Minsingilo' ko' nangku boros Inggilis?
Do you understand me?	Karati ko' nangku doho?
Get away from me now.	Pogidu ko' mantad doho baino.
Get away from my son.	Pogidu ko' mantad tanak ku.
Give me a day or two.	Onuai oku maan id sangadau toi ko' duo tadau.
Go ahead and ask Tom.	Ongoi uhoto i Tom.
Go ahead, try it now.	Maai gia mongumbal baino.
Go back to your seat.	Ongoi irikau hino tirikohon.
Have a drink with me.	Kaino monginum.
Have a nice day, Tom.	Intang-intangai do awasi tadau kio oi Tom.
He has no girlfriend.	Ingaa iyau do sumandak.
Here comes the train!	Nokorikot no koritapui!
How are Tom and Mary?	Okuro-kuro habar i Tom om Mary?
How bad was Tom hurt?	Okuro-kuro da nogonitan i Tom?
How big is your room?	Songkuro ginayo linimput nu?
How can I be helpful?	Poingkuro ma uhupan ku?
How can I refuse you?	Inkuro no au oku asaga' dika?
How can they do that?	Ingkuro no milo' iyolo maan lo hodi?
How do I gain weight?	Poingkuro ma kaanu oku do winagat?
How do you stop this?	Poingkuro ma popotingkod diti?
I am laughing at you.	Koirak oku kaka diya.
I asked Tom to leave.	Nokosunud oku kumaa Tom hibok.
I asked for a refund.	Manu oku do pogulian.
I bet this will work.	Kotumbaya oku milo' do poimpanau ti.
I broke a vase today.	Nababak oku do susuangan tusak baino.
I brought you a gift.	Noowit oku do titahak.
I can barely see you.	Nokokito oku kopio dika.
I can help with that.	Milo' oku monguhup dilo.
I can put this right.	Milo' oku popo'opi diti.
I can still help you.	Milo' oku po monguhup dika.
I can take you there.	Milo' oku ongoion dika hino.
I can tell you later.	Sumonu oku momisunud dika kio.
I have a stomachache.	Oruol tian ku.
I hope Tom does well.	Alansan oku daa osonong-sonong i Tom.
I knew you wanted me.	Noilaan ku diya tu manu ko' doho.
I love French movies.	Orohian oku do wayang Poransis.
I think you liked it.	Andasan ku daa om orohian ko' dilo.
I think you're right.	Otopot ko' kangku daa.
I took a deep breath.	Paparalom oku do pinuhobo.
I wake up very early.	Osopung oku kopio mosik.
I will give it a try.	Umbalan ku ndo dilo.
I'll apologize later.	Ompunan ku sumoonu.
I'm smarter than you.	Abaal oku mantad ko dika.
Is Tom in the garden?	Haro i Tom hilo'd tumo?
Is it as bad as that?	Au awasi dilo?
It's happening again.	Nokoontok no kaagu.
Mary hugged her doll.	Guminapus i Mary do siningayanak.
Men are all the same.	Iri nopo kusai-kusai nga miagal no.
My arm is killing me.	Adalaan korualan di longon ku.
My boss is very nice.	Osonong wowoyoon ku ih.
My feet are freezing.	Ososogit lapap ku.
She allowed me to go.	Asaga' yau doho mongoi.
She can speak French.	Koilo' yau mimboros Poransis.
She served me coffee.	Poposurung yau do kupi' montok doho.
Show me the pictures.	Pokitonon o gambar.
Take a look at these.	Intangai lo hodi.
Take a look in there.	Intangai id suang lo hodi.
Thank you for asking.	Kotoluadan tu monguhot.
Thank you for coming.	Kotoluadan tu kinorikatan.
Thank you for dinner.	Kotoluadan tu dumuom do sodopon.
Thank you for trying.	Kotoluadan do mumbal.
There were two cakes.	Haro duo kiik.
These are all I have.	Haro no iti ngawi mantad doho.
They have lost a lot.	Natagakan diolo kogumuan.
They shared feelings.	Maan iyolo do piuhupan kaka kopurimanan diolo.
Tom didn't buy bread.	Au i Tom minomoli do ruti paun.
Tom is Mary's nephew.	Tom nopo nga mononginan Mary.
Tom is ready to help.	Nokosodia i Tom do monguhup.
Tom wrote the report.	Minonurat i Tom do laporan.
We all work too hard.	Monotos tokou kopio do kumaraja.
We can all walk home.	Milo' tokou poimpanau muli walai.
We can order a pizza.	Milo' tokou monuhu' do piza.
We can still do that.	Milo' tokou po maan dilo.
We can talk about it.	Milo' tokou moboros kaka ti.
We can use your help.	Milo' tokou mokiuhup mantad dika.
We can't forget that.	Au yahai milo olingan dilo.
We shared everything.	Maan tokou do piuhupan ngawi.
What are you cooking?	Nunu onsokon nu?
What do you remember?	Nunu o kasarahan nu?
Where can I meet Tom?	Hinonggo oku miruba Tom?
Where is your father?	Honggo tapa nu?
Where is your school?	Hinonggo sikul nu?
Why are you doing it?	Nokuro ko' mangan dilo?
Why are you home now?	Nokuro ko' id walai do baino?
Why did you tell Tom?	Nokuro tu pinopoli ko di Tom?
You always lie to me.	Asaru ko' mongudut doho.
You can come back in.	Milo' ko' koguli kagu monuang.
You can come in here.	Milo' ko' korikot id hiti.
You can head on home.	Milo' ko' muli walai.
You can hold my hand.	Milo' ko' mongigit palad ku.
You can ride with me.	Milo' ko' suminakai maya doho.
You can stay in here.	Milo' ko' miyon hiti.
You can stay with me.	Milo' ko' mangandad maya doho.
You can stay with us.	Milo' ko' mangandad maya dahai.
You can use my phone.	Milo' ko' momoguno puun ku.
You've been infected.	Nokoroliu ko no.
Your answer is wrong.	Amu kopunong sisimbar nu.
Can you keep a secret?	Obuli ko' daa lumisok kaka ri?
Do you believe in God?	Kotumbaya ko' nangku di kinorohingan?
Don't keep me waiting.	Kada pologoso oku poingandad.
Everybody believes it.	Ongotumbayaan i toinsanan.
Everyone was drinking.	Moginum i tongulun ngawi.
He also speaks French.	Yau nga mimboros Poransis.
He understands French.	Karati yau boros Poransis.
I can't come in today.	Au oku korikot baino.
I can't open this jar.	Au oku milo ukaban dilo kakanan.
I can't speak English.	Au oku koilo' mimboros Inggilis.
I don't like roosters.	Au oku orohian do tandaha.
I have a twin brother.	Kimiapid oku di kusai.
I have to go to sleep.	Moi oku odop no koti.
I know what you meant.	Oilaan ku do komoyon nu.
I met your girlfriend.	Nokoruba oku di sumandak nu.
I must finish my work.	Mositi oku do momongo karaja ku.
I really like puppies.	Orohian oku no kopio do duku.
I'll be out in a jiff.	Osiyau oku manau do tinu.
I'm going to rest, OK?	Manu oku mundorong kio.
I'm going to the mall.	Mongoi oku hilo'd supping.
I'm not an only child.	Yoku okon' ko songulun tanak.
Is your watch correct?	Otopot toi maso id jam nu?
No tickets are needed.	Au tagal tikit.
Thank you for calling.	Kotoluadan tu monolipoun.
Thank you for sharing.	Kotuluadan tu piuhupan.
Thank you for writing.	Kotoluadan do monurat.
Thanks for the invite.	Kotoluadan tu pangalap.
That serves you right.	Hondahoi, kotoh!
The cow lost its calf.	Atagak no tampanak do sapi.
Tom corrected himself.	Maan i Tom popunongo do sondiri.
Tom eats very quickly.	Osikap tomod i Tom dumuom.
Tom gave Mary a towel.	Manahak i Tom do kumut pinihid kumaa di Mary.
Tom has a hairy chest.	Kihulu kangkab di Tom.
Tom has been infected.	Nokoroliu i Tom.
Tom has what he needs.	Haro nodi pokionuan di Tom.
Tom is always healthy.	Olidas i Tom kasasari.
Tom knows some French.	Koilo' i Tom mimboros Poransis do okuri-kuri.
Tom pocketed the keys.	Monuang i Tom do kunsi id suang pakit.
Tom teaches us French.	Monuduk i Tom dahai do boros Poransis.
Tom's voice was clear.	Atalang no tuni di Tom.
We're closed tomorrow.	Tobonon tokou suab.
What did you do there?	Nunu maan nu dilo hodi?
What you say is right.	Nunu nopo boros nu nga otopot.
What's your last name?	Nunu o ngaran di tohuri nu?
When is your birthday?	Soira tadau kinosusuon nu?
Where is the bathroom?	Honggo kamar jamban?
Where's everyone else?	Hinonggo toinsanan dii?
Why did you come here?	Nokuro tu korikot ko' hiti?
You and I are friends.	Mambalut kito.
You and I should talk.	Pibarasan kito kama.
All roads lead to Rome.	Wayaan ngawi gisom do bandar Rome.
Did you bring the book?	Mongowit ko' do buuk?
Do you translate songs?	Papadalin ko do sinding?
Don't tell anyone that.	Kada sunudai toinsanan.
Everything looked nice.	Osonong o kokitanan do ngawi.
He's one of my in-laws.	Iyau no monongiwan ku.
I can hear Tom's voice.	Korongou oku dot tuni di Tom.
I don't speak Japanese.	Au oku mimboros Jipun.
I should've known that.	Apatut oku daa oilaan dilo.
I think I'll walk back.	Gumuli oku mamanau kangku daa.
I was in the mountains.	Yoku id suang do nuluhon.
I will gladly help you.	Otomon oku monguhup dika.
I'm glad you called me.	Ounsikou oku tu luminohou ko' doho.
I've never hit a woman.	Au oku bobogon montok tondu bo.
Is your mother at home?	Kakal po tama nu id walai?
It's a little late now.	A'adahan nodi baino.
My GPS works very well.	Poimpanau o GPS ku.
Spitting is prohibited.	Pogoduhan no dulaan.
Stop talking about Tom.	Ula nodi boboroson kaka i Tom.
That was not necessary.	Amu minog ih.
That's a hard question.	Osusa’ ilo ponguhatan.
That's very, very good.	Osonong-sonong tomod lo.
There's no explanation.	Aiso o kotolinahasan.
Tom needs your support.	Manu i Tom do sokodungon nu.
Tom stopped everything.	Tuminingkod i Tom do ngawi.
Tom understands French.	Karati i Tom mimboros Poransis.
We're not finished yet.	Amu po naawi tokou.
Where do you come from?	Hinonggo tadon nu?
Who teaches you French?	Isai minonuduk dika mimboros Poransis?
Why was I not informed?	Nokuro au isai sinunudan montok doho?
Women share everything.	Maan i Tongondu pogiilang-ilangon.
You can sit next to me.	Milo' ko' mirikau id ponong ku.
Can I offer you a drink?	Obuli oku mamalanja dokoyu do tiinumon?
Can we still be friends?	Monongkiambalut yahai?
Did you read everything?	Nakabasa ko do ngawi?
Do you have a cellphone?	Haro no himpun nu?
Do you want me to leave?	Mumang ko doho iyadaan?
Do you want to tell Tom?	Manu ko' popoilo kumaa di Tom?
Don't forget the ticket.	Kada lihuai ongoi paganu dilo tikit kio.
Don't forget your money.	Kada lihuai tusin nu.
Don't you feel anything?	Au ko opurimanan do nunu?
He is known to everyone.	Mintutun i tongulun ngawi kaka disio.
I didn't want the money.	Mada oku do tusin.
I go to school at seven.	Mongoi oku hilo'd sikul jaam koturu.
I hate my mother-in-law.	Araatan oku di tiwanon ku.
I have an ear infection.	Koroliu o tolingo ku.
I thought you'd love it.	Andasan ku daa orohian ko' ti.
I wasn't at Tom's party.	Au oku mongoi karamaian di Tom.
I'll come back tomorrow.	Muli ku ndo suab.
Please adopt this puppy.	Tamangai no iti duku.
Please have a seat here.	Irikau hiti.
Put the garbage outside.	Poopio ilo rinomos id labus.
She doesn't like soccer.	Au isido orohian do mimbuul.
She led a solitary life.	Kosongulunan koposion disido.
Thank you for listening.	Kotoluadan tu kinarangahan.
That's all I had to say.	Iti no kangku dii.
They ate lunch together.	Mogiampot iyolo mangakan.
They're always fighting.	Asaru iyolo mogisaap.
This is as long as that.	Anaru iti miagal ko dilo.
This would be a mistake.	Iri no nangku nasalaan ku.
Tom gave me his address.	Minanahak i Tom doho disio kinoiyonon.
Tom is in need of money.	Mumang i Tom do tusin.
Tom took off right away.	Tumilombus i Tom do wayaan.
Tom was shot in the arm.	Naantakan do longon di Tom o timbakan.
What was Tom's reaction?	Ingkuro topurimanan di Tom?
What's your middle name?	Nunu o ngaran di pintangaan nu?
Where did I put my keys?	Hombo kunsi di pinoopi ku?
Where do you want to go?	Hinonggo kopio tongoyon nu?
Who wants to go hunting?	Isai manu moi pagasu?
You and I are soulmates.	Miiso ginawo kito.
You'd better be careful.	Mogot daa intang-intangan nu.
You'll be my son-in-law.	Sumiliu ko' monongiwan ku.
A light rain was falling.	Moris-poris no rasam.
Do you believe in ghosts?	Kotumbaya ko' po nangku di rogon?
Do you think Tom is ugly?	Araat o kokitanan di Tom?
Don't let Tom use my car.	Kada pologoso i Tom sakayon do korita ku.
Don't tell Tom the truth.	Kada posunudo kumaa di Tom do tootopot.
Everyone knows about Tom.	Noilaan i toinsanan kaka di Tom.
Everyone seeks happiness.	Mogihum toinsanan do kataadan.
Get that thing off of me.	Insodu oku mantad dilo hodi.
Have you ever had a baby?	Nokoumbal ko' minomogompi di baragang?
He named his puppy Pooch.	Pungaranan isio do duku dau Pooch.
He taught himself French.	Minsingilo' yau sondiri do boros Poransis.
I can't live without you.	Mada oku daa poimpasi miampai aiso diya.
I have no time for games.	Ingga no maso' ku do pamainan.
I read the old documents.	Mambasa oku do dokumen talaid.
I thought it was awesome.	Andasan ku daa om osonong ilo.
I will explain it to her.	Poiloon ku ndo disido.
I'll do everything I can.	Maan ku ndo nunu komilaan ku.
I'll go tomorrow morning.	Mongoi oku doid kosuabon.
I'm surprised to see you.	Kotigog oku do rumuba diya.
I'm very glad to see you.	Tabi pintutunan kumaa dika.
I've already accepted it.	Nakaramit oku dilo.
I've got a few questions.	Haro piipiro uhoton ku.
Is that as heavy as this?	Apagon ko ilo miagal diti?
It'll never happen again.	Ingaa no kaantakan nodi.
It's about time to start.	Otimpuun nodi maso'.
It's our job to help you.	Iti nopo nga tugu-wangon dahai monguhup diya.
It's time to say goodbye.	Mongoi oku no.
It's your responsibility.	Iti nopo nga tonggungan nu.
Let me check my calendar.	Mintong oku po kalandor ku.
Let them know we're busy.	Poiloon iyolo kaka tokou dit atangkangau.
Let's pretend we're busy.	Kanou maan tokou dot atangkangau nopo tinomod dahai.
Listen to your wife, Tom.	Rongoho no sawo nu oi Tom.
Mother bought us a puppy.	Minoboli i tina dahai do duku.
My aim is to be a doctor.	Iman-imanon ku nopo nga mongugusap.
She goes to night school.	Mongoi iyau id sikul do totuong.
Thank you for everything.	Kotoluadan do ngawi.
That's a beautiful dress.	Olumis nopo rasuk dilo.
That's all I want to say.	Iti no boros ku.
The blood test is normal.	Kootusan nopo raha nga onomal.
The book is on the table.	Ilo buuk id timpak do mija'.
The puppy wants to sleep.	Siodop ilo duku.
The sky is full of stars.	Ogumu rombituon id tawan.
This book is about China.	Buuk nopo ti nga kokomoi pogun China.
This is a green notebook.	Iti nopo nga buuk nota totomou.
This is a powerful laser.	Iti nopo nga lasor tokuat.
This is as large as that.	Agayo iti ko mantad dilo.
This is probably for you.	Iti nopo montok diya kanto.
Tom isn't very ambitious.	Aiso iman-imanon kopio i Tom.
We haven't got much time.	Aiso maso tokou.
We'll get another chance.	Manganu yahai do kosiwatan kawagu.
What's your name, please?	Obuli ko daa sunudon do ngaran nu?
Why don't you leave, Tom?	Nokuro tu amu ko' lumabus po oi Tom?
You are absolutely right.	Otopot kopio kanu.
You have a gum infection.	Oruol ngonsis ku.
You're parked in my spot.	Noopian do padsakayan nu hodi onuan ku.
Are you sure this is real?	Otopot ko diti?
Could you take my picture?	Milo' ko onuai gambar ku?
He knew the story already.	Noilaan iyau nodi do tangon.
He seems to be in trouble.	Miagal do haro kobolingkangan iyau ih.
He's sleeping like a baby.	Noodop yau miagal do baragang.
I bet I know what's wrong.	Koilo' oku nunu nasalaan dii.
I can't remember his name.	Au oku kosorou ngaran dau.
I don't care much for Tom.	Au oku opusou di Tom.
I have a friend named Tom.	Kitambalut oku di ngaran i Tom.
I have some money with me.	Haro po tusin dot owitan ku.
I think things will be OK.	Osonong-sonong kangku daa.
I'm sorry, I have no idea.	Siou no, aiso nopo toilaan ku dii.
It rained hard last night.	Asapou nokopio rasam do kosodop totuong.
Please bathe the children.	Ngoi momodsu do tanganak.
She walked very carefully.	Momilogot-logot isido mamanau.
Sorry to keep you waiting.	Mokiampun oku tu alaid ko' poingandad.
Sorry to keep you waiting.	Siou tu alaid ko' poingandad.
Thank you for remembering.	Kotoluadan tu kosorou.
Thank you for the flowers.	Pounsikou tu onuon ko do tusak.
That's what I want to ask.	Iri no uhoton ku dii.
The box was full of books.	Nabagalan dilo kaban o buuk.
They have twelve children.	Hopod om duo no kitanak diolo.
Tom ignored Mary's advice.	Kologos i Tom do boros kad Mary.
Tom is here to protect me.	Hiti i Tom tamangon doho.
Tom is reading a magazine.	Mambasa i Tom do majala'.
Tom sat down on the couch.	Mirikau i Tom do luluwion.
Tom seemed really annoyed.	Otogod ginawo di Tom id tokito.
Tom tried to open the jar.	Mumbal i Tom ukaban do kakanan.
What do you want from Tom?	Nunu pokionuan nu mantad di Tom?
Why are you angry with me?	Nokuro tu tumogod ko doho?
Why doesn't Tom like Mary?	Nokuro tu au i Tom orohian di Mary?
Yesterday was my birthday.	Kinosusuon ku id kosodop.
You and I are old friends.	Tambalut kito ii talaid.
You don't want to do that.	Au ko mumang maan dilo.
Did you receive my letters?	Nakaanu ko' do surat ku?
Do I look as bad as I feel?	Araat ko topurimanan ku id tokito ti?
Do you want me to help you?	Manu ko' daa mokiuhup mantad doho?
He is a teacher of English.	Isio nopo nga mongingia do boros Inggilis.
Her beauty is incomparable.	Ingaa tulun milo tondingon mantad do kolundusan disido.
I know that doesn't matter.	Nokoilo' oku tu amu monguro.
I know that doesn't matter.	Nokoilo' oku tu amu tagal i.
I read a book while eating.	Mambasa oku do buuk om mangakan po.
I want to make Tom jealous.	Manu oku poposolon di Tom.
It was a lovely experience.	Aramai no toilaan do noonuan ti.
It's raining cats and dogs.	Asapou no rasam lo kopio.
Leave me a message, please.	Paatadai komi nu hiti kio.
Let's go and see him there.	Kanou moi ruba disio hilo.
Let's pretend we're aliens.	Tomod-tomodon yahai dumadi do alian.
Please show me another one.	Pokitonon oku do kawagu.
Please write with a pencil.	Posurato maya do pinsil.
Sit over there and shut up.	Irikau no hodi om pakadaada.
Tell me how you're feeling.	Sunudai oku do topurimanan nu.
That food's hard to digest.	Osusa' no tonoson dilo taakanon.
The rain continued all day.	Tumilombus iri masam-rasam sangadau.
This dictionary isn't mine.	Kamus nopo ti nga okon gia doho dii.
Tom probably saved my life.	Minanampasi matu i Tom doho.
Tom speaks French fluently.	Abalantas i Tom mimboros Poransis.
Tom told Mary he'd do that.	Poiloon i Tom kumaa di Mary do minaan isio dilo.
Tom used to be my roommate.	Koruhang miiso bilik ku i Tom.
We also went to the temple.	Minoi tokou hilo'd walai sasambayang.
We need some more firewood.	Manu yahai suduon do kawagu.
We're practically brothers.	Oubas yahai sabaagi do tobpinai.
What are you talking about?	Nu komoyon nu?
What we need now is a rest.	Nunu nopo pokionuan ku nga mundorong.
Where can I rent a costume?	Poingkuro daa milo oku moniwa do pakayan?
Who would want to kill Tom?	Isai sipatai di Tom?
You and I are good friends.	Tambalut kito ii tosonong.
You look like an orangutan.	Miagal kogiu ko dii.
Are you for or against this?	Awak ikut kah atau bantah?
Both you and I are students.	Duo kou om yoku nopo nga susumikul.
Have a look at that picture.	Antangai gambar lo.
How do you like these poems?	Poingkuro ma minogihum ko' dilo sisindiron?
I didn't know anybody there.	Au oku nokoilo do toinsanan hilo.
I don't have an explanation.	Aiso o kotolinahasan ku.
I know how busy you've been.	Noilaan oku do kosongkuro daa atangkangau ko dii.
I'll pay you for everything.	Bayaran ku ndo nunu.
I'm the one who has the key.	Yoku ti haro do kunsi.
It's shockingly inexpensive.	Au oilaan tu omura gatang ti.
Let's get back to the party.	Kanou gumuli hodi karamaian.
Mary bought several dresses.	Minoboli i Mary do pipiro rasuk.
Most people think I'm crazy.	Ondos di kogumuan tulun daa om noulau oku ih.
My grandson is still a baby.	Baragang po i manangaki ku.
My grandson is still a baby.	Baragang po i monongodu ku.
Thank you for understanding.	Kotoluadan do orotian.
The taxi is waiting outside.	Mangandad nopo ilo tiksi id labus.
This is my business address.	Iti no kinoiyonon pogindopuan ku.
This isn't a very good time.	Au osonong tomod timpu diti.
Today I'm working from home.	Kumaraja oku hiti'd walai ku baino.
Tom doesn't have hairy arms.	Aiso hulu longon di Tom.
Tom is playing with his son.	Mamain i Tom do tanak kusai dau.
What are you doing tomorrow?	Nu maan nu id suab?
What are you thinking about?	Nunu pomusarahan nu?
What time do you start work?	Jaam kopiro timpuun ko moi pakaraja?
What's your daughter's name?	Isai ngaran di tanak tondu nu?
Which house did you live in?	Hombo tiso walai kinoiyonon nu?
You'll tell me later, right?	Posunudon nu doho do tiinu kon?
Don't think I don't like you.	Kada koondos dot au oku muhang dika.
Have you ever been to Mexico?	Nokoumbal ko' minongoi id Miksiko?
How many people are infected?	Songkuro ginumu tulun do ruminoliu?
I am trying to learn English.	Umbalan ku pisingilaan do boros Inggilis.
I don't want to eat any more.	Mada oku mangakan nodi.
I don't want to go to school.	Mada oku mongoi id sikul.
I have a friend who loves me.	Haro oku do tambalut muhang maya doho.
I like this better than that.	Orohian oku diti dot osonong ko mantad dilo.
I never feed my dog raw meat.	Ingaa nopo pinapaakan oku do tasu ku do daging taata.
I understand it more or less.	Orotian oku do togumu toi ko tokuri.
I'm not sure I feel the same.	Au oku oilaan do piagalan diri.
I'm not sure that's the case.	Au oku songkuro oilaan dilo kaantakan.
I'm saving the best for last.	Mongikit oku montok sogigisom.
I've got a frog in my throat.	Haro bonong id suang do tatalanan ku.
I've lived here for 30 years.	Hiti oku daa poingiyon do 30 toun noddi.
I've lost your email address.	Natagakan ku do imil atodon nu?
It was very cold that winter.	Adalaan om osogit.
May I borrow your dictionary?	Milo' oku daa mokianu kamus nu?
My birthday is November 10th.	Kinosusuon ku id hopod tadau tulan kohopod om iso.
My watch is ten minutes slow.	Oloyo' no jaam ku hopod minit.
She wrote a book about birds.	Minonurat isido do buuk kaka tombolog.
Speaking French is difficult.	Apagon no mimboros Poransis.
Thank you for your hard work.	Kotoluadan tu tuminotos ko' do karaja kio.
That was a pretty good movie.	Osonong kopio ilo wayang.
This is an interesting story.	Kolihis ginawo iti tangon.
Tom didn't let Mary kiss him.	Au i Tom pinotungubon di Mary.
Tom eats more than Mary does.	Ogumu i Tom mangakan mantad ko di Mary.
Tom is a failure as a father.	Au osonong kopio i Tom sabaagi do tapa.
Tom is never late for school.	Au i Tom nokoumbal dot a'adahan moi sikul.
Tom seems like a good friend.	I Tom nopo nga tambalut ii tosonong kanto.
We don't have to do this now.	Ingaa no yahai maan diti baino.
We're very lucky to be alive.	Kinasip tosonong tokou poimpasi.
What does this sentence mean?	Nunu komoyon ayat ti?
What time do you have dinner?	Jaam kopiro mangakan dougotuong?
When will you come back home?	Soira ulion dualai nu?
You have no right to be here.	Au ko' milo rumikot hiti.
"Is she young?" "Yes, she is."	"Omulok isido?" "Oh"
"Thank you." "You're welcome."	"Pounsikou." "Miagal nopo."
A bird is singing in the tree.	Suminding o tombolog id sawat do guas.
Actually, I've never seen one.	Otopot nopo om au oku nokoumbal nokokito diri.
Do you know what Tom is doing?	Nokoilo ko' di nunu maan di Tom?
Have Tom meet us here at 2:30.	Moi i Tom ruba dotokou hiti id jaam 2:30.
He came back home a while ago.	Muli isio dualai di tiinu.
His wife is one of my friends.	Sawo dau nopo nga tambalut ku.
How do you say that in French?	Nunu ka do boros Poransis dilo?
I didn't want to eat anything.	Au oku siakan do nunu.
I do my homework after school.	Momonsoi oku do karaja sikul ku katalib muli mantad id sikul.
I don't have any nice clothes.	Ingaa nopo do nunu pakayan ku.
I know how you feel about Tom.	Nokoilo oku diya'd topurimanan kaka i Tom.
I know that this is important.	Noilaan ku nopo oponsol ti.
I think we're all a bit crazy.	Mulau yahai kangku daa.
I took piano lessons as a kid.	Minanganu oku do kalas piano do tontok di tokoro oku po.
I waited for him all day long.	Alaid oku poingandad disio sangadau.
I've started to read the book.	Tumimpuun oku mambasa do buuk.
Mary is Tom's daughter-in-law.	Mary nopo nga monongiwan Tom.
My brother watches television.	Mintong i tobpinai kusai ku do TV.
That's nothing to be proud of.	Aiso no otomon dilo.
Tom died in 2013 of pneumonia.	Napatai i Tom id toun 2013 tu toruol do Pneumonia.
Tom doesn't look very healthy.	Au olidas i Tom kopio.
Tom is very worried about you.	Tumongob kopio i Tom kokomoi diya.
Tom often gets ear infections.	Kiroliu i Tom id tolingo dau.
Tom told Mary he was a doctor.	Pinoilo di Tom kumaa di Mary isio nopo nga dukutur.
Two students are absent today.	A'haro duo susumikul hiti'd kalas dinondo.
Which is better, this or that?	Honggo tiso dot osonong? Iti toi ko ilo?
You haven't touched your food.	Amu po mangakan ko dilo taakanon nu.
You shouldn't let Tom do that.	Apatut no au ko lumogos di Tom minaan dilo.
You're busy today, aren't you?	Atangkangau ko' baino toi?
Are we able to prevent disease?	Milo tokou nangku do nakaanu do angkang diri toruol?
Are you going to do that alone?	Maan ko dilo songulun?
Both his grandfathers are dead.	Napatai no taki dau goduo.
Can I offer you ladies a drink?	Obuli oku daa mamalanja dokoyu tiinumon oi sumandak?
Could you carry my bags for me?	Milo ko' mangangat do biig ku?
Could you open this jar for me?	Obuli ko daa ukabai dilo kakanan?
Do we need to do anything else?	Apatut ko yahai maan do kawawagu?
Don't buy me any more presents.	Kada pogi pomoli do titahak montok doho.
Have you ever seen this before?	Nokoumbal ko nokokito diti?
He seated himself on the bench.	Minirikau isio id tirikohonon do sondiri.
He was a pioneer in this field.	Kumoiso isio hiti'd gana'.
How do you say that in Italian?	Nunu ka do boros Itali dilo?
I will make a new suit for you.	Maan oku ndo rasuk wagu montok diya.
It stopped snowing an hour ago.	Tuminingkod nodi salju sajaam tiinu.
It was her wish to go to Paris.	Kalansanan dau do minongoi hilo'd Paris.
Let's get our photograph taken.	Kanou manganu tokou do gambar.
My brother smokes a great deal.	Adalaan i tabang ku do momungkus.
My homework is nearly complete.	Osomok no daa momongo do karaja sikul ku.
That's not even the worst part.	Ilo okon ko boogian dot araat.
The calf was born this morning.	Nokosusu no tampanak dongkosuabon diti.
There is an apple on the table.	Haro no apol id timpak do mija'.
This machine is familiar to me.	Miagal do koilo oku momoguno mosin ti.
Tom and Mary argue quite often.	Migogut i Tom om i Mary.
Tom drove Mary's car to Boston.	Papapanau i Tom korita di Mary montok pakayaan hilo'd id Boston.
Tom is in a bad mood right now.	Au osonong ginawo di Tom dinondo.
Tom is trying not to freak out.	Mongumbal i Tom au kotigog.
Tom is way older than he looks.	Otuo i Tom mantad ko tokito dau.
Tom knows nothing about Boston.	Au i Tom oilaan kopio kokomoi do Boston.
Tom won $10,000 in the lottery.	Nakalantoi i Tom do numbur soginumu 10,000.
We all know what happened here.	Nokoilo yahai do nunu kinaantakan hiti.
We could understand each other.	Soroiso-iso tokou mogirati.
Wet firewood doesn't burn well.	Au songkuro kosorob iri suduon toyopos.
What do you think you're doing?	Nunu o mangan nu?
Whatever it is, I didn't do it.	Nunu nopo kaantakan lo nga au oku numaan dilo.
When does the next train leave?	Soira tongoyon ilo koritapui do kawagu?
Which is cheaper, this or that?	Honggo tiso dot ouwai? Iti toi ko ilo?
Who is the tallest of the five?	Isai nopo angaranggou do limo tulun?
You don't need to say anything.	Au tagal poboroso diri.
You had better do it right now.	Mogot no daa maan do baino.
Can I get a little help, please?	Mokiuhup oku po, obuli?
He showed me how to make a cake.	Minonuduk iyau doho poingkuro ma pomomonsoi do kiik.
How about another cup of coffee?	Ingkuro po sanggalas kupi kio?
How do you say "cat" in Spanish?	Nunu ka do boros Sopanyol "tungau"?
How do you say "love" in French?	Nunu ka do boros Poransis "guminawo"?
I have relatives in Los Angeles.	Haro no tobpinai ku id Los Angeles.
I keep my hammer in the toolbox.	Poopion ku do dunsul ku id suang kaban pakakas.
I personally don't care anymore.	Au oku monguro nogi.
I teach French at a high school.	Monuduk oku do boros Poransis hilo'd sikul tasawat.
I want you to do that right now.	Manu oku diya maan do baino.
I was surprised by the question.	Nokotigog oku korongou dilo ponguhatan.
I will go with you if necessary.	Ongoyon ku maya diya nung oponsol ih.
My father-in-law is an engineer.	Tiwanon ku nopo nga injiniur.
People like you are never happy.	Miagal dika, amu insan nopo ounsikou.
There are no pyramids in Europe.	Ingaa no piramid hilo'd pomogunan do Eropah.
There is a church near my house.	Haro gorija poinsomok do walai ku.
This is the vase that Tom broke.	Iti no goroi do binobog di Tom.
Tom brought Mary to the station.	Minongongoi i Tom di Mary hilo'd sitisin.
Tom covered Mary with a blanket.	Monongkumut i Tom di Mary.
Tom didn't even know I was here.	Au nokoilo i Tom do hiti oku dii.
Tom disappeared into the jungle.	Natagak i Tom id suang gouton.
Tom has a black dog, doesn't he?	Haro i Tom nangku do oitom tasu?
Tom is waiting for Mary to call.	Mangandad i Tom do tolipounan di Mary.
