Hi.	سلام۔
Are you drinking green tea?	کیا آپ گرین ٹی پی رہی ہے؟
Can you answer this riddle?	کیا تم اس پہیلی کا جواب دے سکتے ہو؟
Can you lend me 10,000 yen?	کیا تم مجھے ۱۰۰۰۰ ین ادھار دے سکتے ہو؟
French is my mother tongue.	فرانسیسی میری مادری زبان ہے۔
He was absorbed in thought.	وہ سوچ میں ڈوبا ہوا تھا۔
He was trained as a lawyer.	اس نے وکالت کی تربیت حاصل کی ہے۔
How did you like the party?	تمھیں جشن کیسا لگا؟
I want you to look for Tom.	میں چاہتا ہوں کہ تم ٹام کو ڈھونڈو۔
I'm going to reconsider it.	میں اس پر دوبارہ نظر ثانی کرو گا۔
I'm not afraid of anything.	مجھے کسی بھی چیز سے ڈر نہیں لگتا۔
Is the snake alive or dead?	سانپ زندہ ہے یا مر گیا ہے؟
It's just a little further.	بس تھوڑی دور ہے۔
Poverty drove him to steal.	غربت نے اسے چوری کرنے پر مجبور کیا۔
She had to accept her fate.	اس کو اپنی قسمت قبول کرنا پڑی۔
She had to accept her fate.	ان کو اپنی قسمت قبول کرنا پڑی۔
She showed her album to me.	اس نے اپنی ایلبم مجھے دکھائی۔
Thank you for your present.	تحفہ دینے کا بہت شکریہ۔
That was no ordinary storm.	وہ کوئی عام طافان نہیں تھا۔
That's what I want to know.	یہ ہی تو میں جاننا چاہتا ہوں۔
That's what I want to know.	یہ ہی تو میں جاننا چاہتی ہوں۔
This fruit has a bad taste.	اس پھل کا ذائقہ خراب ہے۔
This is never going to end.	یہ کبھی ختم نہ ہوگی ۔
Tom always wants something.	ٹام کو ہر وقت کچھ نا کچھ چاہئہے ہوتا ہے۔
Tom has to be home by 2:30.	ٹام کو ڈھائی بجے تک گھر پہنچنا ہے۔
Tom is going to get better.	ٹام ٹھیک ہو رہا ہے۔
Tom is going to get better.	ٹام صحت یاب ہو رہا ہے،
Tom is going to get better.	ٹام صحت یابی کی طرف بڑھ رہا ہے۔
Tom is spraying his garden.	ٹام اپنے باغ کو پانی دے رہا ہے۔
Tom survived the car crash.	ٹام کار کے حادثے میں بچ گیا تھا۔
We eat so that we can live.	ہم کھاتے ہیں زندہ رہنے کے لئیے۔
What is your mother tongue?	تمھاری مادی زبان کیا ہے؟
What is your mother tongue?	آپ کی مادی زبان کیا ہے؟
What would you like to eat?	تم کیا کھانا پسند کرو گے؟
What would you like to eat?	آپ کیا کھانا پسند کریں گے؟
What would you like to eat?	آپ کیا کھائیں گے؟
What would you like to eat?	تم کیا کھائو گے؟
Do you understand this book?	تمہیں یہ کتاب سمجھ آئی ہے؟
Don't twist my words around.	میرے الفاظوں کو توڑ مڑوڑ کے پیش نہ کرو۔
French is his mother tongue.	فرانسیسی اس کی مادری زبان ہے۔
French is his mother tongue.	فرانسیسی ان کی مادری زبان ہے۔
He lost all his possessions.	اس کا سارا سامان گم ہو گیا۔
He told me his life's story.	اس نے مجھے اپنی زندگی کی کہانی سنائی۔
He told me his life's story.	انہوں نے مجھے اپنی زندگی کی کہانی سنائی۔
His mistake was intentional.	اس نے یہ غلطی جان بوجھ کے کی ہے۔
How many plates do you want?	تمہیں کتنی پلیٹیں چاہیے؟
How many plates do you want?	آپ کو کتنی پلیٹیں چاہیے؟
I don't need a loan anymore.	مجھے قرض کی اب ضرورت نہیں ہے۔
I don't think he is sincere.	مجھے نہیں لگتا کہ وہ مخلص ہے۔
I lent my friend some money.	میں نے اپنے دوست کو کچھ پیسے ادھار دیے ہے۔
I looked into the next room.	میں نے اگلے کمرے میں دیکھا۔
It is still as cold as ever.	ابھی بھی بہت ٹھنڈ ہے۔
My uncle gave me this watch.	میرے چاچا نے مجھے یہ گھڑی دی تھی۔
My uncle gave me this watch.	میرے تایا نے مجھے یہ گھڑی دی تھی۔
My uncle gave me this watch.	میرے ماموں نے مجھے یہ گھڑی دی تھی۔
My uncle gave me this watch.	میرے پھپھا نے مجھے یہ گھڑی دی تھی۔
My uncle gave me this watch.	میرے خالو نے مجھے یہ گھڑی دی تھی۔
Something's happened to Tom.	ٹام کو کچھ ہو گیا ہے۔
That woman must be his wife.	وہ اس کی بیوی ہو گی۔
That woman must be his wife.	میرا خیال ہے کہ وہ عورت اس کی پیوی ہے۔
That's not the right answer.	یہ صحیح جواب نہیں ہے۔
The animal died from hunger.	وہ جانور بھوک سے مر گیا۔
The dog is blind in one eye.	یہ کتا ایک آنکھ سے اندھا ہے۔
The train was on time today.	آج ریل گاڑی پورے ٹائم پہ تھی۔
The train was on time today.	آج ریل کاڑی وقت پہ پہنج گئی تھی۔
The train was on time today.	آج ریل گاڑی پابندی کے ساتھ پہنچ گئی تھی۔
They hurried to the station.	وہ سٹیشن کی طرف دوڑے۔
This apple tastes very sour.	اس سیب کا ذائقہ بہت کڑوا ہے۔
This house is very spacious.	یہ گھر کافی بڑا ہے۔
Your coat is very beautiful.	تمھارا کوٹ بہت خوبصورت ہے۔
He got up early this morning.	وہ آج صبح جلدی اٹھا تھا۔
He got up early this morning.	وہ آج صبح جلدی اٹھ گیا تھا۔
He isn't able to drive a car.	اسے گاڑی چلانا نہیں آتی۔
He may have missed the train.	لگتا ہے کہ اس کی ٹرین چھٹ گئی ہے۔
He put the book on the shelf.	اس نے کتاب کو الماری میں رکھ دیا۔
He put the book on the shelf.	انہوں نے کتاب کو الماری میں رکھ دیا۔
He should have been a lawyer.	اسے وکیل ہونا چاہئیے تھا۔
He was standing on the floor.	وہ زمین پہ کھڑا ہوا تھا۔
He'll get there in ten hours.	وہ وہاں دس گھنٹے میں پہنچ جائے گا۔
He'll get there in ten hours.	وہ وہاں دس گھنٹے میں پہنچ جائیں گے۔
I am older than your brother.	میں تمہارے بھائی سے بڑا ہوں۔
I am older than your brother.	میں تمہارے بھائی سے بڑی ہوں۔
I am older than your brother.	میں آپ کے بھائی سے بڑا ہوں۔
I am older than your brother.	میں آپ کے بھائی سے بڑی ہوں۔
I bought my sister a new hat.	میں نے اپنی بہن کے لئیے ایک نئی ٹوپی خریدی۔
I bought my sister a new hat.	میں نے اپنی بہن کے لئیے ایک نئی ٹوپی لی ہے۔
I rarely listen to the radio.	میں ریڈہو بہت کم سنتا ہوں۔
I regret to say I can't come.	مجھے افسوس کے ساتھ کہنا پر رہا ہے کہ میں آ نہیں سکوں گا۔
I think I'll come back later.	میں بعد میں آ جائو گا۔
I told him that he was wrong.	میں نے اسے بتایا کہ وہ غلط تھا۔
I told him that he was wrong.	میں نے ان کو بتایا کہ وہ غلط تھے۔
I told you to stop, didn't I?	میں نے تمہیں رکنے کے لئیے کہا تھا کہ نہیں؟
I told you to stop, didn't I?	میں کہ رہا ہوں رکو،
I was tired so I went to bed.	میں تھکا ہوا تھا اسی لئے میں سونے چلا گیا۔
I went swimming in the river.	میں دریا میں تیراکی کرنے گیا تھا۔
I'll get there at about 2:30.	میں ڈھائی بجے وہاں پہنچ جائوں گا۔
It ought to be fine tomorrow.	اسے کل تک ٹھیک ہو جانا چاہئیے۔
May I borrow your dictionary?	کیا میں آپ کی لغت ادھار لے سکتا ہوں؟
My hard drive is almost full.	میری ہارڈ ڈرائیو تقریبا پوری بھڑھ گئی ہے۔
My watch is ten minutes slow.	میری گھڑی دس منٹ پیچھے ہے۔
Prices seem to be going down.	لگتا ہے کہ قیمتیں گر رہی ہیں۔
Rice grows in warm countries.	چاول گرم ممالک میں اگتا ہے۔
She comes from a good family.	وہ ایک اچھے خاندان سے تعلق رکھتی ہے۔
She is someone you can trust.	وہ ایسی لڑکی ہے جس پہ بندہ بھروسہ کر سکتا ہے۔
She will come if you ask her.	اگر تم اسے پوچھو گے تو وہ آئی گی۔
Spanish is her mother tongue.	ہسپانوی اس کی مادری زبان ہے۔
Spanish is her mother tongue.	ہسپانوی ان کی مادری زبان ہے۔
Spanish is his mother tongue.	ہسپانوی اس کی مادری زبان ہے۔
Spanish is his mother tongue.	ہسپانوی ان کی مادری زبان ہے۔
That was our first encounter.	وہ ہماری پہلی ملاقات تھی۔
We're eating dinner outdoors.	ہم عشائیہ باہر کر رہے ہیں۔
We're eating dinner outdoors.	ہم رات کا کھانا باہر کھا رہے ہیں۔
What would you like me to do?	تم کیا چاہتے ہو کہ میں کیا کروں؟
Where's my box of chocolates?	میرے چاکلیٹ کا ڈبہ کدھر ہے؟
Where's my box of chocolates?	میرے چاکلیٹ کا ڈبہ کہاں ہے؟
You can go wherever you want.	تم جہاں جانا چاہو جا سکتے ہو۔
You can go wherever you want.	تم جدھر بھی جانا چاہو جا سکتے ہو۔
You can go wherever you want.	تم جہاں جانا چاہو جا سکتی ہو۔
You can go wherever you want.	تم جدھر بھی جانا چاہو جا سکتی ہو۔
You can't back out on me now.	تم اب پیچھے نہیں ہٹ سکتے۔
You have to appear in person.	تمھیں خود حاضری دینی پڑے گی۔
Did that really happen to him?	اس کے ساتھ واقعی ایسا ہوا؟
Did you clean your room today?	تم نے اپنے کمرے کی صفائی کی ہے آج؟
French is their mother tongue.	فرانسیسی ان کی مادری زبان ہیں۔
He goes running every morning.	وہ ہر صبح دوڑتا ہے۔
He is the man you can rely on.	یہ وہ بندہ ہے جس پہ آپ بھروسہ کر سکتے ہو۔
He just loves to bully people.	اس کو لوگوں پہ دھونس جمانا پسند ہے۔
He paid the money on the spot.	اس نے اسی وقت پیسے ادا کئیے۔
He'll be there, rain or shine.	سردی ہو یا گرمی، وہ پہنج جائے گا۔
Hold the ball with both hands.	گیند کو دونوں ہاتھوں سے پکڑو۔
I came to Japan two years ago.	میں جاپان دو سال پہلے آیا تھا۔
I don't want to see you again.	میں کبھی دوبارہ تمہاری شکل نہیں دیکھنا چاہتا۔
I don't want to see you again.	میں کبھی دوبارہ تمہاری شکل نہیں دیکھنا چاہتی۔
I have enough money to buy it.	میرے پاس اتنے پیسے ہے کہ میں یہ خرید سکتا ہوں۔
I have enough money to buy it.	میرے پاس یہ خریدنے کے لئیے کافی پیسے ہے۔
I just don't know what to say.	مجھے ابھی نہیں پتا کیا کہنا ہے ۔
I manage to support my family.	میں اپنے خاندان کو سہارا دیتا ہوں۔
I manage to support my family.	میں اپنے خاندان کو سہارا دیتی ہوں۔
I painted the roof light blue.	میں نے چھت پہ ہلکے نیلے رنگ کا پینٹ کیا ہے۔
I think she's an honest woman.	میرا خیال ہے کہ وہ ایک ایماندار عورت ہے۔
I think she's an honest woman.	مجھے لگتا ہے کہ وہ ایک ایماندار عورت ہے۔
I think the wind's picking up.	مجھے لگ رہا ہے کہ آندھی تیز ہو رہی ہے۔
I usually drink a lot of milk.	میں ریادہ تر ڈھیڑ سارا دودھ پیتا ہوں۔
I want you to be mine forever.	میں چاھتا ہوں کے تم ہمیشہ ہمیشہ کے لیے میری ہو جاؤ۔
I'm going to Europe next week.	میں اگلے ہفتے یورپ جا رہا ہوں۔
I'm going to Europe next week.	میں اگلے ہفتے یورپ جا رہی ہوں۔
It's about the size of an egg.	اس کا سائز انڈے جتنا ہے۔
Japanese is our mother tongue.	جاپانی ہماری مادری زبان ہے۔
Refugees hid under the bridge.	پناہ گزین پل کے نیچے چھپ گئے۔
She gave him all of her money.	اس نے اس کو اپنے سارے پیسے دے دیئے۔
The oranges cost 7 pence each.	ہر مسمی کی قیمت ۷ پینس ہے۔
The troops had plenty of arms.	فوج کے پاس کافی اسلحہ تھا۔
They became citizens of Japan.	انہوں نے جاپانی شہریت حاصل کرلی۔
Tom can be contacted by phone.	ٹام سے تم فون پہ رابطہ کر سکتے ہو۔
Tom found Mary reading a book.	ٹام نے مریم کو کتاب پڑھتے ہوِئے دیکھا۔
Tom has a daughter named Mary.	ٹام کی ایک بیٹی ہے مریم۔
Tom has a daughter named Mary.	ٹام کی ایک بیٹی کا نام ہے مریم۔
Tom thanked Mary for her help.	ٹام نے مریم سے اس کی مدد کے لئیے اس کا شکریہ ادا کیا۔
He was tired so he went to bed.	وہ تھکا ہوا تھا اس لئے وہ سونے چلا گیا ہے۔
I am sorry. I am not from here.	میں معذرت چاہتا ہوں۔ میں یہاں سے نہیں ہوں۔
I am sorry. I am not from here.	میں معذرت چاہتا ہوں۔ میں یہاں خود نیا ہوں
I am sorry. I am not from here.	میں معافی چاہتا ہوں۔ میں یہاں خود نیا ہوں۔
I am sorry. I am not from here.	میں معذرت چاہتا ہوں۔ میں یہاں اجنبی ہوں۔
I am sorry. I am not from here.	میں معافی چاہتا ہوں۔ میں یہاں سے نہیں ہوں۔
I am sorry. I am not from here.	میں معافی چاہتا ہوں۔ میں یہاں اجنبی ہوں۔
I didn't think you were so old.	میرا نہیں خیال تھا کہ تم اتنے بوڑھے ہو گے۔
I don't think Tom will be back.	میرا نہیں خیال ٹام واپس آئے گا۔
I found a dollar in the street.	مجھے سڑک پہ ایک ڈالر گرا ہوا ملا۔
I have left my car keys behind.	میں اپنی گاڑی کی چابیاں پیچھے چھوڑ آیا ہوں۔
I mistook you for your brother.	میں غلطی سے آپ کو اپنا بھائی سمجھا۔
I wish I'd married another man.	کاش میں نے کسی اور مرد سے شادی کرلی ہوتی۔
I wonder why she is so worried.	پتہ نہیں وہ کیوں اتنی پریشان ہے۔
I'll be there by eight somehow.	میں کسی طرح سے آٹھ بجے پہنچ جائو گا۔
I'll be there by eight somehow.	میں کسی طرح سے آٹھ بجے پہنچ جائو گی۔
I'm a friend of Tom and Mary's.	میں ٹام اور مریم کا دوست ہوں۔
I'm so glad that you succeeded.	میں بہت خوش ہوں تمھاری کامیابی پہ۔
Let me tell you about the case.	میں آپ کو مقدپے کے بارے میں بتاتا ہوں۔
Let me tell you about the case.	میں آپ کو مقدپے کے بارے میں بتاتی ہوں۔
Paris is the capital of France.	پیرس فرانس کا دارلخلافہ ہے۔
Please tell everyone I'm sorry.	برائے مہربانی سب کو بتادو کہ میں شرمندہ ہوں۔
Please tell everyone I'm sorry.	برائے مہربانی سب کو بتادو کہ میں معزرت خواہ ہوں۔
Please wait till he comes back.	برائے مہربانی ان کی واپسی تک انتظار فرمائیے۔
The accounts have been audited.	اکاؤنٹس کو آڈٹ کر دیا گیا ہے۔
The balloon is filled with air.	غبارے میں پوا بھری ہوئی ہے۔
They entered into a discussion.	انہوں نے گفتگو کا آغاز کیا۔
They entered into a discussion.	انہوں نے گفتگو شروع کی۔
Tom and Mary killed themselves.	ٹام اور مریم نے اپنے آپ کو خود قتل کیا۔
Tom and Mary want to come over.	ٹام اور مریم آنا چاہتے ہیں۔
Tom didn't go out last weekend.	ٹام پچھلے ہفتے کہیں نہیں گیا۔
Tom painted a picture for Mary.	ٹام نے مریم کی تصویر بنائی۔
Tom was about to say something.	ٹام کچھ کہنے ہی والا تھا۔
Were you in America last month?	کیا تم پچھلے مہینے امریکا میں تھے؟
Were you in America last month?	کیا آپ پچھلے مہینے امریکا میں تھے؟
What was the weather yesterday?	کل موسم کیسا تھا؟
What was the weather yesterday?	کل کا موسم کیسا تھا؟
Would two o'clock be all right?	دو بجے ٹھیک ہوگا؟
A refrigerator keeps meat fresh.	فرج گوشت کو تازہ رکھتا ہے۔
Belgium is not as big as France.	بیلجیم فرانس جتنا برا نہیں۔
Could you call a doctor, please?	کیا تم ڈاکٹر کو بلا سکتے ہو؟
Could you call a doctor, please?	کیا آپ ڈاکٹر کو بلا سکتے ہے؟
Could you call a doctor, please?	کیا تم ڈاکٹر کو بلا سکتی ہو؟
Could you call a doctor, please?	کیا آپ ڈاکٹر کو بلا سکتی ہے؟
English is not my mother tongue.	انگریزی میری مادری زبان نہیں ہے۔
He set up a new home in Jamaica.	اس نے جمیکا میں اپنا نیا گھر بنایا ہے۔
How many boys are in this class?	اس کلاس میں کتنے لڑکے ہیں؟
How's it going with your family?	تمھارے گھر والے کیسے ہے؟
How's it going with your family?	آپ کے گھر والے کیسے ہے؟
I assume Tom will be late again.	میرا خیال ہے ٹام پھر سے لیٹ ہو جائے گا
I bought this sweater yesterday.	میں نے یہ سویٹر کل خریدا تھا۔
I can't stand this cold anymore.	مجھ سے یہ ٹھنڈ اور زیادہ برداشت نہیں ہو رہی۔
I couldn't keep from snickering.	میں ہنسے بغیر نہیں رہ سکتا تھا۔
I couldn't keep from snickering.	میں ہنسے بغیر نہیں رہ سکتی تھی۔
I don't know if I have the time.	میں نہیں جانتا اگر میرے پاس وقت ہوا تو ۔
I don't really need another car.	مجھے ایک اور گاڑی کی ضرورت نہیں ہے۔
I will be sixteen next birthday.	میں اپنی اگلی سالگرہ پہ سولہ کی ہو جائو گی۔
I wish I could be in Boston now.	کاش میں ابھی بوسٹن میں ہوتا۔
I'm a childhood friend of Tom's.	میں ٹام کا بچپن کا دوست ہوں۔
I'm a childhood friend of Tom's.	میں ٹام کا لنگوٹیا یار ہوں۔
May I ask for your phone number?	کیا میں آپ کا فون نمبر پوچھ سکتا ہوں؟
My bicycle is in need of repair.	میری بائسیکل کو مرمت کی ضرورت ہے۔
My bicycle needs to be repaired.	میری بائسیکل کو مرمت کی ضرورت ہے۔
That question is easy to answer.	اس سوال کا جواب بہت آسان ہے۔
The day of judgment has arrived.	قیامت آ چکی ہے۔
The doctor is not available now.	ڈاکٹر ابھی موجود نہیں ہے۔
The last train has already gone.	آخری ٹرین جا چکی ہے۔
The rumor turned out to be true.	وہ افواہ سچی نکلی۔
The sun gives us heat and light.	سورج سے ہمیں حرارت اور روشنی ملتی ہے۔
There wasn't a cloud in the sky.	آسمان میں ایک بھی بادل نہیں تھا۔
There wasn't a cloud in the sky.	آسمان میں ایک بھی بادل نہیں ہے۔
This watch needs to be repaired.	اس گھڑی کو مرمت کی ضرورت ہے۔
All you have to do is to join us.	تمھیں بس اب کرنا یہ ہے کہ ہمارے ساتھ شامل ہو جانا ہے۔
Did you see grandpa's wheelchair?	تم نے دادا ابو کی ویل چیئر دیکھی ہے؟
Did you see grandpa's wheelchair?	تم نے نانا کی ویل چیئر دیکھی ہے؟
Did you see grandpa's wheelchair?	آپ نے دادا ابو کی ویل چیئر دیکھی ہے؟
Did you see grandpa's wheelchair?	آپ نے نانا ابو کی ویل چیئر دیکھی ہے؟
Do you have a table on the patio?	تمہیارے برآمدے میں میز ہے؟
Has anybody ever thought of this?	کیا کبھی کسی نے اس کے بارے میں سوچا ہے؟
He has been working all day long.	وہ سارا دن کام کوتا رہا ہے۔
He has been working all day long.	وہ پورا دن مصروف رہا ہے۔
I clean my room almost every day.	میں اپنا کمرہ روزانہ صاف کرتا ہوں۔
I don't know where you are going.	مجھے نہیں پتا کہ تم کدھر جا رہے ہو۔
I don't know where you are going.	مجھے نہیں پتا کہ آپ کدھر جا رہے ہے۔
I made a bad mistake on the test.	میں نے امتحان میں ایک غلطی کر دی ہے۔
I waited for Tom for a long time.	میں نے ٹام کا کافی دیر انتظار کیا۔
I waited for Tom for a long time.	میں نے ٹام کا کافی دیر تک انتظار کیا۔
I will choose them for my mother.	میں یہ اپنی والدہ کے لیے چنوں گا۔
I'd like to go to Hawaii as well.	میں بھی ہوائی جانا چاہتا ہوں۔
I'd like to go to Hawaii as well.	میں بھی ہوائی جانا چاہتی ہوں۔
I'll be lonely after you've gone.	میں تمھارے جانے کے بعد اکیلی ہو جائو گی۔
I'll be lonely after you've gone.	میں تمھارے جانے کے بعد اکیلا ہو جائو گا۔
Is this your first time in Japan?	کیا تم پہلی دفعہ جاپان آئے ہو؟
Is this your first time in Japan?	کیا تم پہلی دفعہ جاپان آئی ہو؟
Is this your first time in Japan?	کیا آپ پہلی دفعہ جاپان آئے ہے؟
Is this your first time in Japan?	کیا آپ پہلی دفعہ جاپان آئی ہے؟
None of the children are sitting.	کوئی بھی بچہ نہیں بیٹھا ہوا۔
She doesn't smile for me anymore.	وہ میرے لیئے اب مسکراتی نہیں ہے۔
She made thirty thousand dollars.	اس نے تیس ہزار ڈالر کمائے۔
Since I was tired, I went to bed.	کیونکہ میں تھکا ہوا تھا، میں سونے چلا گیا۔
The chair is not near the window.	کرسی کھڑکی کے پاس نہیں ہے۔
The chair is not near the window.	کرسی کھڑکی کے ساتھ نہیں ہے۔
The meeting took place last week.	اجلاس پچھلے ہفتے منعقد ہوا تھا۔
The plane flew over the mountain.	جہاذ پہاڑ کے اوپر سے گزرا۔
The police caught him red handed.	پولیس نے اس کو رنگے ہاتھوں پکڑ لیا۔
They don't take care of that dog.	وہ اس کتے کا خیال نہیں رکھتے۔
Tom told Mary that she was right.	ٹام نے مریم کو بتایا کہ وہ صحیح تھی۔
Will you lend me your dictionary?	کیا تم اپنی لغت ادھار دے سکتے ہو؟
Will you lend me your dictionary?	کیا آپ اپنی لغت ادھار دے سکتے ہے؟
You can't believe a word he says.	تم اس کی کسی بات پہ اعتبار نہ کرنا۔
You don't have enough experience.	تمھارے پاس اتنا تجربہ نہیں ہے۔
A rose's petals are very delicate.	گلاب کے پتے بہت نازک ہوتے ہے۔
All I found is a pair of scissors.	مجھے صرف قینچیاں ملی ہے۔
Did anybody call on you yesterday?	تمھیں کل کسی نے کال کی تھی؟
Does someone know where my son is?	کیا کسی کو پتہ ہے کہ میرا بیٹا کدھر ہے؟
Elephants live in Asia and Africa.	ہاتھی ایشیا اور افریقہ میں پائے جاتے ہیں۔
Have you ever done anything right?	کیا تم نے سب کچھ صحیح سے کیا ہے؟
Have you ever done anything right?	کیا تم نے سب کچھ ٹھیک سے کیا ہے؟
He earns three times more than me.	وہ مجھ سے تین گنا زیادہ کماتا ہے۔
He is still too young for the job.	وہ اس نوکری کے لئیے ابھی بھی کافی چھوٹا ہے۔
He lives in that house over there.	وہ اس گھر میں رہتا ہے۔
Her beauty was beyond description.	اس کی خوبصورتی کو بیان کرنا الفاظوں میں ممکن نہیں۔
I don't like either tea or coffee.	مجھے چائے پسند ہے نہ ہی کافی۔
I own a restaurant on Park Street.	میں پارک سٹریٹ پہ ایک ریستوران کا مالک ہوں۔
I think it's better not to try it.	میرا خیال ہے کہ ہم نہ ہی کوشش کرے تو بہتر ہے۔
I won't bore you with the details.	میں تمہیں دیادہ تفصیل بتا کے بور نہیں کرو گا۔
I won't bore you with the details.	میں تمہیں دیادہ تفصیل بتا کے بور نہیں کرو گی۔
I would like to visit South Korea.	میں جنوبی کوریا جانا چاہو گا۔
I'm actually a university teacher.	اصل میں میں یونیورسٹی ٹیچر ہوں۔
Is the hotel close to the airport?	کیا ہوٹل ہوائی اڈے کے قریب ہے؟
Our teacher told us when to start.	ہماری استانی نے ہمیں بتایا کہ کب شروع کرنا ہے۔
She practices the piano every day.	وہ پیانو کی روذ مشق کرتی ہے۔
She was injured in a car accident.	وہ گاڑی کے حادثے میں زخمی ہوئی تھی۔
The man was given a life sentence.	اس آدمی کو سزائے موت دی گئی ہے۔
The teacher patted me on the back.	استاد نے میری پیٹھ پر مجھے تھپکی دی۔
Tom knew Mary had threatened John.	ٹام جانتا تھا کہ مریم نے جون کو دھمکی دی ہے۔
Why is it that you're always late?	تم ہمیشہ دیر سے کیوں آتے ہو؟
You have only to push this button.	تم نے صرف اس بٹن کو دبانا ہے۔
Can you tell me what happened here?	کیا تم مجھے بتا سکتے ہو کہ یہاں کیا ہوا؟
Do you have these shoes in my size?	آپ کے پاس یہ جوتے میرے سائز میں ہے؟
Do you want to go for a walk later?	تم نے بعد میں چہل قدمی کے لئیے چلنا ہے؟
Do you want to go for a walk later?	آپ نے بعد میں چہل قدمی کے لئیے چلنا ہے؟
Each of the three boys got a prize.	تینوں لڑکوں کو انعام ملے گا۔
He did not appear until about noon.	وہ دوپہر سے پہلے نظر نہیں آیا۔
He often thinks with his eyes shut.	وہ زیادہ تر آنکھیں بند کر کے سوچتا ہے۔
He often thinks with his eyes shut.	وہ زیادہ تر آنکھیں بند کر کے سوچتے ہے۔
I almost never listen to the radio.	میں ریڈیو کبھی کبھی سنتا ہوں۔
I brought some of my books to read.	میں اپنی کچھ کتابیں پڑھنے کے لئیے لایا ہوں۔
I brought some of my books to read.	میں اپنی کچھ کتابیں پڑھنے کے لئیے لائی ہوں۔
I don't want to dredge up the past.	میں ماضی کو زیادہ کریدنا نہیں چاہتا۔
I loved reading when I was a child.	بچپن میں مجھے کتابیں پڑھنے کا بہت شوق تھا۔
I met her during my stay in Mexico.	میری اس سے ملاقات میکسیکو میں ہوئی تھی۔
It's no use crying over spilt milk.	اب بچھتائے کیا ہوت جب چڑیا چگ گئی کھیت۔
Leave more space between the lines.	لائنوں کے درمیان زیادہ فاصلہ دو۔
My grandfather likes reading books.	میرے دادا ابو کو کتابیں پڑھنے کا شوق ہے۔
My grandfather likes reading books.	میرے نانا ابو کو کتابیں پڑھنے کا شوق ہے۔
Shall I answer this letter for you?	میں آپ کی طرف سے اس خط کا جواب دوں؟
Shall I answer this letter for you?	میں تماری طرف سے اس خط کا جواب دوں؟
She got to the hotel late at night.	وہ ہوٹل کافی لیٹ پہنچی۔
She got to the hotel late at night.	وہ رات کو دیر سے ہوٹل پہنچی۔
The children are playing with toys.	بچے کھلونوں سے کھیل رہے ہیں۔
The dictionary on the desk is mine.	میز کے اوپر پڑی پوئی لغت میری ہے۔
The house fell down one week later.	وہ گھر ایک ہفتہ بعد ہی گر گیا۔
The house fell down one week later.	وہ گھر ایک ہفتہ بعد ہی زمین بوس ہو گیا۔
The house fell down one week later.	یہ گھر ایک ہفتہ بعد ہی گر گیا۔
The house fell down one week later.	یہ گھر ایک ہفتہ بعد ہی زمین بوس ہو گیا۔
The plane takes off in ten minutes.	جہاز دس منٹ میں اڑ جائے گا۔
They rescued the boy from drowning.	انہوں نے لڑکے کو ڈوبنے سے بچا لیا۔
Tom and Mary both know how to swim.	ٹام اور مریم دونوں تیراکی جانتے ہیں۔
Tom asked Mary why she was smiling.	ٹام نے مریم سے پوچھا کہ وہ کیوں ہنس رہی ہے۔
What is the origin of the universe?	اس کائنات کی ابتدا کیا ہے؟
Wolves don't usually attack people.	بھیڑیے عام طور پر لوگوں پہ حملہ نہیں کرتے۔
You must take care not to break it.	تم بس دھیان رکھنا کہ یہ ٹوٹے نا۔
You've got to keep this secret, OK?	تمہیں اس کو راز رکھنا ہوگا، ٹھیک ہے؟
You've got to keep this secret, OK?	تمہیں اس کو صیغہ راز میں رکھنا ہوگا، ٹھیک ہے؟
Are you by yourself or with someone?	تم اکیلے ہو یا کسی کے ساتھ ہو؟
Are you by yourself or with someone?	کیا آپ اکیلے ہے یا کسی کے ساتھ ہے؟
Australian women are very beautiful.	آسٹریلوی لڑکیاں بہت خوبصورت ہیں۔
Do you know how to use a dictionary?	تمہیں پتہ ہے کی لغت استعمال کیسے کرتے ہے؟
Do you know how to use a dictionary?	اپ کو لغت استعمال کرنا آتی ہے؟
Few people live to be 100 years old.	بہت کم لوگ ۱۰۰ سال کی عمر تک زندہ رہتے ہے۔
Few people live to be 100 years old.	۱۰۰ سال کی عمر نک بہت کم لوگ زندہ رہتے ہے۔
He earns three times more than I do.	وہ مجھ سے تین گنا زیادہ کماتا ہے۔
He is used to talking to foreigners.	وہ غیر ملکیوں سے بات کرنے کا عادی ہے۔
He stayed there during the vacation.	وہ چھٹیوں میں وہیں رہا۔
He went to bed because he was tired.	وہ سونے چلا گیا ہے کیونکہ وہ تھکا ہوا تھا.
How did the traffic accident happen?	ٹریفک حادثہ کیسے پیش آیا؟
I appreciate what you did yesterday.	میں مشکور ہوں آپ کا، جو آپ نے میرے لیئے کل کیا۔
I enjoyed watching TV for two hours.	میں نے دو گھنٹے ٹی وِی دیکھ کے کاافی مزہ کیا۔
I found this movie very interesting.	مجھے یہ فلم بہت دلچسپ لگی ہے۔
I found this movie very interesting.	میں نے اس فلم کو بہت دلچسپ پایا۔
I have nothing to do this afternoon.	میرے پاس آج دوپہر کچھ کرنے کو نہیں ہے۔
I used to love her, but not anymore.	میں اس سے پیار کرتا تھا مگر اب نہیں۔
I'll be sixteen on my next birthday.	میں اپنی اگلی سالگرہ پر سولہ سال کا ہو جائو گا۔
