Help!	Sakóru!
Stay with Tom in this room.	Abáyan me i Tom kéning kwártu.
Suddenly, it began to rain.	Kábirá-birá, migumpisáng minurán.
Tell Tom Mary's on the way.	Sabyán mu kang Tom papuntá ne i Mary.
Thank you for your opinion.	Salámat king kékang pamálak.
Thank you for your support.	Salámat king supórta.
Thanks for the advice, Tom.	Salámat king úsuk, Tom.
Thanks for the advice, Tom.	Salámat king páyu, Tom.
Thanks for the inspiration.	Salámat king inspirasyún.
Thanks for the opportunity.	Salámat king pámikatágun.
The bathroom's on the left.	Atyú king kaylî ing bányu.
The train was almost empty.	Álus alá yang lamán ing tren.
The worst is still to come.	Alá pa ing pékamarók.
This is my life's ambition.	Iní ing ambisyún ku king bye.
This is never going to end.	Éna mayári iní.
This is your bag, isn't it?	Bag me iní, alê?
This isn't my fault, is it?	Éku kasalánan iní, alê?
This isn't my fault, is it?	Éku kasalánan iní, e wári?
This isn't your fault, Tom.	Ému kasalánan iní, Tom.
This movie is really scary.	Taganáng mákatákut ya ing pelíkulá.
This was left on the porch.	Mélakwán ya iní king barkún.
This'll only take a minute.	Métung mung minútu iní.
Tom and I are both nervous.	Paréu kamíng nerbyósung Tom.
Tom and I are both nervous.	Paréu kamíng manérbyus Tom.
Tom and I had an agreement.	Míkásundú keng Tom.
Tom and I'll both be there.	Paréu keng muntá karing Tom.
Tom doesn't know the truth.	Éna bálung Tom ing katutwán.
Tom has come to a decision.	Mékápag-disisyún ne i Tom.
Tom should be home by 2:30.	Dápat 2:30 mékaúli ne i Tom.
Tom's patience has run out.	Mégísan na ing pasénsya nang Tom.
We have a lot to celebrate.	Dakál támu súkat pagmasusián.
We need Tom's strength now.	Kaylángan támu ngéni ing síkanán nang Tom.
We sometimes make mistakes.	í Neng kái mágkámali kamí.
We sometimes make mistakes.	Neng kái mágkámali támu.
What would you like to eat?	Nánung burí mung kanán?
Who doesn't like the beach?	Nínung e makí burî king bébe dayátmálat?
Why don't you both give up?	Ot éko paréung sumúku?
You're probably right, Tom.	Ustú ka sigúru, Tom.
You've told me that before.	Sinábi mu na yan káku.
Do you know much about that?	Dakál ka bálu tungkúl kaníta?
Don't expose it to the rain.	Éme páburéng miyuránan.
He always told me the truth.	Agyáng kapilán sasabyán na ing tutú káku.
He failed the entrance exam.	Mibagsak ya king pamagsulit bang matanggap.
He failed the entrance exam.	Mibagsak ya king "entrance examination".
I came to Boston last month.	Mintá ku king Boston anyáng mílabásan a búlan.
I could scarcely believe it.	Éku maybúg paníwalán.
I don't have any cash on me.	Alá kung dadaláng kwálta.
I like milk more than juice.	Mas burí ku ing gátas késa king katás ning prútas.
I pushed Tom into the water.	Tinúlak ke i Tom king danúm.
I'm leaving early next week.	Makó ku keng tútukíng Duminggú.
I'm more beautiful than you.	Mas malagú ku késa kéka.
I've heard this song before.	Dimdám kuné iníng kantá kaníta.
It looks like Tom was right.	Balámu ustú ya i Tom.
It's not that big of a deal.	E maragúl a báge itá.
Let me walk you to your car.	Burén mung yatád daká king kótsi mu.
My parents were proud of me.	Págmaragúl dáku deng péngári ku.
Please excuse my being late.	Panúpáya mung mítawlí ku.
Please excuse my being late.	Panúpáya yung mítawlí ku.
Please excuse my being late.	Panúpáya yu pung mítawlí ku.
That's a good-looking woman.	Malagú yang babái yan.
Their flag is blue and gold.	Iró ya ampóng gintú ing karélang bandéra.
Their flag is blue and gold.	Asúl ya ampóng gintú ing karélang bandéra.
Tom kind of looks like John.	Kawángis neng Tom i John.
Tom took his headphones off.	Léko nong Tom deng headphone na.
Tom wished he was with Mary.	Burí nang Tom kayabé ne i Mary.
What does Tom eat for lunch?	Nánung kakanán nang Tom neng paugtwán?
Are you looking for somebody?	Atín kang páyntunán?
Can we talk about this later?	Malyári táyang pisabyán iní kaybát?
Do your best and don't worry.	Gáwan mu ing agyú mu at éka migáganakâ.
Have you ever been to Mexico?	Mintá naká Mexico?
Have you seen Tom's passport?	Ikít mu ne ing pasápórti nang Tom?
He laid his bag on the table.	Timpák ne ing bag na king lamésa.
He plays the piano very well.	Taganáng masalése yang tigtíg piánu.
He put some coins in the box.	Mangíbilí kang sisilyú king kahún.
How many times have you gone?	Mékatapilán naká mintá?
I cannot afford to buy a car.	Éku agyúng sáling kótsi.
I don't want to go to school.	Éku bísang muntá king iskwéla.
I don't want to go to school.	Éku bísang lungúb.
I have a lot of credit cards.	Dakál ku credit card.
I have to study for the exam.	Kaylángan kung manigáral pará king pámagsúlit.
I haven't found anything yet.	Alá ku pang ápayntún.
I know it's important to you.	Bálu kung maúlagá kéka.
I was home all day yesterday.	Patingápun ku king kékami nápun.
I'm not frightened of ghosts.	Éku tátakút karéng máglalagé
I'm tired of waiting in line.	Mapagál nákung mánáya king píla.
I'm trying to get some sleep.	Susúbúkan kung makátudtúd.
May I borrow your dictionary?	Malyári keng andamán ing diksyunáryu mo?
May I borrow your dictionary?	Páramá'nang diksyunáryo?
Nobody seems to be in charge.	Balámu aláng mánibálâ.
Now we don't know what to do.	E tana balu nung nanung gawan tamu.
One language is never enough.	Kúlang ya ing métung a amánu.
She has a flower in her hand.	Atín yang tatalnán a sampága.
That car is really expensive.	Taganáng mal ya ing kótsing yan.
That's just how I was raised.	Makanyán dákung péparagúl.
Tom visited Boston last year.	Tínágun ya king Boston banwáng métung i Tom.
Tom wanted to save the world.	Burí neng sagipán Tom ing yátu.
Tom wanted to save the world.	Burí neng iligtás Tom ing yátu.
Tom wanted us to talk to you.	Burí nakamíng makisábi kékang Tom.
Tom wasn't listening to Mary.	E mákiramdám kang Mary i Tom.
What did we do to each other?	Nánung géwa támu king métung at métung?
You have thirty minutes left.	Atín kang trénta minútus a mitátágan.
You'll go to school tomorrow.	Magáral ka búkas.
"Thank you." "You're welcome."	"Salámat." "Aláng nánu namán."
All that glitters is not gold.	E bálang kíkisláp gintû.
Do you want to do this or not?	Burí mung gáwan iné o alî?
He comes here every five days.	Bálang limá yang aldóng dáratang kéni.
How did Tom solve the problem?	Makanánu neng álutás Tom ing prubléma?
How many moons does Mars have?	Pilán ya búlan ing Mars?
I am thankful for my children.	Pásalámat ku karéng ának ku.
I am thankful for my children.	Pásalámat ku karéng áná'ku.
I bought a book about animals.	Sínalí kung librú tungkúl karéng animál.
I had never been there before.	Éku pa míras karín.
I have plans with Tom tonight.	Atin kung plánu kayábe ya i Tom pótang béngi.
I just don't know what to say.	Taganáng éku bálu ing sabián ku.
I need to buy some rat poison.	Kaylángan kung sáling lásun dagís.
I think Tom forgot his camera.	King palagé ku ákalingwán neng Tom ing kayáng camera.
I thought Tom was from Boston.	Balá ku tagá Boston ya i Tom.
I thought Tom was from Boston.	Balá ku táu ya Boston i Tom.
I'd like to ask you about Tom.	Burí rakáng kutnán tungkúl kang Tom.
I'm old, but I'm not that old.	Matwá ku, óneng ékupá makanyán katwá.
No one respected men like him.	Éro gágalang karéng táung kalúpa na.
That's the crux of the matter.	Itá ing búsal ning pisásabián.
The old man stood on the hill.	Tínikdó ya ing matwáng laláki king bábo talímundúk.
The old man stood on the hill.	Tínikdó ya ing matwáng laláki king bábo bundúk-bundúkan.
Tom didn't get what he wanted.	Éna ikwáng Tom ing burí na.
Tom didn't go to the hospital.	E mintá king óspital i Tom.
Tom didn't look like a doctor.	E lúpang dóktor i Tom.
Tom didn't show up for dinner.	E migpaltó anyáng apúnan i Tom.
Tom doesn't appear to hear us.	Balámu e nakatámu darámdamán Tom.
Tom doesn't eat a lot of meat.	E mapamangán kárni i Tom.
Tom doesn't even know my name.	Éne man bálung Tom ing lagyú ku.
Tom doesn't have a girlfriend.	Alá yang táu i Tom.
Tom doesn't have long to wait.	E kaylángang manáyang malambát i Tom.
Tom doesn't know Mary is here.	Éná bálung Tom a atyú i Mary.
Tom doesn't know what that is.	Éná bálung Tom nung nánu itá.
Tom doesn't like me very much.	Énáku masyádung buríng Tom.
Tom doesn't seem tired at all.	Balámu e bitasáng mapagál i Tom.
Tom drove along a desert road.	Migmanéu ya i Tom king métung a dálan king disyértu.
Tom finished doing the dishes.	Áyári nong inós Tom deng pinggán.
Tom had something in his hand.	Atín yang tatalnán i Tom.
Tom has a wife and three kids.	Atín yang asáwa ampóng atlúng ának i Tom.
Tom is married to a foreigner.	Dáyu ya ing asáwa nang Tom.
Tom knows time is running out.	Bálu nang Tom a magigísan na ing panaún.
Tom might not make it in time.	Pota e miratang king ustung oras i Tom.
We have made friends with Tom.	Méki-kalugúran tána kang Tom.
We have made friends with Tom.	Méki-kalugúran nakamí kang Tom.
We reported his disappearance.	Pépabálû mi ing kayáng pángawalâ.
We reported his disappearance.	Bélítâ mi ing kayáng pángawalâ.
We reported his disappearance.	Simbúng mi ing kayáng pángawalâ.
What did you do to each other?	Nánung géwa yu king métung at métung?
What did you do to each other?	Mípagnánu kayú?
What do you think I was doing?	King palagé mu nánánu ku?
When do you usually eat lunch?	Kéraklán nánu kang óras máugtu?
Which group is your friend in?	Núkarín yang grúpu ing kálugúran mu?
Why isn't Tom doing something?	Ot alá yang gagáwan i Tom?
Are you going to do that again?	Gáwan mung pasíbáyu itá?
Are you going to do that again?	Gáwan mung pasíbáyu yan?
Everyone has their own opinion.	Atín lang pamálak deng sablá.
How do I get to the other side?	Makanánu kung mirás king sumángid?
How do you say that in Italian?	Makanánu mung sabyán itá king Italiánu?
I didn't like what Tom gave me.	Éké burí ing binyé na kákung Tom.
I wish I'd never told Tom that.	Ékuná sâ sinábi kang Tom itá.
I wish I'd never told Tom that.	Sána ékuná sinábi kang Tom itá.
It's a waste of time and money.	Sáyang ing panaún ampó ing péra.
Mary probably knows I like her.	Bálu na sigúrung Maryng burí ke.
Nothing is as precious as love.	Alá yang kasíng-ulagá ing lugúd.
She carried off all the prizes.	Simbút no ngan deng prémyu.
She carried off all the prizes.	Simbút no ngan deng galál.
She has quite a lot of clothes.	Dakál ya imálan.
She quickly went up the stairs.	Mabilís yang ménik king éran.
She will return within an hour.	Mibálik ya kilúb ning métung a óras.
Show me what you're capable of.	Pákit mu káku ing agyú mung daptán.
So far he has admitted nothing.	Alá ya ang inámin.
The city was destroyed by fire.	Mésíra ya ing lakánbalén úling king siláb.
The city was destroyed by fire.	Mésíra ya ing syudád úling king siláb.
The shop carried leather goods.	Atín yang bágeng gawá king balát ing tindáhan.
They might be able to help you.	Póta ásopan daká.
This is what's going to happen.	Iní ing malyári.
This is what's going to happen.	Iní ing marapát.
Tom certainly is knowledgeable.	Taganáng maténákan ya i Tom.
Tom doesn't feel like studying.	E maybúg manígáral i Tom.
Tom got stuck in a traffic jam.	Mésípit ya i Tom king trápik.
Tom is a little taller than me.	Mas mátas yang bagyá késa káku i Tom.
Tom is driving to the hospital.	Mágmanéu ya papuntá king óspital i Tom.
Tom worked until late at night.	Mégobrá ya i Tom anggáng malálam ing béngi.
What happened to Tom's parents?	Nánung milyári karéng péngari nang Tom?
When he arrived, I made coffee.	Karatáng na, ményangkáp kung kapé.
Why did you quit using Twitter?	Ot línwal ka king Twitter?
You're the tallest person here.	Íka ing pékamátas a táu kéni.
A baby craves its mother's milk.	Pánintunán ning bíngut ing gátas ning imá na.
Did you hear about Tom and Mary?	Ábalitán mu na ing tungkúl kang Tom ampó kang Mary?
Didn't you see Tom at the party?	Éme ikít i Tom king party?
Didn't you see Tom at the party?	Éme ikít i Tom king sulú-sulú?
Don't let him keep this picture.	Ému páburéng isínup ne iníng letrátu.
Don't you want to see your kids?	Émo buríng ákit deng ának mo?
He was asking about your health.	Kokómustán na ing kékang pamikákatán.
He was asking about your health.	Kokómustán na ing kékang kabúlásan.
I don't know if I have the time.	Éku bálû nung atín kung óras.
I don't know if I have the time.	Tabálu nung atín kung óras.
I want to buy a dozen doughnuts.	Bísa kung sáling métung a dusénang dónat.
I won't let anything bad happen.	Éku paburéng atíng malyáring marók.
I'll be with you in ten minutes.	Puntalán daká kilúb ning apúlung minútu.
I'm exhausted. I'm going to bed.	Sínáyad ku. Matudtúd náku.
I'm sorry I'm late. I overslept.	Panúpáya yu, mítawlí ku. Éku gad mígísing.
I'm sure this is only temporary.	Sigurádu kung pansamántalá mû iní.
Is there a McDonald's near here?	Atíng McDonald's a malápit kéne?
It's not going to happen to Tom.	E marapát kang Tom itá.
It's not going to happen to Tom.	E malyári kang Tom itá.
She shut herself up in her room.	Migkulúng ya king kwártu na.
They usually sleep in this room.	Kéraklán kéni lang kwártu mátudúd.
This truck is in need of repair.	Kaylángan yang larínan iníng trak.
Tom couldn't suppress his anger.	Éna ápígil Tom ing kayang mwâ.
Tom didn't buy me what I needed.	Énáku pényalíng Tom king kaylángan ku.
What kind of mushrooms are they?	Nánu lang klásing kwat?
Why don't you just let Tom help?	Ot ému ne mû paburéng sumáup i Tom?
You all remember Tom, don't you?	Átatandánan ye ngan i Tom, e warí?
You don't know a thing about me.	Alá kang bitasáng bálu káku.
You will have to go without her.	Kaylángan yung makóng éya kayábe.
You will have to go without her.	Kaylángan mung makóng éya kayábe.
Armenia is a mountainous country.	Mabundúk yang bangsá ing Armenia.
He's three years older than I am.	Mas matwá yang atlúng banwá késa káku.
I couldn't sleep well last night.	Éku mékatudtúd masálése nabéngi.
I have a brand new pair of socks.	Atín kung báyung páris a médyas.
I thought Tom would buy that car.	Baláku salwán neng Tom ing kótsing yan.
I want you to turn off the radio.	Burí ku patdán me ing rádyu.
I would like to buy some aspirin.	Bísa kung sáling aspirin.
I'll loan you the money you want.	Páram ku kéka ing pérang burí mu.
I'll loan you the money you want.	Páramán daká kétang pérang burí mu.
Mary thinks I'm in love with her.	Balá nang Mary malsintá ku kayá.
She could feel her knees shaking.	Pánamdamán nong gágalgál deng tud na.
She was scared to cross the road.	Tátákut yang lumípat king dálan.
Something is better than nothing.	Mas masantíng ing atín késa king alâ.
There are 50 members in the club.	Limá lang púlû deng kayánib king águman.
Tom almost never asks about that.	Álus e mángutáng tungkúl kaníta i Tom.
Tom had never seen Mary so happy.	Éne pa ikít Tom makanyán kasayâ i Mary.
Tom jumped out of the helicopter.	Línundág ya i Tom palwál king helicopter.
Tom told me to give this to Mary.	Pépabyé ne kákung Tom kang Mary iní.
Tom waited for Mary to come back.	Pénaya neng mibálik Tom i Mary.
Tom waited in front of the house.	Ménaya ya king aráp ning balé i Tom.
Tom went into a corner and cried.	Mintá ya king súluk i Tom at kínyak ya.
What did you call me in here for?	Ot ináus mukú kéni?
You're in better shape than I am.	Mas masantíng ka katáwan késa káku.
Almost all of us can speak French.	Álus íkamí ngan byásang magsalítang Pransés.
Are your parents going to be home?	Atyú la king kékayú deng péngári mo?
Do you think it's safe to do that?	King palagé mu ligtás gáwan itá?
He refused to shake hands with me.	E ya mekigalame kaku.
How will you manage without a job?	Makánánu ka nung alá kang óbra?
I didn't know Tom lived in Boston.	Éku bálung makátuknáng ya king Boston i Tom.
I didn't know anything about this.	Alá kung kabalú-bálu tungkúl kaníti.
I think Tom did the best he could.	King palagé ku géwa nang Tom ing agyú na.
I'm going to miss being a teacher.	Payntunán ku ing pángaméstru.
I'm going to miss being a teacher.	Payntunán ku ing pángaméstra.
I'm going to miss being a teacher.	Payntunán ku ing pángataláturû.
My boss called me into his office.	Ináus náku ning bos ku king káyang upisína.
She got him to eat his vegetables.	Ápakán no kayá deng gúle na.
The city wants to extend the road.	Buri neng pakabán ning syudád ing dálan.
The city wants to extend the road.	Buri neng pakabán ning lakánbalén ing dálan.
The city wants to extend the road.	Buri neng pakabán ning ciudad ing dálan.
The river is widest at this point.	Kéni ya pékamalápad ing ílug.
The store might be closed already.	Pota makasara ne ing tindahan.
There's nothing I can do about it.	Alá kung ákarapát kaníta.
They stayed one more day together.	Métung la pang aldóng míyabé-ábe.
This house has a solid foundation.	Matíbe ya pundasyún ing baléng iní.
Tom carried Mary on his shoulders.	Binwat neng Tom i Maria kareng pago na.
Tom has something he wants to say.	Atín yang buríng sabián i Tom.
Tom laid the racket on the ground.	Kinéra neng Tom ing rakéta king gabún.
Tom lives on a farm in California.	Mánuknángan ya king maranglé king California.
Tom should've asked Mary for help.	Dápat pépasáup ya i Tom kang Mary.
Tom took everything to his office.	Déla nang Tom ing éganáganá king upísína na.
Tom took everything to his office.	Déla nang Tom ing sablá king upísína na.
We arrived at the station at five.	Alás singkú keng míras king istasyún.
When Tom drinks, everybody drinks.	Neng míminúm ya i Tom, deng éganáganá míminúm la.
Would you like something to drink?	Bísa kang inumán?
Would you like something to drink?	Bísa kang minóm?
Would you like something to drink?	Atín kang buríng inumán?
Are you sure you're ready for this?	Sigúrádu kang makásadyá ka kaníne?
Are you sure you're ready for this?	Sigúrádu kang makásadyá ka kaníte?
Can you get this trash out of here?	Pakílakó mu iníng basúra kéni.
Could you please turn the radio on?	Pakísalangyán mu ne mo ing rádyo?
Do you have any problems with that?	Atín kang probléma kaníta?
Have they given you a nickname yet?	Dinínan danakáng paláyo?
How do you plan on paying for that?	Makanánu mung babalákang bayáran itá?
How many close friends do you have?	Pilán la reng malápit mung kálugúran?
I can speak many African languages.	Mákápagsalíta kung dakál a amánu ning Africa.
I don't think Tom has met Mary yet.	King palagé ku éne pa ikít Tom i Mary.
I never should've brought you here.	Éraka dápat déla kéni.
It is said that she is a good cook.	Magalíng ya kanúng maglútû.
She goes to the movies once a week.	Misán ya parúminggúng mánalbeng síne.
Some kinds of food make us thirsty.	Mákakáwa lang dánum deng áliwáng klásing pámangán.
Termites are destroying the houses.	Sisirán dong áne deng balé.
They want to know what's happening.	Burí rang ábálû nung nánung malilyári.
Tom didn't want to live any longer.	Éne bísang kumabyé i Tom.
Tom got some money from his father.	Kínangwa yang kwálta kang táta na i Tom.
Tom helped Mary escape from prison.	Sinópan neng Tom tumákas king sukúlan i Mary.
Tom is getting ready to go to work.	Mágsadyá yang magóbra i Tom.
Tom never goes to places like that.	E bitasáng púnta karéng lugál a antí kaníta i Tom.
Tom went to Boston three years ago.	Mintá ya king Boston i TOm atlú nang banwá ing mílábas.
Tom won't be that easy to convince.	E makanyán kalagwáng kumbinsyán i Tom
We can't pretend it never happened.	Éta malyáring magkanwaríng e milyári itá.
We'll have a French test on Monday.	Miká pámagsúlit támu king Pransés keng Lúnis.
We're concerned about Tom's future.	Makí masabál kamí king payntungúlan nang Tom.
We're concerned about Tom's future.	Migáganaká kamí king payntungúlan nang Tom.
What are you shaking your head for?	Ot pípilíng ka?
Why don't you want to come with us?	Ot éka bísang túki kékami?
You're going to tell us everything.	Sabián mu kékamí ing éganáganá.
You're the one who brought me here.	Íka ing migdalá káku kéni.
Could you find a room for my sister?	Ápanintún meng kwártu ing kapatád kung babái?
Have you ever had your fortune told?	Pépaulá naká?
He showed me how to use this camera.	Pépákit na káku nung makanánu yang gamítan iníng kámera.
He's not the same man he used to be.	Aliwa neng tau ketang kakilala ku.
His wife was killed in the accident.	Méte ya ing asáwa na king aksidénti.
I think you know what we have to do.	King palagé ku bálu mu ing kaylángan tang gáwan.
I was in bed all day long yesterday.	Patingápun kung atyú king pagkéran nápun.
If Tom is really alive, where is he?	Nung taganáng mabyé ya i Tom, núkarín ya?
Is that all you're going to tell me?	Yan mu ing sabián mu kakó?
Let's discuss that problem tomorrow.	Búkas táya pisabyán ing prublémang itá.
She was educated by her grandfather.	Pépagáral ne ning ingkúng na.
Take things a little more seriously.	Siryósuan mong bagyá deng báge.
The answer was right in front of me.	Atyú mû king aráp ku ing pakíbat.
The jets took off one after another.	Tukí-tukí lang sínulagpó deng jet.
We looked down at the beautiful sea.	Lináwe miyá ing masantíng a dáyatmálat.
An old woman limped along the street.	Tínikúl ya king dálan ing métung a matwáng babái.
Don't worry. It won't take very long.	Éka migáganakâ. E lumbát iní.
Don't worry. This won't happen again.	Éka migáganakâ.Éna marapát pasíbáyu iní.
He earns three times as much as I do.	Makatatlú karakál ing pánakitá'na késa káku.
I couldn't do this without your help.	Éku ágawâ iní nuné king sáup mu.
I didn't want to appear hypocritical.	Éku bísang luntóng ipókritu.
I want you to get started right away.	Burí ku tambíng kang magúmpisá.
If you're looking for a job, call me.	Nung mánintún kang óbra, awsán mukú.
Necessity is the mother of invention.	Ing pámangaylángan ing indú pámaglaláng.
Should I tell Tom you're unavailable?	Sabyán ku kang Tom a éka malyáre?
Tell me again who will be helping us.	Sabián mung pasibáyu káku nung nínung sumáup kékatámu.
There are no flowers growing on Mars.	Aláng sampágang tútúbu king Mars.
Tom came over to my house last night.	Mintá ya king balé ku i Tom nabéngi.
Tom doesn't know why Mary isn't here.	Éna bálung Tom ot alá yu kéni i Mary.
Tom's dirty clothes are on the floor.	Atyú la king landé deng marinát nang imálang Tom.
We're leaving the day after tomorrow.	Keng makadwá kamí makó.
We're leaving the day after tomorrow.	Keng makadwá támu makó.
What did Tom say about what happened?	Nánung sinábi nang Tom kétang milyári?
You should report this to the police.	Kaylángan isumbúng mu iní king pulís.
Your watch seems to be very valuable.	Lúpa yang taganáng maulagá ing riló mu.
Your watch seems to be very valuable.	Lúpa yang asnáng kamál ing riló mu.
Can you think of anyone more suitable?	Atín kang áisip a táung mas báge?
Do you have a crowbar in your toolbox?	Atín kang balwát king kékang kahún kasangkápan?
Does anybody have a problem with this?	Atíng makí prubléma kanité?
Few people seem to have read the book.	Balámu dítak la pámung táu deng mékapamása na king librú.
How many people are on board the ship?	Pilán lang táu deng makásaké king bapór?
I'm tired of living this kind of life.	Mapagál nákung mabibyéng antí kaníni.
The children ran toward the classroom.	Memulayi la reng ának papunta king clasi.
The children ran toward the classroom.	Memulayi la reng ának papunta king classroom.
Tom doesn't really mean that, does he?	Éna taganáng sasaryán Tom itá, alé?
Tom may have been there. I don't know.	Malyáring atyú karín i Tom. Éku bálû.
Tom took some money out of the drawer.	Miglwál yang péra i Tom king kahún lamésa.
Where do you think all the money goes?	King palagé mu, nukarín ngan mirarás ing péra?
Where do you think all the money goes?	King palagé mu, nukarín ngan mirarás ing cuálta?
Which would you prefer, coffee or tea?	Sánung burí mu, kapé o tsa?
As far as I know, Tom is still married.	Ing bálu ku, talásáwa ya pa i Tom.
Have you ever seen one of these before?	Atín nakáng ikít métung man karéne?
I have no idea where Tom hid the money.	Alá kung kabalú-bálâ nung nung núkarín na sélikút Tom ing péra.
I have to get home before it gets dark.	Kaylángan kung múlî báyu dálumdúm.
I think it's possible that he may come.	Palagé ku malyáring dátang ya.
I told Tom everything I could think of.	Sinábi ku ngan kang Tom ing áisip ku.
It is very important to keep your word.	Maúlagáng tuparán mu ing kékang sinábi.
Maybe it's a good thing Tom isn't here.	Sigúru masantíng a alá yu kéni i Tom.
Thank you for inviting me to the party.	Salamat king pamanagkat kaku king party.
The boy was accompanied by his parents.	Inabáyan de reng péngari na ing anák a laláki.
The entire nation was glad at the news.	Masayá ya ing mabílug a bangsâ king balítâ.
There are a million people in Auckland.	Métung lang milyún deng táu king Auckland.
These are my shoes and those are yours.	Déni deng sapátus ku at déta deng kéka.
Tom and I are the only ones still here.	I Tom námu ampó yáku ing atyú pa kéni.
Tom and I used to play tennis together.	Mipág-tennis keng Tom kaníta.
Tom used to go fishing with his father.	Tútukí yang mámadwás i Tom kang táta na kaníta.
Tom wouldn't do what I asked him to do.	Éna gáwang Tom ing pépagawá ku kayá.
We've been wondering where you've been.	Mágtaká kamí nung núkarín ka ibát.
Come here. I want to show you something.	Mékéni. Atín kung buríng pákit kéka.
Do you think Tom knows how to get there?	King palagé mu byása yang muntá karín i Tom?
I bought this book in Boston last month.	Séli ke iníng librú king Boston anyáng mílabásan a búlan.
I didn't know you were from Boston, too.	Éku bálung ibát ka namán Boston.
I lived in Boston for about three years.	Atlú kung banwáng ménuknángan king Boston.
Tom came in and handed Mary an envelope.	Dínatáng ya i Tom at dinínan neng sóbri i Mary.
Tom hasn't written to me in a long time.	Malambát neng e súsúlat káku i Tom.
Tom translated the contract into French.	Liníkas neng Tom king Pransés ing kontráta.
Cats have the ability to see in the dark.	Mánákit la king madalumdúm deng púsâ.
Did you know Tom was seeing someone else?	Bálu mung atín yang aliwáng pákikitán i Tom?
He proposed that we should start at once.	Pépamunikála nang magumpisá keng tambíng.
He proposed that we should start at once.	Pépamunikála nang magumpisá támung tambíng.
He proposed that we should start at once.	Pépawagá nang magumpisá keng tambíng.
He proposed that we should start at once.	Pépawagá nang magumpisá támung tambíng.
I don't remember where I put my car keys.	Éku átatandánan nung nu ko biníli deng súsi ning kótsi ku.
I just want you to know that Tom is safe.	Burí kū mung ábálu mung ligtás ya i Tom.
I will tell it to him at the proper time.	Sabián ku kayá king ustúng panaún.
It was Tom who told me what had happened.	I Tom ing sínabi káku king milyári.
My father came back from Osaka last week.	Míbálik ya íbat Osaka anyáng mílábas a duminggú i tátang ku.
Please explain the rules of soccer to me.	Pakí-ispliká mo káku deng pátakarán ning soccer.
The time bomb exploded with a loud noise.	Masikan yang memakbung ing "time bomb".
There were few children in the classroom.	Dítak la reng ának king kwártu.
You can mix different foods in a blender.	Ápisamút-sámut mo reng miyáyaliwáng pámangán king blender.
You have told Tom the truth, haven't you?	Sinábi mu na kang Tom ing tutú, e warí?
He does nothing but watch TV all day long.	Alá yang gagáwan nuné manalbéng TV patingápun.
He graduated from high school this spring.	Méyári ya king mátas a pipágarálan ngéning kasíbul.
I don't even know what Tom's last name is.	Éke man bálu ing pilídu nang Tom.
I don't want them to take advantage of me.	Éku burí ing samántalánan dáku.
I don't want them to take advantage of me.	Éku bísang pasámantalá karéla.
I exercise because I want to stay healthy.	Mág-exercise ku úling bísa kung manátíling masánting katáwan.
I exercise because I want to stay healthy.	Mág-exercise ku úling bísa kung manátíling masánting mabúlas.
I will lend you as much money as you want.	Páramán daká nung makanánu karakál a péra ing burí mu.
Tom doesn't have to be at today's meeting.	E kaylángang tumágun king púlung ngéni i Tom.
Tom finished his coffee and left for work.	Gísan neng Tom ing kapé na at méko ya bang magóbra.
Tom thinks that I was in Boston last week.	Balá nang Tom atyú ku Boston anyáng mílabásan a Dumínggu.
We always play tennis on Saturday morning.	Pané keng mámyálung tennis neng Sábadung ábak.
We disputed for hours about what to write.	Pilán kamíng óras mipámakíbat tungkúl king isúlat.
We've been married more than thirty years.	Maygít nakéng atlúng púlung banwáng miyásáwa.
What's going to happen that's so terrible?	Nánung malyáring misnáng kagrábi?
You won't find a dog bigger than this one.	Éka manákit ásung mas maragúl késa kaníti.
Do you think I'd look good with a mustache?	King palagé mu báge káku ing atíng bigóte?
He was arrested because he stole the money.	Mérakap ya ulíng pénako na ing péra.
He will arrive on the afternoon of the 5th.	Dátang ya keng gatpanápun ning a-singkú.
I didn't know Tom didn't understand French.	Éku bálung e mákáintindíng Pransés i Tom.
I have to find out when Tom plans to leave.	Kaylángan kung ábálû nung kapilán ya mágbálak makó i Tom.
It looks like Tom isn't interested in that.	Balámu e interesádu kanyán i Tom.
My parents still haven't met my girlfriend.	E re pa ikít deng péngári ku ing táu ku.
Tom and Mary split up after their son died.	Míkawáni ya i Tom ampó i Mary kaybát nang méte ning anák dang laláki.
Tom is the only person who can help me now.	I Tom mû kabúd ing táung makásáup káku ngéni.
We made use of the maps during our journey.	Gínámit kamíng mápa king byáhi mi.
We'll tell Tom everything he needs to know.	Sabyán támu kang Tom ing éganáganáng kaylángan nang ábálû.
What should we do during our next vacation?	Numánu támu keng tútuki tang bakasyún?
Would you like another helping of potatoes?	Bísa ka pang patátas?
Could you send me more information by email?	Makápagparlá kang karágdagágan impormasyún king e-mail?
He came late, as is often the case with him.	Tawlí yang dínatáng, antí ing maralás nang gagáwan.
I don't want to work under these conditions.	Éku bísang magóbra nung makanyán ing kábilyán.
I told them they didn't have to do anything.	Sábi ku karéla alá lang kaylángang gáwan.
I was about to leave when the doorbell rang.	Palakó náku anyáng tigtíg ya ing tímbre.
New York State is almost as large as Greece.	Álus kasíndagúl ne ning Grécia ing Estádo ning New York.
