Who?	Hvem?
Tom is different now.	Tom er annerledes nå.
Tom is looking tired.	Tom ser sliten ut.
Tom is losing weight.	Tom går ned i vekt.
Tom is still outside.	Tom er fremdeles utenfor.
Tom is still outside.	Tom er fremdeles utendørs.
Tom is still outside.	Tom er fortsatt ute.
Tom wants to keep it.	Tom vil beholde den.
Tom wants to keep it.	Tom vil beholde det.
Tom wasn't very good.	Tom var ikke veldig god.
Tom wasn't very good.	Tom var ikke veldig dyktig.
We know who they are.	Jeg vet hvem de er.
We met along the way.	Vi møttes på veien.
We ran down the hill.	Vi løp ned bakken.
What are you reading?	Hva er det du leser?
What do you want now?	Hva er det nå du vil?
What do you want now?	Hva vil du nå?
What happened to Tom?	Hva skjedde med Tom?
Where is your school?	Hvor er skolen din?
Where's the restroom?	Hvor er toalettet?
Which way will we go?	Hvilken vei skal vi gå?
Who am I speaking to?	Hvem snakker jeg med?
Who are those people?	Hvem er de folkene?
Whose guitar is this?	Hvem sin gitar er dette?
Whose guitar is this?	Hvem eier denne gitaren?
Why did you go there?	Hvorfor gikk du dit da?
Why don't we go home?	Skal vi gå hjem?
Why would I be happy?	Hvorfor skulle jeg være glad?
You are irresistible.	Du er uimotståelig.
You can bank on that.	Det kan du banne på.
You can use this car.	Du kan bruke denne bilen.
You can't be serious.	Det kan du ikke mene.
You can't be serious.	Det mener du ikke.
You could've done it.	Du kunne klart det.
You look happy today.	Du ser glad ut i dag.
You missed the point.	Du skjønte ikke poenget.
You missed the point.	Du tok ikke poenget.
You missed the point.	Du fikk ikke med deg poenget.
You seem to be tired.	Du ser trøtt ut.
You shouldn't go out.	Du burde ikke gå ut.
You're a kind person.	Du er en snill person.
You're extraordinary.	Du er ekstraordinær.
You're going too far.	Du går for langt.
You're indispensable.	Du er uunnværlig.
You're looking tired.	Du ser trøtt ut.
You're overconfident.	Du er overlegen.
You're such a weirdo.	For en raring du er.
You're unimaginative.	Du har dårlig fantasi.
You're unpredictable.	Du er uforutsigbar.
You've got a problem.	Du har et problem.
You've got my helmet.	Du har hjelmen min.
You've hurt me a lot.	Du har såret meg mye.
Your answer is wrong.	Svaret ditt er feil.
Always tell the truth.	Fortell alltid sannheten.
Are they all the same?	Er de alle like?
Are you feeling tired?	Føler du deg trøtt?
Are you ready for bed?	Er du klar for sengen?
Are you ready to play?	Er du klar til å spille?
Are you seeing anyone?	Er du sammen med noen?
Are you talking to me?	Snakker du til meg?
Call me at the office.	Ring meg på kontoret.
Can I borrow your pen?	Kan jeg låne pennen din?
Can I buy you a drink?	Kan jeg kjøpe deg en drink?
Can I use your pencil?	Kan jeg bruke blyanten din?
Can you get a day off?	Kan du ta en dag fri?
Can you guess her age?	Hvor gammel tror du hun er?
Can you keep a secret?	Kan du holde en hemmelighet?
Come to watch us play.	Kom og se oss spille.
Count from one to ten.	Tell fra en til ti.
Did you buy a new car?	Kjøpte du ny bil?
Did you like the meal?	Smakte maten?
Dinner's almost ready.	Middagen er nesten klar.
Do you believe in God?	Tror du på gud?
Do you have a vacancy?	Har du et ledig rom?
Do you have some milk?	Har du melk?
Do you hear something?	Hører du noe?
Don't be so defensive.	Ikke vær så defensiv.
Don't call the police.	Ikke ring politiet.
Don't call the police.	Ikke tilkall politiet.
Don't close your eyes.	Ikke lukk øynene.
Don't drink the water.	Ikke drikk vannet!
Don't get sentimental.	Ikke bli sentimental.
Don't joke about that.	Ikke spøk med det.
Don't let it stop you.	Ikke la det stoppe deg.
Don't let me die here.	Ikke la meg dø her.
Don't settle for less.	Ikke nøy deg med mindre.
Everything's in order.	Alt i orden.
Everything's in place.	Alt er på plass.
Everything's so cheap.	Alt er så billig.
Follow your instincts.	Følg dine instinkter.
Get back to your post.	Gå tilbake til vaktposten din.
Have you told anybody?	Har du fortalt noen?
Haven't we met before?	Har ikke vi møttes før?
He finally made money.	Endelig tjente han penger.
He had a strong alibi.	Han hadde et solid alibi.
He has a Japanese car.	Han har en japansk bil.
He has a large family.	Han har en stor familie.
He has a little money.	Han har litt penger.
He has three children.	Han har tre barn.
He is living in Tokyo.	Han bor i Tokyo nå.
He's with his parents.	Han er med sine foreldre.
How can you know that?	Hvordan kan du vite det?
How high can you jump?	Hvor høyt kan du hoppe?
How long ago was that?	Hvor lenge siden var det?
How long did you stay?	Hvor lenge ble du?
How long will it take?	Hvor lang tid vil det ta?
How's your wife doing?	Hvordan har din kone det?
I admire your courage.	Jeg beundrer motet ditt.
I am an office worker.	Jeg er kontorarbeider.
I am not studying now.	Jeg studerer ikke nå.
I can hardly hear you.	Jeg kan knapt høre deg.
I can't do it anymore.	Jeg klarer ikke å gå lengre.
I can't see the movie.	Jeg kan ikke se filmen.
I cried earlier today.	Jeg gråt i sted.
I didn't ask for help.	Jeg spurte ikke om hjelp.
I didn't even see you.	Jeg så deg ikke engang.
I didn't fall in love.	Jeg forelsket meg ikke.
I didn't feed the dog.	Jeg matet ikke hunden.
I didn't get the joke.	Jeg skjønte ikke vitsen.
I didn't get the joke.	Jeg tok ikke poenget til vitsen.
I didn't mean to yell.	Jeg mente ikke å skrike.
I didn't shoot anyone.	Jeg skjøt ingen.
I don't get paid much.	Jeg får ikke mye betalt.
I don't have a ticket.	Jeg har ikke billett.
I don't have the time.	Jeg har ikke tid.
I don't like to guess.	Jeg liker ikke å gjette.
I don't live with Tom.	Jeg bor ikke med Tom.
I don't need your job.	Jeg trenger ikke jobben din.
I don't understand it.	Jeg skjønner det ikke.
I found the box empty.	Jeg merket at boksen var tom.
I found the game easy.	Jeg syntes spillet var lett.
I had my money stolen.	Pengene mine ble stjålet.
I had to get up early.	Jeg var nødt til å stå opp tidlig.
I hate guys like that.	Jeg hater gutter som det.
I have a slight fever.	Jeg har en lett feber.
I have life insurance.	Jeg har livsforsikring.
I have lost my pencil.	Jeg har mistet blyanten min.
I have to go to sleep.	Jeg må legge meg.
I have to go with Tom.	Jeg må gå med Tom.
I know how this works.	Jeg vet hvordan dette fungerer.
I like dark chocolate.	Jeg liker mørk sjokolade.
I met her an hour ago.	Jeg møtte henne for en time siden.
I met her by accident.	Jeg møtte henne tilfeldig.
I miss the excitement.	Jeg savner spenningen.
I never expected this.	Jeg forventet aldri dette.
I never liked biology.	Jeg likte aldri biologi.
I often feel homesick.	Jeg har ofte hjemlengsel.
I owe you ten dollars.	Jeg skylder deg ti dollar.
I phone him every day.	Jeg ringer ham hver dag.
I think they're wrong.	Jeg mener de tar feil.
I think you're a liar.	Jeg tror du er en løgner.
I thought it was true.	Jeg trodde det var sant.
I told her what to do.	Jeg fortalte henne hva hun skulle gjøre.
I want a piece of pie.	Gi meg et stykke pai.
I want a piece of pie.	Gi meg et stykke pai, er du snill.
I want something more.	Jeg vil ha noe mer.
I want this telephone.	Jeg vil ha denne telefonen.
I want to do it right.	Jeg vil gjøre det rett.
I want to eat a mango.	Jeg har lyst til å spise en mango.
I want to go with you.	Jeg vil dra sammen med deg.
I want to sing a song.	Jeg vil synge en sang.
I was on the mountain.	Jeg var på fjellet.
I was proud of myself.	Jeg var stolt av meg selv.
I will write about it.	Jeg kommer til å skrive om det.
I won't go back there.	Jeg går ikke tilbake dit.
I work even on Sunday.	Jeg jobber til og med på søndag.
I'll do as you advise.	Jeg skal gjøre som du råder meg til.
I'll stay if it rains.	Jeg blir hvis det regner.
I'll tell you a story.	Jeg skal fortelle deg en historie.
I'm afraid of heights.	Jeg har høydeskrekk.
I'm glad you liked it.	Jeg er glad du likte den.
I'm here as a tourist.	Jeg er her som turist.
I'm leaving it to you.	Jeg overlater det til deg.
I'm not sure actually.	Jeg er faktisk ikke sikker.
I'm not upset anymore.	Jeg er ikke lei meg lenger.
I'm playing a TV game.	Jeg spiller et TV-spill.
I'm still your friend.	Jeg er fortsatt din venn.
I'm unable to do that.	Jeg kan ikke gjøre det.
I've been to the bank.	Jeg har vært i banken.
Is there no other way?	Finnes det ingen annen måte?
It didn't go too well.	Det gikk visst ikke så bra.
It happened yesterday.	Det skjedde i går.
It happens to me, too.	Det skjer med meg, også.
It is under the chair.	Den er under stolen.
It was pretty chaotic.	Det var ganske kaotisk.
It's a beautiful flag.	Det er et nydelig flagg.
It's very kind of you.	Det er veldig snilt av deg.
May I eat that orange?	Kan jeg spise den appelsinen?
My book is very heavy.	Boken min er veldig tung.
My right hand is numb.	Min høyre hånd er nummen.
My shoes are worn out.	Skoene mine er utslitt.
My suitcase is broken.	Kofferten min er ødelagt.
No one cares about me.	Ingen bryr seg om meg.
Nobody can control us.	Ingen kan kontrollere oss.
Nobody can control us.	Ingen kan styre oss.
Not all birds can fly.	Ikke alle fugler kan fly.
She has gone shopping.	Hun har gått for å handle.
She likes Russian pop.	Hun liker russisk popmusikk.
She likes the teacher.	Hun liker læreren.
She loves Tom, not me.	Hun elsker Tom, ikke meg.
She really likes cake.	Hun er veldig glad i kake.
She seems to hate you.	Hun ser ut til å hate deg.
She seems to hate you.	Det virker som hun hater deg.
She sings out of tune.	Hun synger falskt.
She stood on her head.	Hun stod på hodet.
She took her own life.	Hun tok sitt eget liv.
She took off her coat.	Hun tok av seg frakken.
She wanted me to come.	Hun ville at jeg skulle komme.
Show me today's paper.	Vis meg dagens avis.
Sit wherever you like.	Sitt hvor du vil.
Someone stole my cash.	Noen stjal kontantene mine.
Stay absolutely still.	Stå helt stille.
Study these sentences.	Studer disse setningene.
Tell me what you want.	Si meg hva du vil.
Thanks for everything.	Takk for alt.
The black one is mine.	Den svarte min.
The door slammed shut.	Døren smalt igjen.
There was no one home.	Det var ingen hjemme.
There was no response.	Det var ingen respons.
They are the same age.	De er like gamle.
They meet once a week.	De møtes en gang i uka.
They want to meet you.	De ønsker å møte deg.
They wash their hands.	De vasker hendene.
This is a good camera.	Dette er et bra fotoapparat.
This is a nice camera.	Dette er et bra fotoapparat.
This is the right day.	Dette er rett dag.
This pen doesn't work.	Denne pennen virker ikke.
Tom deserves the best.	Tom fortjener det beste.
Tom didn't get better.	Tom ble ikke bedre.
Tom didn't say a word.	Tom sa ikke et ord.
Tom didn't wake me up.	Tom vekket meg ikke.
Tom died early Monday.	Tom døde tidlig på mandag.
Tom died in Australia.	Tom døde i Australia.
Tom died last October.	Tom døde siste oktober.
Tom doesn't like Mary.	Tom liker ikke Mary.
Tom enjoyed the party.	Tom likte festen.
Tom had a hectic week.	Tom hadde en travel uke.
Tom has no complaints.	Tom har ingen klager.
Tom has no principles.	Tom har ingen prinsipper.
Tom hasn't been fired.	Tom har ikke fått sparken.
Tom hasn't been found.	Tom har ikke blitt funnet.
Tom is a good manager.	Tom er en god manager.
Tom is a little weird.	Tom er litt rar.
Tom is doing well now.	Det går bra med tom nå.
Tom is my friend, too.	Tom er min venn også.
Tom is pretty amazing.	Tom er ganske fantastisk.
Tom is still upstairs.	Tom er oppe fremdeles.
Tom isn't that stupid.	Tom er ikke så dum.
Tom knew I'd be there.	Tom visste at jeg kom til å være der.
Tom looks worried now.	Tom ser bekymret ut nå.
Tom lowered his sword.	Tom senket sverdet sitt.
Tom still looks great.	Tom ser fortsatt bra ut.
Tom thinks he's funny.	Tom tror han er morsom.
Tom thinks he's ready.	Tom tror han er klar.
Tom was able to do it.	Tom klarte det.
Tom went back to work.	Tom begynte å arbeide igjen.
Tom wouldn't go there.	Tom ville ikke ha gått dit.
Tom wouldn't go there.	Tom ville ikke ha gått så langt.
Tom wrote to a friend.	Tom skrev til en venn.
Tom's coach likes him.	Treneren til Tom liker ham.
Tom's eyes are closed.	Øynene til Tom er lukket.
Tom's mother has died.	Toms mor har dødd.
Tom's mother has died.	Moren til Tom har dødd.
Tom's plan won't work.	Toms plan kommer ikke til å virke.
Tom's strategy worked.	Toms strategi virket.
Tom, I need your help.	Tom, jeg trenger din hjelp.
We can go after lunch.	Vi kan dra etter lunsjen.
We have a big problem.	Vi har et stort problem.
We know what happened.	Vi vet hva som skjedde.
We stood face to face.	Vi sto ansikt til ansikt.
We're on our way home.	Vi er på vei hjem.
We've already started.	Vi har allerede begynt.
What a disappointment!	For en skuffelse.
What else could it be?	Hva kan det ellers være?
What grade are you in?	Hvilken klasse går du i?
What time did you eat?	Når spiste du?
What's your last name?	Hva er etternavnet ditt?
Where are your things?	Hvor er tingene dine?
Where's everyone else?	Hvor er alle de andre?
Where's the bartender?	Hvor er bartenderen?
Where's your computer?	Hvor er datamaskinen din?
Who am I talking with?	Hvem snakker jeg med?
Who wrote that letter?	Hvem har skrevet dette brevet?
Who wrote this letter?	Hvem har skrevet dette brevet?
Whose shoes are those?	Hvem sine sko er det?
Why did you come here?	Hvorfor kom du her?
Why didn't I see that?	Hvorfor så jeg ikke det?
Why didn't you accept?	Hvorfor takket du ikke ja?
Will you stay at home?	Blir du hjemme?
You are not logged in.	Du er ikke innlogget.
You deserve the prize.	Du fortjener prisen.
You don't have a clue.	Du har ikke peiling.
You live too far away.	Du bor for langt borte.
You must go to school.	Du må gå på skolen.
You'd better hurry up.	Du bør skynde deg.
You'll never be alone.	Du vil aldri være alene.
You're always staring.	Du stirrer alltid.
You're charming today.	Du er sjarmerende i dag.
You're my best friend.	Du er min beste venn.
You're so predictable.	Du er så forutsigbar.
You're still involved.	Du er fremdeles involvert.
You're very beautiful.	Du er veldig vakker.
You've got each other.	Dere har hverandre.
You've got to do this.	Du må gjøre dette.
You've got to go home.	Du må dra hjem.
You've got to go home.	Du er nødt til å dra hjem.
Your hair is too long.	Håret ditt er for langt.
Your passport, please.	Pass, takk.
All roads lead to Rome.	Alle veier fører til Rom.
Are these bananas ripe?	Er disse bananene modne?
Are you ready to order?	Er du klar til å bestille?
Are you ready to start?	Er du klar for å begynne?
Beauty isn't important.	Skjønnhet er ikke viktig.
Better late than never.	Bedre sent enn aldri.
Can I park my car here?	Kan jeg parkere bilen min her?
Can he play the guitar?	Kan han spille gitar?
Chat with your friends.	Snakk med vennene dine.
Chat with your friends.	Chat med vennene dine.
Did you lose something?	Mistet du noe?
Did you watch the game?	Så du kampen?
Do one thing at a time.	Gjør en ting om gangen.
Do you have a headache?	Har du hodepine?
Do you have any apples?	Har du noen epler?
Do you know the reason?	Vet du årsaken?
Do you know the reason?	Kjenner du grunnen?
Do you like black cats?	Liker du svarte katter?
Does Tom know anything?	Vet Tom noe?
Does Tom like tomatoes?	Liker Tom tomater?
Don't break up with me.	Ikke slå opp med meg.
Don't forget about Tom.	Ikke glem Tom.
Don't move too quickly.	Ikke beveg deg for fort.
Don't promise anything.	Ikke lov noe.
Don't say anything, OK?	Ikke si noe, OK?
Don't send that letter.	Ikke send det brevet.
Don't talk to them now.	Ikke snakk med dem nå.
Don't you dare do that.	Ikke våg å gjøre det.
Enjoy it while you can.	Nyt det mens du kan!
Everyone knows the law.	Alle kjenner loven.
Give me some milk, too.	Jeg vil ha melk også.
Give us a moment alone.	Gi oss et øyeblikk alene.
He acted like a madman.	Han oppførte seg som en galning.
He burst into laughter.	Han eksploderte av latter.
He got the first prize.	Han fikk førstepremien.
He had dark brown hair.	Han hadde mørkt brunt hår.
He handed in his paper.	Han leverte inn stilen sin.
He has large blue eyes.	Han har store blå øyne.
He is fluent in French.	Han snakker flytende fransk.
He is thirty years old.	Han er tretti år gammel.
He knows where we live.	Han vet hvor vi bor.
He loves you very much.	Han elsker deg veldig mye.
He showed me his album.	Han viste meg albumet sitt.
He speaks English well.	Han snakker bra engelsk.
He won't pass the test.	Han vil ikke bestå prøven.
He wouldn't believe us.	Han ville ikke tro oss.
He's stronger than you.	Han er sterkere enn deg.
His son died last year.	Sønnen hans døde i fjor.
Hope is not a strategy.	Håp er ingen strategi.
I am tidying my office.	Jeg rydder kontoret mitt.
I can't go any farther.	Jeg klarer ikke gå videre.
I can't stand raw fish.	Jeg takler ikke rå fisk.
I can't stand raw fish.	Jeg kan ikke fordra rå fisk.
I cried all night long.	Jeg gråt hele natten.
I didn't miss anything.	Jeg gikk ikke glipp av noe.
I didn't miss anything.	Jeg overså ingenting.
I didn't murder anyone.	Jeg myrdet ingen.
I didn't put them away.	Jeg la dem ikke vekk.
I didn't put this here.	Det var ikke jeg som la den her.
I didn't see you there.	Jeg så deg ikke der.
I don't agree with him.	Jeg er ikke enig med ham.
I don't agree with you.	Jeg er ikke enig med deg.
I don't believe in God.	Jeg tror ikke på Gud.
I don't have an answer.	Jeg har ikke noe svar.
I don't know that word.	Jeg kan ikke det ordet.
I don't need reminding.	Jeg trenger ikke påminnelse.
I don't need your help.	Jeg trenger ikke din hjelp.
I don't want your pity.	Jeg vil ikke ha din medlidenhet.
I earn 100 Euros a day.	Jeg tjener 100 euro om dagen.
I eat in the classroom.	Jeg spiser i klasserommet.
I felt the house shake.	Jeg kjente huset riste.
I found my car missing.	Jeg oppdaget at bilen min var borte.
I found the cage empty.	Jeg oppdaget at buret var tomt.
I had to get some help.	Jeg måtte ha hjelp.
I hate girls like that.	Jeg hater jenter som det.
I hate waiting in line.	Jeg hater å vente i kø.
I have a cat and a dog.	Jeg har en katt og en hund.
I have a funny feeling.	Jeg har en rar følelse.
I have had it with Tom.	Jeg har hatt nok av Tom.
I knew he would accept.	Jeg visste han ville takke ja.
I know what Tom can do.	Jeg vet hva Tom kan gjøre.
I like spring the best.	Jeg liker våren best.
I live in an apartment.	Jeg bor i en leilighet.
I live in an old house.	Jeg bor i et gammelt hus.
I love men with beards.	Jeg elsker menn med skjegg.
I prefer tea to coffee.	Jeg foretrekker te, framfor kaffe.
I prefer to work alone.	Jeg foretrekker å jobbe alene.
I think he is a doctor.	Jeg tror han er lege.
I value our friendship.	Jeg verdsetter vårt vennskap.
I want Tom to be happy.	Jeg vil at Tom skal være lykkelig.
I want to write a book.	Jeg vil skrive en bok.
I was in the mountains.	Jeg var på fjellet.
I will gladly help you.	Jeg hjelper deg gjerne.
I wonder what happened.	Jeg lurer på hva som har skjedd.
I wonder who to invite.	Jeg lurer på hvem jeg burde invitere.
I'd rather go swimming.	Jeg vil heller gå og svømme.
I'll go no matter what.	Jeg går uansett hva.
I'll never drink again.	Jeg skal aldri drikke igjen.
I'm at the airport now.	Jeg er på flyplassen nå.
I'm busy with homework.	Jeg er opptatt med lekser.
I'm doing this for Tom.	Jeg gjør dette for Tom.
I'm listening to music.	Jeg hører på musikk.
I'm not good with kids.	Jeg er ikke flink med barn.
I'm thinking about you.	Jeg tenker på deg.
I've got to leave soon.	Jeg må gå snart.
I've never been robbed.	Jeg har aldri vært ranet.
I've used up my Q-tips.	Jeg har brukt opp bomullspinnene mine.
Is it a recent picture?	Er det et nylig tatt bilde?
Is that a cat or a dog?	Er det en katt eller en hund?
Is this seat available?	Er dette setet ledig?
It doesn't surprise me.	Det overrasker meg ikke.
It is really wonderful.	Det er virkelig vidunderlig.
It is very kind of you.	Det er veldig snilt av deg.
It rained hard all day.	Det regnet kraftig hele dagen.
It was a violent crime.	Det var en voldelig forbrytelse.
It's not my cup of tea.	Det er vel ikke helt min greie.
Just follow your heart.	Bare følg ditt hjerte.
Let me buy you a drink.	La meg kjøpe deg en drink.
Let's see what happens.	La oss se hva som skjer.
Let's take a short cut.	La oss ta en snarvei.
May I see your license?	Kan jeg få se førerkortet ditt?
Mind your own business!	Hold nesen din for deg selv.
My brother is an idiot.	Broren min er en idiot.
My father quit smoking.	Pappa sluttet å røyke.
Once bitten, twice shy.	Brent barn skyr ilden.
Practice makes perfect.	Øving gjør mester.
Practice makes perfect.	Øvelse gjør mester.
Pull yourself together!	Ta deg sammen!
Put your room in order.	Rydd rommet ditt.
Save me some ice cream.	La litt iskrem være igjen til meg.
Save me some ice cream.	La litt is være igjen til meg.
She is far from honest.	Hun er langt fra ærlig.
She lived a happy life.	Hun levde et lykkelig liv.
She lived to be ninety.	Hun levde til hun ble nitti.
She lost her new watch.	Hun mistet sin nye klokke.
She married a rich man.	Hun giftet seg med en rik mann.
She must have gone out.	Hun må ha gått ut.
She runs a beauty shop.	Hun driver en skjønnhetssalong.
She sang as she walked.	Hun sang mens hun gikk.
She told me her secret.	Hun fortalte meg hemmeligheten sin.
She took a deep breath.	Hun tok et dypt åndedrag.
She tore up the letter.	Hun rev i stykker brevet.
She trembled with fear.	Hun skalv av frykt.
She tried a third time.	Hun prøvde for tredje gang.
She wanted to be alone.	Hun ville være alene.
She was about to start.	Hun skulle til å begynne.
She was about to start.	Hun var i ferd med å begynne.
She was born last year.	Hun ble født i fjor.
She was dressed in red.	Hun var kledd i rødt.
She was late to school.	Hun kom for sent på skolen.
She's trying on a coat.	Hun prøver frakken.
Show me how to do that.	Vis meg hvordan du gjør det der.
Something must be done.	Noe må gjøres!
Thanks for the comment.	Takk for kommentaren.
That's quite a problem.	Det er virkelig et problem.
The TV is really heavy.	Fjernsynet er veldig tungt.
The game's almost over.	Kampen er snart over.
The game's almost over.	Spillet er snart over.
The pen is on the desk.	Pennen er på pulten.
The pen is on the desk.	Penne ligger på pulten.
The pen is on the desk.	Pennen ligger på skrivebordet.
The pen is on the desk.	Pennen er på skrivebordet.
The rain lasted a week.	Regnet varte i en uke.
The wine was excellent.	Vinen var utsøkt.
There's no speed limit.	Det er ingen fartsgrense.
They basked in the sun.	De varmte seg i solen.
They kissed each other.	De kysset hverandre.
This book is very thin.	Denne boken er veldig tynn.
This drawer won't open.	Denne skuffen vil ikke åpne seg.
This is a common error.	Dette er en vanlig feil.
This is from Australia.	Denne er fra Australia.
This is from Australia.	Dette er fra Australia.
This path is dangerous.	Denne stien er farlig.
Tom bought a new house.	Tom kjøpte et nytt hus.
Tom didn't convince me.	Tom overbeviste meg ikke.
Tom doesn't believe it.	Tom tror ikke det.
Tom doesn't believe it.	Tom tror ikke på det.
Tom gets a lot of help.	Tom får mye hjelp.
Tom has lost 30 pounds.	Tom har gått ned 30 pund.
Tom has lost something.	Tom har mistet noe.
Tom has three ex-wives.	Tom har tre ekskoner.
Tom has visited Boston.	Tom har besøkt Boston.
Tom has young children.	Tom har unge barn.
Tom hasn't been around.	Tom har ikke vært her.
Tom hasn't done enough.	Tom har ikke gjort nok.
Tom is a good wrestler.	Tom er en god bryter.
Tom is a good wrestler.	Tom er en god fribryter.
Tom is a very wise man.	Tom er en veldig smart mann.
Tom is a very wise man.	Tom er en veldig vis mann.
Tom is definitely back.	Tom er definitivt tilbake.
Tom is doing great now.	Det går bra med Tom nå.
Tom is fighting cancer.	Tom kjemper mot kreft.
Tom is on life support.	Tom holdes kustig i live.
Tom is our best player.	Tom er vår beste spiller.
Tom is our best player.	Tom er den beste spilleren vår.
Tom is still dangerous.	Tom er fremdeles farlig.
Tom is still dangerous.	Tom er fortsatt farlig.
Tom is still the champ.	Tom er fortsatt nummer én.
Tom isn't a journalist.	Tom er ikke en journalist.
Tom isn't backing down.	Tom gir seg ikke.
Tom isn't conservative.	Tom er ikke konservativ.
Tom isn't here anymore.	Tom er ikke her lenger.
Tom may have been sick.	Tom kan ha vært syk.
Tom needed 30 stitches.	Tom trengte 30 sting.
Tom usually eats alone.	Tom spiser vanligvis alene.
Tom wanted to be there.	Tom ville være der.
Tom wants to stay here.	Tom vil bli her.
Tom won't go to prison.	Tom blir ikke fengslet.
Tom would likely agree.	Tom ville sannsynligvis være enig.
Tom wouldn't like that.	Tom ville ikke ha likt det.
Tom zipped up his coat.	Tom drog opp glidelåsen på frakken sin.
Tom's a teacher, right?	Tom er lærer, ikke sant?
Tom's blood type is O+.	Blodtypen til tom er O+
Tom's funeral is today.	Toms begravelse er i dag.
Tom's parents are dead.	Toms foreldre er døde.
Trust me. I'm a doctor.	Stol på meg, jeg er lege.
We danced to the music.	Vi danset til musikken.
We plan to stay a week.	Vi har tenkt å bli en uke.
We rented an apartment.	Vi leide en leilighet.
We're making breakfast.	Vi lager frokost.
What a stupid question!	For et dumt spørsmål.
What do I need to know?	Hva trenger jeg å vite?
What do you want to do?	Hva vil du gjøre?
What does your aunt do?	Hva gjør din tante?
What time can you come?	Når kan du komme?
What time can you come?	På hvilken tid kan du komme?
What's this zoo's name?	Hva heter denne dyreparken?
What's your conclusion?	Hva er din konklusjon?
What's your first name?	Hva er fornavnet ditt?
What's your occupation?	Hva er yrket ditt?
What? What did you say?	Hva? Hva sa du?
When did you finish it?	Når ble du ferdig?
When did you finish it?	Når gjorde du det ferdig?
Where did you see them?	Hvor så du dem?
Where do you come from?	Hvor kommer du fra?
Where is everyone else?	Hvor er alle de andre?
Where's everybody else?	Hvor er alle de andre?
Where's everyone going?	Hvor skal alle sammen?
Which way is the beach?	Hvordan kommer jeg meg til stranden?
Who did you give it to?	Hvem gav du det til?
Who left the door open?	Hvem lot døren stå åpen?
Who's going to be here?	Hvem kommer til å være her?
Who's the happy couple?	Hvem er det lykkelige paret?
Why does nobody answer?	Hvorfor svarer ingen?
Why is your mouth open?	Hvorfor er munnen din åpen?
Why wait for Christmas?	Hvorfor vente til jul?
Why were you in prison?	Hvorfor var du i fengsel?
Would you like a taste?	Vil du smake?
Would you like to come?	Har du lyst å komme?
You are my best friend.	Du er min beste venn.
You are very beautiful.	Du er veldig vakker.
You can take your time.	Du kan ta din tid.
You can't kill us both.	Du kan ikke drepe oss begge.
You could have done it.	Du kunne klart det.
You don't have a fever.	Du har ikke feber.
You had plenty of time.	Du hadde rikelig med tid.
You have to be patient.	Du må være tålmodig.
You made a wise choice.	Du gjorde et klokt valg.
You must go to bed now.	Nå må du legge deg.
You shouldn't eat here.	Du burde ikke spise her.
You were late for work.	Du var sen på jobb.
You won't believe this.	Du vil ikke tro dette.
You won't feel a thing.	Du vil ikke føle noe.
You're up to something.	Du pønsker på noe.
Your cake is delicious.	Kaken din er kjempegod.
Are we meeting tomorrow?	Ses vi i morgen?
Are you free on Tuesday?	Er du ledig på tirsdag?
Are you ready to go out?	Er du klar til å gå ut?
Are you referring to me?	Henviser du til meg?
Are you referring to me?	Er det meg du mener?
Can I borrow your radio?	Kan jeg få låne radioen din?
Can I say something now?	Kan jeg si noe nå?
Can you eat raw oysters?	Kan du spise rå østers?
Can you play the guitar?	Kan du spille gitar?
Can you read this kanji?	Kan du lese denne kanjien?
Could you use some help?	Vil du ha hjelp?
Did you come here alone?	Kom du her alene?
Do you have a stopwatch?	Har du en stoppeklokke?
Do you have any sisters?	Har du søstre?
Do you want one of them?	Vil du være en av dem?
Does Tom ever get tired?	Blir Tom noen gang sliten?
Doesn't that make sense?	Gir ikke det mening?
Doesn't that sound nice?	Høres ikke det fint ut?
Don't I have any rights?	Har jeg ingen rettigheter?
Don't believe the media.	Ikke tro på media.
Don't feel sorry for me.	Ikke synes synd på meg.
Don't go out after dark.	Ikke gå ut etter det har blitt mørkt.
Don't let that stop you.	Ikke la det stoppe deg.
Don't try to deceive me.	Ikke prøv å lure meg.
Don't try to deceive me.	Ikke prøv å bedra meg.
Even I don't understand.	Selv jeg forstår ikke.
Everybody's still there.	Alle er der ennå.
Everyone has been there.	Alle har vært der.
Everyone's still asleep.	Alle sover ennå.
Everyone's still asleep.	Alle sover fremdeles.
Everything's dirt-cheap.	Alt er skambillig.
Everything's dirt-cheap.	Alt er kjempebillig.
Guess what I want to do.	Gjett hva jeg vil gjøre.
He came back after dark.	Han kom tilbake etter mørket hadde falt.
He doesn't look his age.	Han ser ung ut for alderen.
He got through his work.	Han ble ferdig med arbeidet sitt.
He got tired of reading.	Han ble lei av å lese.
He had his tooth pulled.	Han fikk tannen sin trukket.
He happened to be there.	Han var der tilfeldigvis.
He has already gone out.	Han har allerede gått ut.
He has already said yes.	Han har allerede sagt ja.
He is lying on the sofa.	Han ligger på sofaen.
He is not from Hokkaido.	Han er ikke fra Hokkaido.
He is of average height.	Han er normalt høy.
He is on board the ship.	Han er ombord på skipet.
He runs a lot of hotels.	Han driver mange hotell.
He sounds very immature.	Han høres veldig umoden ut.
He's better than us all.	Han er bedre enn oss alle.
His life is in my hands.	Livet hans er i mine hender.
How about taking a rest?	Hva med å hvile litt?
