Go.	Gitmek.
Do you have time to help me?	Maňa kömek etmäge wagtyňyz barmy?
Do you have time to help me?	Maňa ýardam etmäge wagtyňyz barmy?
Do you know how to use this?	Muny nädip ulanmalydygyny bilýäňmi?
Do you know where my key is?	Açarymyň nirededigini bilýärmisiňiz?
Do you know where my key is?	Açarymyň nirededigini bilýärsiňizmi?
Does Tom usually wear a hat?	Tom adatça şapka geýýärmi?
Don't take it too seriously.	Ony gaty göwnüñe alma.
Girls are strange sometimes.	Gyzlar käwagt geň.
Has Tom ever been to Boston?	Tom Bostona gidip gördümi?
Has anything really changed?	Dogrudanam üýtgan zat barmy?
Has it ever happened before?	Bu heý öň bolup görüpdimi?
I always keep an eye on Tom.	Men hemişe Toma göz-gulak bolýaryn.
I always knew I was adopted.	Men hemişe bilyärdim ogullyga (gyzlyga) alnandygymy.
I apparently did that wrong.	Men megerem şony ýalňyş edendirin.
I asked Tom where he worked.	Tomdan nirede işleýändigini soradym.
I didn't make it any better.	Has gowy etmedim.
I don't care what you drink.	Näme içendigiň meniň ünsümi hem çekenok
I don't have an explanation.	Meniň düşündirişim ýok.
I don't want to hurt anyone.	Men hiç kimiň göwnüne degmek islämok.
I grew up here in Australia.	Men bärde Awstraliýada ulandym.
I haven't even told my wife.	Men hatda öz aýalyma hem aýtmadym.
I hope I don't start crying.	Aglamaryn diýip umyt edýärin.
I hope you change your mind.	Pikiriňi üýtgedersiň diýip umyt edýärin.
I hope you change your mind.	Pikiriňizi üýtgedersiňiz diýip umyt edýärin.
I know Tom is a lazy person.	Tomuň ýalta bolandygyny bilýärin.
I know it's hard to believe.	Bilýärin muña ynanmak kyn.
I know what's in your heart.	Seniñ ýüregiñde näme bardygyny men bilýärin.
I like your apartment a lot.	Men seniñ öýüñi gaty gowy görýärin.
I ran into a little trouble.	Mende biraz problema ýüze çykdy.
I ran into a little trouble.	Mende biraz kynçylyk ýüze çykdy.
I saw Tom just this morning.	Bugün irden häzir Tomy gördüm.
I saw Tom yesterday morning.	Düýn irden Tomy gördüm.
I saw a hut in the distance.	Men uzaklykda çatma gördüm.
I searched all over for Tom.	Tom üçin hemme ýeri gözledim.
I see no reason to continue.	Dowam etmek üçin sebäp bolmaýandygyny düşünýärin.
I think that I need glasses.	Meniñ pikirimçe maña äýnek gerek.
I thought that I had it all.	Mende hemmesi bardyr öýdüpdim.
I wanted to become a doctor.	Lukman bolmak isledim.
I wanted to become a doctor.	Lukman bolmak isläpdim.
I was in the pool yesterday.	Men düýn basseýndadym.
I was unsure what to expect.	Men nämä garaşmalydymy bilmedim.
I wasn't the one who yelled.	Gygyran men däldim.
I won't complain about that.	Men ol zat hakda zeyrenjek dal
I wonder if Tom is confused.	Tomuñ kellesiniñ çaşyp çaşmandygyny bilesim gelýär.
I'm going to tell the truth.	Men hakykaty aýtjak bolýaryn.
I'm not very good at sports.	Men sporta gaty bir ökde däl.
Is Tom allergic to anything?	Tomyň haýsydyr birzada allergiýasy barmy?
Is there anyone else around?	Töwerekde başga biri barmy?
It happened over a year ago.	Ol bir ýyldan gowrak wagt boldy.
It hasn't been easy for Tom.	Bu Toma ýeňil düşmedi.
It isn't hard for everybody.	Bu hemmeler üçin kyn däl.
It's boring to stay at home.	Öýde galmak içgysgynç bolýar.
It's boring to stay at home.	Öýde galmak içgysgynç.
Let's not lose our patience.	Geliň, sabyrymyzy ýitirmäliň.
May fifth is Children's Day.	Bäşinji maý Çagalaryň güni.
May fifth is Children's Day.	Maý aýynyň bäşi Çagalaryň güni.
Never mind what I just said.	Meniñ näme diýenim wajyp däl
Nothing happened between us.	Biziň aramyzda hiç zat bolmady.
Oh well. That's no big deal.	Oh gowy.Ol ulaltýan zat däl.
Please refrain from talking.	Gürlemekden saklanmagyňyzy haýyş edýäris.
Shouldn't we be helping Tom?	Biz Toma komek etmelimi?
Show us where you found Tom.	Tomy nireden tapandygyňy bize görkez.
Show us where you found Tom.	Tomy nireden tapandygyňyzy bize görkeziň.
Something always goes wrong.	Hemişe bir zat ýalñyş bolýar
Something always goes wrong.	Hemişe bir zat ýalñyş gidýär.
Tell me what should be done.	Näme edilmelidigini maňa aýdyň.
Tell me what should be done.	Näme edilmelidigini maňa aýt.
That's all I can do for now.	Häzirlikçe elimden gelýän zadym bu.
That's going to be my horse.	Bu meniñ atym bolýar
That's what usually happens.	Şu adatça bolýan zat.
The choice is all up to you.	Saýlaw doly size galypdyr.
The river is five feet deep.	Derýanyň çuňlugy bäş fit (1.524 metr).
There's a vase on the table.	Stoluñ üstünde küýze bar
There's a vase on the table.	Küýze stoluñ üstünde
There's no way Tom did that.	Tom şony asla eden däldir.
They are reading their book.	Olar öz kitabyny okaýarlar.
Tom and I are both painters.	Tom we men, ikimizem suratkeş.
Tom came just before dinner.	Tom edil agşam naharyndan öň geldi.
Tom can't come to the phone.	Tom telefona gelip bilmeýer.
Tom claimed the inheritance.	Tom miras alandygyny aýtdy.
Tom couldn't stop the tears.	Tom gözýaşlaryny tutup bilmedi.
Tom has a different job now.	Tomyň hazir başga işi bar.
Tom is an outstanding actor.	Tom meşhur aktýor.
Tom is considered dangerous.	Tom howply hasaplanýar.
Tom is extremely busy today.	Tom şu gün çendenaşa işli.
Tom is going to contact you.	Tom seniň bilen habarlaşjak bolup ýör.
Tom is in Australia with me.	Tom meñ bilen Awstraliýada.
Tom is really a good dancer.	Tom örän gowy tansçy.
Tom is working in Australia.	Tom Awstraliýada işleýär.
Tom left the office at 2:30.	Tom ofisden 2:30-da gitdi.
Tom loved his grandchildren.	Tom agtygyny gowy görýärdi.
Tom may not make it on time.	Tomuň muny wagtynda etmezligi ahmal.
Tom may not make it on time.	Tom muny wagtynda etmän biler.
Tom pretended he was afraid.	Tom gorkansyrady.
Tom said Mary wasn't crying.	Tom Mary aglanok diydi.
Tom spent time in Australia.	Tom öz wagtyny Awstraliýada geçirdi.
Tom told me he'd try to win.	Tom ýeñmäge synanyşjakdygyny maña aýtdy.
Tom was wearing a straw hat.	Tom saman şlýapadady.
Tom will eventually do that.	Tom iň soňynda şu zady eder.
Tom's real passion is music.	Tomuñ saz çalmaga höwesi bar.
We appreciate your interest.	Biz siziň gyzyklanýanlygyňyza minnetdar.
We have a French test today.	Bu gün maña fransuzçadan barlag íş bar.
We have a simple philosophy.	Bizin filosofiyamyz yonekey.
What would I do without you?	Men sensiz näme ederdim?
What's your passport number?	Siziň pasport nomeriňiz näme?
What's your passport number?	Seniň pasport nomeriň näme?
Why didn't you come earlier?	Näme üçin siz irräk gelmediňiz?
Why didn't you come earlier?	Näme üçin sen irräk gelmediň?
Why didn't you go to Boston?	Näme üçin Bostona gitmediň.
Will my signature be enough?	Meñ golum ýeterlik bolarmy?
Words could not describe it.	Sözler ony suratlandyryp bilmeýär.
You can't mix oil and water.	Ýagy we suwy garyp bilmersiň.
You look as healthy as ever.	Sen hemişeki ýaly sagdyn görünýärsiň.
You might just see Tom, too.	Diňeje Tomy görmegiňem ahmal.
You might just see Tom, too.	Diňeje Tomy görmegiňizem mümkin.
You're still taller than me.	Sen onnada menden uzyn.
You've seen what Tom can do.	Tomuň näme edip biljegini gördüň.
All the students are present.	Hemme okuwçylar bar.
Aren't you free this weekend?	Bu hepde soňy boş dälmi sen?
Aren't you going out tonight?	Bu gije meýdana çykjak dälmi?
Aren't you going to be there?	Ol ýerde boljak dälmi?
Aren't you going to buy that?	Ony satyn aljak dälmi?
Aren't you going to buy that?	Ony aljak dälmi?
Aren't you going to go there?	Ol ýere gitjek dälmi sen?
Aren't you going to the game?	Futbola gitjek dälmi?
Aren't you going to the game?	Futbola gitjek dälmi sen?
Aren't you going to the show?	Sahna gitmeýärmisiň?
Can you play basketball well?	Seniñ basketbol oýnaýyşyñ oñatmy?
Do you really have to go now?	Sen hakykatdan hem häzir gitmelimi?
Dogs and cats aren't friends.	Itler we pişikler dost däl
Have you ever seen Tom laugh?	Sen Tomuñ gülenini gördüñmi?
He doesn't speak my language.	Ol meniň dilimde gürlänok.
He gave a nice present to me.	Ol oglan maňa gowy sowgat berdi.
He knew where he put his pen.	Ol oglan ruçkasyny nirä goýandygyny bildi.
How do you know Tom did that?	Sen Tomuň edenini nirden bilýäň?
I almost never eat breakfast.	Biz hiç haçan diýen ýaly ertirlik edinemzok.
I already talked to the cops.	Eýýäm polisiýa bilen gürleşdim.
I can't answer that question.	Men bu soraga jogap berip bilmeýärin.
I can't answer that question.	Men şol soraga jogap beribilemok.
I can't answer the phone now.	Men häzir telefona jogap berip bilmerin.
I can't condone what you did.	Näme edendigiňe gözimi ýumup oturup bilmeýen.
I don't remember my password.	Meniň kodym ýadymda däl.
I don't usually speak French.	Men adatça fransuzça gürlämok.
I don't want any more to eat.	Başga nahar iýmek islmeýen.
I don't want to ask for help.	Kömek soramak islemeýen.
I don't want to be a teacher.	Mugallym bolmagy islemeýen.
I don't want to go to church.	Ybadathana itmek islemeýen.
I don't want to go to school.	Mekdebe gidesim gelenok.
I don't want to kill anybody.	Men hiç kimi oldüresim gelenok.
I don't want to sit with you.	Men sen bilen oturmak islemeýen.
I don't want to speak French.	Men Fransuzça geplemek islemeýen.
I don't want to stay at home.	Öýümi terk etmek islemeýen.
I don't want to teach French.	Fransuzça öwrenmek islemeýen.
I don’t think I'll succeed.	Men başararyn öýdemok
I don’t think I'll succeed.	Men başarnykly bolaryn diýp pikir edemok
I drink my tea without sugar.	Men çaýymy şekersiz içýärin.
I had a good summer vacation.	Men tomusky dynç alyşymy gowy geçirdim.
I have just finished my work.	Men işimi edil şu wagt tamamladym.
I know it was you who did it.	Şuny edeniň sendigini bilýärin.
I know it was you who did it.	Şuny siziň edendigiňizi bilýärin.
I know why you want this job.	Seniñ bu işi näme üçin isleýändigiñi men bilýärin.
I promise that I won't drink.	Içmejekdigime söz berýärin.
I remember seeing him before.	Onu öñ görendigim ýadymda däl.
I saw Tom in the parking lot.	Tomy seýilgäh meýdançasynda gördüm.
I saw Tom jump into the pool.	Tomuň howuza bökendigini gördüm.
I still plan to study French.	Men henizem Fransuz dilini öwrenmegi meýilleşdirýän.
I think that I'm a lucky guy.	Men özüm bagtly adammykam diýýärin.
I think that I'm a lucky guy.	Men özüm işi rowaç adammykam öýdýärin.
I thought it was a good idea.	Men bu gowy ideýady diýip pikir etdim.
I wish I could stay with you.	Men seniň bilen galmak islärdim.
I worry about that sometimes.	Men käwagt ol barada alada edýärin.
I'll let you know beforehand.	Saña öñräkden aýdaryn.
I'll stay here a whole month.	Men tutuş aý şu ýerde galjak.
I'm at the airport right now.	Men edil häzir howa menzilinde.
I'm at the airport right now.	Men şu wagt howa menzilinde.
I'm going with Tom to Boston.	Bostona Tom bilen gidýärin.
I'm not your teacher anymore.	Mundan beýläk men seniñ mugallymyñ däl.
I'm not your teacher anymore.	Mundan beýläk men siziñ mugallymyñyz däl.
Is it all right if I come in?	Girmek mümkinmi?
Isn't that a friend of Tom's?	Ol Tomyñ dosty dälmi?
Isn't that a friend of yours?	Ol seniň dostlaryňdan biri dälmi?
Isn't that a friend of yours?	Ol seniň dostuň dälmi?
Isn't that a friend of yours?	Ol siziň dostuňyz dälmi?
It's not quite three o'clock.	Häli üç bolanok
It's possible Tom won't come.	Mümkin Tom gelmez.
Maybe Tom will give me a job.	Belkäm Tom maña iş berer.
Please don't feed the monkey.	Haýyşt, maýmynlary naharlamaň.
Please keep your voices down.	Haýyş, sesiňizi goýuň.
Please keep your voices down.	Gaýrat edip sesiňizi goýaýyň.
Police shouldn't take bribes.	Polisiýa para almaly däl.
That goes against my beliefs.	Şol meniň ynançlaryma garşy gidýär.
The group left early in 1791.	Gruppa 1791-de ir ýapyldy.
The old man starved to death.	Garry adam öler ýaly açlyk çekdi.
The whole nation wants peace.	Bütin millet parahatçylyk isleýär.
There has been progress made.	Öňegidişlik bar.
This country is rich in coal.	Bu döwlet kömüre baý.
This is a book about England.	Bu Angliýa baradaky kitap.
This is a letter from Canada.	Bu hat Kanadadan geldi.
Tom and Mary look very tired.	Tom we Meri örän ýadaw görünýärler.
Tom asked for a back massage.	Tom arka massažy üçin sorady.
Tom came in last in the race.	Tom ýaryşda soňky geldi.
Tom came in last in the race.	Tom ýaryşda soňunda geldi.
Tom can't give it to you now.	Tom häzir muny saňa berip bilmez.
Tom can't give it to you now.	Tom häzir muny size berip bilmez.
Tom continued looking around.	Tom daş-töwerege seretmäge dowam etdi.
Tom desperately needed money.	Tomyñ pula gaty zerurlygy bardy.
Tom disclosed his intentions.	Tom niýetini duýdurdy
Tom has never been to Boston.	Tom hiç haçan Bostonda bolup görmedi.
Tom has returned from Boston.	Tom Bostondan geldi.
Tom is avoiding me, isn't he?	Tom menden gaçýar, şeýle dälmi?
Tom kissed Mary on the cheek.	Tom Meriny ýaňagyndan og
Tom kissed Mary on the cheek.	Tom Merini ýaňagyndan ogşady.
Tom likes eating raw carrots.	Tom çyg käşir iýmegi halaýar.
Tom listened to an audiobook.	Tom audiokitaby diñledi.
Tom looks like he's prepared.	Tom taýýarlykly görünýär.
Tom nodded and left the room.	Tom kellesini ýaýkady we otagdan çykyp gitdi.
Tom put a finger to his lips.	Tom dodaklaryna barmagyny goýdy.
Tom really dislikes children.	Tom dogrudanam çagalary halanok.
Tom said that Mary was ready.	Tom Meriniň taýýardygyny aýtdy.
Tom sang along with the song.	Tom aýdyma goşulyşyp aýtdy.
Tom's appearance has changed.	Tomuň daşky keşbi üýtgäpdir.
Tom, have you eaten anything?	Tom sen birzatlar iýdiñmi?
Wasn't your name on the list?	Seniñ adyñ listda ýokdumy?
We have better weather today.	Bu gün howa gowurak.
We listened to the bell ring.	Biz jaňyň sesini diňledik.
We won't be here much longer.	Biz bärde köp wagtlyk bolmarys.
We're ready to go if you are.	Eger sen taýýar bolsaň biz hem gitnäge taýýar.
What are you going to do now?	Sen häzir näme etmekçi?
What are you going to do now?	Siz häzir näme etmekçi?
What did you do this morning?	Irden näme etdiň?
What did you do this morning?	Ir bilen näme etdiň?
What do you think Tom wanted?	Seniň pikiriňçe Tom näme isledi?
What does that mean, exactly?	Name diydigin bolyar ol?
What is it you want me to do?	Meniň näme etmegimi isleýärsiň?
What is it you want me to do?	Meniň näme etmegimi iseýärsiňiz?
What's the name of this tree?	Bu agaja näme diýilýär?
When could you start working?	Siz haçan işe başlap bilersiñiz?
Where did Tom leave his bike?	Tom tigirini nirede goýdy?
Where did you buy that scarf?	Sen ol şarfy nireden aldyň?
Where did you buy that scarf?	Siz ol şarfy nireden aldyňyz?
Where do you think I met her?	Ol bilen nirede tanyşanymy düşünýäň
Who'll be in Boston with you?	Bostonda kim sen bilen bolar.
Yes. You're absolutely right.	Hawa,dogry aýdýarsyñ.
You encouraged us to do that.	Siz bizi şony etmäge ruhlandyrdyňyz.
You encouraged us to do that.	Sen bizi şony etmäge ruhlandyrdyň.
You'd better do that at once.	Sen ony birbada etseñ gowy bolar.
You'd better not see her now.	Häzir ony görmeseň has gowy.
You'd better not see her now.	Häzir ony görmeseň juda gowy.
You'll find this lesson easy.	Seniñ üçin bu sapak añsat bolup görüner.
You've got food on your face.	Seniň ýüzüňde nahar galapdyr.
A good citizen obeys the laws.	Gowy bir watandaş kanunlara garşy çykmaz.
Are you still waiting for Tom?	Sen häli-şindi maňa garaşýarsyňmy?
Are your parents still living?	Siziň ene-ataňyz dirimi?
Ask Tom where he put his keys.	Tom açaryny nirä goýandygyny sora.
Can you imagine how Tom feels?	Tomuň özüni nähili duýýanyny gňz öňüne getirip bilýäňmi?
Can you open the door, please?	Gapyny açyp bilermisiñiz?
Can you open the door, please?	Gapyny açyp bilermisiñiz haýyşt.
Can you open the door, please?	Haýyşt, gapyny açyp bilermisiñiz?
Did Tom actually go to Boston?	Tom dogrydanam Bostona gitdimi?
Did you go shopping yesterday?	Düýn bazara gitdiñmi?
Did you have a cold last week?	Geçen hepde sowukladyñmy?
Do all Asians have black hair?	Bütin Aziýalylaryñ gara saçlary barmy?
Do you believe war will start?	Urşuň başlajakdygyna ynanýarmyň?
Do you enjoy visiting museums?	Müzeýlere barmagy halaýañmy?
Do you go shopping every week?	Bu hepde bazara gidýeñmi?
Do you often go to the movies?	Wagtal-wagtal kinoteatra gidýäñmi?
Do you think we can trust Tom?	Seniñ pikiriñçe biz Toma ynanyp bilýärismi?
Doctors use medical equipment.	Lukmanlar lukmançylyk enjamlaryny ulanýarlar.
Don't look at Tom. Look at me.	Toma seretme. Maňa seret.
Everything is under the table.	Hemme zatlar stoluň aşagyndadyr.
Give us time to talk about it.	Bu hakda gepleşmek üçin bize wagt beriñ.
Give us time to think it over.	Muny düşünmek üçin bize wagt beriñ.
He did it not once, but twice.	Ol muny bir däl, iki gezek etdi.
He is just an ordinary person.	Ol diñe adaty adam.
He was watching TV last night.	Düýn gije telewizor görýärdi.
Hitler invaded Poland in 1939.	Gitler 1939-njy ýylda Polşany eýeledi.
How did you find out about us?	Sen biz barada nädip öwrendiň?
How did you find out about us?	Siz biz barada nädip öwrendiňiz?
How did you find out about us?	Siz biz barada nädip eşitdiňiz?
How did you find out about us?	Sen biz barada nädip eşitdiň?
How much money has Tom stolen?	Tom näçe pul ogurlapdyr?
How much money has Tom stolen?	Tom näçe manat ogurlapdyr.
I baked some brownies for Tom.	Toma birnäçe browni bişirdim.
I didn't realize Tom was busy.	Men Tomuň meşguldygyna göz ýetirmedim.
I don't have to go right away.	Men dessine gitmeli däl.
I have more questions for you.	Men saña kän soragym bar.
I hear she's a famous actress.	Men ol meşhur aktrisa diýip eşidýärin.
I hear that he sold his house.	Ol öýüni satypdyr diýip eşidýärin.
I knew Tom wouldn't be afraid.	Tomyñ gorkmajagyny bilýärdim.
I know that Tom is infuriated.	Tomuň gazaba münendigini men bilýärin.
I know you'll enjoy Australia.	Siziň Awstraliýadan lezzet aljakdygyňyzy bilýärin.
I know you'll enjoy Australia.	Seniň Awstraliýadan lezzet aljakdygyňy bilýärin.
I married him against my will.	Zor bilen oňa öýlendim.
I overslept yesterday morning.	Düýn azanda uklap galdym.
I read jokes almost every day.	men günde diýen ýaly degişmeler okaýan.
I saw Tom kissing John's wife.	Tomuň Jonyň aýalyny öpendigini gördüm.
I saw Tom smoking a cigarette.	Tomuň çilim çekendigini gördüm.
I saw Tom try to kill himself.	Tomuň özini öldürjekdigini gördüm.
I saw Tom's birth certificate.	Tomuň dogluş hakyndaky şahadnamasyny gördüm.
I think Tom didn't believe me.	Tom maňa ynanmadymyka diýýärin.
I think Tom didn't believe me.	Tom maňa ynanan däldir diýip pikir edýärin.
I think doing that would help.	Meniň pikirimçe şony etmeklik kömek ederdi.
I think that Tom is miserable.	Tom görgüli diýip pikir edýärin.
I want to know who lived here.	Men bu ýerde kimiň ýaşandygyny bilesim gelýär.
I'd like to go there with you.	Men ol ýere seniň bilen gitmek isleýärin.
I'll teach you how to do that.	Men saña öwrederin ony nähili etmelidigi.
I'm dying for a cup of coffee.	Bir käse kofe üçin ölüp barýaryn.
I'm not sure Tom will do that.	Meniñ Tomyñ ony etjegine ynamym ýok.
I'm too tired to cook tonight.	Men bu gije nahar bişirmek üçin gaty ýadawdyryn
I've been waiting a long time.	Men köp wagtdan bäri garaşýaryn.
It isn't really that relaxing.	Hakykatdanam rahatlandyryjy däl
It looks like it'll rain soon.	Biraz wagtdan ýagşy ýagjaga meňzeýär.
It's warm here all year round.	Bütün ýyl bärde maýyl.
Let me tie your shoes for you.	Gel, men seniň köwşüň bagjyklaryny daňyp bereýin.
Let me tie your shoes for you.	Geliň, men siziň köwşüňiziň bagjyklaryny daňyp bereýin.
Mary is respected by everyone.	Mary hemmeler tarapyndan sylanýar.
My aunt gave me a photo album.	Daýzam maña suratly albom berdi.
No one will give us any money.	Hiç kim bize pul bermeýe.
Nothing transpired between us.	Aramyzda hiç zat bolup geçmedi.
Nothing will ever change here.	Bu ýerde hiç zat özgermeýär.
Nothing will ever change that.	Hiç zat muny özgerdip bilmez.
Please tell us how to do that.	Haýyş bize muny nädip etmelidigimizi aýdyñ.
She studies English every day.	Her gün iňlisçe öwrenýär.
She studies English every day.	Her gün iňlisçe okaýar.
She tried to conceal the fact.	Ol fakty gizlemäge synanyşdy.
She tried to conceal the fact.	Ol hakykaty ýaşyrmaga synanyşdy.
Tell Tom we're ready to leave.	Toma gitmäge taýýardygymyzy aýt.
Tell Tom we're ready to leave.	Toma gitmäge taýýardygymyzy aýdyň.
Tell us what needs to be done.	Bize näme edilmelidigini aýdyñ.
Thank you for dancing with me.	Meniň bilen tans edeniňiz üçin sag boluň.
Thank you for dancing with me.	Meniň bilen tans edeniň üçin sag bol.
That job was really difficult.	Ol iş hakykatdanam kyndy.
That's a fascinating question.	Bu juda gyzykly sorag.
The end of the world is close.	Dünýäniň soňy ýakynlaşýar.
The washing machine is broken.	Eşik ýuwujy maşyn döwük.
The wedding's been called off.	Toý goý bolsun edildi.
There isn't a moment to spare.	Sarp etmäge ýekeje pursadam ýok.
This is going to be fantastic.	Bu ajaýyp bolar.
This one's not working either.	Bu hem gabat gelenok.
Tom bought a hot dog for Mary.	Tom Mary üçin hot-dog aldy.
Tom decided to enter the room.	Tom otaga girmek kararyna geldi.
Tom didn't want to believe me.	Tom maňa ynanmak islemedi.
Tom doesn't believe in ghosts.	Tom arwahlaryň bardygyna ynanmaýar.
Tom doesn't want to apologize.	Tomyñ ötünç sorasy gelenok.
Tom is almost always cheerful.	Tom hemişe şadyýan.
Tom is difficult to deal with.	Tom bilen işleşmek gaty kyn.
Tom is out riding his bicycle.	Tom daşarda tigirini sürýär.
Tom is respected by all of us.	Biziñ hemmämiz Tomy sylaýarys.
Tom is somewhere in Australia.	Tom Awstraliýada birýerlerde.
Tom is trying to get to sleep.	Tom ýatmaga synanşýar.
Tom kindly answered questions.	Tom hemme soraglary assajykdan jogaplady.
Tom knows not to do that here.	Tom bärde näme etmelidäldigini bilýär.
Tom looks like he's depressed.	Tom göwni çökgün görünýär.
Tom might not make it in time.	Tom wagtynda gelip bilmez
Tom might've caught something.	Tom bir zat tutan bolmagy mümkin.
Tom picked out a book to read.	Tom okamak üçin kitap saýlady.
Tom said he'd be glad to help.	Tom kömek edendigi üçin begenjekdigini aýtdy
Tom searched for a job online.	Tom internetden iş gözledi.
Tom thought Mary was innocent.	Tom Meriniň günäsi ýok diýip pikir edýär
Tom will go to Boston with me.	Tom meniň bilen Bostona gider.
Tom's clothes are soaking wet.	Tomyň eşikleri ezilen ýaly çyg.
We met in front of the school.	Biz mekdebiň öňünde duşuşdyk.
We never should've left early.	Biz ir gaytmaly dal ekenik.
We were the ones who did that.	Muny eden biz
We were the ones who did that.	Biz muny edenler
We're ready for the next step.	Biz indiki ädim üçin taýýar.
What color are your new shoes?	Señ täze köwşiñ reñki nähili?
What exactly did you tell Tom?	Sen Toma konkretno näme diýdiň?
What time does the exam start?	Synag haçan başlaýar?
Who cares if Tom does do that?	Tom şony etse, kime näme?
Who cares if Tom does do that?	Kime näme Tom şony etse?
Who's going to give us a ride?	Bizi kim alyp gidýär?
Why would Tom need to do that?	Toma näme üçin şony etmek gerek bolardyka?
Would you repeat that, please?	Haýyş şuny gaýtalap bilersiñizmi?
You have to speak French here.	Bu ýerde sen Fransuzça gürlemeli.
You have to speak French here.	Siz bu ýerde fransuzça gürlemeli.
You have to speak French here.	Sen bu ýerde fransuzça gürlemeli.
You look like you just got up.	Sen indi turan ýaly görünýärsiň.
You may as well begin at once.	Senem birbada başlap bilersiň.
You may as well begin at once.	Sizem birbada başlap bilersiňiz.
You'd be perfect for this job.	Sen bu işe örän gabat gelýäň.
You're frightening the guests.	Sen myhmanlary gorkuzýäň.
You're usually busier than me.	Siziň işiňiz adatça maňa seredeňdäkinden köpräk.
Are you able to swim every day?	Her gün ýüzüp bilýärsiñmi?
Boston is where I want to live.	Boston - meniñ yasasym gelyan yerim.
Did you see how close that was?	Onuň nähili ýakyndygyny gördüňmi?
Do you believe that God exists?	Sen Hudaýyñ barlygyna ynanýarsyñmy?
Do you smell something unusual?	Üýtgeşik bir zadyň ysyny alýarsyňmy?
Do you smell something unusual?	Üýtgeşik bir zadyň ysyny alýarsyňyzmy?
Does Tom actually speak French?	Tom hakykatdanam Fransuzça gürläp bilýärmi?
Don't look down on poor people.	Garyp adamlara äsgermezlik etme.
Either Tom is wrong or Mary is.	Ýa Tomyñky ýalñyş ýa-da Meryñki.
Everything I told you was true.	Saña hemme aýdan zatlarym dogry.
Everything I told you was true.	Size hemme aýdanlarym dogry.
Have you ever seen an elephant?	Sen hiç pili gördüñmi?
Have you found your ticket yet?	Biletiňi tapdyňmy?
He returned very late at night.	Agşam örän giç dolandy.
How much did those onions cost?	Soganlar näçä düşdi?
I can't calculate the distance.	Men bu aralygy hasaplap bilmeýän
I can't calculate the distance.	Men bu aralygy hasaplamagy başaryp bilmeýän
I can't even find time to read.	Meniñ okamanada wagtym ýok.
I can't possibly do that alone.	Muny bir özim edip bilmerin.
I couldn't agree with you more.	Siz bilen bir pikirde men.
I don't have a hundred dollars.	Ýüz dollarym ýok.
I don't have to move to Boston.	Maña Bostona göçmek hökman däl.
I don't know what I should say.	Men näme aýtmalydygymy bilemok.
I don't live near where I work.	Men işimiñ golaýynda ýaşamok.
I don't live near where I work.	Men işleýän ýerimiñ golaýynda ýaşamok.
I don't think that that'll fly.	Meniñ pikirimçe ol uçmaz.
I haven't actually said no yet.	Men aslynda heniz "ýok" diýmändim.
I heard Tom playing the violin.	Men Tomyň skripka çalýandygyny eşitdim.
I knew Tom went to this school.	Tomuň bu mekdebe gidýändigini bilýärdim.
I know precisely how Tom feels.	Men Tomuň özüni nähili duýşuny kesgitli bilýärin.
I know precisely how Tom feels.	Men Tomuň özüni nähili duýşuny çürt-kesik bilýärin.
I know precisely how Tom feels.	Men Tomuň özüni nähili duýşuny juda gowy bilýärin.
I know what I have to do today.	Bu gün näme etmelidigimi bilýärin.
I saw Tom's daughter last week.	Geçen hepde Tomuň gyzyny gördüm.
I saw you with Tom last Monday.	Geçen duşenbe güni seni gördüm.
I think I'm going to go inside.	Men içine gidip barýan öýtýän.
I think I'm going to go inside.	Men içine girermikäm diýýärin.
I think that Tom can help Mary.	Tom Marya kömekleşip biler diýip oýlanýaryn.
I think that Tom can help Mary.	Tom Marya kömekleşip biler öýdýärin.
I think that Tom needs glasses.	Meniñ pikirimçe Toma äýnek gerek.
I thought Tom would come alone.	Men Tom ýeke geler diýip pikir etdim.
I thought you were a scientist.	Men seni alymdyr diyip pikir etdim.
I tried to explain that to Tom.	Men ony Toma düşündirip ýadadym.
I was in Boston just last week.	Men geçen hepde Bostondadym.
I was very hungry by lunchtime.	Men günortandan öň örän açdym.
I'd like to swim in this river.	Bu derýada ýüzmegi isleýärin
I'll be in Australia next week.	Men Awstraliýada indiki hepdede bolaryn.
I'm going to put on some music.	Men biraz aýdym ýakjak.
I'm not going to study tonight.	Men bu gün agşam okajak däl.
I'm sure you all read about it.	Siziň hemmäňiziň bu barada okandygyňyza berk ynanýaryn.
It began to rain cats and dogs.	Ýagyş gaty erbet ýagyp başlady.
It doesn't rain here very much.	Bu yerde yagys kop yaganok
It's an answer to Tom's letter.	Tomuň hatyna jogap.
It's sad to see Tom so unhappy.	Tomy gamgyn görmek örän gynançly.
It's very cold here in October.	Oktýabrda bärde örän sowuk.
Japanese cars are very popular.	Ýapon awtoulaglary örän meşhur.
Let me hear your frank opinion.	Mana hakyky sozuni ayt
No one thinks that way anymore.	Hiç kim indi onuñ ýaly pikir edenok.
Now he has nothing to live for.	Indi onuň ýaşamak üçin sebäbi ýok.
Orchids are my favorite flower.	Orkid güli meñ iñ gowy görýän gülüm.
Someone's knocking at the door.	Biri gapyn kakýar.
That's a terrible thing to say.	Onuň ýaly zat diýmek diýseň gelşiksiz ahyry.
That's my favorite French word.	Bu fransuzça söýgüli sözüm.
