I try.	Padasek.
Are those my slippers?	Tsinelasko kadi dayta?
Are we ready for this?	Nakasaganatayo kadi para iti daytoy?
Are you willing to go?	Sipapaluboska kadi a mapan?
Bananas are delicious.	Naimas ti saba.
Can you keep a secret?	Makaidulinka kadi iti maysa a palimed?
Do you believe in God?	Mamatika kadi iti Dios?
Do you have Bud Light?	Adda Bud Light-mo?
Do you like to travel?	Kayatmo ti agdaliasat.
Do you like to travel?	Kayatmo ti agdaliasat?
Do you want some wine?	Kayatmo ti arak?
Do you want to try it?	Kayatmo kadi a padasen?
Don't joke about that.	Saanmo a pagang-angawan ti maipapan iti dayta.
Have a good Christmas.	Naimbag a Paskuam.
He called me a coward.	Inawagannak a takrot.
He gave me 10,000 yen.	Inikkannak iti 10,000 a yen.
How long did you stay?	Kasano kabayag a nagtalinaedka?
I became Tom's friend.	Nagbalinak a gayyem ni Tom.
I don't wanna go back.	Diak kayataen ti agsubli.
I go there every year.	Tinawen a mapmapanak idiay.
I have to go to sleep.	Masapul a maturogak.
I have to go to sleep.	Innak maturogen.
I have to go to sleep.	Masapul nga innak maturogen.
I lost my inspiration.	Napukawko ti inspirasionko.
I paid about 50 bucks.	Mapan a 50 a doliar ti imbayadko.
I paid for it already.	Binayadakon dayta.
I paid for the damage.	Binayadak ti nadadael.
I paid for the drinks.	Binayadak dagiti mainum.
I thought he was sick.	Kunak no masakit isuna.
I will go if you come.	Mapanak no umayka.
I'll never forget you.	Saankanto a pulos malipatan.
I'm here as a tourist.	Addaak ditoy a kas turista.
I'm telling the truth.	Ibagbagak ti pudno.
I've already paid you.	Nagbayadak kenkan.
Is there life on Mars?	Adda kadi biag iti Mars?
Is your watch correct?	Umno met la kadi ti oras iti relom?
Nobody understands me.	Awan ti makaawat kaniak.
Please close the door.	Iserram man daydiay ridaw.
Tadpoles become frogs.	Agbalin a tukak dagiti bayyek.
That's not the reason.	Saan a dayta ti makagapu.
That's pretty amazing.	Nasayaat dayta.
The die has been cast.	Nalpasen a naimolde ti sukog.
There's nowhere to go.	Awanen ti mabalin a papanan.
This is a wooden comb.	Sagaysay a kayo daytoy.
Those men are cowards.	Takrot dagidiay a tattao.
Tom eats very quickly.	Nakaparpartak a mangan ni Tom.
Tom is my best friend.	Kagayyemak ni Tom.
Tom wants to help out.	Kayat ni Tom ti tumulong.
Tomorrow is Christmas.	Paskua no bigat.
We have to be careful.	Nasken nga agan-annadtayo.
We should get married.	Masapul nga agkallaysatan.
We should get started.	Masapul a mangrugitayon.
We've already started.	Nairugimin.
We've already started.	Nangrugikamin.
We've already started.	Nakarugikamin.
We've been discovered.	Naduktalandakami.
What a fool I've been!	Anian a kinabagtitko ngamin idin!
What are your beliefs?	Ania dagiti pammatim?
What brought you here?	Ania ti nakaumayam ditoy?
What brought you here?	Ania ti immayam ditoy?
What's in these boxes?	Ania ti adda kadagitoy a kahon?
What's in those cases?	Ania ti adda kadagidiay a kahon?
What's my room number?	Ania ti numero ti siledko?
When is your birthday?	Kaano ti kasangaymo?
Where are our friends?	Ayanna dagiti gagayyemtayo?
Who am I talking with?	Asino kadi ti kasarsaritak?
Why should I be there?	Apay koma nga addaak idiay?
You will pay for this.	Agbayadka gapu iti daytoy.
Cats dislike being wet.	Saan a kayat dagiti pusa ti mabasa.
Cats usually hate dogs.	Gagangay a kagura ti pusa ti aso.
Do you know the answer?	Ammom kadi ti sungbat?
Do you like doing this?	Kayatmo kadi nga ar-aramiden ti kastoy?
Do you like my clothes?	Kayatmo kadi dagiti kawesko?
Does Tom know who I am?	Ammo kadi ni Tom no asinoak?
Does that make you sad?	Malidayanka kadi iti dayta?
Don't you come near me.	Saanka nga umasideg kaniak.
He often quotes Milton.	Kanayonna a dakamaten ni Milton.
He sent a card to Mary.	Nangipatulod iti tarheta ken ni Mary.
I cannot possibly come.	Saan a mabalin nga umayak.
I don't speak Japanese.	Diak agsasao iti Hapones.
I got on the wrong bus.	Sabali a bus ti naluganak.
I love Christmas songs.	Kaykayatak dagiti kanta a Pamaskua.
I will be more careful.	Amang nga agan-annadakon.
I will gladly help you.	Maragsakanak a mangtulong kenka.
I wish I was in Boston.	Kayatko nga addaak koma idiay Boston.
I wish to go to Hawaii.	Kayatko ti mapan idiay Hawaii.
I'll wait for you here.	Urayenka ditoy.
I'm just being careful.	Naannadak laeng.
I'm trying to help you.	Padpadasek a tulonganka.
I've got no money left.	Awanen ti nabati a kuartak.
I've got to be careful.	Masapul nga agannadak.
Is it a recent picture?	Kaudian kadi a retrato?
Is your mother at home?	Adda kadi ti nanangmo iti balayyo?
It's October the third.	Maikatlo ita ti Oktubre.
Just be careful of Tom.	Annadam laeng ni Tom.
Life is like a journey.	Kasla maysa a panagdaliasat ti biag.
Living here isn't easy.	Ti panaggian ditoy ket haan nga naannayas.
May I watch TV tonight?	Mabalin nga agbuyaak iti TV ita a rabii?
My father's car is new.	Kabarbaro ti kotse ti tatangko.
My scalp is very itchy.	Nakagatgatel ti kudil ti ulok.
She is used to cooking.	Naruam isuna nga agluto.
She tore up the letter.	Pinigisna ti surat.
Shouldn't we stop this?	Saantayo kadi nga isardeng daytoy?
Someone gave Tom a car.	Adda nangted iti kotse ken ni Tom.
Tell Tom to be careful.	Ibagam ken ni Tom nga agan-annad.
The key is on the desk.	Adda ti tulbek iti lamisaan.
They're always careful.	Naannnadda a kanayon.
This clock is electric.	Dekoriente daytoy a relo.
Tom can finish the job.	Kabaelan ni Tom a leppasen ti trabaho.
Tom could beat anybody.	Abaken ni Tom ti uray asino.
Tom is a buddy of mine.	Barkadak ni Tom.
Tom is right behind me.	Adda a mismo ni Tom iti likudak.
Tom is smaller than me.	Napampandek ni Tom ngem iti siak.
Tom told us everything.	Inlatak ni Tom ti amin.
Tom wasn't celebrating.	Saan nga agramrambak ni Tom.
Tom wasn't complaining.	Saan nga agrekreklamo ni Tom.
Tom watched Mary leave.	Binuybuya ni Tom ti ipapanaw ni Mary.
Tom went up the stairs.	Immuli ni Tom iti agdan.
Tom will agree with me.	Umanamongto kaniak ni Tom.
Tom will be so excited.	Magagaran la ketdi unay ni Tom.
Tom, please be careful.	Pangngaasim ta agan-annadka, Tom.
We need to protect Tom.	Masapul a salaknibanayo ni Tom.
We'd better get inside.	Nasaysayaat no umunegtan.
Were you aware of this?	Pagaammom kadi daytoy?
What a beautiful dress!	Anian a nagpintas a bado!
What a beautiful scene!	Anian a nagpintas a buya!
When did you find this?	Nakasarakam iti daytoy?
When have I told a lie?	Kaano pay met a nagulbodak?
Where do I put my bags?	Pangipanak kadagiti bagko?
Who else is down there?	Asino pay ti adda idiay?
Whose golf bag is this?	Akin-golf bag iti daytoy?
Why are you busy today?	Apay a makumikomka ita nga aldaw?
You are very beautiful.	Nakapimpintaska.
You have to be careful.	Masapul nga agannadka.
You have to be careful.	Masapul a naannadka.
You were late for work.	Naladawka iti trabahom.
All my friends like you.	Kayatdaka dagiti amin a gagayyemko.
Ask me again in October.	Damagemto manen kaniak inton Oktubre.
Did you really go there?	Agpayso kadi a napanka idiay?
Do you have a cellphone?	Adda cellphone-mo?
Don't make a fool of me.	Dinak a balbalatongen.
Don't you know who I am?	Dimo kadi ammo no asinoak?
He asked us to help him.	Tulongantayo kano isuna.
He fought until the end.	Limmaban agingga iti maudi a kanito.
I didn't know you cared.	Diak ammo nga impategnak.
I hope to see you again.	Sapay ta agkitata manen.
I never liked Christmas.	Diak pulos kinayat ti Paskua.
I really need your help.	Kasapulak unay ti tulongmo.
I thought you'd love it.	Ti ammok ket kayat mo daytoy.
I'll be back in October.	Agsubliak no Oktubre.
I'll see you in October.	Kitaenkanto no Oktubre.
I'll wait until October.	Agurayak agingga iti Oktubre.
I'll write you a letter.	Suratankanto.
I'm at a loss for words.	Diak ammo ti sawek.
I'm looking for a house.	Adda birbirokek a balay.
I'm looking for a house.	Agsapsapulak iti balay.
It's the right decision.	Isu ti umno a pangngeddeng.
Let me see the pictures.	Bay-am a kitaek dagiti ladawan.
Scorpions are dangerous.	Napeggad dagiti manggagamma.
She gave birth to twins.	Nagpasngay isuna iti singin.
Tell them to be careful.	Ibagam kadakuada nga agannadda.
That is how it happened.	Kasta no kasano a napasamak.
They fought for freedom.	Nakirupirda para iti wayawaya.
They fought for freedom.	Nakidangadangda para iti wayawaya.
This house is abandoned.	Nagpanawan daytoy a balay.
Tom handed Mary the key.	Inyawat ni Tom ti tulbek ken ni Mary.
Tom is young and single.	Baro ni Tom ken awanan asawa.
Tom sang some old songs.	Nagkanta ni Tom iti sumagmamano a daan a kanta.
Tom seems to be excited.	Kasla magagaran ni Tom.
Tom showed me a picture.	Adda impakita ni Tom kaniak a ladawan.
Tom still can't go home.	Saan pay a makaawid ni Tom.
Tom touched my shoulder.	Inaprosan ni Tom ti abagak.
Tom was born in October.	Oktubre a nayanak ni Tom.
Tom wasn't contributing.	Saan a mangmangted ni Tom.
We should get back home.	Masapul nga agawidtan.
Where can I put my bags?	Sadino ti mabalin a pangipanak kadagiti bagko?
Who does this belong to?	Asino ti akinkukua iti daytoy?
Who don't you know here?	Asino ti dimo am-ammo ditoy?
You look very beautiful.	Nakapimpintas ti langam.
You must do it yourself.	Nasken a sika a mismo ti mangaramid.
You're not going to win.	Saanka a mangabak.
You're not going to win.	Saankanto a mangabak.
A glass of water, please.	Sangabaso man a danum, pangngaasim.
Christmas is coming soon.	Umadanin ti Paskua.
Do you believe in ghosts?	Mamatika kadi kadagiti al-alia?
Do you know anybody here?	Adda kadi am-ammom ditoy?
Do you know how to do it?	Ammom kadi no kasano nga aramiden?
Do you remember who I am?	Malagipmo pay laeng no siasinoak?
Do you want pepper on it?	Kayatmo kadi nga adda silina?
Do you want to get drunk?	Kayatmo kadi ti mabartek?
Don't forget who you are.	Dimo liplipatan no asinoka.
Don't play with that key!	Dimo abalbalayen dayta a tulbek!
Don't they drive you mad?	Didaka kadi pagbagtiten?
Don't you recognize them?	Dimo kadi malasin ida?
He doesn't have a sister.	Awan kabsatna a babai.
He has lots of new ideas.	Adu ti kabarbaro nga ideana.
He is liked by everybody.	Kayat isuna ti amin.
He tried to get up early.	Pinadasna ti agriing a nasapa.
He whistled as he walked.	Agsagsagawisiw isuna kabayatan a magmagna.
How large is your family?	Kasano kadakkel ti familiam?
How long were they there?	Kasano kabayagen nga addada idiay?
How's everything at home?	Mag-an ti amin iti balay?
I can't live without you.	Diak agbiag no awanka.
I didn't know what to do.	Diak ammo no ania ti aramidek.
I had no clue what to do.	Awan pamalpalatpatak no ania ti aramiden.
I haven't read this book.	Saanko pay a nabasa daytoy a libro.
I haven't washed my hair.	Saanko a ginulgolan ti buokko.
I need to sleep a little.	Kasapulak ti maturog uray sangkabassit.
I opened the door slowly.	Inin-inutko a linuktan ti ridaw.
I paid for these tickets.	Binayadak dagitoy a tiket.
I paid to have this done.	Nagbayadak tapno maileppas daytoy.
I really want to see you.	Kayatko la unay a makitaka.
I saw him enter the room.	Nakitak isuna a simrek iti siled.
I sold it this afternoon.	Inlakok itay malem.
I will write to you soon.	Suratankanto iti mabiit.
I'll never do this again.	Diakton pulos aramiden daytoy.
I'll never see Tom again.	Saankonton a pulos a makita pay ni Tom.
I'm not going to read it.	Saanko nga basaen daytoy.
I'm tired of watching TV.	Naumaakon nga agbuya iti TV.
I'm trying to do my best.	Ikarkarigatak nga aramidem ti amin a kabaelak.
I'm very glad to see you.	Maragsakanak unay a makakita kenka.
I've never been to Paris.	Diak pay nakapan idiay Paris.
Is it OK to do that here?	OK laeng kadi nga aramiden dayta ditoy?
It happened last October.	Napasamak idi napan nga Oktubre.
Terrorists blew up a bus.	Pinabettak dagiti terorista ti bus.
The blanket is still wet.	Nabasa pay laeng ti ules.
The blood test is normal.	Normal ti resulta ti pannakaamiris ti dara.
The book is on the table.	Adda ti libro iti lamisaan.
They called him a coward.	Inagawanda isuna a takrot.
This is a very tall tree.	Nakataytayag a kayo daytoy.
Tom didn't think of that.	Saan a napanunot ni Tom dayta.
Tom has lost his car key.	Napukaw ni Tom ti tulbek ti kotsena.
Tom is one of my friends.	Maysa kadagiti gayyemko ni Tom.
Tom searched for the key.	Binirok ni Tom ti tulbek.
Tom told Mary everything.	Imbaga ni Tom ti amin ken ni Mary.
Tom wasn't concentrating.	Saan nga ipaspasnek ni Tom.
Was the book interesting?	Napintas kadi ti libro?
Were there any witnesses?	Adda kadi met la dagiti saksi?
What can I do about this?	Ania ti maaramidak maipapan iti daytoy a banag?
What does this word mean?	Ania ti kaipapanan daytoy a balikas?
What he lacks is courage.	Ti kurang kenkuana ket kinatured.
Who wrote these messages?	Asino ti nagsurat kadagitoy a mensahe?
Why do you need a doctor?	Apay a masapulmo ti doktor?
Why should I talk to Tom?	Apay koma a nasken a makisaritaak ken ni Tom?
Will you stop teasing me?	Di la mabalin a sardengannak a rabrabaken?
You are guilty of murder.	Nagbasolka iti pammapatay.
You have chosen the best.	Pinilim ti kasasayaatan.
Am I responsible for this?	Siak kadi ti responsable iti daytoy?
Could you turn off the TV?	Mabalin kadi nga iddepem dayta TV?
Do you still need my help?	Masapulmo pay la kadi ti tulongko?
Don't worry. I'm a doctor.	Dika madanagan. Maysaak a doktor.
He said that he was happy.	Kunana a naragsak isuna.
He talked to me every day.	Kasasaonak iti inaldaw.
How's that business going?	Kasano met ti tarayna dayta a negosio?
I can't live without a TV.	Saanak nga agbiag no awan ti TV.
I couldn't think straight.	Saanak a mapapanunot iti limpio.
I have to wash the dishes.	Masapul nga innawak dagiti pinggan.
I need to quit doing this.	Kasapulak nga isardeng daytoy.
I think that you're wrong.	Panagkunak ket nagbiddutka.
I try to keep my promises.	Ikarigatak a takderan dagiti karik.
I want to be in your plan.	Kayatko ti makiraman iti planom.
I watched TV this morning.	Nagbuyaak iti TV itay bigat.
I will follow your advice.	Tungpalek ti pammagbagam.
I'll never run away again.	Saanakon nga aglibas.
I'm sure you're very busy.	Ammok a makumikomka unay.
I've decided to marry Tom.	Inkeddengko nga ikallaysak ni Tom.
It was just an experiment.	Maysa laeng nga eksperimento.
My birthday is in October.	Kasangayko ket iti Oktubre.
This cave is full of bats.	Napno iti panniki daytoy a gukayab.
Tom doesn't know who I am.	Saan nga ammo ni Tom no asinoak.
Tom is a spineless coward.	Awan durina a takrot ni Tom.
Tom is always watching TV.	Kanayon nga agbuya iti TV ni Tom.
Tom is always watching TV.	TV la ti ob-obraen ni Tom.
Tom knows what this means.	Ammo ni Tom no ania ti kaipapanan daytoy.
Tom left in early October.	Pimmanaw ni Tom idi nasapa nga Oktubre.
Tomorrow is Christmas Day.	Kaaldawan ti Paskua no bigat.
What are you trying to do?	Ania ti igaygay-atmo nga aramiden?
What were you doing there?	Ania ti ar-aramidem idiay?
What would you like to do?	Ania ti kayatmo nga aramiden?
When will you take a bath?	Kaanoka nga agdigos?
Where are the other girls?	Ayanda dagiti dadduma a babbai?
Why did you do this to me?	Apay nga inaramidmo ti kastoy kaniak?
You should see the doctor.	Masapul nga agpakitaka iti doktor.
Brush your teeth every day.	Gisigisam dagiti ngipenmo iti inaldaw.
Come back here, you coward.	Agsublika ditoy, sika a takrot.
Do I look like a terrorist?	Aglanglangaak kadi a terorista?
Don't worry. I'll help you.	Dika madanagan. Tulonganka.
Don't you dare answer that.	DImo padpadasen a sungbatan dayta.
Friends are very important.	Napateg la unay dagiti gagayyem.
He believes in Santa Claus.	Mamati isuna iti Santa Claus.
He has no room to study in.	Awan bukodna a siled a pagadalanna.
He isn't able to buy a car.	Saanna a kabaelan ti gumatang iti kotse.
I had chicken pox as a kid.	Nagtukoak idi ubingak.
I need a bigger frying pan.	Masapulko ti dakdakkel a pariok.
I need nine hours of sleep.	Masapulko ti siam nga oras a pannaturog.
I need to go to the toilet.	Kasapulak ti mapan iti kasilias.
I need to go to the toilet.	Mapanak umigid.
I need to go to the toilet.	Innak tumakki.
I paid 30 dollars for that.	Nagbayadak iti 30 a doliar para iti dayta.
I really want a motorcycle.	Talaga a kayatko ti motorsiklo.
I thought about the future.	Pinanunotko ti maipapan iti masakbayan.
I told Tom he was a coward.	Imbagak ken ni Tom a takrot isuna.
I told you he was a coward.	Kunakto met kenka a maysa a takrot isuna.
I was in Boston in October.	Addaak idiay Boston idi Oktubre.
I'm going to sell my house.	Ilakok ti balayko.
Is the hotel far from here?	Adayo kadi ti otel manipud ditoy?
Is the mouse dead or alive?	Natay kadi ti bao wenno nabiag pay?
It won't be simple for you.	Saan a nalaka para kaniam.
My sister married a doctor.	Nagasawa iti doktor ti kabsatko a babai.
None of us knew what to do.	Awan kadatayo ti makaammo no ania ti maaramid.
None of us saw Tom do that.	Awan kadatayo ti nakakita nga inaramid ni Tom dayta.
Paris will always be Paris.	Ti Paris ket Paris-to latta.
She asked me how old I was.	Dinamagna no manon ti tawenko.
She lived there by herself.	Agnanaed sadiay nga is-isuna.
Terrorists were everywhere.	Adda dagiti terorista iti uray sadino.
The terrorists have failed.	Napaay dagiti terorista.
These bananas are not ripe.	Saan pay a naluom dagitoy a saba.
This is never going to end.	Saanen nga agpatingga daytoy.
Tom didn't touch his lunch.	Saan a kinuti ni Tom ti pangngaldawna.
Tom has a beautiful garden.	Adda napintas a hardin ni Tom.
We celebrated his birthday.	Rinambakanmi ti panagkasangayna.
We need to call the police.	Masapul nga umawagtayo iti polis.
What are you talking about?	Ania ti ibagbagam?
What would you like to eat?	Ania ti kayatmo a kanen?
When is it going to happen?	Kaano a mapasamak?
Where should I put my bags?	Pangikkak kadi ngata kadagiti bagko?
Who are those young ladies?	Asino dagiti a naubbing pay a babbai?
Who have you helped lately?	Siasino dagit natulungamon itay nabiit?
Who's calling at this hour?	Asino ti umaw-awag iti kastoy nga oras?
Why do you need to do this?	Apay a masapul nga aramidem daytoy?
You never tell me anything.	Awan a pulos imbagbagam kaniak.
You've spilled your coffee.	Naibellengen dayta kapem.
Are those people terrorists?	Terorista kadi dagidiay a tattao?
Do you need help doing this?	Masapulmo kadi ti tulong a mangaramid iti daytoy?
Does anybody recognize this?	Adda kadi makabigbig iti daytoy?
Don't you read the tabloids?	Dimo kadi basbasaen dagiti tabloid?
Have you reached a decision?	Nakaikeddengkayo kadin?
Haven't we been here before?	Saan kadi nga immayta idin ditoy?
He asked me a few questions.	Nagamad kaniak iti sumagmamano a saludsod.
He pretended to be a doctor.	Nagpammarang isuna a kas doktor.
He will come this afternoon.	Umay isuna iti daytoy a malem.
He's going to join our club.	Sumali isuna iti gunglotayo.
I don't have an explanation.	Awan ti palawagko.
I feel like drinking a beer.	Makain-inumak iti serbesa.
I have to read this article.	Masapul a basaek daytoy nga artikulo.
I think you should meet Tom.	Panagkunak ket masapul a makasangom ni Tom.
I went to the zoo yesterday.	Napanak idiay zoo idi kalman.
I'll be free all day Monday.	Siwayawayaak nga agmalmalem inton Lunes.
I'll have to meet you there.	Nasken a makasinnarakka idiay.
I've learned to accept that.	Nasursurokon nga awaten dayta.
Is that really all there is?	Dayta la kadi ti amin nga adda?
It is nice to see you again.	Maragsakanak a makakita manen kenka.
It was a difficult decision.	Narikut a pangngeddeng daydiay.
Let me know what you decide.	Ibagam kaniak no ania ti ikeddengyo.
Most people think I'm crazy.	Kaaduan a tattao ket ipagarupda nga agballaak.
My birthday is October 20th.	Kasangayko ti maika-20 ti Oktubre.
She is wearing a blue dress.	Nakaaruat isuna iti asul a bado.
She left France for America.	Pimmanaw iti Francia ket napan idiay America.
She painted the walls white.	Pinintaanna iti puraw dagiti diding.
She was wearing a black hat.	Nakakallugong isuna iti nangisit.
Should we wait for Tom here?	Urayentayo kadi ni Tom ditoy?
Should we wait for Tom here?	Urayenta kadi ni Tom ditoy?
Tell me all about your plan.	Ibagam kaniak ti maipapan iti planom.
The dog is trying to escape.	Padpadasen ti aso ti aglibas.
This isn't an easy decision.	Saan a nalaka daytoy a pangngeddeng.
Tom got a 100% in chemistry.	Nakaala ni Tom iti 100% a grado iti chemistry.
Tom is the man of my dreams.	Ni Tom ti lalaki kadagiti tagainepko.
Tom was arrested in October.	Naaresto ni Tom idi Oktubre.
Tom was killed by lightning.	Pinatay ti kimat ni Tom.
Tom was killed by lightning.	Natay iti kimat ni Tom.
We have an image to protect.	Adda dayaw a salsaluadanmi.
We'll meet again in October.	Agsarakta manen no Oktubre.
What are you thinking about?	Ania kadi ti pampanunotem?
What are you worrying about?	Ania ti pakadanagam?
What do you do after school?	Ania ti ar-aramidem kalpasan ti panageskuelam?
What was the cause of death?	Ania kadi ti nakaigapuan ti ipapatayna?
Why do we have to pay taxes?	Apay pay la ngamin nga agbayadtayo iti buis?
Why don't you come visit us?	Apay a dinakami umay sarungkaran?
Will you tell the truth now?	Ibagam kadin ti pudno ita?
You made a fool of yourself.	Pinagbalinmo a langgong ti bagbagim.
Are you proud of your father?	Ipagpampannakkelmo kadi ti tatangmo?
Do you think we can help Tom?	Panagkunam mabalintayo a tulongan ni Tom?
Do you understand everything?	Maawatam kadi ti amin?
Have you ever been to Mexico?	Nakapanka kadin idiay Mexico?
He did not have enough money.	Awan ti makaanay a kuartana.
He is more lucky than clever.	Ad-adda a nagasat isuna ngem iti natuso.
He plays the piano very well.	Nakalalaing nga agpiano isuna.
He took a book off the shelf.	Nangala iti libro manipud iti estante.
He turned up 30 minutes late.	Nagparang isuna kalpasan ti 30 a minutos.
He turned up 30 minutes late.	Naladaw isuna iti 30 a minutos.
Hey, what are you doing here?	Uy, ania ti ar-aramidem dioy?
How many sisters do you have?	Mano ti kakabsatmo a babbai?
How many times have you gone?	Mano a daras a pimmanawkan?
I cannot get rid of my cough.	Diak maikkat ti uyekko.
I don't want to go to school.	Diak kayat ti mapan idiay eskuela.
I shouldn't have lied to you.	Saanak koma a nagul-ulbod kenka.
I want to go somewhere quiet.	Kayatko ti mapan iti maysa a lugar a naulimek.
I watch television every day.	Inaldaw nga agbuyaak iti telebision.
I'm still thinking about Tom.	Pampanunotek pay laeng ti maipapan ken ni Tom.
I'm sure Tom got the message.	Siguradoak a naawat ni Tom ti mensahe.
I'm sure Tom had his reasons.	Siguradoak nga adda dagiti rason ni Tom.
I'm sure Tom misses you, too.	Siguradoak a kailiwnaka met ni Tom.
I'm sure Tom will understand.	Siguradoak a maawatan ni Tom.
I'm sure Tom would like that.	Siguradoak a kayat ni Tom dayta.
I'm sure everyone understood.	Siguradoak a naawatan ti amin.
I'm sure it's just temporary.	Siguradoak a temporario laeng.
I'm sure that was the reason.	Siguradoak nga isu daydiay ti rason.
I'm sure you understand that.	Siguradoak a maawatam dayta.
I'm tired of waiting in line.	Nabannogakon nga agur-uray iti pila.
I've never seen a live whale.	Haannak pay a nakaimatang iti sibibiag a balyena.
It is fun to swim in the sea.	Naragsak ti aglangoy iti baybay.
It's almost half past eleven.	Dandanin agalas onse media.
It's already time to go home.	Orasen ti panagawid.
Keep a copy of that document.	Mangidulinka iti kopia dayta a dokumento.
Mary is beautiful, isn't she?	Napintas ni Mary, saan kadi?
May I borrow your dictionary?	Bulodek man ti diksionariom?
One language is never enough.	Saan nga umanay ti maymaysa a pagsasao.
Our mother bought us a puppy.	Inggatangannakami ti nanangmi iti uken.
She used to live in Tel Aviv.	Nagnaed idi isuna idiay Tel Aviv.
That's how I got to know her.	Kasta ti napasamak no kasano a naam-ammok isuna.
The enemy blew up the bridge.	Pinabettak dagiti kabusor ti rangtay.
The price of the book was $5.	$5 ti presio ti libro.
Tom didn't like our decision.	Saan a kayat ni Tom ti pangngeddengtayo.
Tom died on October 20, 2013.	Pimmusay ni Tom idi Oktubre 20, 2013.
Was Tom the one who did this?	Ni kadi Tom ti akin-aramid iti daytoy?
Why don't you eat vegetables?	Apay a dika agsida iti natnateng?
Your plan is sure to succeed.	Sigurado nga agballigi ti planom.
Your sons are quite handsome.	Natataer man dagiti babbarom.
All of my friends like soccer.	Amin dagiti gagayyemko ket kayatda ti soccer.
All that glitters is not gold.	Saan nga amin a nasilap ket balitok.
Christmas is fast approaching.	Nadaras ti isusungad ti Paskua.
Did you get what you went for?	Naalam kadi ti napanmo ginagara?
Do you know where we're going?	Ammom kadi no sadino ti papanantayo?
Don't you believe in miracles?	Dika kadi mamati kadagiti milagro?
He came in through the window.	Simrek babaen ti tawa.
He came to ask us to help him.	Immay isuna tapno agkiddaw a tulongantayo isuna.
He didn't like to be punished.	Saanna a kayat ti madusa.
How many siblings do you have?	Mano ti kakabsatmo?
How often did you visit Kyoto?	Kasano kasansan a sumarsarungkarka idiay Kyoto?
I don't want to fail my exams.	Diak kayat a maibbongak kadagiti eksamenko.
I eat meat three times a week.	Agsidsidaak iti karne tallo a daras iti makalawas.
I need to buy some rat poison.	Masapul a gumatangak iti pagsabidong iti bao.
I will go to America tomorrow.	Mapanak idiay America no bigat.
I will pick you up around six.	Dagasenkanto inton agalas sais.
It's now time for you to rest.	Orasen ti panaginanam.
Mary has beautiful brown eyes.	Addaan ni Mary iti napipintas a maris kape a matmata.
Perhaps it will rain tomorrow.	Nalabit agtudo no bigat.
She tore a hole in her blouse.	Inabutanna ti blusana.
Summers are very hot in Kyoto.	Nakapudpudot ti kalgaw iti Kyoto.
The car crashed into the wall.	Naidungpar ti kotse iti pader.
The rice is already harvested.	Naapiten ti pagay.
There's a hole in this bucket.	Adda abutna daytoy a timba.
These scissors don't cut well.	Saan a makagetteng a nalaing daytoy a kartib.
They're not going to catch us.	Saandata a matiliw.
This tape recorder is not new.	Saaan a baro daytoy a tape recorder.
Tom is scared to talk to Mary.	Mabuteng ni Tom a makisarita ken ni Mary.
Tom showed us around the city.	Inlawlawnakami ni Tom iti siudad.
We know very little about Tom.	Bassit ti ammomi maipapan kenni Tom.
We should get out of here now.	Masapul a rummuartayo itan ditoy.
We visited our father's grave.	Sinarungkaranmi ti tanem ti amami.
What are you trying to decide?	Ania kadi ti padpadasem nga ikeddeng?
What do you think caused this?	Panagkunam ania ti nakaigapuan daytoy?
Would you like some more beer?	Kayatmo ti uminum iti serbesa?
You are nothing but a student.	Maysaka laeng nga estudiante.
An ugly man knocked on my door.	Maysa a nalaad a lalaki ti nagkukkok iti ridawko.
An ugly man knocked on my door.	Isang pangit na lalaki ang kumatok sa aking pinto.
As for me, I have no objection.	No siak la a maysa, awan ti tubngarek.
Disease and famine go together.	Agkadua ti saksakit ken panagbisin.
Do you realize what time it is?	Dimo kad madlaw no ania ti orasen?
Do you want to end up like Tom?	Kayatmo kadi ti maipada iti kas ken ni Tom?
Everyone has their own opinion.	Tunggal maysa ket addaan iti bukodna nga opinion.
Have I made the right decision?	Umno kadi ti pangngeddengko?
Have you ever climbed Mt. Fuji?	Inulim kadin ti Bantay Fuji?
He came to Japan two years ago.	Simmangpet iti Japon dua a tawenen ti napalabas.
He caught them stealing apples.	Natiliwanna ida nga agtaktakaw iti mansanas.
He is qualified to be a lawyer.	Maikari isuna a kas abogado.
He is used to getting up early.	Naruam isunan nga agriing a nasapa.
He lives in a world of fantasy.	Agbibiag isuna iti lubong ti fantasia.
He was laughed at by everybody.	Katkatawaan isuna ti amin.
How much did this bicycle cost?	Mano ti presiona daytoy a bisekleta?
I can't believe we got invited.	Diak makapamati a naawiskami.
I could feel the house shaking.	Mariknak ti panagarigenggen ti balay.
I could read between the lines.	Makabasaak met iti nagbabaetan dagiti linia.
I couldn't have prevented this.	Diak koma nalappedan daytoy.
I couldn't survive without Tom.	Saanak a makalasat no awan ni Tom.
I don't care how much it costs.	Awan bibiangko no mano ti presiona.
I don't get up as early as Tom.	Saanak nga agririing a kas ken ni Tom.
I don't like Christmas anymore.	Diak kayaten ti Paskua.
I had an operation last summer.	Naoperaak idi napan a kalgaw.
I had business to take care of.	Adda nasken nga aramidek a masapul nga asikasuek.
I hate terrorist organizations.	Kagurak dagiti gunglo dagiti terorista.
I have to reply to this letter.	Masapul a subalitak daytoy a surat.
