Who?	چه کسی؟
You're the one I need now.	تو کسی هستی که الان بهش احتیاج دارم.
"I have to see him." "Why?"	«باید او را ببینم.» «چرا؟»
"Thanks." "You're welcome."	"تشکر." "خواهش می کنم."
After a storm comes a calm.	بعد از هر سربالایی یک سرازیری است.
Big cars burn a lot of gas.	اتوموبیل‌های بزرگ زیاد بنزین مصرف می‌کنند.
Can you measure the length?	آیا می‌توانی طول را اندازه بگیری؟
Do you know where he lives?	آیا می‌دانی او کجا زندگی می‌کند؟
Don't take it so seriously.	زیاد جدی نگیر.
Greeks often eat fish, too.	یونانی ها گاهی ماهی بسیار می خورند.
He asked me for some money.	او از من مقداری پول خواست.
He decided to sell the car.	تصمیم گرفت ماشین را بفروشد.
He doesn't read many books.	او زیاد کتاب نمی خواند.
He hasn't left any message.	او پیغامی نگذاشته است.
He is a jack-of-all-trades.	او همه فن حریف است.
He is a poet and statesman.	او یک سیاستمدار و شاعر است.
He is a university student.	او دانشجوی دانشگاه است.
His joke made us all laugh.	جک او همه ما را خنداند.
His son trembled with fear.	پسرش از ترس لرزید.
How can we learn the truth?	چگونه حقیقت را دریابیم؟
I arrived in Tokyo at noon.	من ظهر به توکیو رسیدم.
I belong to the music club.	من عضو باشگاه موسیقی هستم.
I don't have a beach house.	من یک خانه ساحلی ندارم.
I don't know if I can come.	نمی‌دانم می‌توانم بیایم.
I don't know what you like.	من نمي دانم شما از چه خوشتان مي آيد
I have blisters on my feet.	من روی پایم تاول دارم.
I have two foreign friends.	من دو دوست خارجی دارم.
I heard the news by chance.	اتفاقی اخبار را شنیدم.
I learned a new word today.	من امروز یک کلمه جدید یاد گرفتم.
I thanked Tom for his time.	از تام بابت زمانی که گذاشت، تشکر کردم.
I was feeling blue all day.	تمام روز احساس افسردگی می‌کردم.
I work for a travel agency.	من در آژانس مسافرتی کار می کنم.
I'd like to confide in you.	من دوست دارم به تو اعتماد کنم.
I'm going to be in my room.	من در اتاقم خواهم بود.
I'm satisfied with my work.	من از شغلم راضی هستم.
It is likely to rain again.	به احتمال زیاد دوباره باران می بارد.
Many hands make light work.	یک دست صدا ندارد.
Metals conduct electricity.	فلزات الکتریسیته را هدایت می‌کنند.
My mother's feeling better.	حال مادرم بهتر است.
My parents had me go there.	والدینم مرا مجبور کردند به انجا بروم.
Parking is prohibited here.	اینجا پارک کردن ممنوع است.
Please come home sometimes.	لطفا گاهی خانه ما بیا.
Please take off your shoes.	لطفاً کفشهایت را در بیاور.
She and I are the same age.	من و او(زن) هم سن هستیم.
She wasn't a bit impatient.	او کم بی تاب نبود.
She's never fallen in love.	او هیچگاه عاشق نشده است.
The medicine tastes bitter.	دارو ها مزه تلخی دارند.
The music stopped abruptly.	آهنگ ناگهانی متوقف شد.
The speed limit was 60 mph.	حد مجاز سرعت 60 مایل بر ساعت بود.
Their house is very modern.	خانه آنها خیلی مدرن است.
They criticized each other.	از یکدیگر انتقاد کردند.
This man is very, very old.	این مرد خیلی خیلی پیر است.
This word comes from Greek.	این واژه از یونانی می آید.
Tom got on the wrong train.	تام اشتباهی سوار قطار شد.
Tom took me under his wing.	تام مرا تحت حمایت خودش قرار داد.
Tom wasn't there yesterday.	تام دیروز آنجا نبود.
Tom will be fine, won't he?	تام حالش خوب می‌شه، مگه نه؟
Violators will be ticketed.	تخطی‌کنندگان جریمه خواهند شد.
We only have three options.	ما فقط سه گزینه داریم.
We talked in sign language.	ما با زبان اشاره صحبت کردیم.
We were at school together.	ما در مدرسه با هم بودیم.
What are you talking about?	درباره چه حرف می زنید؟
Why do we have to help Tom?	چرا ما مجبوریم به تام کمک کنیم؟
Words hurt more than fists.	کلمات بیشتر از مشت ها آسیب می زنند.
Wouldn't that be dangerous?	آیا خطرناک نخواهد بود؟
You can't take it with you.	نمی‌توانی آن را با خود ببری.
Can you please watch my bag?	لطفاً، می توانید مراقب کیف من باشید؟
Does Tom want to go with us?	آیا تام می خواهد که با ما برود؟
Don't forget to write to us.	نامه نوشتن به ما را فراموش نکن.
France is in Western Europe.	فرانسه در اروپای غربی واقع است.
Give it to whoever wants it.	به هر کسی که خواستش آن را بده.
Have you ever pruned a tree?	تا به حال یک درخت را هرس کرده‌اید؟
He began to talk to the dog.	او شروع به صحبت کردن با سگ کرد.
He did not know where to go.	او نمی دانست کجا برود.
He didn't reveal his secret.	او رازش را آشکار نساخت.
He pretended not to hear me.	او وانمود کرد که مرا نمی شنود.
He would have no part of it.	حاضر نبود در آن کار مشارکت کند.
Hitler led Germany into war.	هیتلر آلمانی ها را به جنگ کشانید.
How long have you been busy?	در طول چه مدتی مشغول بودید؟
I can't come with you today.	امروز نمیتونم با تو بیام.
I don't have a single enemy.	من یک دشمن منفرد ندارم.
I don't see Tom a whole lot.	با تام اینهمه دیدار ندارم.
I don't see Tom a whole lot.	تام را چنان زیاد ملاقات نمی کنم
I fell asleep while reading.	من در هنگام خواندن به خواب رفتم.
I have blisters on my hands.	من روی دستانم تاول دارم.
I haven't seen you for ages.	من سالها بود که او را ندیده بودم.
I just cleaned the bathroom.	همین الآن دست‌شوئی را تمیز کردیم.
I showered before breakfast.	قبل از صبحانه دوش گرفتم.
I thought I could trust you.	فکر کردم می‌توانم بهت اعتماد کنم.
I want to close the account.	می خواهم حسابم را ببندم.
I was compelled to go there.	من مجبور شدم به آنجا بروم.
I will not be busy tomorrow.	فردا مشغول نخواهم بود.
I work every day but Sunday.	من هر روز به جز یکشنبه کار می کنم.
I'll be back by six o'clock.	من حدود ساعت شش خواهم برگشت.
I'm deeply in love with you.	من عمیقاً عاشق شما هستم.
It is a sheer waste of time.	این یک اتلاف وقت محض است.
It's time you faced reality.	الآن زمانی است که با واقعیت روبرو شدی.
Let's see if Tom is at home.	اجازه بده ببینیم تام در خانه است؟
My mother never punished me.	مامان هیچ وقت منو تنبیه نکرد.
My mother never punished me.	مادرم هرگز مرا تنبیه نکرد.
Not all policemen are brave.	همه ی پلیس ها شجاع نیستند.
Now I know why Tom hates me.	الان میدونم چرا تام از من بدش میاد.
Parents love their children.	والدین بچه هایشان را دوست دارند.
Pass me the salt, would you?	نمک را به من بده، ممکنه؟
Perry visited Uraga in 1853.	پری، اوراگا را در سال 1853 بازدید کرد.
Proverbs are full of wisdom.	ضرب المثل‌ها پر از حکمت هستند.
She called me up from Tokyo.	او از توکیو به من زنگ زد.
She likes jazz, and so do I.	او جاز دوست دارد و من هم همینطور.
She proposed giving a party.	او پیشنهاد کرد یک سور بدهد.
Tell the others to hurry up.	به دیگران بگو عجله کنند.
The danger was not apparent.	خطر آشکار نبود.
There's nothing for me here.	اینجا هیچ چیزی برای من نیست.
Tom asks a lot of questions.	تام زیاد سوال میپرسد.
Tom drives Mary up the wall.	تام ماری را به بالای دیوار می‌راند.
Tom has dyed his hair black.	تام موهایش را به رنگ سیاه رنگ کرد.
Tom only thinks about money.	تام فقط به پول فکر می کند.
We live close to the school.	ما نزدیک مدرسه زندگی می کنیم.
We started at the same time.	ما همزمان شروع کردیم.
We're a peace-loving nation.	ما ملت صلح دوستی هستیم.
What are you hiding from me?	چه چیزی را از من پنهان می‌کنی؟
What exactly are you saying?	دقیقاً چه می‌خواهی بگویی؟
Where can we find the truth?	حقیقت را در کجا می توانیم بیابیم؟
Why did your T-shirt shrink?	چرا تی شرتت آب رفت؟
You have a very good memory.	تو حافظه خیلی خوبی داری.
A burnt child fears the fire.	مار گزیده از ریسمان سیاه و سفید می‌ترسد.
A good horse knows its rider.	اسب خوب سوارکار خود را می شناسد.
A good idea crossed his mind.	ایده ی خوبی به ذهنم رسید.
Allow me to introduce myself.	اجازه بده خودم را معرفی کنم.
Can you think of any reasons?	آیا تو می توانی به دلایل آن فکر کنی؟
Cut the cake with that knife.	کیک را با آن چاقو ببرید.
Don't make fun of foreigners.	خارجی ها را مسخره نکن.
Don't make me come back here.	مجبورم نکن به اینجا برگردم.
Escape was almost impossible.	فرار تقریباً ناممکن بود.
Everybody speaks well of her.	همه از او خوب می گویند.
Have you heard the good news?	آیا خبر خوب را شنیده ای؟
He gave me a piece of advice.	او مرا نصیحت کرد.
He is able to speak Japanese.	او می تواند ژاپنی صحبت کند.
He is preparing for the test.	او دارد برای امتحان آماده می شود.
He received a good education.	او از تحصیلات خوبی برخوردار شد.
He rubbed his hands together.	او دستهایش را به هم مالید.
His pencil has a sharp point.	خودکارش سر تیزی دارد.
His prediction has come true.	پیش‌بینی او درست از کار در آمد.
Honesty pays in the long run.	در درازمدت، درستکاری سود خود را می‌دهد.
How are earthquakes measured?	زمین لرزه‌ها را چگونه اندازه می‌گیرند؟
I am not acquainted with him.	من با او آشنا نیستم.
I am not concerned with this.	من نگران این نیستم.
I can't answer your question.	من نمی‌توانم به سوال شما پاسخ دهم.
I can't promise you anything.	من نمی توانم به تو هیچ قولی بدهم.
I caught five fish yesterday.	من دیروز پنج تا ماهی گرفتم.
I don't know what else to do.	من نمی دانم چه کار دیگری باید انجام دهم.
I followed the deer's tracks.	رد آهو را دنبال کردم.
I got blisters from the burn.	من از سوختگی تاول زدم.
I got up at six this morning.	من هرروز صبح ساعت شش از خواب بیدار می شوم.
I have absolute faith in you.	من به تو ایمان کامل دارم.
I have some stamps in my bag.	تعدادی تمبر در کیفم دارم.
I seem to have lost my purse.	به نظر می رسد که کیف پولم را گم کردم.
I stayed awake until morning.	تا صبح بیدار ماند.
I think she is a good dancer.	من فکر می کنم که او(دختر) یک رقصنده خوب است.
I thought you'd want to know.	فکر کردم می خواستی بدانی.
I want to be a better person.	من می خواهم فرد بهتری باشم.
I want you to meet my cousin.	می‌خواهم که با پسرعمویم ملاقات کنید.
I wanted to work this summer.	من می خواهم این تابستان کار کنم.
I wear a suit, but not a tie.	من کت پوشیدم، اما بدون کراوات.
I wish you'd come last night.	ای کاش دیشب آمده بودی.
I'll clean the kitchen later.	آشپزخانه را بعداً تمیز خواهم کرد.
It is terrible weather today.	امروز هوا بسیار بد است.
Let's take a 10-minute break.	ده دقیقه استراحت می کنیم.
Mary is studying in her room.	مری در حال مطالعه در اتاق خود است.
Money does not grow on trees.	پول سبز نمی‌شود.
Most people like watching TV.	خیلی از مردم تلویزیون دیدن را دوست دارند.
My father has a lot of books.	پدر من بسیار کتاب دارد.
Not all children like apples.	همه بچه ها سیب را دوست ندارند.
Pakistan is a Muslim country.	پاکستان یک کشور اسلامی است.
She began to talk to the dog.	او شروع به صحبت کردن با سگ کرد.
She gets prettier day by day.	او روز به روز زیباتر می شود.
She is proud of her students.	او به پسر مدرسه ای اش افتخار می کند.
She saw him break the window.	او دید که آن مرد شیشه را شکست.
She spoke relatively quickly.	او نسبتا سریع حرف می زند.
She's a lot older than he is.	او (مونث) خیلی از او (مذکر) پیرتر است.
The flight took us ten hours.	جدال ده ساعت طول کشید.
The weather is extremely hot.	هوا به شدت گرم است.
This classroom is very large.	این کلاس درس خیلی بزرگ است.
Tom almost never gets scared.	تام تقریبا هرگز وحشت زده نمی شود.
Tom almost never gets scared.	تام تقریبا هرگز نمی ترسد
Tom didn't feel like waiting.	به نظر نمی رسید تام در حال صبر کردن باشد.
Tom didn't feel like waiting.	تام در حال صبر کردن به نظر نمی رسید.
Tom doesn't listen to anyone.	تام به حرف هیچکس گوش نمیدهد.
Tom has a high-pitched voice.	تام صدای زیری دارد.
Tom helped Mary dye her hair.	تام به مری کمک کرد تا موهایش را رنگ کند.
Tom is listening to his iPod.	تام دارد به آیپادش گوش می‌دهد.
Tom loves to go out at night.	تام خیلی دوست داره که شب بیرون بره.
Variety is the spice of life.	تنوّع ادویه‌ی زندگی ست.
Variety is the spice of life.	تنوّع نمک زندگی ست.
Was there anybody in the car?	کسی تو ماشین بود؟
We saw the monkey at the zoo.	آن میمون را در آن باغ‌وحش دیدیم.
What did you do this morning?	امروز صبح چکار کردی؟
What is the capital of Haiti?	پایتخت هائیتی کجاست؟
What language is he speaking?	به چه زبانی دارد صحبت می‌کند؟
What's this chair doing here?	این صندلی اینجا چیکار می کنه؟
What's your favorite dessert?	دسر مورد علاقه ات چیست؟
When will you visit me again?	کی دوباره به من سر میزنی?
Wherever you go, I'll follow.	هر جا که بروی، من دنبالت می آیم.
Why did you say such a thing?	برای چه چنین چیزی گفتی؟
Why do I have to talk to Tom?	چرا من مجبورم که با تام صحبت کنم؟
Why do people dye their hair?	چرا مردم موهایشان را رنگ می کنند.
You have more energy than me.	شما انرژی بیشتری از من دارید.
A fox was caught in the snare.	یک روباه در تله گیر افتاد.
All our attempts were in vain.	تمام تلاش‌هایمان بیهوده بود.
Aren't you even a bit curious?	حتی تو اندکی نیز کنجکاو نیستی؟
Both brothers are still alive.	هر دو برادر هنوز زنده اند.
Did everyone have a good time?	آیا به همه خوش گذشته؟
Do you have someplace to stay?	جایی برای ماندن داری؟
Do you know whose car that is?	می دانی آن ماشین مال چه کسی است؟
Does this bus go to the beach?	آیا این اتوبوس به ساحل می‌رود؟
Every man has his weak points.	هر انسانی نقطه ضعف‌های خود را دارد.
France was at war with Russia.	فرانسه با روسیه در جنگ بود.
Gasoline is sold by the liter.	گازوئیل بصورت لیتری فروخته می شود.
He has a lot of acquaintances.	او آشناهای زیادی دارد.
He is better than anyone else.	او بهتر از هر کس دیگری است.
He lives in an enormous house.	او در یک خانه بزرگ زندگی می کند.
He seems not to have known it.	به نظر می آید او نفهمیده باشد.
He started talking to the dog.	او شروع به صحبت کردن با سگ کرد.
He washes the bike every week.	او هر هفته دوچرخه را می‌شوید.
How often have you been there?	چند بار است که اینجا آمده ای؟
Hurry up, or you will be late.	عجله کن، وگرنه دیر خواهی کرد.
I am happy to hear your voice.	از اینکه صدایت را بشنوم خوشحال می شوم.
I got a letter from my friend.	من یک نامه از دوستم دریافت کردم.
I just don't know what to say.	من فقط نمی دانم چه بگویم.
I learned to live without her.	یاد گرفتم که بدون او زندگی کنم.
I left my credit card at home.	کارت اعتباریم را خانه جا گذاشتم.
I normally don't drink coffee.	من معمولا کافه نمینوشم.
I only wish I were part of it.	فقط آرزویم این است که بخشی از آن بودم.
I put the money into the safe.	من پول را در گاوصندوق گذاشتم.
I saw a light in the distance.	من از دور یک روشنایی دیدم.
I saw my mother hide the cake.	دیدم که مادرم کیک را پنهان کرد.
I think Tom is looking for us.	من فکر کنم تام دارد دنبالمان می گردد.
I took care of my sick sister.	من از خواهر بیمارم مراقبت کردم.
I'm not in the mood right now.	الان حس و حالش رو ندارم.
I'm now staying at my uncle's.	در حال حاضر، در منزل عمویم اقامت دارم.
I'm so happy to see you again.	خیلی خوشحالم که دوباره می‌بینمت.
I've persuaded Tom to do that.	من تام را متقاعد کردم که آن کار را انجام دهد.
It is never too late to learn.	برای یادگیری هیچوقت دیر نیست.
Learning English is hard work.	یادگیری زبان انگلیسی کار سختی است.
Let me tell you a funny story.	بگذار برایت یک داستان جالب تعریف کنم.
My parents sent me a postcard.	والدینم برایم کارت پستال فرستادند.
No man alive would believe it.	هیچ انسان زنده ای، آن را باور نخواهد کرد.
One of the teenagers screamed.	یکی از نوجوان ها فریاد کشید.
Our summer is short, but warm.	تابستان ما کوتاه و گرم است.
People said that he is insane.	مردم می گفتند او دیوانه است.
Please take these dishes away.	لطفا این ظروف را ببرید.
She has some money of her own.	او مقداری پول از آن خود دارد.
She is giving a party tonight.	او امشب یک سور می‌دهد.
She likes jazz, and I do, too.	او جاز را دوست دارد، من هم همینطور.
She was anxious about her job.	او نگران شغل خود بود.
Smoking is not permitted here.	کشیدن سیگار اینحا مجاز نیست.
Something bad happened to Tom.	اتفاق بدی برای تام افتاد.
Take care not to catch a cold.	مواظب باش که سرما نخوری.
That business was a gold mine.	بیزینس معدن طلاست.
That's a fascinating question.	این یک سوال جالب است
The candle went out by itself.	شمع خود به خود خاموش شد.
The doctors examined the baby.	دکتر‌ها نوزاد را معاینه کردند.
The files are in proper order.	فایلها در نظم خوبی هستند.
The nurse gave you a sedative.	پرستار به شما یک آرام‌بخش داد.
The shop is opposite the bank.	مغازه، مقابل بانک است.
The taxi abruptly turned left.	تاکسی ناهگانی به چپ پیچید.
The watch keeps accurate time.	آن ساعت زمان دقیق را نشان می دهد.
The work is actually finished.	کارم واقعا تمام شده است.
There's no cure for stupidity.	حماقت درمان ندارد.
These mushrooms aren't edible.	این قارچ‌ها خوراکی نیستند.
They were alarmed at the news.	آنها از شنیدن این خبر شوکه شدند.
This rope isn't strong enough.	این طناب به اندازهٔ کافی قوی نیست.
Tom does nothing but complain.	تام کاری جز شکایت نمی‌کند.
Tom doesn't need to know that.	نیازی نیست که تام از آن مطلع شود.
Tom fixed the circuit breaker.	تام مدار شکن (فیوز) را درست کرد.
Tom has never seen Mary dance.	تام هیچگاه رقص مری را ندیده است.
Tom is playing the violin now.	تام اکنون ویولن می نوازد.
Tom wants to change the world.	تام می خواهد جهان را تغییر دهد.
What is done cannot be undone.	آنچه از دست رفت، دیگر به‌دست نمی‌آید.
What is the depth of the lake?	عمق دریاچه چقدر است؟
What's the definition of jazz?	معنی جاز چیست؟
What's your home phone number?	شماره تلفن خانه ات چیست؟
Why is everything going wrong?	چرا همه چیز خراب پیش می رود؟
You agree with Tom, don't you?	با تام موافقی، نه؟
You can't get there from here.	شما از اینجا نمی توانید به آنجا برسید.
You should say what you think.	تو باید هر چه را که به آن فکر می کنی؛ بگویی.
Anyone may use this dictionary.	هرکسی می تواند از این دیکشنری استفاده کند.
Both roads lead to the station.	هردو راه به ایستگاه می‌روند.
Do you have some good medicine?	شما داروی مناسبی دارید؟
Do you know anything about Tom?	چیزی در مورد تام میدانی؟
Don't let him know her address.	نگذار او آدرس آن خانم را بفهمد.
Don't stay in the sun too long.	طولانی زیر آفتاب نایست.
Every mistake made me stronger.	هر اشتباه مرا قوی تر کرد.
Everybody agreed with his idea.	همه با نظرش موافقت کردند.
Experience is the best teacher.	تجربه بهترین آموزگار است.
He disappeared without a trace.	او بدون هیچ اثری ناپدید شد.
He is curious about everything.	او درمورد همه چیز کنجکاو است.
He is prone to getting excited.	او در معرض هیچان‌زده شدن بود.
He knows most who speaks least.	آنکس بیشتر می‌داند که کمتر حرف می‌زند.
He likes smoking in the toilet.	اون دوست داره تو دستشویی سیگار بکشه
He remained silent for a while.	او برای یک لحظه ساکت ماند.
He stayed there for three days.	او سه روز در آنجا ماند.
He was a burden to his parents.	او سربار خانواده‌اش بود.
He was a pioneer in this field.	او در آن زمینه پیشاهنگ بود.
His mother is writing a letter.	مادر او نامه می نویسد.
How long will Tom stay with us?	تام چقدر پیش ما خواهد ماند؟
I asked him about his new book.	من راجع به کتاب جدیدش سوال کردم.
I cannot tell how this is done.	نمی‌توانم بگویم که این چطور درست شده است.
I don't want to take that risk.	من قصد ندارم آن ریسک را بکنم.
I expect you know all about it.	انتظار دارم همه چیز را راجع به آن بدانی.
I found what I was looking for.	من آنچه را که به دنبالش می گشتم، یافتم.
I got over it. You should, too.	من بر آن غلبه کردم. تو هم باید همین کار را بکنی.
I really wish to see you today.	خیلی مشتاقم امروز ببینمتان.
I stopped smoking and drinking.	من کشیدن سیگار و مصرف الکل را متوقف کردم.
I suggest that you go by train.	پیشنهاد می‌کنم با قطار بروی.
I took that picture a week ago.	من آن عکس را یک هفته پیش گرفتم.
I tried that a couple of times.	دو بار آن را امتحان کردم.
I want something cold to drink.	من چیزی سرد برای نوشیدن می خواهم.
I was delayed by a traffic jam.	ازدحام ترافیک موجب تاخیرم شد.
I will make a new suit for you.	می خواهم برایت یک دست لباس جدید درست کنم.
I'll put some salt in the soup.	من کمی نمک در سوپ خواهم ریخت.
I'll worry about that tomorrow.	من دربارش فردا نگران میشم.
I'm adamant that you should go.	من مصرم که تو باید بروی.
I'm confused. What do I do now?	من گیج شده ام.حالا چکار باید بکنم؟
I'm using the hammer right now.	من الان دارم از چکش استفاده می‌کنم
I'm working as a bartender now.	من در حا حاضر به عنوان یک متصدی بار در حال کار هستم.
It doesn't matter at all to me.	این اصلا برای من مهم نيست
It was a difficult year for us.	سال سختی برای ما بود.
Let's ponder that for a moment.	بگذار برای یک لحظه به آن غور کنیم.
My brother is coming on Monday.	برادرم روز دوشنبه می آید.
My computer was down yesterday.	کامپیوتر من دیروز خراب شد.
My parents don't understand me.	والدینم مرا درک نمی کنند.
Please mail this letter for me.	لطفا این نامه را برای من پست کن.
Please say hello to him for me.	لطفا از طرف من به او سلام برسان.
She is what is called a genius.	او چیزی است که نابغه خوانده می شود.
She was arrested by the police.	او توسط پلیس دستگیر شد.
That fish lives in fresh water.	آن ماهی در آب شیرین زندگی می‌کند.
That's a very compelling story.	آن یک داستان توجه بر انگیز است.
The army quelled the rebellion.	ارتش شورش را سرکوب کرد.
The castle is across the river.	قلعه آن طرف رودخانه است.
The investigation is under way.	تحقیقات شروع می شود.
The landlord changed the locks.	صاحبخانه قفلها را عوض کرد.
The result is all that matters.	فقط نتیجه مهم است.
The sea was as smooth as glass.	دریا مثل شیشه صاف بود.
There is no smoke without fire.	هیچ دودی بی آتشی نیست.
They could ride and shoot well.	آنها به خوبی می توانستنند هم برانند وهم تیر اندازی کنند.
They heard him come downstairs.	آنها صدایش را شنیدند که از پلکان داشت پایین می رفت.
This child did nothing but cry.	این بچه کاری جز گریه کردن نداشت.
This is not an emergency issue.	این مسئله اورژانس نیست.
Those houses are 500 years old.	آن خانه ها پانصد سال قدمت دارند.
Three people are still missing.	سه نفر هنوز گمشده هستند.
Tom doesn't live in Boston now.	تام اکنون در بوستون زندگی نمی کند.
Tom is very interested in jazz.	تام به موسیقی جاز خیلی علاقمند است.
Tom wondered what had happened.	تام از خود پرسید که چه اتفاقی افتاده است.
We are anxious for world peace.	ما به شدت خواهان صلح جهانی هستیم.
We have a wide choice of books.	ما یک گستره ای از کتاب ها داریم.
We made pancakes for breakfast.	ما برای صبحانه پنکیک درست کردیم.
We must deal with this problem.	ما باید این مشکل را حل کنیم.
We need no more men at present.	فعلاً به افراد بیشتری نیاز نداریم.
We'll share our food with them.	ما غذایمان را با آنها تقسیم خواهیم کرد.
When will you finish your work?	کی کارت را تمام خواهی کرد؟
You can use my car if you like.	اگر تمایل داری می توانی از خودرو من استفاده کنی.
You don't like sashimi, do you?	تو ساشیمی دوست نداری، دوست داری؟
A promise made is a debt unpaid.	یک قول داده شده یک دِین اداء نشده است.
A promise made is a debt unpaid.	یک قول داده شده یک قرض پرداخته‌نشده است.
All three of you are very lucky.	هر سه شما بسیار خوش شانس هستید.
Can you check the tire pressure?	می‌توانی فشار تایر را چک کنی؟
Can you recommend another hotel?	می‌توانی یک هتل دیگر پیشنهاد کنی؟
Did you deliver the note to Tom?	آیا تو پیغام را به تام رساندی؟
Do you have a problem with this?	آیا تو با این مشکلی داری؟
Do you know how sausage is made?	میدونی چطور سوسیس درست میشه?
Get out your notebooks and pens.	دفترچه ها و خودکارهایتان را بیرون بیاورید.
He amused us with a funny story.	او ما را با یک داستان با مزه سرگرم کرد.
He refused to say more about it.	او قبول نکرد بیشتر در آن مورد بگوید.
He was killed in a car accident.	او در تصادف رانندگی کشته شد.
He will come to see us some day.	او بعضی روزها به دیدن ما می آید.
He's an excellent brain surgeon.	او یک جراح بسیار خوب مغز است.
He's not very strict about this.	او در این مورد زیاد سختگیر نیست.
Hold still for a moment, please.	لطفاً چند دقیقه آرام بمانید.
Homicide is punishable by death.	قتل با مرگ مجازات پذیر است.
Homicide is punishable by death.	مجازات قتل مرگ است.
How's your project coming along?	پروژه‌ی شما چطور پیش می‌رود؟
I am acquainted with the author.	من با نویسنده آشنا هستم.
I believe that he's trustworthy.	من معتقدم او قابل اعتماد است.
I bought this printer yesterday.	من این چاپگر رادیروز خریدم.
I checked the time on the clock.	من زمان را از روی ساعت چک کردم.
I couldn't understand his ideas.	من نمی توانستم ایده هایش را بفهمم.
I don't have a drinking problem.	من مشکل نوشیدنی ندارم.
I don't like very long holidays.	من تعطیلات خیلی طولانی را دوست ندارم.
I have a rough idea where it is.	کمابیش می‌دانم کجا است.
I have had no news from him yet.	من هنوز هیچ خبری از او ندارم.
I hope that I don't regret this.	امیدوارم از این کار پشیمان نشوم.
I just wanted to check my email.	فقط می‌خواستم ایمیلم را چک کنم.
I like to walk in the mountains.	من پیاده روی در کوه را دوست دارم.
I never drink beer before lunch.	من هیچ وقت قبل از ناهار آبجو ننوشیدم.
I only had a cursory look at it.	من تنها یک نگاه گذرا به آن داشتم.
I remember that I met the queen.	به خاطر می آورم که ملکه را ملاقات کردم.
I saw him scolded by his mother.	من او را دیدم که با مادرش پرخاشگر بود.
I used to go to school with him.	معمولاً با او به مدرسه می‌رفتم.
I want to make her acquaintance.	من می‌خواهم با او آشنا شوم.
I want to see your older sister.	می خواهم خواهر بزرگتر شما را ملاقات کنم.
I was surprised to see you here.	من از دیدن شما در اینجا متعجب شدم.
I will finish this work somehow.	به هر طریقی، من این کار را تمام خواهم کرد.
I'll be staying here for a week.	ما اینجا به مدت یک هفته خواهیم بود.
I'm very impressed by your work.	من خیلی تحت تأثیر کار تو قرار گرفتم.
If I were you, I wouldn't do it.	اگر جای تو بودم، انجامش نمی‌دادم.
If it ain't broke, don't fix it.	اگر خراب نشد، تعمیرش نکن.
My mother died when I was a kid.	وقتی که بچه بودم، مادرم مرد.
Never give up till the very end.	هرگز تا انتها تسلیم نشو.
Our hotel is on the next street.	هتل ما در خیابان بعدی است.
Please call the fire department.	لطفاً به آتش‌نشانی زنگ بزنید.
She cut in when we were talking.	وقتی ما با هم صحبت می کردیم او پرید میان صحبتمان.
She was a pioneer in this field.	او در آن زمینه پیشاهنگ بود.
She's worried about your safety.	او در مورد امنیت شما نگران است.
That child has no fear of water.	آن کودک از آب ترسی ندارد.
That runs against my principles.	آن بر خلاف اصول من است.
The storm raged in all its fury.	طوفان با خشم تمام غوغا کرد.
The sun gives us light and heat.	خورشید به ما روشنی و گرما می بخشد.
The train leaves in ten minutes.	قطار تا ده دقیقه‌ی دیگر حرکت می‌کند.
They didn't come here, did they?	آنها به اینجا نیامدند. آمدند؟
This sentence contains an error.	این جمله خطا دارد.
This text is aimed at beginners.	این متن برای مبتدی ها در نظر گرفته شده است.
Tom doesn't know what to do now.	تام نمی داند الان چه کار کند.
Tom has a lot of valuable books.	تام کتاب های با ارزش زیادی دارد.
We have to buy them from abroad.	باید آنها را از خارج بخریم.
We must stand up for our rights.	باید از حقوقمان دفاع کنیم.
We took turns cleaning the room.	ما به نوبت اتاق را تمیز مى کنیم
What were you doing that moment?	آن لحظه چه می کردی؟
What's your favorite soft drink?	نوشیدنی غیر الکلی مورد علاقه تو چی هست؟
Would you all like some peanuts?	تنها کمی بادام زمینی می خواهی؟
Would you like to dance with me?	دوست داری با من برقصی؟
Wouldn't you like to go with us?	شما دوست نداشتید با ما بیاید؟
Yesterday my uncle bought a dog.	دیروز عمویم سگی خریداری کرد.
A leopard can't change his spots.	پلنگ نمی تواند نقش عوض کند.
Cut the salmon into small pieces.	ماهی سالمون را به قطعات کوچک ببر.
Did you go to the art exhibition?	به نمایشگاه هنر رفته ای؟
Do you know any of Tom's friends?	از دوستان تام، کسی را می شناسی؟
Do you play a musical instrument?	آیا تو سازی موسیقیایی می نوازی؟
Everybody is hoarding their cash.	هر کسی پولش را ذخیره می‌کند.
Everyone laughed at me yesterday.	همه دیروز به من خندیدند.
He detected his men's misconduct.	او به سوء رفتار افرادش پی برد.
He is living apart from his wife.	او جدا از زنش زندگی می‌کند.
He narrowly escaped being killed.	او با احتیاط از کشته شدن رهایی یافت.
He stepped aside for her to pass.	او به کنار رفت تا آن خانم رد شود.
How did he react to the bad news?	او چگونه به خبرهای ناگوار واکنش نشان داد؟
I am acquainted with your father.	من با پدر شما آشنا هستم.
I cannot afford to buy a new car.	من نمی توانم پول خریدن یک ماشین جدید را جور کنم.
I could see Tokyo Tower far away.	برج توکیو را می‌توانستم در دوردست ببینم.
