Run!	Chạy!
I want to play checkers.	Tôi muốn chơi cờ đam.
I want to see you again.	Tôi muốn được gặp lại bạn thêm một lần nữa.
I want to see you again.	Anh muốn được gặp lại em.
I wanted to slap myself.	Tôi muốn tát chính mình.
I was here all the time.	Tôi ở đây từ đó đến giờ.
I wasn't looking at you.	Lúc đó tôi không nhìn bạn.
I wish we had more time.	Tôi ước gì chúng ta có thêm thời gian.
I wonder where Tom went.	Tôi muốn biết nơi Tom đã đến.
I'd like three of these.	Tôi muốn ba cái loại này.
I'll stay at home today.	Hôm nay tôi sẽ ở nhà.
I'm afraid you're wrong.	Tôi e là bạn đã sai.
I'm at a loss for words.	Tôi không biết nói gì.
I'm at a loss for words.	Tôi không còn gì để nói cả.
I'm from the West Coast.	Tôi đến từ bờ biển phía tây.
I'm from the government.	Tôi làm việc cho chính phủ.
I'm in the eighth grade.	Tôi học lớp 8.
I'm looking for Tom now.	Bây giờ tôi đang tìm Tom.
I'm so proud of my team.	Tôi vô cùng tự hào về đội của tôi.
I've met him many times.	Tôi đã gặp anh ấy không biết bao nhiêu lần.
Is that too much to ask?	Có cần hỏi nhiều vậy không?
It is pretty warm today.	Hôm nay trời khá ấm.
It was a busy afternoon.	Đó là một buổi chiều bận rộn
It's a fascinating read.	Cái này đọc rất hay.
It's going to rain soon.	Chắc có lẽ trời sắp mưa rồi.
Let Tom send the letter.	Hãy để Tom gửi bức thư.
Mary can speak Japanese.	Mary biết nói tiếng Nhật.
Mary can speak Japanese.	Mary có thể nói tiếng Nhật.
Mary has just come home.	Maria vừa trở về nhà.
Mary has very long hair.	Mary có một mái tóc rất dài.
My brother is a teacher.	Anh tôi là giáo viên.
My brother is a teacher.	Em tôi là giáo viên.
My brother is a teacher.	Anh trai tôi là một giáo viên.
My brother is a teacher.	Em trai tôi là một giáo viên.
My parents got divorced.	Bố mẹ tôi đã ly hôn.
Oh, didn't I mention it?	Ồ, tôi đã nhắc tới nó chưa vậy?
Oh, didn't I mention it?	Ồ, tôi đã nhắc tới nó chưa nhỉ?
People don't smoke here.	Ở đây mọi người không hút thuốc.
People don't smoke here.	Người ta không hút thuốc ở đây.
Please delete this file.	Hãy xóa tệp tin này.
Please delete this file.	Hãy xóa tệp này.
Please delete this file.	Hãy xóa file này.
Please delete this file.	Hãy xóa file này đi.
Please keep me informed.	Làm ơn báo cho tôi biết.
Please show me that one.	Hãy cho tôi xem cái kia.
Please show your ticket.	Làm ơn cho xem vé.
Power brings corruption.	Quyền lực mang đến tham nhũng.
She gave me a shy smile.	Nó nhìn tôi và cười ngượng ngịu.
She gave me a shy smile.	Nó cười thẹn thùng với tôi.
She has to stop smoking.	Cô ấy phải ngưng hút thôi.
She has to stop smoking.	Cô ấy phải dừng hút thuốc lá.
She is as young as I am.	Cô ta cũng trẻ như tôi vậy.
She must be over eighty.	Bà ta hẳn là trên 80 tuổi rồi.
She seems to be excited.	Nó có vẻ rất phấn khích.
She'll try it once more.	Cô ấy sẽ thử lại lần nữa.
Somebody is or was here.	Có ai đó đang hoặc đã ở đây.
Tell me what's going on.	Nói cho tôi nghe chuyện gì đang xảy ra.
Thank you for seeing us.	Cám ơn vì đã gặp chúng tôi.
That's an original idea.	Đó là ý tưởng ban đầu.
That's not how it works.	Đó không phải là cách nó hoạt động.
That's why I was absent.	Đó là lý do mà tôi đã vắng mặt.
The broken doll is mine.	Con búp bê bị hỏng đó là của tôi.
The charge was not true.	Tiền phí là không có thật.
The news made him happy.	Tin tức khiến nó rất vui.
There is a fork missing.	Thiếu một cái nĩa.
These are library books.	Những cái này là sách của thư viện.
These gifts are for you.	Những món quà này là dành cho bạn.
Things change every day.	Mọi thứ thay đổi hàng ngày.
This book is very heavy.	Quyển sách này rất nặng.
Tom and Mary seem happy.	Tom và Mary trông có vẻ hạnh phúc.
Tom could barely sit up.	Tom khó mà làm được động tác gập bụng.
Tom demanded an apology.	Tom yêu cầu một lời xin lỗi.
Tom died when he was 97.	Tom đã mất vào năm 97 tuổi.
Tom died when he was 97.	Tom đã qua đời vào năm 97 tuổi.
Tom ended up not coming.	Cuối cùng Tom đã không tới.
Tom has denied cheating.	Tom chối là đã gian lận.
Tom has not yet arrived.	Tom vẫn chưa đến.
Tom has not yet arrived.	Tom vẫn chưa tới.
Tom is a bright student.	Tom là một sinh viên sáng giá.
Tom is a good violinist.	Tom là một người chơi violon giỏi.
Tom is missing a finger.	Tom bị mất một ngón tay.
Tom is wearing sneakers.	Tom đang đi giày thể thao.
Tom isn't angry at Mary.	Tom không giận Mary.
Tom lost a lot of money.	Tom mất rất nhiều tiền.
Tom makes great cookies.	Tom làm bánh quy tuyệt ngon.
Tom really likes Chopin.	Tom rất thích Chopin.
Tom really likes Chopin.	Tom là một fan cuồng của nhạc sỹ Chopin.
Tom sat down and waited.	Tom ngồi xuống và chờ đợi.
Tom says that he's busy.	Tom nói là anh ấy bận.
Tom says that he's busy.	Tom nói anh ấy bận.
Tom seems to be unlucky.	Tom có vẻ không may.
Tom seldom eats seafood.	Tom hiếm khi ăn hải sản.
Tom still owes me money.	Tom vẫn nợ tiền tôi.
Tom still owes me money.	Tom vẫn đang nợ tiền tôi.
Tom told me what he saw.	Tom kể cho tôi những gì anh ta đã thấy.
Tom told us to be quiet.	Tom yêu cầu chúng tôi giữ im lặng.
Tom turned on the light.	Tom đã bật đèn lên.
Tom turned on the light.	Tom bật đèn lên.
Tom was a brave soldier.	Tom là một người lính dũng cảm.
Tom was sick of his job.	Tom đã quá mệt mỏi với công việc.
Tom will try to stop me.	Tom sẽ cố ngăn cản tôi.
Tom wore a white jacket.	Tom mặc một chiếc áo khoác trắng.
Tom's children are sick.	Những đứa con của Tom bị ốm.
Tom's children are sick.	Những đứa con của Tom bị bệnh.
We all stood up at once.	Tất cả chúng tôi cùng đứng dậy.
We felt the house shake.	Chúng tôi thấy ngồi nhà rung lắc.
We saw a light far away.	Chúng tôi đã nhìn thấy ánh sáng ở cách xa.
We saw a light far away.	Tụi tao đã nhìn thấy ánh sáng ở xa xa
We'll get there on time.	Chúng ta sẽ đến đó đúng giờ.
We'll get there on time.	Chúng ta sẽ đến đó kịp giờ.
We'll wait for Tom here.	Chúng tôi sẽ đợi Tom ở đây.
We'll wait for Tom here.	Chúng ta sẽ đợi Tom ở đây.
We're all trying to win.	Tất cả chúng ta đều cố gắng để chiến thắng.
Well begun is half done.	Khởi đầu tốt là coi như xong một nửa.
What are you getting at?	Ý bạn là sao?
What did you do exactly?	Chính xác là bạn đã làm gì?
What did you do exactly?	Thực ra bạn đã làm gì?
What if nothing happens?	Nếu không có gì xảy ra thì sẽ thế nào?
What is your blood type?	Nhóm máu của bạn là nhóm nào?
What made you come here?	Điều gì đưa bạn tới đây?
When do you want to eat?	Bạn muốn ăn khi nào?
When do you want to eat?	Lúc nào bạn muốn ăn?
When it rains, it pours.	Phúc bất trùng lai.
When it rains, it pours.	Phúc bất trùng lai, họa vô đơn chí.
Where can I find an ATM?	Tôi có thể tìm thấy ATM ở đâu.
Where can I find an ATM?	Tôi có thể tìm thấy cây ATM ở đâu.
Who's in there with you?	Ai ở trong đó với bạn thế?
Why do people tell lies?	Tại sao mọi người lại nói dối?
Why do people tell lies?	Tại sao mọi người lại nói xạo?
Why do people tell lies?	Tại sao mọi người lại nói láo?
Why do people tell lies?	Tại sao mọi người nói dối?
Why do you need to know?	Bạn muốn biết để làm gì?
Why don't you stay here?	Sao bạn không ở đây?
You are as tall as I am.	Bạn cao bằng tôi.
You can't buy happiness.	Bạn không thể mua được hạnh phúc.
You didn't have to come.	Bạn không đến cũng được mà.
You have very sexy legs.	Bạn có đôi chân rất sexy.
You have very sexy legs.	Mày có dôi chân rất sexy.
You miss Tom, don't you?	Bạn có nhớ Tom chứ?
You must be pretty rich.	Chắc hẳn bạn rất giàu.
You must be pretty rich.	Bạn chắc hẳn là một người rất giàu có.
You must be pretty rich.	Bạn chắc hẳn phải rất giàu.
You sound just like Tom.	Bạn nói y như Tom.
You've got to calm down.	Bạn cần phải bình tĩnh lại.
You've got to calm down.	Bạn phải bình tĩnh lại.
"Can I join you?" "Sure."	"Tôi tham gia với được không?" "Được thôi."
Are you in a lot of pain?	Có đau lắm không?
Are you in a lot of pain?	Bạn đau lắm không?
Are you moving back home?	Có phải bạn đang trở về nhà?
Are you moving back home?	Phải chăng bạn đang trở về nhà?
Are you on the committee?	Bạn có ở trong hội đồng không?
Are you ready for spring?	Bạn đã sẵn sàng cho mùa xuân chưa?
Aren't you afraid to die?	Cậu không sợ chết ư?
Barking dogs seldom bite.	Chó sủa ít khi cắn.
Call the fire department!	Gọi cứu hỏa!
Can I borrow your ladder?	Tôi mượn cái thang của bạn nhé!
Can I borrow your ladder?	Bạn cho tôi mượn cái thang nhé!
Can I borrow your pencil?	Cho mình mượn bút chì được không?
Can't you hear the sound?	Mày có nghe thấy âm thanh đó không?
Can't you hear the sound?	Bạn có nghe thấy âm thanh đó không?
Christmas is a week away.	Còn một tuần nữa là đến Giáng Sinh.
Christmas is a week away.	Còn một tuần nữa là đến Giáng Sinh rồi.
Did anyone see you there?	Có ai nhìn thấy bạn ở đó không?
Did anyone tell you that?	Đã có ai kể cho bạn nghe điều đó chưa?
Did you pay for the book?	Bạn đã trả tiền quyển sách này à?
Didn't you read the sign?	Bạn không đọc biển báo à?
Do we need to discuss it?	Chúng ta có cần thảo luận về điều đó không?
Do whatever he tells you.	Tốt nhất là hãy làm theo mọi thứ anh ấy nói với bạn.
Do you have a hobby, Tom?	Tom này, bạn có sở thích nào không?
Do you have a hobby, Tom?	Bạn có sở thích nào không Tom?
Do you know why I'm here?	Bạn có biết vì sao tôi lại ở đây không?
Do you know why I'm here?	Bạn có biết tại sao tôi lại ở đây không?
Do you know why I'm here?	Bạn có biết tại sao tôi ở đây không?
Does Tom live by himself?	Tom sống một mình à?
Don't call the cops, man.	Đừng gọi cảnh sát, anh bạn.
Don't let me fall asleep.	Đừng để tôi ngủ mất.
Don't think I didn't try.	Đừng nghĩ là tôi đã không thử.
Every man has his faults.	Nhân vô thập toàn.
Everyone is watching Tom.	Tất cả mọi người đang nhìn Tom.
Everyone is watching Tom.	Tất cả mọi người đều đang nhìn Tom.
He appeared from nowhere.	Anh ấy bỗng dưng xuất hiện.
He appeared from nowhere.	Anh ấy đã bỗng nhiên xuất hiện.
He did it without malice.	Anh ấy không cố ý làm việc đó.
He has run out of energy.	Anh ta hết năng lượng rồi.
He is always on the move.	Nó luôn di chuyển.
He is always on the move.	Nó lúc nào cũng di chuyển.
He is busy with his work.	Anh ta bận rộn với công việc của anh ấy.
He is busy with his work.	Ông ta bận rộn với công việc của ông ấy.
He leveled his gun at me.	Anh ta chĩa súng vào tôi.
He moved the table aside.	Anh ấy di chuyển cái bàn sang một bên.
He signaled them to stop.	Anh ta ra hiệu cho họ dừng lại.
He was killed in the war.	Anh ấy đã tử trận.
He will be a good doctor.	Anh ta sẽ là một bác sĩ tốt.
He's mad at his daughter.	Ông ấy tức giận với con gái.
He's the love of my life.	Anh ấy là tình yêu của cuộc đời tôi.
How about going swimming?	Đi bơi không?
How do you talk to women?	Bạn làm thế nào để có thể nói chuyện với phụ nữ vậy?
How old is that painting?	Bức họa này bao nhiêu năm rồi?
How old is that painting?	Bức họa này bao nhiêu tuổi rồi?
How old is that painting?	Bức tranh này bao nhiêu tuổi rồi?
How well do you know Tom?	Bạn biết Tom nhiều đến mức nào?
How's everything at work?	Công việc thế nào?
How's everything at work?	Công việc của bạn như thế nào?
How's everything at work?	Công việc của mày dư lào?
Hunger is the best sauce.	Khi đói thì ăn gì cũng ngon.
I bought a pair of shoes.	Tôi đã mua một đôi giày.
I can't find it anywhere.	Tôi chẳng thể tìm nó ở đâu cả.
I can't find it anywhere.	Tao chẳng thể tìm nó ở đâu cả.
I can't live without you.	Anh không thể sống mà không có em.
I can't live without you.	Tôi không thể sống thiếu bạn.
I can't live without you.	Anh không thể sống thiếu em.
I can't live without you.	Em không thể sống thiếu anh.
I can't think of a thing.	Tôi không nghĩ ra được cái gì hết.
I did that earlier today.	Tôi đã làm việc đó từ sớm hôm nay rồi.
I didn't plan on staying.	Tôi đã không có ý định ở lại.
I don't have much choice.	Tôi không có nhiều sự lựa chọn.
I don't like dirty jokes.	Tôi không thích truyện cười tục tĩu.
I don't like dirty jokes.	Tôi không thích những trò đùa tục tĩu.
I don't like this camera.	Tôi không thích chiếc máy ảnh này.
I don't like you anymore.	Tao không thích mày nữa.
I found that fascinating.	Tôi thấy điều đó thật hấp dẫn.
I got on the wrong train.	Tớ lên nhầm tàu.
I have a lot of homework.	Tôi có nhiều bài tập.
I have a lot of pictures.	Tôi có nhiều ảnh.
I have to move to Boston.	Tôi phải chuyển nhà đến Boston.
I have to pass this exam.	Tôi phải vượt qua kì thi này.
I have to write a letter.	Tôi phải viết một bức thư.
I have to write a letter.	Tôi cần phải viết một lá thư.
I know a lot about ships.	Tôi biết rất nhiều về thuyền.
I know what your game is.	Tao biết tỏng trò của mày rồi.
I left my wallet at home.	Tôi đã để ví tiền ở nhà.
I like oranges very much.	Tôi rất thích quả cam.
I like oranges very much.	Tôi rất thích cam.
I made him open the door.	Tôi buộc anh ấy mở cửa.
I made him open the door.	Tôi đã bắt anh ấy phải mở cửa.
I met him at the station.	Tôi đã gặp anh ấy ở nhà ga.
I never liked this photo.	Tôi chưa bao giờ thích tấm ảnh này.
I owe ten dollars to her.	Tôi đang vay cô ấy 10 Đô-la.
I owe ten dollars to her.	Tôi nợ cô ấy mười Đô-la.
I remember what you said.	Tôi nhớ điều mà bạn đã nói.
I see no need to do that.	Tôi thấy không cần phải làm thế.
I should've come earlier.	Đáng lẽ ra tôi nên đến sớm hơn mới phải.
I stared her in the face.	Tôi đã nhìn chằm chằm vào mặt cô ta.
I suppose he's gone home.	Tôi nghĩ là anh ấy đã về nhà.
I take the bus to school.	Tôi sẽ đi xe buýt để đến trường.
I telephoned her at once.	Tôi đã ngay lập tức gọi cho cô ấy.
I think Tom lied to Mary.	Tôi nghĩ là Tom đã nói dối Mary.
I usually wake up at six.	Tôi thường thức dậy lúc 6 giờ.
I usually wake up at six.	Tôi thường thức giấc lúc 6 giờ.
I usually walk to school.	Tôi thường hay đi bộ đến trường.
I want that book, please.	Làm ơn, tôi muốn cuốn sách đó
I want to thank you, Tom.	Tớ muốn cảm ơn cậu, Tom.
I want you to do nothing.	Tao muốn mày không làm gì cả.
I want you to do nothing.	Tôi muốn bạn không làm gì cả.
I wash my hair every day.	Mỗi ngày tôi đều gội đầu.
I would like fruit juice.	Tôi muốn nước trái cây.
I would like to meet him.	Tôi muốn gặp anh ấy.
I'll need some more time.	Tôi sẽ cần thêm một chút thời gian.
I'll probably be fishing.	Có lẽ tôi sẽ đi câu cá.
I'll put it on your bill.	Tôi sẽ cho nó vào hóa đơn của bạn.
I'm calling to thank you.	Tôi gọi để cảm ơn bạn.
I'm calling to thank you.	Tôi gọi là để cảm ơn bạn.
I'm certain Tom will win.	Tôi chắc chắn là Tom sẽ thắng.
I'm certain Tom will win.	Tôi chắc chắn là Tom sẽ chiến thắng.
I'm happy for all of you.	Tôi mừng cho tất cả các bạn.
I'm not going to take it.	Tôi sẽ không lấy nó.
I'm running out of ideas.	Tôi sắp cạn ý tưởng rồi.
I'm running out of ideas.	Tôi sắp cạn kiệt ý tưởng rồi.
I've been seeing someone.	Tôi có người yêu rồi.
I've decided to fire Tom.	Tôi đã quyết định sa thải Tom.
I've found something out.	Tôi đã tìm thấy cái gì đó.
I've got nothing to lose.	Tôi không có gì để mất.
I've only just come back.	Tôi vừa mới về xong.
Insects have a hard skin.	Sâu bọ có lớp vỏ cứng.
Is this really spaghetti?	Đây có thật sự là mỳ Ý không?
It doesn't mean anything.	Cái đó không có ý nghĩa gì hết mà!
It is going to rain soon.	Có lẽ là trời sắp mưa.
It is going to rain soon.	Chắc có lẽ trời sắp mưa rồi.
It seems that he's happy.	Hình như nó đang vui.
It wasn't worth the wait.	Nó không đáng để chờ đợi.
It's a little cold today.	Hôm nay trời hơi lạnh.
It's very stuffy in here.	Ở đây ngột ngạt quá.
Let's not talk about Tom.	Chúng ta hãy đừng nói về Tom.
Let's wait till he comes.	Hãy chờ đến khi anh ta đến.
Look after your children.	Hãy chăm sóc con của bạn.
Losing weight isn't easy.	Giảm cân không phải là một chuyện dễ dàng.
Losing weight isn't easy.	Giảm cân không phải một việc dễ dàng.
Mary lied to her husband.	Mary nói dối chồng cô ấy.
Mother bought us a puppy.	Mẹ đã mua cho chúng tôi một con cún.
Mother bought us a puppy.	Mẹ đã mua cho chúng tớ một con cún.
Music is a gift from God.	Âm nhạc là món quà của Chúa.
Music is a gift from God.	Âm nhạc là món quà của thượng đế.
My dreams have come true.	Những ước mơ của tôi đã trở thành sự thật.
My dreams have come true.	Những giấc mơ của tôi đã trở thành sự thật.
Nobody takes me anywhere.	Không ai đưa mình đi đâu cả.
Perhaps I should do that.	Chắc tôi nên làm điều đó.
Please speak more loudly.	Xin nói to hơn nữa ạ.
Please speak more loudly.	Làm ơn nói to hơn ạ.
Please speak more loudly.	Bạn hãy nói to lên ạ.
Please speak more loudly.	Anh nói to lên ạ.
Quit acting like a child.	Thôi hành động như là một đứa trẻ đi.
She burned her left hand.	Cô ấy đã bị bỏng tay trái.
She burned her left hand.	Bà ấy đã bị bỏng tay trái.
She manages a shoe store.	Cô ấy quản lý một cửa hàng giày dép.
She manages a shoe store.	Nó quản lý một cửa hàng giày.
She manages a shoe store.	Cô ấy quản lý một tiệm giày dép.
She manages a shoe store.	Nó quản lý một tiệm giày dép.
She was a charming woman.	Cô ấy là một người phụ nữ quyến rũ.
She was a charming woman.	Cô ấy đã từng là một người phụ nữ quyến rũ.
That's not what Tom said.	Đó không phải những gì mà Tom nói.
The Hilton Hotel, please.	Làm ơn chở tôi tới khách sạn Hilton.
The courier just arrived.	Người đưa thư vừa mới đến.
The rain stopped at last.	Cuối cùng mưa cũng ngưng.
The rain stopped at last.	Cuối cùng mưa cũng tạnh.
The wind is blowing east.	Gió đang thổi về hướng đông.
There are a few problems.	Có một vài vấn đề.
There is a knife missing.	Thiếu một con dao.
They don't know anything.	Họ không biết gì hết.
They don't know anything.	Họ chả biết gì cả.
They're right behind you.	Họ ở ngay sau cậu.
Time flies like an arrow.	Thời gian trôi nhanh như tên bắn.
Time flies like an arrow.	Thời gian trôi nhanh như chó chạy ngoài đồng.
Tom and I are classmates.	Tom và tôi là bạn cùng lớp.
Tom and I are classmates.	Tom với tôi học cùng lớp với nhau.
Tom doesn't like shaving.	Tom không thích cạo râu.
Tom doesn't want to stop.	Tom không muốn dừng lại.
Tom got home at midnight.	Tom đã về đến nhà vào lúc nửa đêm.
Tom is also a vegetarian.	Tom còn là một người ăn chay.
Tom is easily distracted.	Tom dễ bị sao lãng.
Tom is scared to do that.	Tom sợ làm điều đó.
Tom is scared to do that.	Tom sợ làm việc đó.
Tom is trying to kill me.	Tom đang cố giết tôi.
Tom is trying to kill me.	Tom đang cố gắng giết tôi.
Tom isn't our oldest son.	Tom không phải con trai cả của chúng tôi.
Tom isn't our oldest son.	Tom không phải là con trai cả của chúng tôi.
Tom isn't ready to start.	Tom chưa sẵn sàng bắt đầu.
Tom isn't scared of Mary.	Tom không sợ Mary.
Tom might leave tomorrow.	Tom có thể rời đi vào ngày mai.
Tom never was successful.	Tom chưa bao giờ thành công.
Tom says that he's tired.	Tom nói rằng anh ta đã mệt.
Tom seemed to understand.	Tom dường như đã hiểu
Tom seemed to understand.	Tom dường như đã hiểu.
Tom still hasn't arrived.	Tom vẫn chưa đến.
Tom still hasn't arrived.	Tom vẫn chưa tới.
Tom thinks he's a genius.	Tom nghĩ cậu ta là thiên tài.
Tom told me to calm down.	Tom bảo tớ bình tĩnh.
Tom wasn't in the garden.	Tom không ở trong vườn.
Tom will join us shortly.	Tom sẽ tham gia cùng mình sớm thôi.
Tom will try to stop you.	Tom sẽ cố để ngăn cản cậu.
Tom's dog died yesterday.	Chú chó của Tom đã chết ngày hôm qua.
Tomorrow, it'll be worse.	Ngày mai, chuyện sẽ còn tệ hơn.
We accept your challenge.	Chúng tôi chấp nhận thử thách của bạn.
We argued the whole time.	Chúng tôi đã cãi nhau suốt.
We can't get out of this.	Mình không thể thoát khỏi đây được.
We couldn't wait for Tom.	Chúng tôi không thể chờ Tom.
We couldn't wait for Tom.	Chúng tôi đã không thể chờ Tom.
We don't need it anymore.	Chúng tôi không cần nó nữa.
We don't need it anymore.	Chúng ta không cần tới nó nữa.
We don't need it anymore.	Chúng tôi không cần đến nó nữa.
We eat soup with a spoon.	Chúng tôi ăn súp bằng thìa.
We felt sympathy for her.	Chúng tôi đồng cảm với cô ấy.
We jumped into the river.	Chúng tôi đã nhảy xuống sông.
We should be dead by now.	Đáng lẽ chúng ta đã chết rồi.
We study French together.	Chúng tôi cùng nhau học tiếng Pháp.
We'd make a perfect team.	Chúng ta sẽ là một nhóm hoàn hảo.
What else could you want?	Bạn còn có thể muốn gì hơn nữa?
What else could you want?	Bạn còn có thể mong muốn gì hơn nữa?
What has happened to Tom?	Cái gì đã xảy đến với Tom?
What more could you want?	Bạn còn có thể muốn gì hơn nữa?
What more could you want?	Bạn còn có thể mong muốn gì hơn nữa?
What more would you want?	Bạn muốn thêm bao nhiêu nữa?
Where do you buy clothes?	Ấy mua bộ đồ này ở đâu thế?
Where should we register?	Chúng tôi nên đăng ký ở đâu?
Who taught you the piano?	Ai đã dạy bạn chơi piano vậy?
Who taught you the piano?	Ai đã dạy bạn chơi đàn piano thế?
Who'd believe you anyway?	Ai sẽ tin bạn đây?
Who's not wearing gloves?	Ai không đeo găng tay?
Who's paying for the gas?	Ai sẽ trả tiền xăng?
Who's your favorite poet?	Ai là nhà thơ mà bạn yêu thích?
Why aren't these working?	Tại sao những cái này không hoạt động?
Why couldn't you do that?	Tại sao tôi không làm được điều đó?
Will you check the tires?	Bạn kiểm trả lốp xe nhé?
Without air we would die.	Không có không khí chúng ta sẽ chết.
You are completely wrong.	Bạn đã hoàn toàn sai lầm.
You can always change it.	Lúc nào bạn cũng có thể thay đổi nó.
You can't study too hard.	Không được học nhiều quá.
You don't have to eat it.	Bạn không cần phải ăn nó.
You don't sound like Tom.	Bạn nói không giống Tom.
You like rain, don't you?	Các bạn thích mưa nhỉ.
You never listened to me.	Bạn chưa bao giờ lắng nghe tôi cả.
You were wrong after all.	Cậu sai từ đầu rồi.
You're a worthy opponent.	Bạn là đối thủ xứng tầm.
All the prisoners escaped.	Mọi tù nhân đã trốn thoát.
Anyone can make a mistake.	Bất kỳ ai cũng có thể phạm sai lầm.
Anyone can make a mistake.	Ai cũng có thể phạm sai lầm.
Are you wearing new shoes?	Bạn đang đi giày mới à?
At what hour was she born?	Bé gái được sinh vào giờ nào?
At what hour was she born?	Cô ta được sinh vào giờ nào?
Both girls have blue eyes.	Cả hai cô gái đều có đôi mắt xanh.
Christ taught forgiveness.	Đức Giêxu chủ trương khoan dung.
Did Tom actually say that?	Có đúng là Tom đã nói điều đó không?
Did Tom actually say that?	Có thật là Tom đã nói điều đó không vậy?
Did Tom actually say that?	Có đúng là Tom đã nói thế không?
Did Tom use to play hooky?	Tom đã từng trốn học chưa?
Did Tom use to play hooky?	Có phải Tom đã từng trốn học không?
Did you see anybody there?	Bạn có thấy ai ở đó không?
Do not read while walking.	Đừng có vừa đi vừa đọc.
Do you have a lot of pens?	Cậu có nhiều bút không?
Do you like San Francisco?	Bạn có thích San Francisco không?
Do you like San Francisco?	Bạn có thích Xan Phờ-ran-xít-xcô không?
Do you think you're smart?	Cậu nghĩ cậu thông minh?
Do you want tea or coffee?	Bạn muốn uống trà hay cà phê?
Does your back still hurt?	Lưng bạn có còn đau không?
Does your head still hurt?	Đầu bạn có còn đau không?
Does your head still hurt?	Bạn có còn đau đầu không?
Don't count your chickens.	Đếm cua trong lỗ.
Don't say anything to Tom.	Đừng nói gì với Tom.
Even I can't believe that.	Ngay cả tôi còn không tin được.
Everybody is hungry again.	Mọi người lại đói.
Everyone looked surprised.	Mọi người trông có vẻ kinh ngạc.
Few Indians live in Japan.	Hầu như không có người Ấn Độ sống ở Nhật.
Goodbye. See you tomorrow.	Tạm biệt. Mai gặp lại.
Goodbye. See you tomorrow.	Tạm biệt. Hẹn gặp ngày mai.
Goodbye. See you tomorrow.	Chào nhé. Mai gặp lại.
Has anyone heard from Tom?	Có ai nghe tin gì về Tom chưa?
He advised me to go there.	Anh ấy đã khuyên tôi đi tới đó.
He earns double my salary.	Anh ta kiếm được gấp đôi lương của tôi
He goes to school on foot.	Anh ấy đi bộ đến trường.
He has a dual personality.	Anh ấy có hai nhân cách.
He hesitated for a moment.	Anh ấy chần chừ một lúc.
He stopped reading a book.	Nó đã ngưng đọc sách.
He was not happy about it.	Anh ấy đã không vui về điều đó.
He's running very quickly.	Anh ta đang chạy rất nhanh.
He's sleeping like a baby.	Anh ấy ngủ say như một đứa bé.
Helping Tom was a mistake.	Giúp đỡ Tom là một sai lầm.
Hey, it's good to see you.	Rất vui được gặp bạn.
His opinions carry weight.	Ý kiến của nó thật nặng đô.
I am looking for my phone.	Tôi đang tìm điện thoại của tôi.
I cannot accept this gift.	Tôi không thể nhận món quà này.
I cannot accept this gift.	Tôi không thể chấp nhận tặng phẩm này.
I caught a glimpse of him.	Tôi đã nhìn lướt qua anh ấy.
I caught up with him soon.	Tôi đã ngay lập tức đuổi kịp anh ấy.
I didn't want to lose Tom.	Tôi đã không muốn đánh mất Tom.
I don't like Tom and Mary.	Tôi không thích Tom và Mary.
I don't like both of them.	Tôi không thích cả hai.
I don't understand German.	Tôi không hiểu tiếng Đức.
I got some sand in my eye.	Có ít cát trong mắt tôi.
I have a meeting with Tom.	Tôi có buổi gặp mặt với Tom.
I have an electric guitar.	Tôi có một cây ghita điện.
I have an electric guitar.	Tao có một cây ghita điện.
I have no time to see you.	Tôi không có thời gian để gặp bạn.
I spent 100 dollars today.	Tôi đã tiêu 100 đô la ngày hôm nay.
I thought you should know.	Tôi nghĩ rằng bạn nên biết.
I want to be Tom's friend.	Tôi muốn làm bạn với Tom.
I want to be Tom's friend.	Tôi muốn trở thành bạn của Tom.
I want to be a journalist.	Tôi muốn là một nhà báo.
I want to hear your voice.	Tôi muốn nghe giọng nói của bạn.
I will give you this book.	Tôi sẽ cho bạn cuốn sách này.
I will give you this book.	Tôi cho bạn quyển sách này.
I wish I hadn't said that.	Tôi ước là tôi đã không nói ra điều đó.
I'd like some more butter.	Cho xin thêm bơ.
I'd like some more butter.	Tôi muốn xin thêm bơ.
I'll tell you where it is.	Tôi sẽ nói cho bạn biết nó ở đâu.
I'm Tom. What's your name?	Tôi là Tom. Tên bạn là gì?
I'm afraid I ate too much.	Tôi lo là tôi đã ăn quá nhiều.
I'm glad that you're here.	Tôi mừng là bạn ở đây.
I'm going to build a fire.	Tôi chuẩn bị nhóm lửa.
I'm looking forward to it.	Tôi mong đợi điều đó.
I'm waiting for my friend.	Tao đang đợi bạn.
I'm waiting for my friend.	Tao đang đợi bạn của tao.
I'm waiting for my friend.	tớ đang đợi bạn của tớ.
I've got a little problem.	Tôi có một vấn đề nhỏ.
I've got an upset stomach.	Tôi bị đau bụng.
In 1943, Japan was at war.	Năm 1943, Nhật Bản đang ở trong chiến tranh.
In 1943, Japan was at war.	Vào năm 1943, Nhật Bản đang ở trong chiến tranh.
Is Tom really that stupid?	Tom ngu đến thế cơ á?
Isn't that what they want?	Không phải đó chính là điều họ mong muốn sao?
It depends on the context.	Cái đó tùy thuộc vào văn cảnh.
It's a serious commitment.	Đó là một sự cam kết nghiêm túc.
It's always been that way.	Nó lúc nào chẳng như vậy.
It's impossible to fix it.	Không thể nào sửa được.
Let me help you with that.	Để tôi giúp bạn cái đó.
