I'm OK.	Mən yaxşıyam.
You're an optimist.	Siz optimistsiniz.
You're hurting him.	Siz onu incidirsiniz.
A dog has four legs.	İtin dörd ayağı olur.
Allow me to explain.	İcazə ver izah edim.
Are they all strong?	Onların hamısı güclüdür?
Are they still here?	Onlar hələ buradadırlar?
Can I give you this?	Mən bunu sənə verə bilərəm?
Can I give you this?	Mən bunu sizə verə bilərəm?
Even Tom knows that.	Hətta Tom da onu bilir.
He has enough money.	Onun kifayət qədər pulu var.
He lives in Morocco.	O Mərakeşdə yaşayır.
He slept in the car.	O, maşında yatdı.
He was born in Ohio.	O Ohayoda doğulub.
His heart is broken.	Onun qəlbi qırıqdır.
I am not an athlete.	Mən atlet deyiləm.
I am not in a hurry.	Mən tələsmirəm.
I am picking apples.	Mən alma yığıram.
I am sad to hear it.	Bunu eşitdiyimə təəssüf edirəm.
I can see the light.	İşığı görə bilirəm.
I can't change this.	Mən bunu dəyişə bilmirəm.
I can't control Tom.	Mən Tomu idarə edə bilmirəm.
I didn't expect you.	Sizi gözləmirdim.
I didn't expect you.	Səni gözləmirdim.
I do not read books.	Mən kitab oxumuram.
I don't like onions.	Soğan xoşlamıram.
I have a dictionary.	Mənim lüğətim var.
I have two children.	Mənim iki uşağım var.
I just want lettuce.	Mən sadəcə kahı istəyirəm.
I no longer need it.	Daha mənə lazım deyil.
I no longer need it.	Mənim daha buna ehtiyacım yoxdur.
I saw her yesterday.	Mən onu dünən gördüm.
I was already tired.	Mən artıq yorulmuşdum.
I was baking a cake.	Mən tort bişirirdim.
I was expecting Tom.	Mən Tomu gözləyirdim.
I wasn't in a hurry.	Mən tələsmirdim.
I'm against the war.	Mən müharibənin əleyhinəyəm.
I'm proud of myself.	Mən özümlə fəxr edirəm.
I'm taller than him.	Mən ondan hündürəm.
I'm thinking of you.	Səni düşünürəm.
I've done it myself.	Mən bunu özüm etmişəm.
I've lost my wallet.	Pul kisəmi itirmişəm.
I've read this book.	Mən bu kitabı oxumuşam.
In fact, I am happy.	Əslində mən xoşbəxtəm.
Is it a big problem?	Bu böyük problemdir?
It didn't cost much.	Bu bahalı deyildi.
It wasn't very good.	Elə də yaxşı deyildi.
It's a comedy movie.	Bu komediyadır.
It's not a bad idea.	Pis fikir deyil.
Jesus answered them.	İsa onlara cavab verdi.
My nose is bleeding.	Mənim burnum qanayır.
She drives me crazy.	O mənim ağlımı başımdan alır.
She lives in London.	O Londonda yaşayır.
She raised her hand.	O, əlini qaldırdı.
She's got the point.	O məsələni başa düşdü.
Should I stay or go?	Qalım, ya gedim?
Show me your papers!	Sənədlərinizi göstərin!
The car didn't stop.	Maşın dayanmadı.
The cat drinks milk.	Pişik süd içir.
The choice is yours.	Seçim sizindir.
The choice is yours.	Seçim sənindir.
The meat tastes bad.	Ətin dadı pisdir.
The room is too big.	Otaq çox böyükdür.
The victory is ours.	Qələbə bizimdir.
These books are old.	Bu kitablar köhnədirlər.
They believe in God.	Onlar Allaha inanırlar.
They know your name.	Onlar sənin adını bilirlər.
This apple is sweet.	Bu alma şirindir.
This is an old book.	Bu köhnə kitabdır.
This is holy ground.	Bu müqəddəs torpaqdır.
This is my computer.	Bu mənim kompüterimdir.
This is my question.	Bu mənim sualımdır.
This is their house.	Bu onların evidir.
This is their place.	Bu onların yeridir.
This table is clean.	Bu stol təmizdir.
Tom bought a webcam.	Tom veb kamera aldı.
Tom closed his eyes.	Tom gözlərini yumdu.
Tom has a moustache.	Tomun bığı var.
Tom is a bus driver.	Tom avtobus sürücüsüdür.
Tom is coming today.	Tom bu gün gəlir.
Tom is in Australia.	Tom Avstraliyadadır.
Tom is losing blood.	Tom qan itirir.
Tom is very wealthy.	Tom çox varlıdır.
Tom liked Australia.	Avstraliya Tomun xoşuna gəldi.
Tom loves Australia.	Tom Avstraliyanı sevir.
Tom needs something.	Toma nəsə lazımdır.
Tom shaved his head.	Tom başını qırxdı.
Tom smiled slightly.	Tom xəfifcə gülümsədi.
Tom started singing.	Tom oxumağa başladı.
Tom started to sing.	Tom mahnı oxumağa başladı.
We can help Tom now.	Biz indi Toma kömək edə bilərik.
We have three weeks.	Bizim üç həftəmiz var.
We're Tom's friends.	Biz Tomun dostlarıyıq.
We're eating apples.	Biz alma yeyirik.
We're in Boston now.	Biz indi Bostondayıq.
What are you eating?	Nə yeyirsən?
What did Tom expect?	Tom nə gözləyirdi?
What's Tom given us?	Tom bizə nə verib?
When did you return?	Siz nə vaxt qayıtdınız?
Where is the toilet?	Tualet haradadır?
Who is your teacher?	Sizin müəlliminiz kimdir?
Who stole the apple?	Almanı kim oğurladı?
You broke the rules.	Sən qaydaları pozdun.
You broke the rules.	Siz qaydaları pozdunuz.
You have a big nose.	Sənin yekə burnun var.
You have three cats.	Sənin üç pişiyin var.
You have three pens.	Sizin üç qələminiz var.
You have three pens.	Sənin üç qələmin var.
You must start soon.	Sən tezliklə başlamalısan.
You still need help.	Sənin hələ də köməyə ehtiyacın var.
You were both drunk.	Hər ikiniz də sərxoş idiniz.
You're just envious.	Sən sadəcə paxılsan.
Your job isn't hard.	İşiniz çətin deyil.
Apes are intelligent.	Meymunlar ağıllıdırlar.
Apples grow on trees.	Almalar ağaclarda yetişirlər.
But you're not there.	Amma sən orada deyilsən.
Cats have nine lives.	Pişiklərin doqquz canı var.
Damascus is in Syria.	Dəməşq Suriyadadır.
Do you have children?	Uşaqlarınız var?
Dublin is in Ireland.	Dublin İrlandiyadadır.
Every family has one.	Hər ailədə biri var.
Everyone is here now.	İndi hər kəs buradadır.
France borders Italy.	Fransa İtaliya ilə həmsərhəddir.
Give me a day or two.	Mənə bir-iki gün vaxt ver.
Give me three months.	Mənə üç ay ver.
He can be counted on.	Ona etibar etmək olar.
He crossed the river.	O, çayı keçdi.
He doesn't want kids.	O uşaq istəmir.
He returned to Japan.	O Yaponiyaya qayıtdı.
Her nose is bleeding.	Onun burnu qanayır.
Here comes the train!	Qatar gəlir!
I broke your ashtray.	Sənin külqabını qırdım.
I don't want to look.	Baxmaq istəmirəm.
I get off there, too.	Mən də orada düşürəm.
I have a twin sister.	Mənim əkiz bacım var.
I have three cameras.	Mənim üç kameram var.
I just cut my finger.	Elə indicə barmağımı kəsdim.
I know all about you.	Mən sizin haqqınızda hər şeyi bilirəm.
I look forward to it.	Mən bunu səbirsizliklə gözləyirəm.
I think Tom is lying.	Məncə Tom yalan danışır.
I think you're right.	Düşünürəm ki, sən haqlısan.
I want to buy a book.	Kitab almaq istəyirəm.
I want to go to Mars.	Mən Marsa getmək istəyirəm.
I work in a hospital.	Mən xəstəxanada işləyirəm.
I'll be your teacher.	Mən sənin müəllimin olacam.
I'll be your teacher.	Mən sizin müəlliminiz olacam.
I'll be your teacher.	Mən sizin müəlliməniz olacam.
I'll be your teacher.	Mən sənin müəllimən olacam.
I'll never lose hope.	Mən heçvaxt ümidimi itirməyəcəm.
I'll stay in the car.	Mən maşında qalacam.
I'm a French teacher.	Mən fransız dili müəllimiyəm.
I'm glad you're okay.	Şadam ki, yaxşısan.
I'm no longer sleepy.	Daha yuxulu deyiləm.
I'm not a bad person.	Mən pis adam deyiləm.
I'm writing a letter.	Məktub yazıram.
I've already said no.	Mən artıq "yox" dedim.
Iceland is an island.	İslandiya adadır.
Is she a taxi driver?	O taksi sürücüsüdür?
It's in the basement.	Zirzəmidədir.
It's not at all easy.	Bu heç də asan deyil.
Italy is a peninsula.	İtaliya yarımadadır.
Listen to your heart.	Ürəyinə qulaq as!
Look at that red car.	O qırmızı maşına bax.
My father grows rice.	Mənim atam düyü becərir.
My feet are freezing.	Ayaqlarım donur.
My head is exploding.	Başım partlayır.
My heart is pounding.	Ürəyim çırpınır.
My parents are crazy.	Mənim valideynlərim dəlidirlər.
Our train is delayed.	Qatarımız gecikir.
She allowed me to go.	O mənə getməyə icazə verdi.
She is a taxi driver.	O, taksi sürücüsüdür.
She likes these cats.	Onun bu pişiklərdən xoşu gəlir.
She looks very happy.	O çox xoşbəxt görünür.
Shut up and sit down.	Səsini kəs və otur!
That knife cuts well.	O bıçaq yaxşı kəsir.
The dog barked a lot.	İt çox hürdü.
The river overflowed.	Çay daşdı.
The weather got cold.	Hava soyudu.
There were three men.	Üç kişi var idi.
These apples are big.	Bu almalar böyükdürlər.
They grow fruit here.	Onlar burada meyvə yetişdirirlər.
They have black hair.	Onların qara saçları var.
They headed westward.	Onlar qərbə üz tutdular.
They want to go home.	Onlar evə getmək istəyirlər.
This is a lemon tree.	Bu limon ağacıdır.
This knife cuts well.	Bu bıçaq yaxşı kəsir.
Tom doesn't want you.	Tom sizi istəmir.
Tom doesn't want you.	Tom səni istəmir.
Tom had one daughter.	Tomun bir qızı var idi.
Tom has three uncles.	Tomun üç əmisi var.
Tom hates raw onions.	Tomun çiy soğandan zəhləsi gedir.
Tom is a firefighter.	Tom yanğınsöndürəndir.
Tom is a good driver.	Tom yaxşı sürücüdür.
Tom is a taxi driver.	Tom taksi sürücüsüdür.
Tom is going to lose.	Tom uduzacaq.
Tom is still waiting.	Tom hələ gözləyir.
Tom joined the group.	Tom qrupa qoşuldu.
Tom knows the secret.	Tom sirri bilir.
Tom peeled the apple.	Tom almanı soydu.
Tom rinsed his mouth.	Tom ağzını yaxaladı.
Tom says it's urgent.	Toy deyir ki, bu təcilidir.
Tom sliced the apple.	Tom almanı dilimlədi.
Tom was pretty tired.	Tom əməlli-başlı yorulmuşdu.
Try to be optimistic.	Nikbin olmağa çalış.
We didn't discuss it.	Biz bunu müzakirə etmədik.
We have two children.	Bizim iki uşağımız var.
We sell orange juice.	Biz portağal şirəsi satırıq.
We went to the river.	Biz çaya getdik.
We're blood brothers.	Biz qan qardaşlarıyıq.
Welcome to Australia.	Avstraliyaya xoş gəlmişsiniz!
Where are the apples?	Almalar haradadır?
Where do you see him?	Sən onu harada görürsən?
Where is your school?	Sizin məktəbiniz haradadır?
Where is your school?	Sənin məktəbin hardadır?
Who gave them to you?	Onları kim sizə verdi?
Why did Tom tell you?	Tom niyə sizə dedi?
Why did you go there?	Niyə ora getdiniz?
Why does Tom hate me?	Tom niyə mənə nifrət edir?
You always lie to me.	Sən həmişə mənə yalan danışırsan.
You can wait outside.	Bayırda gözləyə bilərsən.
You need new clothes.	Sənə təzə paltarlar lazımdır.
You should stay here.	Siz burada qalmalısınız.
You should stay here.	Sən burada qalmalısan.
You're a good mother.	Sən yaxşı anasan.
You're very talented.	Siz çox istedadlısınız.
You're very talented.	Sən çox istedadlısan.
Your dog bit my hand.	İtin əlimi dişlədi.
Your nose is running.	Sənin burnun axır.
Your son is a genius.	Sizin oğlunuz dahidir.
A week has seven days.	Bir həftədə yeddi gün var.
Bananas are delicious.	Bananlar dadlıdırlar.
Barcelona is in Spain.	Barselona İspaniyadadır.
Do you have tuna fish?	Sizdə tunes balığı var?
He delivered a speech.	O nitq söylədi.
He has been to France.	O Fransada olub.
He is washing the car.	O, maşını yuyur.
He licked his fingers.	O barmaqlarını yaladı.
He was born in Africa.	O Afrikada doğulub.
I can hear everything.	Mən hər şeyi eşidə bilirəm.
I cannot speak German.	Mən almanca danışa bilmirəm.
I got out of the taxi.	Mən taksidən düşdüm.
I have three children.	Mənim üç uşağım var.
I like Korean cuisine.	Koreya mətbəxindən xoşum gəlir.
I told you to call me.	Sənə dedim ki, mənə zəng et.
I want to sing a song.	Mahnı oxumaq istəyirəm.
I want you to see her.	İstəyirəm onu görəsən.
I was in the hospital.	Mən xəstəxanada idim.
I'd like orange juice.	Portağal şirəsi istərdim.
I'll watch television.	Mən televizora baxacam.
I'm afraid of spiders.	Mən hörümçəklərdən qorxuram.
I'm looking for a job.	Mən iş axtarıram.
I'm reading this book.	Mən bu kitabı oxuyuram.
Is Germany near Italy?	Almaniya İtaliyaya yaxındır?
Is it your helicopter?	Bu sənin vertolyotundur?
Is it your helicopter?	Bu sizin vertolyotunuzdur?
Is there life on Mars?	Marsda həyat var?
It isn't so hot today.	Bugün elə də isti deyil.
It's very easy to use.	Bu, istifadə üçün çox asandır.
Jesus was a carpenter.	İsa dülgər idi.
Jupiter is very large.	Yupiter çox böyükdür.
May comes after April.	May apreldən sonra gəlir.
My nose is stuffed up.	Burnum tutulub.
No, I didn't write it.	Yox, bunu mən yazmamışam.
Nobody understands me.	Heç kim məni başa düşmür.
Not all birds can fly.	Bütün quşlar uça bilmir.
She has gone to Italy.	O İtaliyaya gedib.
She has two daughters.	Onun iki qızı var.
She lives in New York.	O Nyu-Yorkda yaşayır.
The doors were closed.	Qapılar bağlı idi.
The mountain is green.	Dağ yaşıldır.
The war ended in 1954.	Müharibə 1954-də sona çatdı.
There's nobody inside.	İçəridə heç kim yoxdur.
They didn't get along.	Onlar yola getmədilər.
They gave you nothing.	Onlar sizə heç nə vermədilər.
They wash their hands.	Onlar əllərini yuyurlar.
They're eating apples.	Onlar alma yeyirlər.
This bag is too heavy.	Bu çanta çox ağırdır.
This is an apple tree.	Bu alma ağacıdır.
This is an apple, too.	Bu da almadır.
This is my dictionary.	Bu mənim lüğətimdir.
This is not necessary.	Bu vacib deyil.
This is not necessary.	Bu zəruri deyil.
This is our main goal.	Bu bizim əsas məqsədimizdir.
Tom can keep a secret.	Tom sirr saxlaya bilir.
Tom didn't understand.	Tom başa düşmədi.
Tom doesn't like cats.	Tomun pişiklərdən xoşu gəlmir.
Tom has a stomachache.	Tom-un dişi ağrıyır.
Tom has a thick beard.	Tomun qalın saqqalı var.
Tom has three sisters.	Tomun üç bacısı var.
Tom is a truck driver.	Tom yük avtomobili sürücüsüdür.
Tom needed a good job.	Tom-un yaxşı bir işə ehtiyacı var idi.
Tom never looked back.	Tom heç vaxt arxasına baxmadı.
Tom put the book down.	Tom kitabı yerə qoydu.
Tom went to Australia.	Tom Avstraliyaya getdi.
We have yellow apples.	Bizim sarı almalarımız var.
We were playing rugby.	Reqbi oynayırdıq.
We've seen three wars.	Biz üç müharibə görmüşük.
Well, I must be going.	Yaxşı, mən getməliyəm.
What language is this?	Bu hansı dildir?
What're they planning?	Onlar nə planlaşdırırlar?
Which car did you buy?	Hansı maşını aldın?
You look like a freak.	Əcaib bir şeyə oxşayırsan.
You must go to school.	Sən məktəbə getməlisən.
You're very beautiful.	Sən çox gözəlsən.
You're very beautiful.	Siz çox gözəlsiniz.
Your nose is bleeding.	Sizin burnunuz qanayır.
Zero comes before one.	Sıfır birdən əvvəl gəlir.
A sponge absorbs water.	Süngər suyu özünə çəkir.
All roads lead to Rome.	Bütün yollar Romaya aparır.
Cats dislike being wet.	Pişiklərin yaş olmaqdan xoşları gəlmir.
Cats don't eat bananas.	Pişiklər banan yemirlər.
Cats usually hate dogs.	Pişiklərin adətən itlərdən zəhləsi gedir.
Do it the best you can.	Onu bacardığın qədər yaxşı et.
Do you drink green tea?	Yaşıl çay içirsən?
Do you know her father?	Onun atasını tanıyırsan?
Do you know her father?	Siz onun atasını tanıyırsınız?
Do you want to go home?	Evə getmək istəyirsən?
Do you want to go home?	Evə getmək istəyirsiniz?
He can't walk any more.	O daha yeriyə bilmir.
He didn't get the joke.	O, zarafatı başa düşmədi.
He had dark brown hair.	Onun tünd qəhvəyi saçları var idi.
He has three daughters.	Onun üç qızı var.
He is an expert driver.	O təcrübəli sürücüdür.
He is in need of money.	Onun pula ehtiyacı var.
He pretends to be deaf.	O özünü karlığa qoyur.
He returned from China.	O, Çindən qayıtdı.
He used the dictionary.	O, lüğətdən istifadə etdi.
How do you want to die?	Siz necə ölmək istəyirsiniz?
I am learning Japanese.	Mən yapon dili öyrənirəm.
I don't have a bicycle.	Mənim velosipedim yoxdur.
I don't have any money.	Mənim heç pulum yoxdur.
I haven't said yes yet.	Hələ hə deməmişəm.
I looked in Tom's eyes.	Mən Tomun gözlərinə baxdım.
I lost my favorite pen.	Sevimli qələmimi itirmişəm.
I sat down next to him.	Mən onun yanında oturdum.
I slept just two hours.	Mən sadəcə iki saat yatdım.
I think he is a doctor.	Məncə o, həkimdir.
I turned off the radio.	Mən radionu söndürdüm.
I want this dictionary.	Mən bu lüğəti istəyirəm.
I want to write a book.	Kitab yazmaq istəyirəm.
I will gladly help you.	Mən məmuniyyətlə sizə kömək edərəm.
I won't go there again.	Mən bir də ora getməyəcəm.
I'd like to see my son.	Mən oğlumu görmək istərdim.
I'm completely serious.	Mən tamamilə ciddiyəm.
I'm not as busy as Tom.	Mən Tom kimi məşğul deyiləm.
I'm thinking about you.	Sənin haqqında düşünürəm.
I've got a white horse.	Mən ağ atım var.
Is it unconstitutional?	Bu konstitusiyaya ziddirmi?
Is there water on Mars?	Marsda su var?
Is your mother at home?	Ananız evdədir?
It looks like a cactus.	Bu kaktusa oxşayır.
It was all for nothing.	Bunlar hamısı hədər imiş.
It was all for nothing.	Bunlar hamısı boş yerə imiş.
It was windy yesterday.	Dünən küləkli idi.
It's very hot at night.	Gecə çox isti olur.
Just follow your heart.	Sadəcə ürəyinizin səsini dinləyin.
May I introduce myself?	Özümü təqdim edə bilərəm?
Montana borders Canada.	Montana Kanada ilə həmsərhəddir.
New York is a big city.	Nyu-York böyük şəhərdir.
Of course you can stay.	Əlbəttə ki qala bilərsən.
Of course you can stay.	Əlbəttə ki qala bilərsiniz.
Pandas are very clever.	Pandalar çox ağıllıdırlar.
Please don't interfere.	Xahiş edirəm, qarışmayın.
Salt is sold by weight.	Duz çəkiylə satılır.
She always wears black.	O həmişə qara geyinir.
She has three brothers.	Onun üç qardaşı var.
She is afraid of death.	O, ölümdən qorxur.
She studied in Belgium.	O Belçikada təhsil alıb.
Sport knows no borders.	İdman sərhəd tanımır.
That's not what I want.	Bu mənim istədiyim deyil.
The Cold War continued.	Soyuq müharibə davam etdi.
The bread is not fresh.	Çörək təzə deyil.
The knife is not sharp.	Bıçaq iti deyil.
The map is on the wall.	Xəritə divardadır.
The real heroes are us.	Əsl qəhrəmanlar bizik.
The river has dried up.	Çay quruyub.
The river is dangerous.	Çay təhlükəlidir.
These bananas went bad.	Bu bananlar xarab olub.
This apple tastes sour.	Bu alma turş dadır.
This is an ancient law.	Bu qədim qanundur.
This is from Australia.	Bu Avstraliyadandır.
Tom can't help you now.	Tom indi sənə kömək edə bilmir.
Tom had no place to go.	Tomun getməyə yeri yox idi.
Tom has cut his finger.	Tom barmağını kəsib.
Tom is taking a shower.	Tom duş qəbul edir.
Tom left for Australia.	Tom Avstraliyaya yola düşdü.
Tom licked his fingers.	Tom barmaqlarını yaladı.
Tom likes Chinese food.	Tom çin yeməklərini xoşlayır.
Tom lives in Australia.	Tom Avstraliyada yaşayır.
Tom moved to Australia.	Tom Avstraliyaya köçdü.
Tom never eats spinach.	Tom heç vaxt ispanaq yemir.
Tom scratched his nose.	Tom burnunu qaşıdı.
Tom squeezed the lemon.	Tom limonu sıxdı.
Tom will be devastated.	Tom darmadağın olacaq.
We didn't see anything.	Biz heç bir şey görmədik.
We live in the suburbs.	Biz şəhərətrafında yaşayırıq.
We saw nothing strange.	Biz qəribə heç nə görmədik.
We'll be happy to help.	Kömək etməyə şad olarıq.
We've never lived here.	Biz heç vaxt burada yaşamamışıq.
When do the shops open?	Mağazalar nə vaxt açılır?
Where are the giraffes?	Zürafələr hardadırlar?
Where did my driver go?	Mənim sürücüm hara getdi?
Where did you buy that?	Onu haradan aldın?
Who sent you the roses?	Qızılgülləri sənə kim göndərib?
Whose suitcase is that?	Bu kimin çemodanıdır?
Why is Tom coming here?	Tom niyə bura gəlir?
You always surprise me.	Sən məni həmişə təəccübləndirirsən.
You always surprise me.	Siz məni həmişə təəccübləndirirsiniz.
You are taller than me.	Sən məndən hündürsən.
You are taller than me.	Siz məndən hündürsünüz.
You are very beautiful.	Sən çox gözəlsən.
You look a little pale.	Bir az solğun görünürsən.
Africa is not a country.	Afrika ölkə deyil.
Allow me to go with you.	İcazə ver səninlə gedim.
Are you looking for Tom?	Siz Tomu axtarırsınız?
Are you looking for Tom?	Tomu axtarırsan?
Are you waiting for Tom?	Tomu gözləyirsən?
Brazil is a big country.	Braziliya böyük ölkədir.
Bring me the dictionary.	Lüğəti mənə gətir.
Do you remember my name?	Mənim adım yadınızdadır?
Do you want some advice?	Bir-iki məsləhət istəyirsən?
Don't let Tom hurt Mary.	Tomun Merini incitməsinə icazə vermə!
Everyone's watching Tom.	Hamı Toma baxır.
He goes to China in May.	O mayda Çinə gedir.
He keeps his room clean.	O öz otağını təmiz saxlayır.
He never loses his head.	O heç vaxt başını itirmir.
He returned from Canada.	O Kanadadan qayıtdı.
He's a citizen of China.	O Çin vətəndaşıdır.
I can look after myself.	Mən özüm öz qayğıma qala bilirəm.
I can't stand this cold.	Mən belə soyuğa dözə bilmirəm.
I don't have your boots.	Sizin çəkmələriniz məndə deyil.
I don't have your boots.	Sənin çəkmələrin məndə deyil.
I don't like it, either.	Mənim də bundan xoşum gəlmir.
I don't really think so.	Mən həqiqətən elə düşünmürəm.
I don't want Tom's help.	Mən Tomun köməyini istəmirəm.
I don't want onion soup.	Soğan supu istəmirəm.
I have bad news for you.	Sənin üçün pis xəbərim var.
I have bad news for you.	Sizin üçün pis xəbərim var.
I haven't forgotten Tom.	Mən Tomu unutmamışam.
I heard someone whistle.	Kiminsə fit çaldığını eşitdim.
I play soccer every day.	Mən hər gün futbol oynayıram.
I prefer to ride a bike.	Mən velosiped sürməyə üstünlük verirəm.
I slept well last night.	Mən dünən gecə yaxşı yatdım.
I'm going straight home.	Mən birbaşa evə gedirəm.
I'm not buying anything.	Mən heç nə almıram.
I've tried that already.	Mən onu artıq yoxlamışam.
Is that a picture of me?	Bu mənim şəklimdir?
Japan is close to China.	Yaponiya Çinə yaxındır.
My father is very tired.	Atam çox yorğundur.
My father seldom smokes.	Mənim atam nadir hallarda siqaret çəkir.
My father went to China.	Atam Çinə getdi.
Our wedding is tomorrow.	Bizim toyumuz sabahdır.
She chose the red dress.	O qırmızı paltarı seçdi.
She knocked on the door.	O qapını döydü.
Squirrels eat hazelnuts.	Dələlər fındıq yeyirlər.
Texas borders on Mexico.	Texas Meksikayla həmsərhəddir.
The author is Brazilian.	Müəllif braziliyalıdır.
The kitchen door opened.	Mətbəxin qapısı açıldı.
The restaurant is empty.	Restoran boşdur.
The water began to boil.	Su qaynamağa başladı.
These keys are not mine.	Bu açarlar mənim deyil.
They accepted the offer.	Onlar təklifi qəbul etdilər.
They were very grateful.	Onlar çox minnətdar olmuşdular.
This dictionary is good.	Bu lüğət yaxşıdır.
This dictionary is mine.	Bu lüğət mənimdir.
This is a very good tea.	Bu çox yaxşı çaydır.
This won't happen again.	Bu bir daha baş verməyəcək.
Tom began to understand.	Tom başa düşməyə başladı.
Tom boiled the potatoes.	Tom kartofları qaynatdı.
Tom doesn't like cheese.	Tom pendir xoşlamır.
Tom doesn't like onions.	Tom soğan xoşlamır.
Tom dresses like a girl.	Tom qız kimi geyinir.
Tom found me a good job.	Tom mənə yaxşı bir iş tapdı.
Tom has a black bicycle.	Tomun qara velosipedi var.
Tom headed for the exit.	Tom çıxışa tərəf getdi.
Tom knows Mary is right.	Tom Merinin haqlı olduğunu bilir.
Tom peeled the potatoes.	Tom kartofları soydu.
Tom says what he thinks.	Tom düşündüklərini deyir.
Tom signed the contract.	Tom müqaviləni imzaladı.
Tom squeezed the sponge.	Tom süngəri sıxdı.
Tom went to the library.	Tom kitabxanaya getdi.
Tom won't open the door.	Tom qapını açmayacaq.
Tuna can swim very fast.	Tunes balığı çox sürətlə üzə bilir.
We didn't know anything.	Biz heç nə bilmirdik.
We have three airplanes.	Bizim üç təyyarəmiz var.
We live in an apartment.	Biz mənzildə yaşayırıq.
We live in an apartment.	Biz bina evində yaşayırıq.
We looked at each other.	Biz birbirimizə baxdıq.
We went to a restaurant.	Biz restorana getdik.
We were always together.	Biz həmişə birlikdə idik.
What are you looking at?	Nəyə baxırsan?
What makes you think so?	Sizi belə düşünməyə nə vadar edir?
What's unique about you?	Səndə özünəməxsus olan nədir?
Where are our umbrellas?	Bizim çətirlərimiz haradadır?
Where is the restaurant?	Restoran hanı?
Where is the restaurant?	Restoran haradadır?
You are in a safe place.	Siz təhlükəsiz yerdəsiniz.
You're everything to me.	Sən mənimçün hərşeysən.
A sponge absorbs liquids.	Süngər mayeləri özünə çəkir.
A tea with lemon, please.	Limonlu çay, zəhmət olmasa.
Are you sure Tom is dead?	Əminsən ki Tom ölüb?
Both brothers were there.	Hər iki qardaş orada idi.
Butter is made from milk.	Yağ süddən hazırlanır.
Cows supply us with milk.	İnəklər bizi südlə təmin edirlər.
Do you like this perfume?	Bu ətiri bəyənirsən?
Do you like this perfume?	Bu ətiri bəyənirsiz?
Do you want to join them?	Onlara qoşulmaq istəyirsiniz?
Don't talk to the driver.	Sürücüylə danışmayın!
Don't trust what he says.	Onun dediyinə inanma.
He began to make excuses.	O, bəhanələr gətirməyə başladı.
He knows a lot of people.	O çox adam tanıyır.
He wants to go to Africa.	O, Afrikaya getmək istəyir.
I am glad to be with you.	Səninlə olmağıma şadam.
I am swimming in a river.	Mən çayda çimirəm.
I brought you some water.	Sizə bir az su gətirdim.
I can't believe I'm here.	İnana bilmirəm ki buradayam.
I can't do what you want.	Mən sizin istədiyinizi edə bilmərəm.
I can't do what you want.	Mən sənin istədiyini edə bilmərəm.
I can't find my umbrella.	Çətirimi tapa bilmirəm.
I counted to two hundred.	Mən iki yüzə qədər saydım.
I don't hate Tom anymore.	Mən daha Toma nifrət etmirəm.
I don't want to die here.	Mən burda ölmək istəmirəm.
I don't want you to lose.	Mən sənin uduzmağını istəmirəm.
I have a French neighbor.	Mənim fransız qonşum var.
I have a good dictionary.	Mənim yaxşı lüğətim var.
I have a good dictionary.	Məndə yaxşı bir lüğət var.
I have to agree with Tom.	Mən Tomla razılaşmalıyam.
I hope you understand me.	Ümid edirəm məni başa düşürsən.
I know who the killer is.	Mən bilirəm qatil kimdir.
I know you don't love me.	Bilirəm ki məni sevmirsən.
I need a good dictionary.	Mənim yaxşı bir lüğətə ehtiyacım var.
I need a good dictionary.	Mənə yaxşı bir lüğət lazımdır.
I stayed home for a week.	Mən bir həftə evdə qaldım.
I think Tom will like it.	Məncə bu Tomun xoşuna gələcək.
I think about them often.	Mən tez-tez onların haqqında düşünürəm.
I was waiting for a taxi.	Taksi gözləyirdim.
I wrote to you from Iraq.	Mən sənə İraqdan yazdım.
I'm glad to see you, Tom.	Səni görməyimə şadam, Tom.
It won't change anything.	Bu heç nəyi dəyişməyəcək.
It's on the eighth floor.	Bu səkkizinci mərtəbədədir.
Italy is far from Brazil.	İtaliya Braziliyadan uzaqda yerləşir.
Japan has a mild climate.	Yaponiyanın mülayim iqlimi var.
Latin is a dead language.	Latın dili ölü dildir.
Let's look under the bed.	Gəl çarpayının altına baxaq.
My father has many books.	Mənim atamın çoxlu kitabları var.
Nobody wants to help Tom.	Heç kim Toma kömək etmək istəmir.
None of them are drivers.	Onların heç biri sürücü deyil.
Owls can see in the dark.	Bayquşlar qaranlıqda görə bilirlər.
Pink roses are beautiful.	Çəhrayı qızılgüllər gözəldirlər.
She fell down the ladder.	O, nərdivandan yıxıldı.
She wants to read a book.	O kitab oxumaq istəyir.
She went there yesterday.	O, ora dünən gedib.
She wrote a lot of poems.	O çoxlu şeirlər yazdı.
Take a taxi to the hotel.	Otelə getməkçün taksi tut.
The blood was bright red.	Qan al-qırmızı idi.
The book is on the table.	Kitab stolun üstündədir.
The cat sat on the table.	Pişik stolun üstündə oturdu.
The girls began to laugh.	Qızlar gülməyə başladılar.
The pink pillow is clean.	Çəhrayı yastıq təmizdir.
The river is running dry.	Çay quruyur.
The shop is closed today.	Mağaza bugün bağlıdır.
The week is finally over.	Həftə nəhayət ki qurtardı.
There's been an accident.	Qəza baş verdi.
They went to New Zealand.	Onlar Yeni Zelandiyaya getdilər.
This book is about stars.	Bu kitab ulduzlar haqqındadır.
