Wow!	Carai!
I don't have the strength to keep trying.	No tinc la força per continuar triant.
I started learning English six years ago.	Fa sis anys que vaig començar a aprendre anglès.
I will ask him where he went last Sunday.	Li preguntaré on va anar el diumenge.
I'm surprised that he accepted the offer.	Em sorprèn que acceptés l'oferiment.
It is difficult to speak three languages.	És difícil parlar tres llengues.
There are many beautiful parks in London.	A Londres hi han molts parcs bonics.
They live on the other side of the river.	Viuen a l'altra banda del riu.
Tom does everything he can to save money.	En Tom fa tot el que pot per estalviar.
Tom goes to Boston every once in a while.	En Tom va a Boston de tant en tant.
I am sure of his winning the tennis match.	Estic segur de la seva victòria al tennis.
I did basically the same thing as Tom did.	He fet bàsicament el mateix que ha fet el Tom.
I don't know the reason why he went there.	No sé el motiu pel qual va anar-hi.
I think you might have trouble doing that.	Crec que tindràs problemes per fer allò.
I'd like to know when you can send it out.	M'agadaria saber quan ho pot enviar.
It's strange that our friends aren't here.	És extrany que els nostres amics no estiguin aqui.
Nothing happens unless you make it happen.	No passa res si tu no fas que passi.
This is the best book that I've ever read.	És el millor llibre que he llegit mai.
Tom leaves for work at 6:30 every morning.	En Tom surt a treballar cada matí a dos quarts de set.
Tom used to cry a lot when he was a child.	Tom plorava molt quan era un xiquet.
As we go up higher, the air becomes cooler.	Com més amunt anem, més fresc és l'aire.
Do you support or oppose the death penalty?	Estàs a favor o en contra de la pena de mort?
English is not easy, but it is interesting.	L'anglès no és fàcil, però és interessant.
I don't have anything to say to any of you.	No tinc res a dir-vos a cap de vosaltres.
I don't know for certain when he will come.	No sé del cert quan vindrà.
I eat a boiled egg for breakfast every day.	Cada dia em menjo un ou dur per esmorzar.
I have been studying French four years now.	Fa quatre anys que estudio francès.
I told you to be here on time this morning.	Et vaig dir que havies de ser aquí puntual aquest matí.
I'm fed up with him always preaching to me.	Estic tip que em sermonegi constantment.
I'm fed up with him always preaching to me.	Estic tip dels seus sermons constants.
I'm getting off the train at the next stop.	Em baixo del tren a la pròxima estació.
It seems those two are made for each other.	Sembla que aquell parell estan fets l'un per l'altre.
This is the place where my father was born.	Aquest és el lloc on va nèixer el meu pare.
Tom is young, but he knows what he's doing.	El Tom és jove, però sap el que està fent.
When will it be convenient for you to come?	Quan li convendria venir?
Can you remember the first time you saw Tom?	Podeu recordar el primer cop que heu vist en Tom?
Give him this message the moment he arrives.	Dóna-li aquest missatge quan arribi.
I demanded that he pay the bill immediately.	Li vaig demanar de pagar la factura immediatament.
I feel like telling him what I think of him.	Tinc ganes de dir-li què penso d'ell.
I really need to take care of some business.	He de tenir cura d'alguns negocis.
I refused to eat until my parents came home.	No vaig voler menjar fins que els meus pares no tornessin a casa.
Japan imports great quantities of crude oil.	El Japó importa una gran quantitat de petroli.
She makes him do his homework before dinner.	Ella l'obliga a fer els deures abans de sopar.
They fell into the conversation immediately.	Van passar al tema a l'instant.
You should pay more attention to what I say.	Deuries prestar més atenció a allò que dic.
Both of them are unpredictable and impatient.	Tots dos són impredictibles i impacients.
Her explanation of the problem made no sense.	La seva explicació del problema no tenia ni cap ni peus.
I am going to do it whether you agree or not.	Ho faré, estigueu o no d'acord amb mi.
I didn't know you were that kind of a person.	No sabia que eres així.
I don't understand what you're trying to say.	No entenc el que vols dir.
I will take you to the zoo one of these days.	Un dia d'aquests et portaré al zoo.
My son has gone to America to study medicine.	El meu fill ha anat a Amèrica a estudiar medicina.
She says she brushes her teeth every morning.	Ella diu que es raspatlla les dents tots els dematins.
We need to invest in clean, renewable energy.	Hem d'invertir en energia neta i renovable.
He is one of the candidates running for mayor.	És un dels candidats que es presenta per alcalde.
I haven't got the nerve to ask you for a loan.	No tinc valor per demanar-te un préstec.
I'm getting off the train at the next station.	Em baixo del tren a la pròxima estació.
It is said that golf is very popular in Japan.	Es diu que el golf és molt popular al Japó.
It seems I'm going to be up all night tonight.	Sembla que avui estaré despert tota la nit.
Please wash your hands properly before eating.	Siusplau renteu-vos les mans com cal abans de menjar.
The urban population of America is increasing.	La població urbana a Amèrica està creixent.
I thought she was angry and would just go away.	Vaig pensar que s'havia enfadat i que se n'aniria.
She buys what she wants regardless of the cost.	Compra el que vol sense fixar-se en el que val.
She's curious to find out who sent the flowers.	Ella té curiositat per saber qui va enviar les flors.
Unfortunately, my birthday is only once a year.	Malauradament, el meu aniversario només succeeix una vegada a l'any.
What would it cost to have this chair repaired?	Quant costaria arreglar aquesta cadira?
Drink some coffee. It tastes very good, I think.	Pren una mica de cafè. Té molt bon gust, crec.
He and his sisters are currently living in Tokyo.	En aquest moment, ell i les seves germanes viuen a Tòquio.
He never fails to write to his mother every week.	No passa una setmana que no li escrigui a la seva mare.
I have a friend whose father is a famous pianist.	Tinc un amic el pare del qual és un pianista famós.
I'm not interested in going to the baseball game.	No tinc cap interès a anar al partit de beisbol.
I'm sorry, but I can't find the book you lent me.	Em sap greu, però no trobo el llibre que em vas deixar.
If only I knew, I would tell you all that I knew.	Si ho sabés, et diria tot el que sé.
She tried to squeeze the juice out of the orange.	Va provar d'escórrer la taronja.
This story is far more interesting than that one.	Aquesta història és molt més interessant que aquella.
I took it for granted that he would pass the exam.	Dono per descomptat que aprovarà l'examen.
They insisted on my making use of the opportunity.	Em varen insistir per a que aprofitès aquella oportunitat.
Do you know which deity this temple is dedicated to?	Sabeu a quina divinitat està dedicat aquest temple?
Why don't we see if Tom wants to play cards with us?	Perquè no mirem si en Tom vol jugar a les cartes amb niosaltres?
I was glad to see that he finally came to his senses.	Vaig estar content de veure que al final va posar-hi seny.
I want to live in a quiet city where the air is clean.	Vull viure a una ciutat tranquila amb l'aire pur.
If you don't want to be alone, I can keep you company.	Si no vols estar sol, puc fer-te companyia.
He will take over the business when his father retires.	Ell continuarà el negoci quan son pare es jubili.
My mother likes tulips very much and so does my sister.	A ma mare li agraden molt les tulipes i a ma germana també.
This cola has lost its fizz and doesn't taste any good.	Aquesta cola s'ha esbravat i no té bon gust.
Tom is accustomed to calling up girls on the telephone.	En Tom acostuma a trucar noies.
Tom should tell Mary not to forget to water the flowers.	El Tom li hauria de dir a la Mary que no oblidi regar les flors.
Cuzco is one of the most interesting places in the world.	Cuzco és un dels indrets més interessants del món.
I stayed in bed one more day just to be on the safe side.	Em vaig quedar un dia més al llit per si de cas.
Tom will likely be discharged from the hospital tomorrow.	Demà donaran d'alta de l'hospital en Tom.
"How are you feeling this morning?" "Pretty good, thanks."	"Com et sents aquest matí?" "Bastant bé, gràcies."
People of my generation all think the same way about this.	Tota la gent de la meva generació pensen igual sobre això.
The only useful answers are those that raise new questions.	Les úniques respostes útils són les que creen noves preguntes.
By the age of 25, she had lived in five different countries.	Als 25 anys, ella havia viscut a cinc països diferents.
It takes us thirty minutes to walk from here to the station.	D'aquí a l'estació triguem mitja hora a peu.
The secret of longevity is to choose your parents carefully.	El secret de la longevitat és triar amb compte els pares.
It takes about 10 minutes to get to the train station by foot.	Tens uns 10 minuts d'aquí a l'estació a peu.
This medicine must not be placed within the reach of children.	Aquest medicament no s'ha de deixar a la ma dels nins.
You told her that you had finished the work three days before.	Li vas dir que havies enllestit la feina feia tres dies.
His father died, and to make matters worse, his mother fell ill.	Son pare es va morir, i per acabar-ho d'adobar, sa mare es va posar malalta.
Try to understand it in Spanish, without translating to English.	Tracta d'entendre-ho amb espanyol, sense traduïr-lo amb anglès.
We lost our way, and what was worse, we were caught in a shower.	Ens vam perdre i, encara pitjor, ens va enxampar un xàfec.
She's worried since she hasn't heard from her son for many months.	Està amoïnada perquè fa mesos que no té notícia del seu fill.
I suspected that he was telling a lie, but that didn't surprise me.	Sospitava que m'estava dient una mentida, però això no em va sorprendre.
My daughter won't find it easy to get accustomed to the new school.	La meva filla no trobarà fàcil per acostumar-se a la nova escola.
The bullet penetrated his chest, leaving him in critical condition.	La bala va penetrar al seu pit i el va deixar en estat crític.
I wanted to buy the book, but I found I had no more than 200 yen with me.	Volia comprar el llibre, però vaig adonar-me que no duia més de 200 iens.
For the first time in more than 6 years, the unemployment rate is below 6%.	Per primera vegada en més de 6 anys, la taxa d'atur està per davall del 6%.
We would have bought the plane tickets if the price had been a little lower.	Hauríem comprat els bitllets d'avió si el preu fos un pèl més baix.
My friend has had three jobs in a year; he never sticks to anything for long.	El meu amic ha treballat a tres llocs diferents en un any; res no li dura gaire.
You can't park in a handicapped parking space unless you have a special permit.	No pots aparcar a una plaça d'aparcament per discapacitats si no tens un permís especial.
Drinking lots of water is good for you, sure, but one can't drink that much water at once.	Beure molta aigua és bo per tu, segur, però no es pot beure tanta aigua de cop.
We're gonna make sure that no one is taking advantage of the American people for their own short-term gain.	Ens assegurarem que ningú s'estiga aprofitant del poble americà per al seu propi interès a curt termini.
