Run!	Korri!
Rome has a lot of ancient buildings.	Erroman antzinako eraikin anitz dira.
Thanks to you I've lost my appetite.	Zure erruz gosea pasa zait.
The angry mob attacked the building.	Haserretutako jendetzak eraikina eraso egin zuen.
Tom and Mary had fun at the concert.	Tomek eta Maryk ondo pasatu zuten kontzertuan.
We reported the theft to the police.	Poliziari lapurretaren berri eman genion.
By the way, have you seen him lately?	Bide batez, azkenaldian ikusi al duzue?
Could you come to tomorrow's meeting?	Biharko bilerara etorri ahal izango zara?
Either Tom is lying or Mary is lying.	Edo Tom dabil gezurretan edo Mary dabil gezurretan.
His name is known all over the world.	Bere izena mundu osoan da ezaguna.
I knew Tom wouldn't be so busy today.	Badakit Tom ez dagoela hain lanpetuta gaur.
I wish people could be more like you.	Jendea zu bezalakoa izatea gustatuko litzaidake.
I'm surprised Tom can't speak French.	Harritzen nau Tomek Frantzesa ez jakitea.
My camera is the same as your camera.	Nire kamera zurearen berdina da.
Please ask Tom to wait in his office.	Esan Tomiri bulegoan itzaroteko, mesedez.
These things always happen in threes.	Bi ezkero, hiru seguru
They don't always obey their parents.	Ez diete beti gurasoei jaramon egiten.
Tom and Mary became lifelong friends.	Tom eta Mary betiko lagun bihurtu ziren.
Tom and Mary need to buy some things.	Tom eta Mary zerbait erosi behar dute.
Tom and Mary need to buy some things.	Tom eta Maria erosi behar dute gauza batzuk.
Tom and Mary need to buy some things.	Tom eta Mary gauza batzuk erosi behar dituzte
Could you please give the baby a bath?	Mesedez, baina dezakezu umea?
He reported the details with accuracy.	Berak zehaztasunak zuzentasunez kontatu zituen.
I can't do it without somebody's help.	Ezin dut egin beste baten laguntzarik gabe.
I have no strength to lift this stone.	Ez dut harri hau jasotzeko indarrik.
I think that would give me a headache.	Uste dut eman al didala buruko mina.
Please make three copies of this page.	Orri honen hiru kopia egin, mesedez
She prefers staying home to going out.	Nahiago du etxean egotea irtetea baino.
The island is a paradise for children.	Aurrentzat irla paradisu bat da.
Tom and Mary are doing that with John.	Tomek eta Marik hori egiten ari dira Jonekin batera.
Tom didn't mention that he'd met Mary.	Tomek ez zuen esan Mary kusiko zuela.
Tom didn't offer us anything to drink.	Tomek ez zigun edateko ezer eskaini.
Tom didn't take his umbrella with him.	Tomek ez zuen bere euritakoa hartu.
Tom didn't tell us why we should come.	Tom-ek ez zigun esan zergatik etorri beharko ginateke.
Tom doesn't ever come here by himself.	Tom ez da inoiz hona bakarrik etortzen.
Tom doesn't go to school here anymore.	Tom ez doa hemen eskola jada.
Tom doesn't know I'm Mary's boyfriend.	Tom-ek ez daki Mary-ren mutil laguna naizela.
Tom doesn't know where he wants to go.	Tomek ez daki nora joan nahi duen.
Tom doesn't want to buy anything else.	Tom-ek ez du ezer gehiagorik erosi nahi.
Tom found this clock at a garage sale.	Tomek erloju hau aurkitu zuen garaje-salerosketa batean.
We talked on the phone until midnight.	Gau erdira arte ibili zen telefonoz hitz egiten.
He is suffering from a serious illness.	Gaixotasun serio batengatik sufritzen ari da.
His name is known all over the country.	Bere izena aberri osoan da ezaguna.
Let's discuss what happened last night.	Eztabaidatu dezagun azkeneko gauan gertatutakoa.
Tom thought Mary might like to do that.	Tomek Mary hori egitea gustuko izango zuela pentsatu zuen.
What I want now is not money, but time.	Nik orain nahi dudana ez da dirua, denbora baizik.
You may choose whichever book you like.	Gogoko duzun liburua aukera dezakezu.
By the way, what time will you go there?	Bide batez, ze ordutan joango zara horra?
Could you please tell me how to do that?	Esan ahal didazu nola egin hori, mesedez?
Don't worry. Everything's under control.	Ez kezkatu. Dena kontrolpean dago.
I thought Tom wasn't nervous doing that.	Tom gauza hori egiten urduri ez zegoela uste dut.
I thought Tom would be able to help you.	Tom, zu laguntzeko kapaza dela uste dut.
I've been able to read since I was five.	Irakurtzeko gai izan naiz bost urte neukanetik.
This bike belongs to my younger brother.	Bizikleta hau nire anai txikiarena da.
We couldn't see the top of the mountain.	Ezin genuen mendiko tontorra ikusi.
Which one of you two are coming with me?	Zuek biok, biotatik nor etorriko da nirekin?
Would you please tell me how to do that?	Esango zenidake nola egin hori?
All the leaves on the tree turned yellow.	Zuhaitzaren hosto guztiak hori kolorekoak bihurtu ziren.
Another problem is where to stop the car.	Beste arazo bat kotxea non gelditzea da.
Check up on the accuracy of this article.	Begiratu artikulu honen zuzentasuna.
Could you tell me the way to Tokyo Tower?	Esango zenidake Tokyo Dorrerako bidea nondik den?
Do you know where I can buy one of those?	Badakizu non erosi ahal dudan horrelako bat?
He worked hard at the risk of his health.	Gogor lan egin zuen, bere osasunaren kaltean.
I have no time to explain this in detail.	Detaileekin azaltzeko denborarik ez daukat.
I thought Tom might ask Mary to help him.	Tomek Mary laguntza eskatu ziola pentsatu nuen.
Tom told me he was determined to do that.	Tomek esan zidan Mary gose zela uste zuela.
You know something about this, don't you?	Zuk badakizu zerbait honi buruz, ezta?
Can someone tell me where the keyboard is?	Esan ahal dit norbaitek giltzadia non dagoen?
He made an important scientific discovery.	Aurkikunta zientifiko garrantzitsua egin zuen.
His name is known to everyone in our town.	Bere izena herri osoan da ezaguna.
I cheered myself up by listening to music.	Musika entzunez igo nuen nire animoa.
I didn't do that because I didn't want to.	Ez nuen gauza hori egin, nahi ez nuelako.
I didn't drink much at last night's party.	Ez nuen asko edan atzoko festan.
I didn't have enough money to pay my rent.	Alokairua ordaintzeko diru nahikoa ez dut.
I studied English very hard day after day.	Ingelesa goror ikasi nuen egunero-egunero.
It would be better for you not to do that.	Hobeto izango da hori egiten ez baduzu.
There can be more than one correct answer.	Erantzun zuzen bat baino gehiago egon ahal dira.
Tom and Mary went to the harvest festival.	Tom eta Mary uzta-jaialdira joan ziren.
Tom told Mary not to be afraid to do that.	Tomek hori egiteko beldurrik ez izatea esan zion Maryri
You must be careful not to make Tom angry.	Kontuz ibili behar zara Tom ez azerretzeko.
All of a sudden, the door shut with a bang.	Bat-batean, ate kolpe batez itxi zen.
He guessed the answers with great accuracy.	Erantzuna asmatu zuen zehaztasun handiz.
I met my teacher on the way to the station.	Geltokirako bidean nire irakaslearekin topo egin nuen.
Tom spent his thirtieth birthday in Boston.	Tom-ek, Bostonen pasatu zuen bere hamahirugarren urtebetetzea.
What a beautiful Sunday to read in the sun.	Zelako igande polita eguzkipean irakurtzeko.
Do you think Tom believed what you told him?	Uste duzu Tomek esan zeniola sinetsi zuela?
I couldn't fall asleep because of the noise.	Zaratagatik ezin izan nuen lo hartu.
I don't think I could do that kind of thing.	Ez dut uste horrelako gauzarik egin ahal ditzakedanik.
I like the same kind of music that Tom does.	Tom gustuko duen musika berbera gustuko dut.
It'll take him two days to finish this work.	Lan hau bukatzeko bi egun behar ditu.
Alexander Graham Bell invented the telephone.	Alexander Graham Bell mugikorra asmatu zuen,.
I do not know whether to accept or to refuse.	Ez dakit onartu ala ez.
Napoleon needed money for a war with Britain.	Napoleonek dirua behar izan zuen Britainiaren kontrako gerrarako
People from China play another kind of chess.	Txinatarrek beste xake mota batean ibiltzen dira.
The boy was lying on his stomach watching TV.	Mutila buruz behera zegoen telebistari begira.
We visited the historic sites of the country.	Herrialdeko hiri historikoak bisitatu genituen.
I don't mind being criticized when I am wrong.	Ez zait inporta oker nagoenean norbaitek ni kritikatzea.
I thought I heard someone banging on the wall.	Norbait horman kolpeka ari zela entzun nuela iruditu zitzaidan.
I've only spoken to Tom once since I got here.	Hor nagoenetik, aldi batean soilik hitz egin dut Tomekin.
I've only spoken to Tom once since I got here.	Hemen nagoenetik bakarrik hitz egin dut aldi batez Tomekin.
Tom didn't tell me the reason why he was late.	Tom ez zidan esan berandu etortzearen arrazoia.
Would you like to have dinner with us tonight?	Gurekin afaltzera etorri nahiko zenuke gaur gauean?
Would you like to have dinner with us tonight?	Gustatuko litzaizuke gauean gurekin afaltzea?
Believe it or not, I'm not sarcastic this time.	Sinetsi edo ez, ez nago sarkastikoa izaten une honetan.
He got up early in order to attend the meeting.	Bileran parte hartzeko goiz jaiki zen.
I began to doubt the accuracy of his statement.	Adierazpen honen zuzentasunaz zalantzatan hasi nintzen.
Tom and Mary have spent a lot of time together.	Tom eta Mary denbora asko igaro dute batera.
Tom and Mary have spent a lot of time together.	Tom eta Mary denbora asko eman dute elkar.
Tom doesn't always understand what's happening.	Tom ez du beti ulertzen pasatzen ari dena.
Tom doesn't remember where he put his passport.	Tom ez du gogoratzen no jarri duen bere pasaportea.
Tom isn't allowed to do just anything he wants.	Tom-ek ia-ia nahi duen edozein gauza egin dezake.
Dinner is ready, so we can eat whenever we want.	Afaria pronto dagoenez, nahi dugunean jan dezakegu.
He translated the book from French into English.	Liburua frantsesetik ingelesera itzuli zuen.
How will you spend the coming three-day holiday?	Nola igaroko dituzu datozen hiru jai egunak?
If you don't have any money, I'll lend you some.	Dirurik ez baduzu, utziko dizut pixka bat.
Tom and Mary have never been to that restaurant.	Tom and Mary ez dira inoiz egon jatetxe horretan.
You seemed convinced that Tom wanted to do that.	Konbentzituta zenidurien oso Tomek hori egin nahi zuela.
You seemed convinced that Tom wanted to do that.	Oso konbentzituta zenidurien Tomek hori egin nahi zuela.
Tom and Mary promised me that they'd wash my car.	Tomek eta Maryk nire autoa garbituko dutela zin egin didate.
Tom and Mary promised me that they'd wash my car.	Tom eta Mary sin egin zidaten nire autoa garbitu zutela.
Tom showed up at the party dressed like a pirate.	Tom pirataz jantzita agertu zen jaian.
Who else, other than you, knows about Tom's past?	Nork gehiago, zutaz gain, ezagutzen Tom-en iragana?
Dozens of young people attended the demonstration.	Dozenaka gazte joan ziren manifestaldira.
He could not accept a strange woman as his mother.	Berak ezingo zuen emakume arrotz bat bere amatzat onartu.
His helplessness appeals to her motherly sympathy.	Bere babesgabetasunak bere amaren gupida eskatzen du.
I met too many people to remember all their names.	Jende gehiegi ezagutu nituen guztien inzenetaz gogoratzeko.
I'd like a chance to explain why I did what I did.	Zergatik egin nuen egin nuena azaltzeko aukera bat izatea gustoko litzaidake.
What sort of people hang out at a place like this?	Zer nolako jendea dabil honelako leku batetan?
When I was your age, I walked to school every day.	Zure adina nuenean, oinez joaten nintzen eskolara egunero.
It's already eleven o'clock. I must be leaving now.	Hamaikak dira jada. Oraintxe joan beharra dut.
She will without a doubt visit England this summer.	Ingalaterra bisitatuko du uda honetan zalantzarik gabe.
Tom said his parents allow him to do what he wants.	Tomem dio gurasoek nahi duena egiten uzten diotela.
I don't have to go back to Boston until next Monday.	Ez dut Bostonera bueltatu behar hurrengo astelehenerarte.
If you don't help me, it won't get finished on time.	Laguntzen ez badidazu, ez dut garaiz amaituko.
It's very impolite of you to decline her invitation.	Ez da batere gizalegekoa bere gonbidapenari muzin egitea.
There was a pink slip waiting for her at the office.	Bazegoen kulero arrosa bat bere zain bulegoan.
They agreed to look into the causes of the accident.	Istripuaren arrazoiak ikertuko zituztela adostu zuten.
Two-thirds of the people here tonight are Canadians.	Gaur gauean hemen dauden pertsonen bi herena Kanadiarrak dira.
You're going to hurt yourself if you aren't careful.	Mina egingo diozu zure buruari kontuz ibiltzen ez bazara.
I'm not sure if that was a good thing or a bad thing.	Ez nago ziur ea gauza ona edo txarra denik.
I'm not sure if that was a good thing or a bad thing.	Ez nago ziur idei on edo txar bat denik.
I'm not sure if that was a good thing or a bad thing.	Ez nago ziur ideia ona edo txarra denik.
No one shall be arbitrarily deprived of his property.	Arrazoirik gabe, ez zaio inori bere jabegoa kenduko.
Tom and Mary have dinner together almost every night.	Tom eta Mary elkarrekin afaltzen dute gauero.
Some people are for the plan and others are against it.	Batzuk planaren alde daude eta beste batzuk aurka.
Tom is suspected of being involved in the bank robbery.	Tom banku batean lapurretan ibili den susmagarri da.
Tom and Mary go to school together almost every morning.	Tom eta Mary elkarrekin joaten dira eskolara goizero.
We stayed up until about 2:30 studying for today's test.	Egon ginen ikasten gaurko azterketarako 2:30k arte.
I've only been here for a day and I already want to leave.	Egun batean bakarrik egon naiz eta jadanik joan nahi dut.
I've only been here for a day and I already want to leave.	Bakarrik egon nintzen egun baterako eta gustatuko litzaidake hemen geratzea.
CO₂ has a lot to do with the so-called greenhouse effect.	CO₂ horrek lotura handia du negutegi efektuarekin.
I thought you were going to keep Tom here until I got back.	Uste nuen zuk Tom hemen mantenduko zenuela ni heltzen nintzen bitartean.
Since he was injured in an accident, he could no longer walk.	Istripu batetan zauritu zenetik, ezin izan du berriz ibili.
U.S.S.R. stands for the "Union of Soviet Socialist Republics".	SESB akronimoak adierazten du Sobietar Errepublika Sozialisten Batasuna.
If you don't have enough money to buy that, I'll lend you some.	Ez badaukazu nahikoa diru hori erosteko, utziko dizut pixka bat.
If you have ever visited Rome, you must have seen the Coliseum.	Roma inoiz bisitatu baldin baduzu, Koliseoa ikusia izan behar duzu.
Some scientists believe that the greenhouse effect is imaginary.	Zientzialari batzuek uste dute negutegi efektua alegiazkoa dela.
In China, there's a saying that you can't judge a person by appearance.	Txinan esaten ari dira pertsona bat bere itxuragatik epai daitekeela.
Today, we can tell how the weather will be with a high degree of accuracy.	Gaur egun esan dezakegu nolako eguraldia egingo duen zehaztasun handiarekin.
